Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d10,1S,0,1,,0.000,,0.017,,  97                                    :     2  3d9.4d               1S       ,L19804
3d9.4s,3D,3,7,,21928.7326,,0.0014,1.32,  98                                                                           ,"L19804,L10559"
3d9.4s,3D,2,5,,22847.1176,,0.0005,1.16,  89                                    :     9  3d9.4s               1D       ,"L19804,L10559"
3d9.4s,3D,1,3,,23998.3718,,0.0009,0.48,  98                                                                           ,"L19804,L10559"
3d9.4s,1D,2,5,,26264.5502,,0.0012,1.00,  89                                    :     9  3d9.4s               3D       ,"L19804,L10559"
3d9.4p,3P*,2,5,,66418.6849,,0.0014,1.49,  96                                    :     2  3d9.4p               3D*      ,"L19804,L10559"
3d9.4p,3P*,1,3,,67916.5572,,0.0011,1.49,  95                                    :     2  3d9.4p               1P*      ,"L19804,L10559"
3d9.4p,3P*,0,1,,68850.2628,,0.0014,,  98                                                                           ,L19804
3d9.4p,3F*,3,7,,68447.7349,,0.0013,1.06,  62                                    :    34  3d9.4p               1F*      ,"L19804,L10559"
3d9.4p,3F*,4,9,,68730.8876,,0.0017,1.23,  98                                                                           ,"L19804,L10559"
3d9.4p,3F*,2,5,,69867.9849,,0.0011,0.67,  88                                    :     6  3d9.4p               3D*      ,"L19804,L10559"
3d8.4s2,3F,4,9,,69704.7015,,0.0019,,  95                                    :     4  3d8.(3F).4p2.(1S)    3F       ,L19804
3d8.4s2,3F,3,7,,71531.542,,0.003,,  95                                    :     4  3d8.(3F).4p2.(1S)    3F       ,L19804
3d8.4s2,3F,2,5,,72723.817,,0.004,,  94                                    :     4  3d8.(3F).4p2.(1S)    3F       ,L19804
3d9.4p,1F*,3,7,,70841.4669,,0.0014,,  49                                    :    31  3d9.4p               3D*      ,L19804
3d9.4p,1D*,2,5,,71493.8548,,0.0007,1.08,  54                                    :    35  3d9.4p               3D*      ,"L19804,L10559"
3d9.4p,3D*,3,7,,71920.0961,,0.0008,,  64                                    :    19  3d9.4p               3F*      ,L19804
3d9.4p,3D*,1,3,,73102.0408,,0.0007,0.47,  92                                    :     3  3d9.4p               1P*      ,"L19804,L10559"
3d9.4p,3D*,2,5,,73353.2957,,0.0008,0.99,  54                                    :    41  3d9.4p               1D*      ,"L19804,L10559"
3d9.4p,1P*,1,3,,73595.8143,,0.0018,1.04,  93                                    :     4  3d9.4p               3D*      ,"L19804,L10559"
3d8.4s2,1D,2,5,,85388.772,,0.003,,  73                                    :    21  3d8.4s2              3P       ,L19804
3d8.4s2,3P,2,5,,88362.001,,0.003,,  74                                    :    21  3d8.4s2              1D       ,L19804
3d8.4s2,3P,1,3,,88605.096,,0.004,,  95                                    :     4  3d8.(3P).4p2.(1S)    3P       ,L19804
3d8.4s2,3P,0,1,,88926.002,,0.003,,  95                                    :     4  3d8.(3P).4p2.(1S)    3P       ,L19804
3d8.4s2,1G,4,9,,95565.619,,0.003,0.98,  95                                    :     4  3d8.(1G).4p2.(1S)    1G       ,"L19804,L10559"
