Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f10.(5I<8>).6s<1/2>,"(8,1/2)",17/2,18,,0.000,,,1.290,             or  :    95                (5I) 6I  ,L3974
4f10.(5I<8>).6s<1/2>,"(8,1/2)",15/2,16,,828.314,,,1.203,             or  :    72                (5I) 4I  ,L11757
4f10.(5I<7>).6s<1/2>,"(7,1/2)",15/2,16,,4341.104,,,1.225,             or  :    75                (5I) 6I  ,L11757
4f10.(5I<7>).6s<1/2>,"(7,1/2)",13/2,14,,4755.673,,,1.130,             or  :    50                (5I) 4I  ,L11757
4f10.(5I<6>).6s<1/2>,"(6,1/2)",11/2,12,,7463.905,,,1.015,             or  :    69                (5I) 6I  ,L11757
4f10.(5I<6>).6s<1/2>,"(6,1/2)",13/2,14,,7485.117,,,1.134,             or  :    49                (5I) 6I  ,L11757
4f10.(5I<5>).6s<1/2>,"(5,1/2)",9/2,10,,9432.105,,,0.825,             or  :    82                (5I) 6I  ,L11757
4f10.(5I<5>).6s<1/2>,"(5,1/2)",11/2,12,,9871.028,,,0.997,             or  :    66                (5I) 4I  ,L11757
4f9.(6H*).5d (7H*).6s,8H*,7/2,8,,,,,,                                                 ,L3974
4f9.(6H*).5d (7H*).6s,8H*,5/2,6,,,,,,                                                 ,L3974
4f9.(6H*).5d (7H*).6s,8H*,3/2,4,,,,,,                                                 ,L3974
4f9.(6H*).5d (7H*).6s,8H*,17/2,18,,10594.197,,,1.400,  83                                             ,L11757
4f9.(6H*).5d (7H*).6s,8H*,15/2,16,,11394.912,,,1.383,  67                                             ,L11757
4f9.(6H*).5d (7H*).6s,8H*,13/2,14,,12674.694,,,1.350,  56                                             ,L11757
4f9.(6H*).5d (7H*).6s,8H*,11/2,12,,14347.205,,,1.302,  55                                             ,L11757
4f9.(6H*).5d (7H*).6s,8H*,9/2,10,,16015.394,,,1.193,  61                                             ,L11757
4f10.(5I<4>).6s<1/2>,"(4,1/2)",7/2,8,,10953.984,,,0.470,             or  :    92                (5I) 6I  ,L11757
4f10.(5I<4>).6s<1/2>,"(4,1/2)",9/2,10,,11801.052,,,0.756,             or  :    80                (5I) 4I  ,L11757
4f9.6s2,6H*,5/2,6,,,,,,                                                 ,L3974
4f9.6s2,6H*,9/2,10,,,,,,                                                 ,L3974
4f9.6s2,6H*,7/2,8,,,,,,                                                 ,L3974
4f9.6s2,6H*,15/2,16,,12336.314,,,1.333,  90                                             ,L11757
4f9.6s2,6H*,13/2,14,,15822.169,,,1.275,  64                                             ,L11757
4f9.6s2,6H*,11/2,12,,18121.480,,,1.215,  90                                             ,L11757
4f10.(5F<5>).6s<1/2>,"(5,1/2)",11/2,12,,13338.27,,,1.413,             or  :    85                (5F) 6F  ,L3974
4f10.(5F<5>).6s<1/2>,"(5,1/2)",9/2,10,,14126.93,,,1.32,             or  :    62                (5F) 4F  ,L3974
4f9.(6H*).5d (7I*).6s,8I*,7/2,8,,,,,,                                                 ,L3974
4f9.(6H*).5d (7I*).6s,8I*,5/2,6,,,,,,                                                 ,L3974
4f9.(6H*).5d (7I*).6s,8I*,9/2,10,,,,,,                                                 ,L3974
4f9.(6H*).5d (7I*).6s,8I*,19/2,20,,13408.62,,,1.364,  93                                             ,L3974
4f9.(6H*).5d (7I*).6s,8I*,17/2,18,,14895.06,,,1.315,  58                                             ,L3974
4f9.(6H*).5d (7I*).6s,8I*,13/2,14,,17596.36,,,1.28,  41                                             ,L3974
4f9.(6H*).5d (7I*).6s,8I*,11/2,12,,19183.73,,,1.163,  59                                             ,L3974
4f9.(6H*).5d (7H*).6s,6H*,15/2,16,,13610.71,,,1.33,  65                                             ,L3974
4f9.(6H*).5d (7F*).6s,8F*,13/2,14,,14421.87,,,1.438,  51                                             ,L3974
4f10.(5I).5d,6I,17/2,18,,14845.91,,,1.25,  78             :    13                (5I) 6K  ,L3974
4f10.(5I).5d,6H,15/2,16,,14952.14,,,1.30,  56             :    28                (5I) 6I  ,L3974
4f9.(6H*).5d (7H*).6s,*,13/2,14,,15530.11,,,1.358,  26  6H*                                        ,L3974
4f10.(5I).5d,6G,13/2,14,,15691.99,,,1.34,  65             :    21                (5I) 6H  ,L3974
4f10.(5S<2>).6s<1/2>,"(2,1/2)",5/2,6,,15889.87,,,1.85,             or  :    81                (5S) 6S  ,L3974
4f10.(5S<2>).6s<1/2>,"(2,1/2)",3/2,4,,16758.92,,,1.72,             or  :    72                (5S) 4S  ,L3974
4f10.(5F<4>).6s<1/2>,"(4,1/2)",9/2,10,,15979.27,,,1.40,             or  :    70                (5F) 6F  ,L3974
4f10.(5F<4>).6s<1/2>,"(4,1/2)",7/2,8,,16418.93,,,1.309,             or  :    52                (5F) 6F  ,L3974
4f10.(5I).5d,6K,19/2,20,,16117.40,,,1.24,  75             :    12                (5I) 6L  ,L3974
4f9.(6H*).5d (7G*).6s,*,15/2,16,,16260.40,,,1.365,  43  8G*                                        ,L3974
4f9.(6H*).5d (7F*).6s,*,11/2,12,,16601.97,,,1.408,  36  8F*                                        ,L3974
4f9.(6H*).5d (7G*).6s,*,15/2,16,,16875.90,,,1.328,  30  8G*                                        ,L3974
4f9.(6H*).5d (7K*).6s,8K*,11/2,12,,,,,,                                                 ,L3974
4f9.(6H*).5d (7K*).6s,8K*,9/2,10,,,,,,                                                 ,L3974
4f9.(6H*).5d (7K*).6s,8K*,7/2,8,,,,,,                                                 ,L3974
4f9.(6H*).5d (7K*).6s,8K*,21/2,22,,16881.33,,,1.33, 100                                             ,L3974
4f9.(6H*).5d (7K*).6s,8K*,19/2,20,,17606.65,,,1.28,  54                                             ,L3974
4f9.(6H*).5d (7K*).6s,8K*,17/2,18,,18549.16,,,1.22,  31                                             ,L3974
