Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f12.(3H<6>).6s<1/2>,"(6,1/2)",13/2,14,,0.000,,,1.230,             or  :    99   4H      ,L3974
4f12.(3H<6>).6s<1/2>,"(6,1/2)",11/2,12,,440.434,,,1.101,             or  :    67   2H      ,
4f12.(3F<4>).6s<1/2>,"(4,1/2)",9/2,10,,5132.608,,,1.245,             or  :    65   4F      ,
4f12.(3F<4>).6s<1/2>,"(4,1/2)",7/2,8,,5403.688,,,1.042,             or  :    43   2F      ,
4f11.6s2,4I*,9/2,10,,,,,,                                   ,
4f11.6s2,4I*,15/2,16,,6824.774,,,1.200,                                   ,
4f11.6s2,4I*,13/2,14,,13338.777,,,1.120,                                   ,
4f11.6s2,4I*,11/2,12,,16948.197,,,1.055,                                   ,
4f12.(3H<5>).6s<1/2>,"(5,1/2)",11/2,12,,7149.630,,,1.120,             or  :    68   4H      ,
4f12.(3H<5>).6s<1/2>,"(5,1/2)",9/2,10,,7195.355,,,0.948,             or  :    64   4H      ,
4f11.(4I*).5d.6s,*,13/2,14,,10667.186,,,1.345,                                   ,
4f12.(3H<4>).6s<1/2>,"(4,1/2)",7/2,8,,10893.936,,,0.833,             or  :    61   4H      ,
4f12.(3H<4>).6s<1/2>,"(4,1/2)",9/2,10,,11042.640,,,1.050,             or  :    41   2H      ,
4f11.(4I*).5d.6s,*,15/2,16,,11309.180,,,1.285,                                   ,
4f11.(4I*).5d.6s,*,11/2,12,,12388.090,,,1.240,                                   ,
4f12.(3F<3>).6s<1/2>,"(3,1/2)",7/2,8,,12587.998,,,1.204,             or  :    68   4F      ,
4f12.(3F<3>).6s<1/2>,"(3,1/2)",5/2,6,,12600.093,,,1.000,             or  :    79   4F      ,
4f11.(4I*).5d.6s,*,19/2,20,,12815.068,,,1.180,                                   ,
4f11.(4I*).5d.6s,*,17/2,18,,13027.927,,,1.105,                                   ,
4f11.(4I*).5d.6s,*,13/2,14,,13060.715,,,1.200,                                   ,
4f12.(3F<2>).6s<1/2>,"(2,1/2)",3/2,4,,13188.467,,,0.487,             or  :    80   4F      ,
4f12.(3F<2>).6s<1/2>,"(2,1/2)",5/2,6,,13558.333,,,0.948,             or  :    69   2F      ,
