Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f7.(8S*).6s,a 9S*,4,9,,0.00,,,1.984,         or  :        4f7.(8S*<7/2>).6s<1/2>            ,L3974
4f7.(8S*).6s,a 7S*,3,7,,1669.21,,,1.981,         or  :        4f7.(8S*<7/2>).6s<1/2>            ,
4f7.(8S*).5d,a 9D*,2,5,,9923.00,,,2.641, 100                                                    ,
4f7.(8S*).5d,a 9D*,3,7,,10081.65,,,2.062, 100                                                    ,
4f7.(8S*).5d,a 9D*,4,9,,10312.82,,,1.842,  99         :     1                         (8S*) 7D*  ,
4f7.(8S*).5d,a 9D*,5,11,,10643.48,,,1.726,  99         :     1                         (8S*) 7D*  ,
4f7.(8S*).5d,a 9D*,6,13,,11128.22,,,1.659, 100                                                    ,
4f7.(8S*).5d,a 7D*,5,11,,16860.72,,,1.592,  99         :     1                         (8S*) 9D*  ,
4f7.(8S*).5d,a 7D*,4,9,,17004.06,,,1.628,  99         :     1                         (8S*) 9D*  ,
4f7.(8S*).5d,a 7D*,3,7,,17140.87,,,1.728, 100                                                    ,
4f7.(8S*).5d,a 7D*,2,5,,17247.67,,,1.981, 100                                                    ,
4f7.(8S*).5d,a 7D*,1,3,,17324.66,,,2.972, 100                                                    ,
4f7.(8S*<7/2>).6p<1/2>,"(7/2,1/2)",3,7,,23774.28,,,2.195,         or  :    87                         (8S*) z 9P ,
4f7.(8S*<7/2>).6p<1/2>,"(7/2,1/2)",4,9,,24207.86,,,1.877,         or  :    63                         (8S*) z 9P ,
4f7.(8S*<7/2>).6p<3/2>,"(7/2,3/2)",5,11,,26172.83,,,1.789,         or  :   100                         (8S*) z 9P ,
4f7.(8S*<7/2>).6p<3/2>,"(7/2,3/2)",4,9,,26838.50,,,1.801,         or  :    63                         (8S*) z 7P ,
4f7.(8S*<7/2>).6p<3/2>,"(7/2,3/2)",3,7,,27104.07,,,1.943,         or  :    87                         (8S*) z 7P ,
4f7.(8S*<7/2>).6p<3/2>,"(7/2,3/2)",2,5,,27256.35,,,2.312,         or  :   100                         (8S*) z 7P ,
4f6.(7F).5d (8D).6s,z 9D,2,5,,30189.31,,,2.511,                                                        ,
4f6.(7F).5d (8D).6s,z 9D,3,7,,31500.82,,,2.002,                                                        ,
4f6.(7F).5d (8D).6s,z 9D,4,9,,32486.10,,,1.824,                                                        ,
4f6.(7F).5d (8D).6s,z 9D,5,11,,33420.20,,,1.710,                                                        ,
4f6.(7F).5d (8D).6s,z 9D,6,13,,34764.97,,,1.687,                                                        ,
,101,4,9,,33779.95,,,1.565,                                                        ,
,102,3,7,,33919.70,,,1.681,                                                        ,
,103,2,5,,33944.49,,,1.690,                                                        ,
4f6.(7F).5d (8P).6s,y 9P,3,7,,34393.57,,,2.037,                                                        ,
4f6.(7F).5d (8P).6s,y 9P,4,9,,35527.02,,,1.898,                                                        ,
4f6.(7F).5d (8P).6s,y 9P,5,11,,36648.95,,,1.749,                                                        ,
,104,3,7,,34546.10,,,1.307,                                                        ,
,105,4,9,,34617.73,,,1.603,                                                        ,
,106,3,7,,34923.43,,,1.669,                                                        ,
,107,4,9,,35045.98,,,1.966,                                                        ,
,108,3,7,,35440.88,,,2.004,                                                        ,
,109,3,7,,35567.74,,,1.434,                                                        ,
,z 7D?,1,3,,,,,,                                                        ,
,z 7D?,5,11,,,,,,                                                        ,
,z 7D?,2,5,,35846.96,,,1.931,                                                        ,
,z 7D?,4,9,,37010.70,,,1.702,                                                        ,
,z 7D?,3,7,,37167.90,,,1.733,                                                        ,
,110,4,9,,35935.81,,,1.591,                                                        ,
,111,4,9,,36428.89,,,1.472,                                                        ,
4f6.(7F).5d2.(3F),x 9P,3,7,,36628.00,,,2.163,                                                        ,
4f6.(7F).5d2.(3F),x 9P,4,9,,37223.78,,,1.892,                                                        ,
4f6.(7F).5d2.(3F),x 9P,5,11,,37849.34,,,1.715,                                                        ,
,112,3,7,,36821.20,,,1.428,                                                        ,
,113,4,9,,36954.00,,,1.463,                                                        ,
,114,5,11,,37000.00,,,1.578,                                                        ,
,115,2,5,,37003.23,,,2.151,                                                        ,
4f6.(7F).5d2?,y 7P,2,5,,37336.83,,,2.196,                                                        ,
4f6.(7F).5d2?,y 7P,3,7,,38804.98,,,1.916,                                                        ,
4f6.(7F).5d2?,y 7P,4,9,,39134.72,,,1.746,                                                        ,
,116,6,13,,37583.63,,,1.775,                                                        ,
,117,3,7,,37605.51,,,1.735,                                                        ,
,118,3 or 4,7,,37622.87,,,,                                                        ,
,119,2,5,,37799.89,,,1.744,                                                        ,
,120,5,11,,37932.19,,,1.460,                                                        ,
,121,4,9,,37993.64,,,1.322,                                                        ,
,122,4,9,,38058.03,,,1.436,                                                        ,
,x 7P?,2,5,,38146.44,,,2.364,                                                        ,
,x 7P?,3,7,,38463.66,,,1.716,                                                        ,
,x 7P?,4,9,,39554.43,,,1.694,                                                        ,
,123,3,7,,38295.89,,,1.703,                                                        ,
,124,1,3,,38582.08,,,3.155,                                                        ,
,125,7,15,,38725.32,,,1.576:,                                                        ,
,126,5,11,,38784.47,,,1.601,                                                        ,
,127,4,9,,38995.52,,,1.566,                                                        ,
,128,2,5,,39099.43,,,2.016,                                                        ,
,129,6,13,,39601.80,,,1.756,                                                        ,
,130,3,7,,,,,{2.374?,                                                        ,
,130,3,7,,39767.55,,,{1.750?,                                                        ,
,131,6,13,,40316.92,,,1.632,                                                        ,
,132,4,9,,40870.72,,,1.892,                                                        ,
,133,6,13,,41099.11,,,,                                                        ,
,134,5,11,,41223.24,,,1.661,                                                        ,
,135,4,9,,41438.13,,,1.694:,                                                        ,
,136,4,9,,41666.81,,,1.505,                                                        ,
,137,4,9,,41714.84,,,,                                                        ,
,138,2,5,,42391.03,,,1.935,                                                        ,
,y 9D?,2,5,,42438.56,,,,                                                        ,
,y 9D?,3,7,,43193.46,,,1.987,                                                        ,
,y 9D?,4,9,,44075.84,,,1.672,                                                        ,
,y 9D?,5,11,,45126.78,,,1.602,                                                        ,
,y 9D?,6,13,,46029.14,,,1.621,                                                        ,
,139,4,9,,42710.14,,,,                                                        ,
,140,3 or 4,7,,42939.45,,,,                                                        ,
,141,4 or 5,9,,43461.07,,,,                                                        ,
,142,5,11,,43643.12,,,1.645:,                                                        ,
,143,5,11,,44947.15,,,,                                                        ,
