Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5s2,1S,0,1,,0.000000000,,0.0000,,  98                             ,L18318
5s.5p,3P*,0,1,,42275.995245348,,0.000000008,-0.000987, 100                             ,L18318
5s.5p,3P*,1,3,,43350.5817,,0.0015,,  99                             ,L18318
5s.5p,3P*,2,5,,45829.256,,0.006,, 100                             ,L18318
5s.5p,1P*,1,3,,63038.546,,0.010,,  98                             ,L18318
5s.6s,3S,1,3,,93923.884,,0.005,, 100                             ,L18318
5s.6s,1S,0,1,,97030.212,,0.012,,  99                             ,L18318
5s.5d,1D,2,5,,97628.436,,0.009,,  67         :    31  5p2   1D   ,L18318
5p2,3P,0,1,,101608.06,,0.20,,  97                             ,L18318
5p2,3P,1,3,,103249.39,,0.19,, 100                             ,L18318
5p2,3P,2,5,,105565.283,,0.012,,  96                             ,L18318
5s.5d,3D,1,3,,102088.72,,0.04,, 100                             ,L18318
5s.5d,3D,2,5,,102174.69,,0.03,, 100                             ,L18318
5s.5d,3D,3,7,,102308.397,,0.020,, 100                             ,L18318
5s.6p,3P*,0,1,,107662.707,,0.006,, 100                             ,L18318
5s.6p,3P*,1,3,,107841.992,,0.006,,  96         :     4        1P*  ,L18318
5s.6p,3P*,2,5,,108430.337,,0.006,, 100                             ,L18318
5s.6p,1P*,1,3,,109780.221,,0.008,,  94         :     4        3P*  ,L18318
5p2,1D,2,5,,113884.919,,0.011,,  58         :    27  5s.5d 1D   ,L18318
5p2,1S,0,1,,121289.53,,0.03,,  56         :    42  5s.7s 1S   ,L18318
5s.7s,3S,1,3,,121442.541,,0.012,, 100                             ,L18318
5s.7s,1S,0,1,,123372.848,,0.018,,  57         :    39  5p2   1S   ,L18318
5s.4f,3F*,2,5,,123642.95,,0.03,, 100                             ,L18318
5s.4f,3F*,3,7,,123648.096,,0.024,, 100                             ,L18318
5s.4f,3F*,4,9,,123664.85,,0.03,, 100                             ,L18318
5s.4f,1F*,3,7,,123699.170,,0.010,, 100                             ,L18318
5s.6d,3D,1,3,,124742.729,,0.006,, 100                             ,L18318
5s.6d,3D,2,5,,124776.714,,0.006,, 100                             ,L18318
5s.6d,3D,3,7,,124830.176,,0.008,, 100                             ,L18318
5s.6d,1D,2,5,,126670.945,,0.008,,  88         :     7  5p2   1D   ,L18318
5s.7p,3P*,0,1,,126932.875,,0.022,, 100                             ,L18318
5s.7p,3P*,1,3,,126994.890,,0.011,,  91         :     9        1P*  ,L18318
5s.7p,3P*,2,5,,127254.067,,0.007,, 100                             ,L18318
5s.7p,1P*,1,3,,127573.319,,0.010,,  90         :     9        3P*  ,L18318
5s.8s,3S,1,3,,133072.511,,0.007,, 100                             ,L18318
5s.8s,1S,0,1,,133554.382,,0.014,,  98                             ,L18318
5s.5f,3F*,2,5,,133940.74,,0.04,, 100                             ,L18318
5s.5f,3F*,3,7,,133944.72,,0.06,, 100                             ,L18318
5s.5f,3F*,4,9,,133960.87,,0.03,, 100                             ,L18318
5s.5f,1F*,3,7,,133984.85,,0.06,, 100                             ,L18318
"5s<1/2,F=4>.5g",,,7,,134512.23,,0.06,,                                 ,L18318
"5s<1/2,F=5>.5g",,,11,,134516.14,,0.06,,                                 ,L18318
5s.7d,3D,1,3,,134726.488,,0.010,, 100                             ,L18318
5s.7d,3D,2,5,,134744.019,,0.009,, 100                             ,L18318
5s.7d,3D,3,7,,134771.897,,0.009,, 100                             ,L18318
5s.7d,1D,2,5,,135400.325,,0.010,,  95                             ,L18318
5s.8p,3P*,0,1,[,135823,],11,, 100                             ,L18318
5s.8p,3P*,1,3,,135861.62,,0.05,,  86         :    14        1P*  ,L18318
5s.8p,3P*,2,5,,135999.37,,0.23,, 100                             ,L18318
5s.8p,1P*,1,3,,136096.93,,0.09,,  85         :    14        3P*  ,L18318
5s.9s,3S,1,3,,139137.055,,0.023,, 100                             ,L18318
5s.9s,1S,0,1,,139387.30,,0.05,,  99                             ,L18318
5s.6f,3F*,2,5,,139549.42,,0.10,, 100                             ,L18318
5s.6f,3F*,3,7,,139552.75,,0.07,, 100                             ,L18318
5s.6f,3F*,4,9,,139567.37,,0.14,, 100                             ,L18318
5s.6f,1F*,3,7,,139586.14,,0.09,, 100                             ,L18318
"5s<1/2,F=4>.6g",,,7,,139921.76,,0.07,,                                 ,L18318
"5s<1/2,F=5>.6g",,,11,,139925.47,,0.07,,                                 ,L18318
"5s<1/2,F=4>.6h",,,9,[,139980,],3,,                                 ,L18318
"5s<1/2,F=5>.6h",,,11,[,139984,],3,,                                 ,L18318
5s.8d,3D,1,3,,140082.23,,0.03,, 100                             ,L18318
5s.8d,3D,2,5,,140092.64,,0.04,, 100                             ,L18318
5s.8d,3D,3,7,,140109.05,,0.05,, 100                             ,L18318
5s.8d,1D,2,5,,140408.36,,0.05,,  97                             ,L18318
5s.9p,3P*,0,1,[,140716,],17,, 100                             ,L18318
5s.9p,3P*,1,3,,140734.59,,0.05,,  85         :    15        1P*  ,L18318
5s.9p,3P*,2,5,,140822.48,,0.18,, 100                             ,L18318
5s.9p,1P*,1,3,,140845.00,,0.04,,  84         :    15        3P*  ,L18318
5s.10s,3S,1,3,,142708.324,,0.025,, 100                             ,L18318
5s.10s,1S,0,1,,142856.86,,0.03,,  99                             ,L18318
5s.7f,3F*,2,5,,142927.81,,0.03,, 100                             ,L18318
5s.7f,3F*,3,7,,142930.22,,0.05,, 100                             ,L18318
5s.7f,3F*,4,9,,142943.23,,0.15,, 100                             ,L18318
5s.7f,1F*,3,7,,142959.77,,0.09,, 100                             ,L18318
"5s<1/2,F=4>.7g",,,7,,143183.87,,0.05,,                                 ,L18318
"5s<1/2,F=5>.7g",,,11,,143187.43,,0.05,,                                 ,L18318
"5s<1/2,F=4>.7h",,,9,[,143222.8,],1.0,,                                 ,L18318
"5s<1/2,F=5>.7h",,,11,[,143226.3,],1.0,,                                 ,L18318
5s.9d,3D,1,3,,143298.47,,0.04,, 100                             ,L18318
5s.9d,3D,2,5,,143305.21,,0.03,, 100                             ,L18318
5s.9d,3D,3,7,,143315.78,,0.14,, 100                             ,L18318
5s.9d,1D,2,5,,143483.89,,0.07,,  97                             ,L18318
5s.10p,3P*,0,1,[,143676,],17,, 100                             ,L18318
5s.10p,3P*,1,3,,143706.54,,0.08,,  88                             ,L18318
5s.10p,3P*,2,5,,143740.9,,0.3,, 100                             ,L18318
5s.10p,1P*,1,3,,143763.10,,0.08,,  87                             ,L18318
5s.11s,3S,1,3,,144989.99,,0.04,, 100                             ,L18318
5s.11s,1S,0,1,,145086.25,,0.04,,  99                             ,L18318
5s.8f,3F*,2,5,,145115.79,,0.13,, 100                             ,L18318
5s.8f,3F*,3,7,,145117.59,,0.11,, 100                             ,L18318
5s.8f,3F*,4,9,,145129.44,,0.20,, 100                             ,L18318
5s.8f,1F*,3,7,,145144.45,,0.11,, 100                             ,L18318
"5s<1/2,F=4>.8g",,,7,,145300.34,,0.04,,                                 ,L18318
"5s<1/2,F=5>.8g",,,11,,145303.91,,0.04,,                                 ,L18318
"5s<1/2,F=4>.8h",,,9,,145326.55,,0.21,,                                 ,L18318
"5s<1/2,F=5>.8h",,,11,,145330.18,,0.21,,                                 ,L18318
5s.10d,3D,1,3,,145382.99,,0.04,, 100                             ,L18318
5s.10d,3D,2,5,,145387.70,,0.06,, 100                             ,L18318
5s.10d,3D,3,7,,145394.94,,0.04,, 100                             ,L18318
5s.10d,1D,2,5,,145499.56,,0.07,,  98                             ,L18318
5s.11p,3P*,1,3,,145655.81,,0.18,,                                 ,L18318
5s.11p,1P*,1,3,,145683.72,,0.14,,                                 ,L18318
5s.12s,3S,1,3,,146537.16,,0.04,, 100                             ,L18318
5s.12s,1S,0,1,,146602.97,,0.05,,  99                             ,L18318
5s.9f,3F*,3,7,,146612.28,,0.11,, 100                             ,L18318
5s.9f,3F*,2,5,,146614.22,,0.04,, 100                             ,L18318
5s.9f,3F*,4,9,,146624.75,,0.15,, 100                             ,L18318
5s.9f,1F*,3,7,,146638.37,,0.13,, 100                             ,L18318
"5s<1/2,F=4>.9g",,,7,,146750.53,,0.05,,                                 ,L18318
"5s<1/2,F=5>.9g",,,11,,146754.16,,0.04,,                                 ,L18318
"5s<1/2,F=4>.9h",,,9,,146769.69,,0.15,,                                 ,L18318
"5s<1/2,F=5>.9h",,,11,,146773.23,,0.15,,                                 ,L18318
5s.11d,3D,1,3,,146812.50,,0.09,,                                 ,L18318
5s.11d,3D,2,5,,146815.24,,0.09,,                                 ,L18318
5s.11d,3D,3,7,,146820.60,,0.13,,                                 ,L18318
5s.11d,1D,2,5,,146890.14,,0.11,,                                 ,L18318
5s.12p,1P*,1,3,[,147016,],10,,                                 ,L18318
5s.13s,3S,1,3,,147634.61,,0.06,, 100                             ,L18318
5s.10f,3F*,3,7,,147680.47,,0.13,, 100                             ,L18318
5s.10f,3F*,2,5,,147682.61,,0.14,, 100                             ,L18318
5s.10f,3F*,4,9,,147691.91,,0.14,, 100                             ,L18318
5s.13s,1S,0,1,,147681.43,,0.07,,  99                             ,L18318
5s.10f,1F*,3,7,,147704.35,,0.16,, 100                             ,L18318
"5s<1/2,F=4>.10g",,,7,,147787.35,,0.05,,                                 ,L18318
"5s<1/2,F=5>.10g",,,11,,147790.88,,0.06,,                                 ,L18318
"5s<1/2,F=4>.10h",,,9,,147801.67,,0.20,,                                 ,L18318
"5s<1/2,F=5>.10h",,,11,,147804.99,,0.20,,                                 ,L18318
5s.12d,3D,1,3,,147833.52,,0.08,,                                 ,L18318
5s.12d,3D,2,5,,147836.29,,0.17,,                                 ,L18318
5s.12d,3D,3,7,,147840.27,,0.19,,                                 ,L18318
5s.12d,1D,2,5,,147888.97,,0.14,,                                 ,L18318
5s.14s,3S,1,3,,148440.88,,0.07,, 100                             ,L18318
5s.11f,3F*,3,7,,148468.39,,0.14,,                                 ,L18318
5s.11f,3F*,2,5,,148472.06,,0.13,,                                 ,L18318
5s.11f,3F*,4,9,,148479.98,,0.14,,                                 ,L18318
5s.14s,1S,0,1,[,148475.56,],0.22,,  99                             ,L18318
5s.11f,1F*,3,7,,148491.51,,0.14,,                                 ,L18318
"5s<1/2,F=4>.11g",,,7,,148554.36,,0.07,,                                 ,L18318
"5s<1/2,F=5>.11g",,,11,,148557.89,,0.08,,                                 ,L18318
"5s<1/2,F=4>.11h",,,9,,148565.16,,0.21,,                                 ,L18318
"5s<1/2,F=5>.11h",,,11,,148568.78,,0.21,,                                 ,L18318
5s.13d,3D,1,3,,148589.72,,0.20,,                                 ,L18318
5s.13d,3D,2,5,,148592.29,,0.18,,                                 ,L18318
5s.13d,3D,3,7,,148595.76,,0.20,,                                 ,L18318
5s.13d,1D,2,5,,148630.83,,0.17,,                                 ,L18318
5s.15s,3S,1,3,,149050.95,,0.08,, 100                             ,L18318
5s.12f,3F*,3,7,,149067.58,,0.24,,                                 ,L18318
5s.12f,3F*,2,5,,149070.69,,0.20,,                                 ,L18318
5s.12f,3F*,4,9,,149078.76,,0.20,,                                 ,L18318
5s.15s,1S,0,1,,149077.3,,0.3,,  99                             ,L18318
5s.12f,1F*,3,7,,149088.88,,0.20,,                                 ,L18318
"5s<1/2,F=4>.12g",,,7,,149137.36,,0.10,,                                 ,L18318
"5s<1/2,F=5>.12g",,,11,,149140.89,,0.12,,                                 ,L18318
"5s<1/2,F=4>.12h",,,9,,149145.95,,0.16,,                                 ,L18318
"5s<1/2,F=5>.12h",,,11,,149149.57,,0.16,,                                 ,L18318
5s.14d,3D,1,3,,149165.33,,0.17,,                                 ,L18318
5s.14d,3D,2,5,,149168.03,,0.25,,                                 ,L18318
5s.14d,3D,3,7,,149170.15,,0.18,,                                 ,L18318
5s.14d,1D,2,5,[,149196.30,],0.22,,                                 ,L18318
5s.16s,3S,1,3,,149523.97,,0.17,, 100                             ,L18318
5s.16s,1S,0,1,,149544.20,,0.20,,  99                             ,L18318
"5s<1/2,F=4>.13g",,,7,,149590.82,,0.12,,                                 ,L18318
"5s<1/2,F=5>.13g",,,11,,149594.31,,0.12,,                                 ,L18318
"5s<1/2,F=4>.13h",,,9,,149597.77,,0.12,,                                 ,L18318
"5s<1/2,F=5>.13h",,,11,,149601.39,,0.12,,                                 ,L18318
5s.15d,3D,1,3,[,149614.22,],0.22,,                                 ,L18318
5s.15d,3D,2,5,,149614.68,,0.20,,                                 ,L18318
5s.15d,3D,3,7,,149617.48,,0.18,,                                 ,L18318
5s.15d,1D,2,5,,149638.1,,0.3,,                                 ,L18318
5s.17s,3S,1,3,,149897.11,,0.20,, 100                             ,L18318
5s.17s,1S,0,1,[,149913.51,],0.22,,  99                             ,L18318
"5s<1/2,F=4>.14g",,,7,,149950.61,,0.08,,                                 ,L18318
"5s<1/2,F=5>.14g",,,11,,149954.09,,0.07,,                                 ,L18318
"5s<1/2,F=4>.14h",,,9,,149956.21,,0.12,,                                 ,L18318
"5s<1/2,F=5>.14h",,,11,,149959.83,,0.12,,                                 ,L18318
5s.16d,3D,1,3,,149968.7,,0.4,,                                 ,L18318
5s.16d,3D,2,5,,149971.5,,0.3,,                                 ,L18318
5s.16d,3D,3,7,,149972.30,,0.20,,                                 ,L18318
5s.16d,1D,2,5,[,149988.21,],0.22,,                                 ,L18318
5s.18s,3S,1,3,[,150198.20,],0.22,, 100                             ,L18318
5s.18s,1S,0,1,[,150210.90,],0.22,,  99                             ,L18318
5s.17d,3D,1,3,,150258.0,,0.5,,                                 ,L18318
5s.17d,3D,2,5,,150258.0,,0.5,,                                 ,L18318
5s.17d,3D,3,7,[,150258.68,],0.22,,                                 ,L18318
5s.17d,1D,2,5,,150271.9,,0.3,,                                 ,L18318
5s.19s,3S,1,3,[,150443.52,],0.22,, 100                             ,L18318
5s.19s,1S,0,1,[,150453.83,],0.22,,  99                             ,L18318
5s.18d,3D,1,3,,150491.1,,0.3,,                                 ,L18318
5s.18d,3D,2,5,,150493.5,,0.4,,                                 ,L18318
5s.18d,3D,3,7,,150493.5,,0.3,,                                 ,L18318
5s.18d,1D,2,5,[,150503.81,],0.22,,                                 ,L18318
5s.19d,3D,1,3,[,150686.56,],0.22,,                                 ,L18318
5s.19d,3D,2,5,[,150687.03,],0.22,,                                 ,L18318
5s.19d,3D,3,7,,150687.8,,0.3,,                                 ,L18318
In III (5s 2S<1/2>),Limit,---,,,152200.10,,0.22,,                                 ,L18318
