Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d5.(6S).4s,a 7S,3,7,,0.000,,,1.992,                                         ,"L7185,L562"
3d5.(6S).4s,a 5S,2,5,,9472.993,,0.007,2.006,                                         ,"L7185,L562"
3d6,a 5D,4,9,,14325.866,,0.008,1.49,                                         ,"L7185,L562"
3d6,a 5D,3,7,,14593.835,,0.005,1.487,                                         ,"L7185,L562"
3d6,a 5D,2,5,,14781.205,,0.005,1.501,                                         ,"L7185,L562"
3d6,a 5D,1,3,,14901.203,,0.005,1.495,                                         ,"L7185,L562"
3d6,a 5D,0,1,,14959.876,,0.014,,                                         ,"L7185,L562"
3d5.(4G).4s,a 5G,6,13,,27547.26,,0.04,1.349,                                         ,"L7185,L562"
3d5.(4G).4s,a 5G,5,11,,27571.25,,0.03,1.274,                                         ,"L7185,L562"
3d5.(4G).4s,a 5G,4,9,,27583.59,,0.03,1.16,                                         ,"L7185,L562"
3d5.(4G).4s,a 5G,3,7,,27588.53,,0.03,0.98,                                         ,"L7185,L562"
3d5.(4G).4s,a 5G,2,5,,27589.36,,0.04,0.34,                                         ,"L7185,L562"
3d6,a 3P,2,5,,29869.42,,0.04,1.497,                                         ,"L7185,L562"
3d6,a 3P,1,3,,30684.96,,0.05,1.48,                                         ,"L7185,L562"
3d6,a 3P,0,1,,31022.20,,0.07,,                                         ,"L7185,L562"
3d5.(4P).4s,a 5P,3,7,,29889.534,,0.006,1.652,                                         ,"L7185,L562"
3d5.(4P).4s,a 5P,2,5,,29919.444,,0.006,1.813,                                         ,"L7185,L562"
3d5.(4P).4s,a 5P,1,3,,29951.434,,0.007,2.475,                                         ,"L7185,L562"
3d6,a 3H,6,13,,30523.71,,0.05,1.141,                                         ,"L7185,L562"
3d6,a 3H,5,11,,30679.51,,0.04,1.03,                                         ,"L7185,L562"
3d6,a 3H,4,9,,30796.06,,0.06,0.80,                                         ,"L7185,L562"
3d6,a 3F,4,9,,31514.71,,0.03,1.25,                                         ,"L7185,L562"
3d6,a 3F,3,7,,31662.04,,0.04,1.066,                                         ,"L7185,L562"
3d6,a 3F,2,5,,31761.21,,0.04,0.66,                                         ,"L7185,L562"
3d5.(4D).4s,b 5D,4,9,,32787.90,,0.02,1.497,                                         ,"L7185,L562"
3d5.(4D).4s,b 5D,0,1,,32818.44,,0.04,,                                         ,"L7185,L562"
3d5.(4D).4s,b 5D,1,3,,32836.74,,0.02,1.507,                                         ,"L7185,L562"
3d5.(4D).4s,b 5D,3,7,,32857.27,,0.03,1.515,                                         ,"L7185,L562"
3d5.(4D).4s,b 5D,2,5,,32859.15,,0.02,1.497,                                         ,"L7185,L562"
3d5.(4G).4s,a 3G,5,11,,33147.71,,0.02,1.202,  57         :    42  3d6           3G   ,"L7185,L562"
3d5.(4G).4s,a 3G,4,9,,33248.66,,0.03,1.054,  64         :    34  3d6           3G   ,"L7185,L562"
3d5.(4G).4s,a 3G,3,7,,33278.73,,0.02,0.746,  68         :    31  3d6           3G   ,"L7185,L562"
3d6,b 3G,5,11,,34762.098,,0.019,1.204,  56         :    43  3d5.(4G).4s   3G   ,"L7185,L562"
3d6,b 3G,4,9,,34910.77,,0.02,1.054,  63         :    36  3d5.(4G).4s   3G   ,"L7185,L562"
3d6,b 3G,3,7,,35004.79,,0.02,0.745,  67         :    32  3d5.(4G).4s   3G   ,"L7185,L562"
3d5.(4P).4s,b 3P,2,5,,36274.62,,0.02,1.463,                                         ,"L7185,L562"
3d5.(4P).4s,b 3P,1,3,,36364.64,,0.02,1.474,                                         ,"L7185,L562"
3d5.(4P).4s,b 3P,0,1,,36428.22,,0.03,,                                         ,"L7185,L562"
3d6,a 3D,1,3,,37811.88,,0.03,0.524,                                         ,"L7185,L562"
3d6,a 3D,2,5,,37848.225,,0.017,1.15,                                         ,"L7185,L562"
3d6,a 3D,3,7,,37851.49,,0.02,1.37,                                         ,"L7185,L562"
3d5.(6S).4p,z 7P*,2,5,,38366.232,,0.003,2.315, 100                                     ,"L7185,L562"
3d5.(6S).4p,z 7P*,3,7,,38543.122,,0.003,1.923, 100                                     ,"L7185,L562"
3d5.(6S).4p,z 7P*,4,9,,38806.691,,0.003,1.740, 100                                     ,"L7185,L562"
3d6,a 1I,6,13,,38720.26,,0.06,1.022,                                         ,"L7185,L562"
3d6,a 1G,4,9,,38901.88,,0.07,0.96,                                         ,"L7185,L562"
3d5.(4D).4s,b 3D,3,7,,39808.492,,0.017,1.34,                                         ,"L7185,L562"
3d5.(4D).4s,b 3D,2,5,,39813.76,,0.02,1.15,                                         ,"L7185,L562"
3d5.(4D).4s,b 3D,1,3,,39826.91,,0.02,0.518,                                         ,"L7185,L562"
3d6,a 1S,0,1,,40759.62,,0.17,,                                         ,"L7185,L562"
3d5.(2I).4s,a 3I,7,15,,41182.62,,0.05,1.133,                                         ,"L7185,L562"
3d5.(2I).4s,a 3I,6,13,,41190.53,,0.03,1.025,                                         ,"L7185,L562"
3d5.(2I).4s,a 3I,5,11,,41204.38,,0.03,0.849,                                         ,"L7185,L562"
3d6,a 1D,2,5,,43131.51,,0.03,1.01,                                         ,"L7185,L562"
