Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
2s2.2p6,1S,0,1,,0.00,,2.,                                                ,L13237
2s2.2p5.3s,3P*,2,5,,264924.32,,0.10, 100     or  :   100  2p5.(2P*<3/2>).3s 2[3/2]* ,
2s2.2p5.3s,3P*,1,3,,265689.62,,0.10,  96     or  :    55  2p5.(2P*<3/2>).3s 2[3/2]* ,
2s2.2p5.3s,3P*,0,1,,266281.62,,0.10, 100     or  :   100  2p5.(2P*<1/2>).3s 2[1/2]* ,
2s2.2p5.3s,1P*,1,3,,268762.96,,0.10,  96     or  :    55  2p5.(2P*<1/2>).3s 2[1/2]* ,
2s2.2p5.3p,3S,1,3,,293220.33,,0.10,  99     or  :    75  2p5.(2P*<3/2>).3p 2[1/2]  ,
2s2.2p5.3p,3D,3,7,,297248.82,,0.10, 100     or  :   100  2p5.(2P*<3/2>).3p 2[5/2]  ,
2s2.2p5.3p,3D,2,5,,297635.61,,0.10,  88     or  :    70  2p5.(2P*<3/2>).3p 2[5/2]  ,
2s2.2p5.3p,3D,1,3,,298165.44,,0.10,  91     or  :    56  2p5.(2P*<1/2>).3p 2[3/2]  ,
2s2.2p5.3p,1D,2,5,,299189.96,,0.10,  65     or  :    61  2p5.(2P*<3/2>).3p 2[3/2]  ,
2s2.2p5.3p,1P,1,3,,299885.37,,0.10,  60     or  :    56  2p5.(2P*<3/2>).3p 2[3/2]  ,
2s2.2p5.3p,3P,2,5,,300103.92,,0.10,  67     or  :    68  2p5.(2P*<1/2>).3p 2[3/2]  ,
2s2.2p5.3p,3P,0,1,,300387.82,,0.10, 100     or  :    60  2p5.(2P*<1/2>).3p 2[1/2]  ,
2s2.2p5.3p,3P,1,3,,300507.11,,0.10,  66     or  :    75  2p5.(2P*<1/2>).3p 2[1/2]  ,
2s2.2p5.3p,1S,0,1,,308860.80,,0.10, 100     or  :    60  2p5.(2P*<3/2>).3p 2[1/2]  ,
2s2.2p5.(2P*<3/2>).3d,2[1/2]*,0,1,,330549.35,,0.10,  97     or  :    97  2p5.3d            3P*     ,
2s2.2p5.(2P*<3/2>).3d,2[1/2]*,1,3,,330636.75,,0.10,  74     or  :    89  2p5.3d            3P*     ,
2s2.2p5.(2P*<3/2>).3d,2[3/2]*,2,5,,330789.05,,0.10,  56     or  :    61  2p5.3d            3P*     ,
2s2.2p5.(2P*<3/2>).3d,2[3/2]*,1,3,,331745.06,,0.10,  52     or  :    59  2p5.3d            1P*     ,
2s2.2p5.(2P*<3/2>).3d,2[7/2]*,4,9,,331123.04,,0.10, 100     or  :   100  2p5.3d            3F*     ,
2s2.2p5.(2P*<3/2>).3d,2[7/2]*,3,7,,331186.70,,0.10,  99     or  :    53  2p5.3d            3F*     ,
2s2.2p5.(2P*<3/2>).4s,2[3/2]*,2,5,,331496.51,,0.10,  68     or  :    68  2p5.4s            3P*     ,
2s2.2p5.(2P*<3/2>).4s,2[3/2]*,1,3,,331873.93,,0.10,  63     or  :    48  2p5.4s            3P*     ,
2s2.2p5.(2P*<3/2>).3d,2[5/2]*,2,5,,331665.59,,0.10,  88     or  :    57  2p5.3d            3F*     ,
2s2.2p5.(2P*<3/2>).3d,2[5/2]*,3,7,,331707.90,,0.10,  89     or  :    46  2p5.3d            3D*     ,
2s2.2p5.(2P*<1/2>).4s,2[1/2]*,0,1,,332710.11,,0.10,  97     or  :    97  2p5.4s            3P*     ,
2s2.2p5.(2P*<1/2>).4s,2[1/2]*,1,3,,333107.74,,0.10,  79     or  :    58  2p5.4s            1P*     ,
2s2.2p5.(2P*<1/2>).3d,2[5/2]*,2,5,,332802.21,,0.10,  88     or  :    43  2p5.3d            3F*     ,
