Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f4.(5I).6s,6I,7/2,8,,0.000,,,0.445,"  98                or  :                  (5I<4>) (4,1/2) ",L3974
4f4.(5I).6s,6I,9/2,10,,513.330,,,0.805,"  70                or  :                  (5I<4>) (4,1/2) ",
4f4.(5I).6s,6I,11/2,12,,1470.105,,,1.025,"  80                or  :                  (5I<5>) (5,1/2) ",
4f4.(5I).6s,6I,13/2,14,,2585.460,,,1.150,"  87                or  :                  (5I<6>) (6,1/2) ",
4f4.(5I).6s,6I,15/2,16,,3801.930,,,1.235,"  93                or  :                  (5I<7>) (7,1/2) ",
4f4.(5I).6s,6I,17/2,18,,5085.640,,,1.295,"  97                or  :                  (5I<8>) (8,1/2) ",
4f4.(5I).6s,4I,9/2,10,,1650.205,,,0.755,"  70                or  :                  (5I<5>) (5,1/2) ",
4f4.(5I).6s,4I,11/2,12,,3066.755,,,0.980,"  80                or  :                  (5I<6>) (6,1/2) ",
4f4.(5I).6s,4I,13/2,14,,4512.495,,,1.110,"  87                or  :                  (5I<7>) (7,1/2) ",
4f4.(5I).6s,4I,15/2,16,,5985.580,,,1.205,"  92                or  :                  (5I<8>) (8,1/2) ",
4f4.(5I).5d,6L,11/2,12,,4437.560,,,0.620,  96                    :     1            (3H4) 4K        ,
4f4.(5I).5d,6L,13/2,14,,5487.655,,,0.850,  97                    :     1            (3H4) 4K        ,
4f4.(5I).5d,6L,15/2,16,,6637.430,,,1.000,  98                    :     1            (5I) 6K         ,
4f4.(5I).5d,6L,17/2,18,,7868.910,,,1.110,  98                    :     1            (3K2) 4M        ,
4f4.(5I).5d,6L,19/2,20,,9166.210,,,1.180,  98                    :     1            (3K2) 4M        ,
4f4.(5I).5d,6L,21/2,22,,10516.790,,,1.240,  97                    :     2            (3K2) 4M        ,
4f4.(5I).5d,6K,9/2,10,,6005.270,,,0.550,  95                    :     2            (5I) 4I         ,
4f4.(5I).5d,6K,11/2,12,,6931.800,,,0.840,  96                    :     1            (5I) 4I         ,
4f4.(5I).5d,6K,13/2,14,,7950.075,,,1.015,  96                    :     1            (5I) 6I         ,
4f4.(5I).5d,6K,15/2,16,,9042.760,,,1.130,  96                    :     1            (5I) 4L         ,
4f4.(5I).5d,6K,17/2,18,,10194.805,,,1.200,  95                    :     2            (5I) 4L         ,
4f4.(5I).5d,6K,19/2,20,,11392.190,,,1.250,  93                    :     3            (5I) 4L         ,
4f4.(5I).5d,6I,7/2,8,,7524.735,,,0.480,  82                    :    13            (5I) 4H         ,
4f4.(5I).5d,6I,9/2,10,,8420.320,,,0.840,  90                    :     6            (5I) 4H         ,
4f4.(5I).5d,6I,11/2,12,,9357.910,,,1.035,  93                    :     1            (5G) 6I         ,
4f4.(5I).5d,6I,13/2,14,,10337.100,,,1.140,  92                    :     2            (5I) 4K         ,
4f4.(5I).5d,6I,15/2,16,,11373.475,,,1.230,  90                    :     4            (5I) 4K         ,
4f4.(5I).5d,6I,17/2,18,,12459.995,,,1.280,  88                    :     5            (5I) 4K         ,
4f3.(4I*).5d2.(3F),6M*,13/2,14,,8009.810,,,0.675,  95                    :     1  4f3.5d.6s                 ,
4f3.(4I*).5d2.(3F),6M*,15/2,16,,9448.185,,,0.865,  97                                                       ,
4f3.(4I*).5d2.(3F),6M*,17/2,18,,10980.540,,,0.990,  98                                                       ,
4f3.(4I*).5d2.(3F),6M*,19/2,20,,12600.805,,,1.090,  98                                                       ,
4f3.(4I*).5d2.(3F),6M*,21/2,22,,14299.295,,,1.160,  99                                                       ,
4f3.(4I*).5d2.(3F),6M*,23/2,24,,16064.085,,,1.220, 100                                                       ,
4f4.(5I).5d,6G,3/2,4,,8716.445,,,0.010,  91                    :     5            (5F) 6G         ,
4f4.(5I).5d,6G,5/2,6,,8796.365,,,0.760,  58                    :    30            (5I) 4G         ,
4f4.(5I).5d,6G,7/2,8,,9198.395,,,0.925,  40                    :    26            (5I) 4H         ,
4f4.(5I).5d,6G,9/2,10,,10883.250,,,1.140,  43                    :    23            (5I) 4H         ,
4f4.(5I).5d,6G,11/2,12,,12021.340,,,1.157,  40                    :    19            (5I) 6H         ,
