Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
2s2.2p5,2P*,3/2,4,,0.0000,,0, 100                                                              ,L9088
2s2.2p5,2P*,1/2,2,,780.4240,,0.002, 100                                                              ,L9088
2s.2p6,2S,1/2,2,,217047.598,,0.09,  98                                                              ,L9088
2s2.2p4.(3P).3s,4P,5/2,6,,219130.7609,,0.0011, 100                                                              ,L9088
2s2.2p4.(3P).3s,4P,3/2,4,,219648.4248,,0.005, 100                                                              ,L9088
2s2.2p4.(3P).3s,4P,1/2,2,,219947.4453,,0.0011, 100                                                              ,L9088
2s2.2p4.(3P).3s,2P,3/2,4,,224087.0092,,0.0013, 100                                                              ,L9088
2s2.2p4.(3P).3s,2P,1/2,2,,224699.2716,,0.0014, 100                                                              ,L9088
2s2.2p4.(3P).3p,4P*,5/2,6,,246192.4130,,0.0014,  99                                                              ,L9088
2s2.2p4.(3P).3p,4P*,3/2,4,,246415.0144,,0.0011,  99                                                              ,L9088
2s2.2p4.(3P).3p,4P*,1/2,2,,246597.6805,,0.0012, 100                                                              ,L9088
2s2.2p4.(1D).3s,2D,5/2,6,,246394.1202,,0.0015, 100                                                              ,L9088
2s2.2p4.(1D).3s,2D,3/2,4,,246397.4810,,0.002, 100                                                              ,L9088
2s2.2p4.(3P).3p,4D*,7/2,8,,249108.6138,,0.0014, 100                                                              ,L9088
2s2.2p4.(3P).3p,4D*,5/2,6,,249445.9632,,0.0012,  98                                                              ,L9088
2s2.2p4.(3P).3p,4D*,3/2,4,,249695.5051,,0.0013,  99                                                              ,L9088
2s2.2p4.(3P).3p,4D*,1/2,2,,249839.6186,,0.0014, 100                                                              ,L9088
2s2.2p4.(3P).3p,2D*,5/2,6,,251011.1511,,0.0015,  99                                                              ,L9088
2s2.2p4.(3P).3p,2D*,3/2,4,,251522.0967,,0.0015,  99                                                              ,L9088
2s2.2p4.(3P).3p,2S*,1/2,2,,252798.4654,,0.002,  93                            :     6  2s2.2p4.(3P).3p    2P*   ,L9088
2s2.2p4.(3P).3p,4S*,3/2,4,,252953.5198,,0.0013,  99                                                              ,L9088
2s2.2p4.(3P).3p,2P*,3/2,4,,254164.9888,,0.0014,  92                            :     6  2s2.2p4.(1D).3p    2P*   ,L9088
2s2.2p4.(3P).3p,2P*,1/2,2,,254292.1683,,0.0015,  86                            :     7  2s2.2p4.(1D).3p    2P*   ,L9088
2s2.2p4.(1D).3p,2F*,5/2,6,,274364.5596,,0.002, 100                                                              ,L9088
2s2.2p4.(1D).3p,2F*,7/2,8,,274409.0830,,0.002, 100                                                              ,L9088
2s2.2p4.(1D).3p,2P*,3/2,4,,276276.8361,,0.002,  89                            :     5  2s2.2p4.(3P).3p    2P*   ,L9088
2s2.2p4.(1D).3p,2P*,1/2,2,,276511.800,,0.003,  89                            :     6  2s2.2p4.(3P).3p    2P*   ,L9088
2s2.2p4.(1S).3s,2S,1/2,2,,276677.1142,,0.003,  97                                                              ,L9088
2s2.2p4.(1D).3p,2D*,3/2,4,,277325.5757,,0.003, 100                                                              ,L9088
