Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3p6.3d9,2D,5/2,6,,0.00,,,,                                                     ,L7185
3p6.3d9,2D,3/2,4,,1506.94,,,,                                                     ,
3p6.3d8.(3F).4s,4F,9/2,10,,8393.90,,,1.355, 100                                                 ,
3p6.3d8.(3F).4s,4F,7/2,8,,9330.04,,,1.244,  98             :     2  3d8.(3F).4s          2F    ,
3p6.3d8.(3F).4s,4F,5/2,6,,10115.66,,,1.023,  99             :     1  3d8.(3F).4s          2F    ,
3p6.3d8.(3F).4s,4F,3/2,4,,10663.89,,,0.397,  99             :     1  3d8.(1D).4s          2D    ,
3p6.3d8.(3F).4s,2F,7/2,8,,13550.39,,,1.141,  98             :     2  3d8.(3F).4s          4F    ,
3p6.3d8.(3F).4s,2F,5/2,6,,14995.57,,,0.866,  98             :     1  3d8.(1D).4s          2D    ,
3p6.3d8.(3P).4s,4P,5/2,6,,23108.28,,,1.428,  54             :    46  3d8.(1D).4s          2D    ,
3p6.3d8.(3P).4s,4P,3/2,4,,24788.20,,,,  78             :    22  3d8.(1D).4s          2D    ,
3p6.3d8.(3P).4s,4P,1/2,2,,24835.93,,,2.667, 100                                                 ,
3p6.3d8.(1D).4s,2D,3/2,4,,23796.18,,,1.045,  75             :    22  3d8.(3P).4s          4P    ,
3p6.3d8.(1D).4s,2D,5/2,6,,25036.38,,,1.368,  53             :    46  3d8.(3P).4s          4P    ,
3p6.3d8.(3P).4s,2P,3/2,4,,29070.93,,,1.322,  97             :     3  3d8.(1D).4s          2D    ,
3p6.3d8.(3P).4s,2P,1/2,2,,29593.46,,,0.670, 100                                                 ,
3p6.3d8.(1G).4s,2G,9/2,10,,32499.53,,,1.135, 100                                                 ,
3p6.3d8.(1G).4s,2G,7/2,8,,32523.54,,,0.895,                                                     ,
3p6.3d7.4s2,4F,9/2,10,,51045.46,,,, 100                                                 ,
3p6.3d7.4s2,4F,7/2,8,,52205.95,,,, 100                                                 ,
3p6.3d7.4s2,4F,5/2,6,,53037.93,,,, 100                                                 ,
3p6.3d7.4s2,4F,3/2,4,,53601.19,,,, 100                                                 ,
