Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
6s2.6p,2P*,1/2,2,,0.000,,,,L2579
6s2.6p,2P*,3/2,4,,14081.074,,,1.33,L2579
6s.6p2,4P,1/2,2,,57910.48,,,,L2579
6s.6p2,4P,3/2,4,,66124.53,,,1.64,L2579
6s.6p2,4P,5/2,6,,73905.708,,,1.52,L2579
6s2.7s,2S,1/2,2,,59448.56,,,2.01,L2579
6s2.6d,2D,5/2,6,,68964.310,,,1.29,L2579
6s2.6d,2D,3/2,4,,69739.603,,,0.81,L2579
6s2.7p,2P*,1/2,2,,74458.99,,,0.60,L2579
6s2.7p,2P*,3/2,4,,77272.57,,,1.33,L2579
6s.6p2,2D,3/2,4,,83083,,,,L3466
6s.6p2,2D,5/2,6,,88972.16,,,,L2579
6s.6p2,2P,1/2,2,,88248,,,,L3466
6s.6p2,2P,3/2,4,,104669,,,,L3466
6s2.8s,2S,1/2,2,,89180.18,,,,L2579
6s2.5f,2F*,7/2,8,,92515.24,,,1.11,L2579
6s2.5f,2F*,5/2,6,,92530.66,,,0.84,L2579
6s2.7d,2D,3/2,4,,94284.58,,,0.80,L2579
6s2.7d,2D,5/2,6,,95304.25,,,1.18,L2579
6s2.8p,2P*,1/2,2,,95077,,,,L3466
6s2.8p,2P*,3/2,4,,96238,,,,L3466
6s2.9s,2S,1/2,2,,101346,,,1.96,L3466
6s2.6f,2F*,7/2,8,,102868,,,1.14,L3466
6s2.6f,2F*,5/2,6,,102881,,,0.83,L3466
6s2.8d,2D,3/2,4,,103394,,,0.76?,L3466
6s2.8d,2D,5/2,6,,104190,,,1.21,L3466
6s2.5g,2G,"7/2,9/2",18,,103559,,,,L3466
6s.6p2,2S,1/2,2,,104297,,,,L3466
6s2.9p,2P*,1/2,2,,104422,,,,L3466
6s2.9p,2P*,3/2,4,,105020,,,,L3466
6s2.10s,2S,1/2,2,,107930,,,,L3466
6s2.7f,2F*,7/2,8,,108529,,,,L3466
6s2.7f,2F*,5/2,6,,108538,,,,L3466
6s2.6g,2G,9/2,18,,108969.58,,,,L2579
6s2.6g,2G,7/2,8,,108969.67,,,,L2579
6s2.9d,2D,3/2,4,,109257,,,,L3466
6s2.9d,2D,5/2,6,,109336,,,,L3466
6s2.10p,2P*,1/2,2,,109500,,,,L3466
6s2.10p,2P*,3/2,4,,109851,,,,L3466
6s2.11s,2S,1/2,2,,111574,,,,L3466
6s2.8f,2F*,7/2,8,,111940,,,,L3466
6s2.8f,2F*,5/2,6,,111946,,,,L3466
6s2.7g,2G,"7/2,9/2",18,,112230,,,,L3466
6s2.10d,2D,3/2,4,,112409,,,,L3466
6s2.10d,2D,5/2,6,,112467,,,,L3466
6s2.11p,2P*,1/2,2,,112578,,,,L3466
6s2.11p,2P*,3/2,4,,112800,,,,L3466
6s2.12s,2S,1/2,2,,113912,,,,L3466
6s2.9f,2F*,7/2,8,,114145,,,,L3466
6s2.9f,2F*,5/2,6,,114150,,,,L3466
6s2.8g,2G,"7/2,9/2",18,,114346,,,,L3466
6s2.11d,2D,3/2,4,,114466,,,,L3466
6s2.11d,2D,5/2,6,,114507,,,,L3466
6s2.12p,2P*,1/2,2,,114585,,,,L3466
6s2.12p,2P*,3/2,4,,114735,,,,L3466
6s2.13s,2S,1/2,2,,115496,,,,L3466
6s2.10f,2F*,7/2,8,,115653,,,,L3466
6s2.10f,2F*,5/2,6,,115657,,,,L3466
6s2.9g,2G,"7/2,9/2",18,,115797,,,,L3466
6s2.12d,2D,3/2,4,,115885,,,,L3466
6s2.12d,2D,5/2,6,,115912,,,,L3466
6s2.13p,2P*,1/2,2,,115967,,,,L3466
6s2.13p,2P*,3/2,4,,116072,,,,L3466
6s2.14s,2S,1/2,2,,116615,,,,L3466
6s2.11f,2F*,7/2,8,,116728,,,,L3466
6s2.11f,2F*,5/2,6,,116730,,,,L3466
6s2.10g,2G,"7/2,9/2",18,,116833,,,,L3466
6s2.13d,2D,3/2,4,,116899,,,,L3466
6s2.13d,2D,5/2,6,,116920,,,,L3466
6s2.14p,2P*,3/2,4,,,,,,L3466
6s2.14p,2P*,1/2,2,,116958,,,,L3466
6s2.12f,2F*,7/2,8,,117520,,,,L3466
6s2.12f,2F*,5/2,6,,117522,,,,L3466
6s2.11g,2G,"7/2,9/2",18,,117600,,,,L3466
6s2.14d,2D,3/2,4,,117650,,,,L3466
6s2.14d,2D,5/2,6,,117666,,,,L3466
6s2.13f,2F*,7/2,8,,118121,,,,L3466
6s2.13f,2F*,5/2,6,,118122,,,,L3466
6s2.12g,2G,"7/2,9/2",18,,118183,,,,L3466
6s2.15d,2D,3/2,4,,118223,,,,L3466
6s2.15d,2D,5/2,6,,118235,,,,L3466
6s2.14f,2F*,5/2,6,,,,,,L3466
6s2.14f,2F*,7/2,8,,118588,,,,L3466
6s2.13g,2G,"7/2,9/2",18,,118637,,,,L3466
6s2.16d,2D,3/2,4,,118668,,,,L3466
6s2.16d,2D,5/2,6,,118679,,,,L3466
6s2.14g,2G,"7/2,9/2",18,,118996,,,,L3466
6s2.17d,2D,3/2,4,,119022,,,,L3466
6s2.17d,2D,5/2,6,,119031,,,,L3466
6s2.15g,2G,"7/2,9/2",18,,119286,,,,L3466
6s2.18d,2D,3/2,4,,,,,,L3466
6s2.18d,2D,5/2,6,,119315,,,,L3466
6s2.19d,2D,3/2,4,,,,,,L3466
6s2.19d,2D,5/2,6,,119548,,,,L3466
Pb III (6s2 1S<0>),Limit,---,,,121245.28,,0.06,,L15205
