Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4p6,1S,0,1,,0.000,,0.11,,                                  ,L9039
4p5.(2P*<3/2>).5s,2[3/2]*,2,5,,133341.607,,0.016,1.500,  96                              ,L9039
4p5.(2P*<3/2>).5s,2[3/2]*,1,3,,134869.751,,0.016,1.284,  91                              ,L9039
4p5.(2P*<1/2>).5s,2[1/2]*,0,1,,138794.380,,0.015,,  52                              ,L9039
4p5.(2P*<1/2>).5s,2[1/2]*,1,3,,140610.047,,0.01,1.292,  49                              ,L9039
4p5.4d,3P*,0,1,,143022.335,,0.01,,  52         :    48  4p5.5s 3P   ,L9039
4p5.4d,3P*,1,3,,143461.977,,0.016,1.406,  52         :    31  4p5.5s 3P   ,L9039
4p5.4d,3P*,2,5,,143955.871,,0.01,1.466,  89         :     5  4p5.4d 3D   ,L9039
4p5.4d,3F*,4,9,,145276.118,,0.01,, 100                              ,L9039
4p5.4d,3F*,3,7,,146832.593,,0.009,1.08,  86         :     9  4p5.4d 1F   ,L9039
4p5.4d,3F*,2,5,,148686.714,,0.014,0.77,  75         :    15  4p5.4d 1D   ,L9039
4p5.4d,3D*,3,7,,151877.03,,0.03,1.18,  56         :    44  4p5.4d 1F   ,L9039
4p5.4d,3D*,1,3,,155308.820,,0.012,0.55,  94         :     4  4p5.4d 1P   ,L9039
4p5.4d,3D*,2,5,,156561.61,,0.02,1.15,  56         :    36  4p5.4d 1D   ,L9039
4p5.(2P*<3/2>).5p,2[1/2],1,3,,154273.980,,0.009,1.924,  93                              ,L9039
4p5.(2P*<3/2>).5p,2[1/2],0,1,,161200.171,,0.014,,  90                              ,L9039
4p5.4d,1D*,2,5,,155063.53,,0.03,0.92,  46         :    29  4p5.4d 3D   ,L9039
4p5.(2P*<3/2>).5p,2[5/2],2,5,,156737.011,,0.01,1.123,  90                              ,L9039
4p5.(2P*<3/2>).5p,2[5/2],3,7,,156895.486,,0.008,1.336, 100                              ,L9039
4p5.4d,1F*,3,7,,157136.88,,0.03,1.14,  47         :    39  4p5.4d 3D   ,L9039
4p5.(2P*<3/2>).5p,2[3/2],1,3,,158151.666,,0.007,0.981,  97                              ,L9039
4p5.(2P*<3/2>).5p,2[3/2],2,5,,158711.854,,0.007,1.360,  90                              ,L9039
4p5.(2P*<1/2>).5p,2[3/2],1,3,,163924.55,,0.02,0.687,  95                              ,L9039
4p5.(2P*<1/2>).5p,2[3/2],2,5,,164968.007,,0.012,1.191,  99                              ,L9039
4p5.(2P*<1/2>).5p,2[1/2],1,3,,165089.580,,0.011,1.431,  91                              ,L9039
4p5.(2P*<1/2>).5p,2[1/2],0,1,,167632.436,,0.01,,  90                              ,L9039
4p5.4d,1P*,1,3,,169658.536,,0.009,1.00,  96         :     4  4p5.4d 3D   ,L9039
4p5.(2P*<3/2>).6s,2[3/2]*,2,5,,179735.123,,0.016,1.497,  99                              ,L9039
4p5.(2P*<3/2>).6s,2[3/2]*,1,3,,180168.372,,0.011,1.195,  99                              ,L9039
4p5.(2P*<3/2>).5d,2[1/2]*,0,1,,183737.59,,0.02,,  98                              ,L9039
4p5.(2P*<3/2>).5d,2[1/2]*,1,3,,184200.524,,0.013,1.381,  63                              ,L9039
4p5.(2P*<3/2>).5d,2[7/2]*,4,9,,184660.39,,0.02,1.2, 100                              ,L9039
4p5.(2P*<3/2>).5d,2[7/2]*,3,7,,185126.778,,0.012,1.081,  79                              ,L9039
4p5.(2P*<3/2>).5d,2[3/2]*,2,5,,184836.897,,0.011,1.355,  97                              ,L9039
4p5.(2P*<3/2>).5d,2[3/2]*,1,3,,188617.702,,0.009,0.723,  55                              ,L9039
4p5.(2P*<3/2>).5d,2[5/2]*,2,5,,185617.909,,0.011,0.959,  99                              ,L9039
4p5.(2P*<3/2>).5d,2[5/2]*,3,7,,186006.150,,0.011,1.211,  79                              ,L9039
4p5.(2P*<3/2>).6p,2[1/2],1,3,,186978.932,,0.006,,  97                              ,L9039
4p5.(2P*<3/2>).6p,2[1/2],0,1,,189365.923,,0.011,,  99                              ,L9039
4p5.(2P*<1/2>).6s,2[1/2]*,0,1,,187140.03,,0.02,,  98                              ,L9039
4p5.(2P*<1/2>).6s,2[1/2]*,1,3,,187335.72,,0.03,1.321,  96                              ,L9039
4p5.(2P*<3/2>).6p,2[5/2],2,5,,187610.704,,0.005,,  88                              ,L9039
4p5.(2P*<3/2>).6p,2[5/2],3,7,,187671.267,,0.005,1.34, 100                              ,L9039
4p5.(2P*<3/2>).6p,2[3/2],1,3,,188095.292,,0.007,1.03,  98                              ,L9039
4p5.(2P*<3/2>).6p,2[3/2],2,5,,188282.884,,0.005,,  89                              ,L9039
4p5.(2P*<3/2>).4f,2[3/2],1,3,,191720.748,,0.01,0.50, 100                              ,L9039
4p5.(2P*<3/2>).4f,2[3/2],2,5,,191780.993,,0.007,1.12,  98                              ,L9039
4p5.(2P*<3/2>).4f,2[9/2],5,11,,191906.93,,0.11,, 100                              ,L9039
4p5.(2P*<3/2>).4f,2[9/2],4,9,,191922.912,,0.018,1.04, 100                              ,L9039
4p5.(2P*<3/2>).4f,2[5/2],3,7,,192111.172,,0.007,1.20, 100                              ,L9039
4p5.(2P*<3/2>).4f,2[5/2],2,5,,192174.269,,0.007,0.86,  97                              ,L9039
4p5.(2P*<1/2>).5d,2[5/2]*,2,5,,192232.61,,0.02,0.804,  99                              ,L9039
4p5.(2P*<1/2>).5d,2[5/2]*,3,7,,192733.21,,0.02,1.11,  99                              ,L9039
4p5.(2P*<3/2>).4f,2[7/2],3,7,,192308.877,,0.008,0.97, 100                              ,L9039
4p5.(2P*<3/2>).4f,2[7/2],4,9,,192314.573,,0.014,1.18, 100                              ,L9039
4p5.(2P*<1/2>).5d,2[3/2]*,2,5,,192375.84,,0.03,1.225,  98                              ,L9039
4p5.(2P*<1/2>).5d,2[3/2]*,1,3,,194830.71,,0.03,0.912,  81                              ,L9039
4p5.(2P*<1/2>).6p,2[1/2],1,3,,195156.85,,0.02,,  92                              ,L9039
4p5.(2P*<1/2>).6p,2[3/2],2,5,,195253.15,,0.02,, 100                              ,L9039
4p5.(2P*<3/2>).7s,2[3/2]*,2,5,,196499.50,,0.04,1.50, 100                              ,L9039
4p5.(2P*<3/2>).7s,2[3/2]*,1,3,,196682.28,,0.04,1.18, 100                              ,L9039
4p5.(2P*<3/2>).6d,2[1/2]*,0,1,,198438.786,,0.009,, 100                              ,L9039
4p5.(2P*<3/2>).6d,2[1/2]*,1,3,,198691.823,,0.007,1.31,  61                              ,L9039
4p5.(2P*<3/2>).6d,2[7/2]*,4,9,,198805.460,,0.01,1.28, 100                              ,L9039
4p5.(2P*<3/2>).6d,2[7/2]*,3,7,,199019.641,,0.007,1.10,  82                              ,L9039
4p5.(2P*<3/2>).6d,2[3/2]*,2,5,,198948.332,,0.007,1.33,  99                              ,L9039
4p5.(2P*<3/2>).6d,2[3/2]*,1,3,,201033.495,,0.011,0.848,  59                              ,L9039
4p5.(2P*<3/2>).6d,2[5/2]*,2,5,,199220.994,,0.006,0.98, 100                              ,L9039
4p5.(2P*<3/2>).6d,2[5/2]*,3,7,,199364.147,,0.006,1.24,  82                              ,L9039
4p5.(2P*<1/2>).4f,2[5/2],3,7,,199404.52,,0.02,1.17, 100                              ,L9039
4p5.(2P*<1/2>).4f,2[5/2],2,5,,199466.033,,0.01,0.88, 100                              ,L9039
4p5.(2P*<1/2>).4f,2[7/2],3,7,,199411.62,,0.02,0.87, 100                              ,L9039
4p5.(2P*<1/2>).4f,2[7/2],4,9,,199420.37,,0.02,1.11, 100                              ,L9039
4p5.(2P*<3/2>).5f,2[3/2],1,3,,201978.638,,0.018,,                                  ,L9039
4p5.(2P*<3/2>).5f,2[3/2],2,5,,202026.405,,0.010,1.10,                                  ,L9039
4p5.(2P*<3/2>).5f,2[9/2],5,11,,202078.24,,0.03,,                                  ,L9039
4p5.(2P*<3/2>).5f,2[9/2],4,9,,202091.132,,0.016,,                                  ,L9039
4p5.(2P*<3/2>).5f,2[5/2],3,7,,202201.982,,0.012,,                                  ,L9039
4p5.(2P*<3/2>).5f,2[5/2],2,5,,202246.199,,0.013,0.88,                                  ,L9039
4p5.(2P*<3/2>).5f,2[7/2],3,7,,202296.426,,0.017,,                                  ,L9039
4p5.(2P*<3/2>).5f,2[7/2],4,9,,202300.847,,0.016,,                                  ,L9039
4p5.(2P*<3/2>).5g,2[5/2]*,2,5,,202425.746,,0.007,,                                  ,L9039
4p5.(2P*<3/2>).5g,2[5/2]*,3,7,,202426.161,,0.008,,                                  ,L9039
4p5.(2P*<3/2>).5g,2[11/2]*,5,11,,202453.30,,0.02,,                                  ,L9039
4p5.(2P*<3/2>).5g,2[11/2]*,6,13,,202453.32,,0.11,,                                  ,L9039
4p5.(2P*<3/2>).5g,2[7/2]*,4,9,,202510.911,,0.010,,                                  ,L9039
4p5.(2P*<3/2>).5g,2[7/2]*,3,7,,202511.06,,0.006,,                                  ,L9039
4p5.(2P*<3/2>).5g,2[9/2]*,4,9,,202540.774,,0.010,,                                  ,L9039
4p5.(2P*<3/2>).5g,2[9/2]*,5,11,,202540.840,,0.014,,                                  ,L9039
4p5.(2P*<1/2>).7s,2[1/2]*,0,1,,203859.54,,0.06,, 100                              ,L9039
4p5.(2P*<1/2>).7s,2[1/2]*,1,3,,203938.09,,0.04,1.332, 100                              ,L9039
4p5.(2P*<3/2>).8s,2[3/2]*,2,5,,204582.161,,0.009,,                                  ,L9039
4p5.(2P*<3/2>).8s,2[3/2]*,1,3,,204693.695,,0.015,,                                  ,L9039
4p5.(2P*<1/2>).6d,2[5/2]*,2,5,,205680.350,,0.018,,  99                              ,L9039
4p5.(2P*<1/2>).6d,2[5/2]*,3,7,,205887.739,,0.012,, 100                              ,L9039
4p5.(2P*<1/2>).6d,2[3/2]*,2,5,,205735.373,,0.017,,  98                              ,L9039
4p5.(2P*<1/2>).6d,2[3/2]*,1,3,,207849.35,,0.02,,  93                              ,L9039
4p5.(2P*<3/2>).7d,2[7/2]*,4,9,,205845.937,,0.019,,                                  ,L9039
4p5.(2P*<3/2>).7d,2[7/2]*,3,7,,205964.962,,0.018,,                                  ,L9039
4p5.(2P*<3/2>).7d,2[5/2]*,3,7,,206133.811,,0.01,,                                  ,L9039
4p5.(2P*<3/2>).6f,2[3/2],1,3,,207433.02,,0.15,, 100                              ,L9039
4p5.(2P*<3/2>).6f,2[3/2],2,5,,207532.87,,0.03,,  94                              ,L9039
4p5.(2P*<3/2>).6f,2[9/2],5,11,,207615.57,,0.06,1.22, 100                              ,L9039
4p5.(2P*<3/2>).6f,2[9/2],4,9,,207624.43,,0.02,, 100                              ,L9039
4p5.(2P*<3/2>).6f,2[5/2],3,7,,207670.37,,0.02,, 100                              ,L9039
4p5.(2P*<3/2>).6f,2[5/2],2,5,,207688.72,,0.03,,  94                              ,L9039
4p5.(2P*<3/2>).6f,2[7/2],3,7,,207736.17,,0.02,, 100                              ,L9039
4p5.(2P*<3/2>).6f,2[7/2],4,9,,207739.71,,0.02,, 100                              ,L9039
4p5.(2P*<3/2>).6g,2[5/2]*,2,5,,207837.82,,0.03,,                                  ,L9039
4p5.(2P*<3/2>).6g,2[5/2]*,3,7,,207838.673,,0.015,,                                  ,L9039
4p5.(2P*<3/2>).6g,2[11/2]*,5,11,,207852.99,,0.02,,                                  ,L9039
4p5.(2P*<3/2>).6g,2[11/2]*,6,13,,207853.00,,0.11,,                                  ,L9039
4p5.(2P*<3/2>).6g,2[7/2]*,4,9,,207885.562,,0.014,,                                  ,L9039
4p5.(2P*<3/2>).6g,2[7/2]*,3,7,,207885.759,,0.014,,                                  ,L9039
4p5.(2P*<3/2>).6g,2[9/2]*,4,9,,207903.128,,0.014,,                                  ,L9039
4p5.(2P*<3/2>).6g,2[9/2]*,5,11,,207903.183,,0.018,,                                  ,L9039
4p5.(2P*<3/2>).9s,2[3/2]*,2,5,,209121.874,,0.014,,                                  ,L9039
4p5.(2P*<3/2>).9s,2[3/2]*,1,3,,209177.91,,0.020,,                                  ,L9039
4p5.(2P*<1/2>).5f,2[5/2],3,7,,209518.46,,0.03,,                                  ,L9039
4p5.(2P*<1/2>).5f,2[5/2],2,5,,209565.57,,0.03,0.91,                                  ,L9039
4p5.(2P*<1/2>).5f,2[7/2],3,7,,209522.64,,0.02,,                                  ,L9039
4p5.(2P*<1/2>).5f,2[7/2],4,9,,209529.68,,0.03,,                                  ,L9039
4p5.(2P*<1/2>).5g,2[9/2]*,4,9,,209858.79,,0.02,,                                  ,L9039
4p5.(2P*<1/2>).5g,2[9/2]*,5,11,,209858.92,,0.03,,                                  ,L9039
4p5.(2P*<1/2>).5g,2[7/2]*,4,9,,209859.91,,0.02,,                                  ,L9039
4p5.(2P*<1/2>).5g,2[7/2]*,3,7,,209860.375,,0.016,,                                  ,L9039
4p5.(2P*<3/2>).8d,2[7/2]*,4,9,,209883.87,,0.030,,                                  ,L9039
4p5.(2P*<3/2>).8d,2[7/2]*,3,7,,209945.847,,0.018,,                                  ,L9039
4p5.(2P*<3/2>).8d,2[5/2]*,3,7,,210054.124,,0.011,,                                  ,L9039
