Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d5.(6S).6s,a 7S,3,7,,0.0,,,2.05,L3466
5d4.6s2,a 5D,0,1,,13777.3,,,0,
5d4.6s2,a 5D,2,5,,14352.2,,,1.53,
5d4.6s2,a 5D,1,3,,14824.0,,,1.50,
5d4.6s2,a 5D,4,9,,14882.6,,,1.48,
5d4.6s2,a 5D,3,7,,14930.5,,,1.48,
5d5.(6S).6s,a 5S,2,5,,17223.5,,,1.71,
5d5.(4G).6s,a 5G,2,5,,18845.8,,,0.64,
5d5.(4G).6s,a 5G,3,7,,19139.7,,,1.12,
5d5.(4G).6s,a 5G,4,9,,20463.2,,,1.18,
5d5.(4G).6s,a 5G,5,11,,20976.4,,,1.26,
5d5.(4G).6s,a 5G,6,13,,22031.1,,,1.24,
5d5.(4P).6s,a 5P,3,7,,21629.1,,,1.26,
5d5.(4P).6s,a 5P,2,5,,23340.8,,,1.67,
5d5.(4P).6s,a 5P,1,3,,23722.4,,,1.903,
,225,2,5,,22544.7,,,1.20,
,231,1,3,,23146.2,,,1.10,
,233,5,11,,23381.2,,,1.19,
,238,4,9,,23893.5,,,1.275,
,247,3,7,,24763.1,,,1.41,
5d5.(4G).6s,a 3G?,3,7,,25321.2,,,0.90,
5d5.(4G).6s,a 3G?,5,11,,25987.5,,,1.22,
5d5.(4G).6s,a 3G?,4,9,,26237.3,,,1.12,
,266,1,3,,26664.3,,,1.46,
,267,2,5,,26767.6,,,1.09,
,276,3,7,,27627.7,,,,
,277,3,7,,27746.0,,,1.23,
,280,4,9,,28095.3,,,1.22,
,290,2,5,,29077.3,,,,
,294,1,3,,29427.2,,,1.368,
,296,4,9,,29638.9,,,,
,297,2,5,,29728.1,,,1.292,
,297,0,1,,29773.2,,,0,
,302,3,7,,30224.8,,,1.398,
,307,3,7,,30717.5,,,1.26,
,309,4,9,,30982.5,,,1.188,
,310,2,5,,31012.8,,,1.42,
,322,4,9,,32206.5,,,1.08,
,322,3,7,,32257.8,,,1.114,
,323,5,11,,32344.7,,,1.15,
,328,2,5,,32875.8,,,1.06,
,329,4,9,,32957.3,,,1.54,
,331,4,9,,33169.3,,,1.188,
,339,3,7,,33989.8,,,,
,349,2,5,,34937.2,,,1.23,
,360,5,11,,36063.5,,,1.21,
,369,3,7,,36993.4,,,,
,373,3,7,,37318.5,,,,
,373,2,5,,37382.0,,,1.071,
5d5.(6S).6p,z 7P*,2,5,,43937.7,,,2.19,
5d5.(6S).6p,z 7P*,3,7,,45147.5,,,1.79,
5d5.(6S).6p,z 7P*,4,9,,50680.9,,,,
5d5.(6S).6p,z 5P*,1,3,,49439.3,,,2.42,
5d5.(6S).6p,z 5P*,2,5,,52677.0,,,1.82,
5d5.(6S).6p,z 5P*,3,7,,53802.1,,,1.66,
5d5.(4F).6p,z 5D*,0,1,,54468.0,,,,
5d5.(4F).6p,z 5D*,1,3,,56372.1,,,1.291,
5d5.(4F).6p,z 5D*,2,5,,57138.6,,,1.30,
5d5.(4F).6p,z 5D*,3,7,,59329.9,,,1.145,
5d5.(4F).6p,z 5D*,4,9,,62859.0,,,1.27,
5d5.(4P).6p,y 5P*,3,7,,,,,,
5d5.(4P).6p,y 5P*,2,5,,55059.2,,,1.81,
5d5.(4P).6p,y 5P*,1,3,,55150.8,,,2.27,
5d5.(4F).6p,z 5F*,1,3,,,,,,
5d5.(4F).6p,z 5F*,2,5,,55444.0,,,1.083,
