Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Leading percentages,Reference
4d8,a 3F,4,9,,0.0,,                            ,L17221
4d8,a 3F,3,7,,2401.3,,                            ,L17221
4d8,a 3F,2,5,,3580.7,,                            ,L17221
4d8,a 3P,2,5,,8164.4,,                            ,"L17221,L17223"
4d8,a 3P,1,3,,10515.0,,                            ,L17221
4d8,a 3P,0,1,,10760.8,,                            ,L17221
4d8,a 1D,2,5,,11643.7,,                            ,"L17221,L17223"
4d8,a 1G,4,9,,14855.4,,                            ,L17221
4d7.(4F).5s,a 5F,5,11,,16884.8,,                            ,L17221
4d7.(4F).5s,a 5F,4,9,,18540.4,,                            ,L17221
4d7.(4F).5s,a 5F,3,7,,19792.4,,                            ,L17221
4d7.(4F).5s,a 5F,2,5,,20646.9,,                            ,L17221
4d7.(4F).5s,a 5F,1,3,,21180.0,,                            ,L17221
4d7.(4F).5s,b 3F,4,9,,25376.9,,                            ,L17221
4d7.(4F).5s,b 3F,3,7,,27439.4,,                            ,L17221
4d7.(4F).5s,b 3F,2,5,,28834.6,,                            ,L17221
4d7.(4P).5s,a 5P,3,7,,27801.4,,                            ,L17221
4d7.(4P).5s,a 5P,2,5,,28131.4,,                            ,L17221
4d7.(4P).5s,a 5P,1,3,,29073.0,,                            ,L17221
4d7.(2G).5s,a 3G,5,11,,31730.5,,                            ,L17221
4d7.(2G).5s,a 3G,4,9,,32604.7,,                            ,L17221
4d7.(2G).5s,a 3G,3,7,,33845.4,,                            ,L17221
4d7.(2P).5s,b 3P,2,5,,34243.0,,                            ,L17221
4d7.(2P).5s,b 3P,1,3,,34726.1,,                            ,L17221
4d7.(2P).5s,b 3P,0,1,[,36241,],                            ,L17223
4d8,a 1S,0,1,,35012.0,,                            ,"L17221,L17223"
4d7.(2H).5s,a 3H,6,13,,35787.2,,                            ,L17221
4d7.(2H).5s,a 3H,5,11,,36794.5,,                            ,L17221
4d7.(2H).5s,a 3H,4,9,,38943.2,,  51         :    46   1G   ,"L17221,L17223"
4d7.(4P).5s,c 3P,2,5,,36366.3,,                            ,L17221
4d7.(4P).5s,c 3P,1,3,,36710.0,,                            ,L17221
4d7.(2G).5s,b 1G,4,9,,36486.4,,  44         :    38   3H   ,"L17221,L17223"
4d7.(2D2).5s,a 3D,3,7,,36938.9,,                            ,L17221
4d7.(2D2).5s,a 3D,2,5,,38622.3,,                            ,L17221
4d7.(2D2).5s,a 3D,1,3,,38687.5,,  30         :    41   1P   ,"L17221,L17223"
4d7.(2H).5s,a 1H,5,11,,41045.3,,                            ,L17221
4d7.(2D2).5s,b 1D,2,5,,42872.3,,                            ,L17221
4d7.(4F).5p,z 5F*,4,9,,56547.3,,                            ,L17221
4d7.(4F).5p,z 5F*,5,11,,57020.8,,                            ,L17221
4d7.(4F).5p,z 5F*,3,7,,58358.5,,                            ,L17221
4d7.(4F).5p,z 5F*,2,5,,59698.6,,                            ,L17221
4d7.(4F).5p,z 5F*,1,3,,60573.2,,                            ,L17221
4d7.(4F).5p,z 5D*,4,9,,59161.5,,                            ,L17221
4d7.(4F).5p,z 5D*,3,7,,60448.4,,                            ,L17221
4d7.(4F).5p,z 5D*,2,5,,61355.9,,                            ,L17221
4d7.(4F).5p,z 5D*,1,3,,61881.1,,                            ,L17221
4d7.(4F).5p,z 5D*,0,1,,62012.5,,                            ,L17221
4d7.(4F).5p,z 5G*,6,13,,59702.4,,                            ,L17221
4d7.(4F).5p,z 5G*,5,11,,59729.4,,                            ,L17221
