Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f6.(7F).6s,8F,1/2,2,,0.00,,,3.950,  99                            ,L3974
4f6.(7F).6s,8F,3/2,4,,326.64,,,1.975,  98                            ,
4f6.(7F).6s,8F,5/2,6,,838.22,,,1.708,  97                            ,
4f6.(7F).6s,8F,7/2,8,,1489.16,,,1.610,  97                            ,
4f6.(7F).6s,8F,9/2,10,,2237.97,,,1.580,  98                            ,
4f6.(7F).6s,8F,11/2,12,,3052.65,,,1.550,  99                            ,
4f6.(7F).6s,8F,13/2,14,,3909.62,,,1.540,  99                            ,
4f6.(7F).6s,6F,1/2,2,,1518.29,,,-0.595,  99                            ,
4f6.(7F).6s,6F,3/2,4,,2003.23,,,1.085,  98                            ,
4f6.(7F).6s,6F,5/2,6,,2688.69,,,1.325,  97                            ,
4f6.(7F).6s,6F,7/2,8,,3499.12,,,1.400,  97                            ,
4f6.(7F).6s,6F,9/2,10,,4386.03,,,1.440,  97                            ,
4f6.(7F).6s,6F,11/2,12,,5317.56,,,1.455,  98                            ,
4f6.(7F).5d,8H,3/2,4,,7135.06,,,-0.385,  99                            ,
4f6.(7F).5d,8H,5/2,6,,7524.86,,,0.70,  99                            ,
4f6.(7F).5d,8H,7/2,8,,8046.00,,,1.055,  99                            ,
4f6.(7F).5d,8H,9/2,10,,8679.23,,,1.210,  99                            ,
4f6.(7F).5d,8H,11/2,12,,9406.63,,,1.300,  99                            ,
4f6.(7F).5d,8H,13/2,14,,10214.38,,,1.35,  99                            ,
4f6.(7F).5d,8H,15/2,16,,11094.06,,,1.38,  99                            ,
4f6.(7F).5d,8H,17/2,18,,12045.10,,,1.41, 100                            ,
4f6.(7F).5d,8D,3/2,4,,8578.70,,,2.62,  84             :    13   6P   ,
4f6.(7F).5d,8D,5/2,6,,9410.00,,,2.01,  90                            ,
4f6.(7F).5d,8D,7/2,8,,10180.70,,,1.790,  91                            ,
4f6.(7F).5d,8D,9/2,10,,10960.16,,,1.685,  92                            ,
4f6.(7F).5d,8D,11/2,12,,11791.05,,,1.636,  95                            ,
4f6.(7F).5d,8G,1/2,2,,10371.51,,,0.360,  70             :    28   8F   ,
4f6.(7F).5d,8G,3/2,4,,10518.50,,,1.335,  65             :    31   8F   ,
4f6.(7F).5d,8G,5/2,6,,10873.30,,,1.435,  63             :    31   8F   ,
4f6.(7F).5d,8G,7/2,8,,11395.40,,,1.465,  64             :    29   8F   ,
4f6.(7F).5d,8G,9/2,10,,12045.17,,,1.470,  66             :    28   8F   ,
4f6.(7F).5d,8G,11/2,12,,12789.81,,,1.47,  69             :    27   8F   ,
4f6.(7F).5d,8G,13/2,14,,13604.50,,,1.47,  72             :    26   8F   ,
4f6.(7F).5d,8G,15/2,16,,14503.67,,,1.455,  97                            ,
4f6.(7F).5d,8F,1/2,2,,10743.40,,,2.32,  69             :    29   8G   ,
4f6.(7F).5d,8F,3/2,4,,11155.30,,,1.64,  61             :    34   8G   ,
4f6.(7F).5d,8F,5/2,6,,11659.80,,,1.57,  38             :    27   8G   ,
4f6.(7F).5d,8F,7/2,8,,12232.34,,,1.532,  62             :    33   8G   ,
4f6.(7F).5d,8F,9/2,10,,12841.60,,,1.52,  65             :    32   8G   ,
4f6.(7F).5d,8F,11/2,12,,13466.50,,,1.51,  68             :    29   8G   ,
4f6.(7F).5d,8F,13/2,14,,14084.55,,,1.514,  73             :    26   8G   ,
4f6.(7F).5d,6P,3/2,4,,11047.30,,,2.510,  84             :    12   8D   ,
4f6.(7F).5d,6P,5/2,6,,11798.60,,,1.99,  35             :    32   8P   ,
4f6.(7F).5d,6P,7/2,8,,13777.05,,,1.78,  61             :    34   8P   ,
4f6.(7F).5d,8P,5/2,6,,12566.80,,,2.16,  51             :    42   6P   ,
4f6.(7F).5d,8P,7/2,8,,12987.86,,,1.86,  63             :    31   6P   ,
4f6.(7F).5d,8P,9/2,10,,14115.00,,,1.778,  96                            ,
4f6.(7F).5d,6H,5/2,6,,14193.43,,,0.295,  98                            ,
4f6.(7F).5d,6H,7/2,8,,14667.96,,,0.840,  96                            ,
4f6.(7F).5d,6H,9/2,10,,15242.95,,,1.080,  96                            ,
4f6.(7F).5d,6H,11/2,12,,15897.54,,,1.21,  96                            ,
4f6.(7F).5d,6H,13/2,14,,16615.50,,,1.295,  97                            ,
4f6.(7F).5d,6H,15/2,16,,17391.89,,,1.34,  97                            ,
4f6.(7F).5d,6F,3/2,4,,16077.75,,,1.35,  46             :    26   6D   ,
4f6.(7F).5d,6F,1/2,2,,16162.32,,,0.300,  88             :    10   6D   ,
4f6.(7F).5d,6F,7/2,8,,17005.30,,,1.405,  43             :    41   6D   ,
4f6.(7F).5d,6F,9/2,10,,17717.86,,,1.52,  46             :    42   6D   ,
4f6.(7F).5d,6F,11/2,12,,18506.80,,,,  70             :    27   6G   ,
4f6.(7F).5d,6D,5/2,6,,16428.70,,,1.355,  50             :    38   6F   ,
4f6.(7F).5d,6D,1/2,2,,17054.60,,,,  87             :    10   6F   ,
4f6.(7F).5d,6D,3/2,4,,17568.38,,,1.58,  66             :    27   6F   ,
4f6.(7F).5d,6D,7/2,8,,18807.69,,,1.52,  43             :    35   6G   ,
4f6.(7F).5d,6D,9/2,10,,19400.27,,,,  48             :    33   6G   ,
4f6.(7F).5d,,5/2,6,,18050.94,,,1.54,  37  6D         :    34   6G   ,
4f7,8S*,7/2,8,,18288.85,,,2.01,                                ,
4f6.(7F).5d,6G,3/2,4,,18478.13,,,0.01,  71             :    25   6F   ,
4f6.(7F).5d,6G,5/2,6,,19035.41,,,,  59             :    33   6F   ,
4f6.(7F).5d,6G,7/2,8,,19627.90,,,1.30,  54             :    36   6F   ,
4f6.(7F).5d,6G,9/2,10,,20179.48,,,1.35,  55             :    36   6F   ,
4f6.(7F).5d,6G,13/2,14,,20582.56,,,,  97                            ,
4f6.(7F).5d,6G,11/2,12,,20648.02,,,1.35,  70             :    28   6F   ,
4f6.(7F).6p?,8G*,1/2,2,,21250.75,,,-1.155,                                ,
4f5.(6H*).5d.6s?,*,3/2,4,,21507.87,,,0.19,                                ,
,8F*,1/2,2,,21655.42,,,3.735,                                ,
4f6.(7F).6p?,*,3/2,4,,21702.33,,,0.515,                                ,
4f5.(6H*).5d.6s?,*,5/2,6,,21813.61,,,0.255,                                ,
4f6.(7F).6p?,*,3/2,4,,21904.12,,,1.81,                                ,
4f5.(6H*).5d.6s?,*,5/2,6,,22039.98,,,0.70,                                ,
4f6.(7F).6p?,*,5/2,6,,22248.32,,,1.360,                                ,
4f6.(7F).6p?,*,5/2,6,,22429.49,,,1.30,                                ,
4f5.(6H*).5d.6s?,*,7/2,8,,22788.68,,,1.045,                                ,
4f6.(7F).6p?,*,7/2,8,,22875.41,,,1.46,                                ,
4f6.(7F).6p?,*,3/2,4,,23177.49,,,0.70,                                ,
4f6.(7F).6p?,*,7/2,8,,23260.95,,,1.355,                                ,
,*,5/2,6,,23321.24,,,0.37,                                ,
,*,1/2,2,,23352.41,,,-0.505,                                ,
4f6.(7F).6p?,*,9/2,10,,23646.90,,,1.35,                                ,
,*,1/2,2,,23659.99,,,0.235,                                ,
4f5.(6H*).5d.6s?,*,9/2,10,,23752.70,,,1.32,                                ,
4f6.(7F).6p?,*,5/2,6,,23842.20,,,1.125,                                ,
4f6.(7F).6p?,*,3/2,4,,23962.25,,,1.25,                                ,
,*,3/2,4,,24013.56,,,0.83,                                ,
,*,5/2,6,,24194.38,,,0.275,                                ,
,*,1/2,2,,24221.81,,,2.41,                                ,
4f6.(7F).6p?,*,9/2,10,,24257.37,,,1.445,                                ,
