Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f9.(6H*<15/2>).6s<1/2>,"(15/2,1/2)*",8,17,,0.000,,,1.37,  94         or  :    94   (6H*) 7H*    ,L3974
4f9.(6H*<15/2>).6s<1/2>,"(15/2,1/2)*",7,15,,1016.380,,,,  90         or  :    69   (6H*) 5H*    ,L8844
4f9.(6H*<13/2>).6s<1/2>,"(13/2,1/2)*",7,15,,3010.050,,,1.286,  93         or  :    71   (6H*) 7H*    ,L8844
4f9.(6H*<13/2>).6s<1/2>,"(13/2,1/2)*",6,13,,3542.400,,,,  85         or  :    54   (6H*) 7H*    ,L8844
4f8.(7F).5d (8G).6s,9G,7,15,,3235.190,,,,  64             :    28   (7F)(8F) 9F  ,L8844
4f8.(7F).5d (8G).6s,9G,8,17,,3423.295,,,,  92             :     4   (7F)(8H) 9H  ,L8844
4f8.(7F).5d (8G).6s,,6,13,,3440.825,,,1.53,  36  9G         :    34   (7F)(8F) 9F  ,L8844
4f8.(7F).5d (8G).6s,,5,11,,4158.785,,,1.54,  33  9G         :    32   (7F)(8F) 9F  ,L8844
4f8.(7F).5d (8D).6s,,6,13,,5147.23,,,1.593,  48  9D         :    37   (7F)(8G) 9G  ,L3974
4f9.(6H*<11/2>).6s<1/2>,"(11/2,1/2)*",6,13,,5171.76,,,,  80         or  :    52   (6H*) 5H*    ,L3974
4f9.(6H*<11/2>).6s<1/2>,"(11/2,1/2)*",5,11,,5234.98,,,,  80         or  :    70   (6H*) 7H*    ,L3974
4f8.(7F).5d (8G).6s,,5,11,,5761.28,,,1.59,  41  9G         :    40   (7F)(8D) 9D  ,L3974
4f8.6s2,7F,6,13,,5898.35,,,1.46,                                        ,L3974
4f8.(7F).5d (8G).6s?,7G?,7,15,,6223.39,,,1.43,  69             :    12   (7F)(8F)? 9F ,L3974
4f9.(6F*<11/2>).6s<1/2>,"(11/2,1/2)*",5,11,,,,,,  55         or  :    61   (6F*) 7F*    ,L3974
4f9.(6F*<11/2>).6s<1/2>,"(11/2,1/2)*",6,13,,6372.95,,,1.40,  92         or  :    92   (6F*) 7F*    ,L3974
4f8.(7F).5d (8G).6s,7G,6,13,,6428.73,,,1.456,  53             :    27   (7F)(8F) 7F  ,L3974
4f8.(7F).5d (8G).6s,,5,11,,6582.89,,,1.531,  32  7F         :    26   (7F)(8D) 7D  ,L3974
4f9.(6H*<9/2>).6s<1/2>,"(9/2,1/2)*",4,9,,,,,,  80         or  :    81   (6H*) 7H*    ,L3974
4f9.(6H*<9/2>).6s<1/2>,"(9/2,1/2)*",5,11,,6912.49,,,1.10,  77         or  :    65   (6H*) 5H*    ,L3974
4f8.(7F).5d (8F).6s?,9F?,7,15,,7187.85,,,,  56             :    18   (7F)(8G)? 7G ,L3974
4f8.6s2?,7F?,5,11,,8278.04,,,1.464,                                        ,L3974
4f8.(7F).5d2?,9G?,7,15,,8903.62,,,1.498,                                        ,L3974
4f8.(7F).5d2?,9G?,6,13,,8991.10,,,,                                        ,L3974
4f8.(7F).5d2?,9G?,8,17,,9273.06,,,,                                        ,L3974
,,8,17,,11160.18,,,1.38,                                        ,L3974
4f9.(6H*).5d,7H*,2,5,,,,,,  81             :    12   (6F*) 7H*    ,L3974
4f9.(6H*).5d,7H*,8,17,,11261.56,,,1.368,  79             :    10   (6H*) 7I*    ,L3974
4f9.(6H*).5d,7H*,7,15,,12200.40,,,1.339,  65             :    15   (6H*) 7G*    ,L3974
4f9.(6H*).5d,7H*,6,13,,13605.22,,,1.330,  54             :    18   (6H*) 7G*    ,L3974
4f9.(6H*).5d,7H*,5,11,,15212.59,,,1.221,  66             :    13   (6H*) 7G*    ,L3974
4f9.(6H*).5d,7H*,4,9,,16475.05,,,1.058,  72             :     8   (6H*) 7G*    ,L3974
4f9.(6H*).5d,7H*,3,7,,17475.20,,,0.780,  77             :    10   (6F*) 7H*    ,L3974
4f8.(7F).5d.6s?,,6,13,,11638.64,,,1.53,                                        ,L3974
4f8.(7F).5d.6s?,,7,15,,11813.17,,,,                                        ,L3974
4f9.(6H*).5d,7I*,4,9,,,,,,  78                                    ,L3974
4f9.(6H*).5d,7I*,3,7,,,,,,  85                                    ,L3974
4f9.(6H*).5d,7I*,5,11,,,,,,  73                                    ,L3974
4f9.(6H*).5d,7I*,9,19,,13518.25,,,1.324,  88                                    ,L3974
4f9.(6H*).5d,7I*,8,17,,15289.16,,,1.290,  61             :    15   (6H*) 5I*    ,L3974
4f9.(6H*).5d,7I*,7,15,,17125.82,,,1.282,  48             :    17   (6H*) 7G*    ,L3974
4f9.(6H*).5d,7I*,6,13,,17811.61,,,1.230,  62             :    13   (6H*) 7G*    ,L3974
4f8.(7F).5d (6H).6s?,7H?,8,17,,13593.44,,,1.38,  77             :    17   (7F)(8H)? 7F ,L3974
4f8.(7F).5d.6s?,,6,13,,14964.95,,,1.644,                                        ,L3974
4f9.(6H*).5d,7F*,6,13,,15023.80,,,1.442,  61             :    17   (6H*) 7H*    ,L3974
4f9.(6H*).5d,7G*,7,15,,15844.44,,,1.37,  62             :    24   (6H*) 7I*    ,L3974
4f9.(6H*).5d,7F*,5,11,,17061.53,,,1.445,  54             :    15   (6F*) 7F*    ,L3974
4f9.(6H*).5d,5I*,8,17,,17926.11,,,1.250,  73             :    15   (6H*) 7I*    ,L3974
4f9.(6H*).5d,5H*,7,15,,18790.52,,,1.25,  51             :    32   (6H*) 5I*    ,L3974
,,8,17,,19710.26,,,1.30,                                        ,L3974
,,8,17,,21035.56,,,,                                        ,L3974
,,7,15,,21521.06,,,,                                        ,L3974
,,7,15,,22008.54,,,,                                        ,L3974
,,7,15,,23653.66,,,1.38,                                        ,L3974
,,6,13,,23678.13,,,,                                        ,L3974
,,8,17,,25138.450,,,1.34,                                        ,L8844
,,7,15,,25376.50,,,1.29,                                        ,L3974
4f9.(6H*<15/2>).6p<1/2>,"(15/2,1/2)",7,15,,25804.650,,,1.37,                                        ,L8844
4f9.(6H*<15/2>).6p<1/2>,"(15/2,1/2)",8,17,,25975.160,,,1.30,                                        ,L8844
,,7,15,,26385.71,,,1.358,                                        ,L3974
,,6,13,,26731.50,,,1.40,                                        ,L3974
,,7,15,,27244.25,,,,                                        ,L3974
4f9.(6H*<15/2>).6p<3/2>,"(15/2,3/2)",8,17,,28014.875,,,1.29,                                        ,L8844
4f9.(6H*<15/2>).6p<3/2>,"(15/2,3/2)",7,15,,28209.430,,,1.35,                                        ,L8844
4f9.(6H*<15/2>).6p<3/2>,"(15/2,3/2)",6,13,,28339.285,,,1.32,                                        ,L8844
4f9.(6H*<15/2>).6p<3/2>,"(15/2,3/2)",9,19,,28488.810,,,1.326,                                        ,L8844
,,8,17,,28560.96,,,,                                        ,L3974
4f9.(6H*<13/2>).6p<1/2>,"(13/2,1/2)",7,15,,28649.095,,,1.26,                                        ,L8844
4f8.6s.6p?,*,7,15,,29100.78,,,1.58,                                        ,L3974
,,7,15,,29407.02,,,,                                        ,L3974
,,6,13,,29803.36,,,,                                        ,L3974
4f8.5d.6p?,*,6,13,,29912.930,,,,                                        ,L8844
,*,5,11,,29992.75,,,,                                        ,L8844
,,5,11,,29995.37,,,,                                        ,L3974
,,6,13,,30068.29,,,,                                        ,L3974
4f9.(6H*<11/2>).6p<1/2>,"(11/2,1/2)",5,11,,30148.67,,,1.27,                                        ,L3974
4f9.(6H*<11/2>).6p<1/2>,"(11/2,1/2)",6,13,,30639.48,,,1.20,                                        ,L3974
4f8.5d.6p?,*,7,15,,30225.865,,,,                                        ,L8844
,,7,15,,30364.74,,,,                                        ,L3974
,,7,15,,30476.12,,,1.34,                                        ,L3974
,,3,7,,30703.63,,,,                                        ,L3974
,*,6,13,,30764.04,,,,                                        ,L3974
4f8.5d.6p?,*,8,17,,30809.590,,,,                                        ,L8844
,,7,15,,30895.47,,,1.30,                                        ,L3974
4f9.(6H*<13/2>).6p<3/2>,"(13/2,3/2)",8,17,,31078.460,,,1.28,                                        ,L8844
4f9.(6H*<13/2>).6p<3/2>,"(13/2,3/2)",6,13,,31566.42,,,1.32,                                        ,L3974
,,7,15,,31365.86,,,,                                        ,L3974
4f8.5d.6p?,*,7,15,,31794.62,,,,                                        ,L3974
,,6,13,,31879.15,,,,                                        ,L3974
,,5,11,,32023.68,,,1.27,                                        ,L3974
,*,5,11,,32296.44,,,,                                        ,L3974
,,5 or 6,11,,32369.10,,,,                                        ,L3974
,*,6,13,,32646.47,,,,                                        ,L3974
,,6,13,,32687.20,,,,                                        ,L3974
,,6,13,,32853.61,,,1.31,                                        ,L3974
,,6,13,,33488.95,,,,                                        ,L3974
,*,9,19,,33495.130,,,,                                        ,L8844
,*,6,13,,33800.91,,,,                                        ,L3974
,*,6,13,,33841.71,,,,                                        ,L3974
4f8.5d.6p?,*,7,15,,33873.19,,,,                                        ,L3974
,*,6,13,,33906.62,,,,                                        ,L3974
4f8.5d.6p?,*,7,15,,34090.44,,,,                                        ,L3974
