Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
3d4,a 5D,0,1,,0.000,,0.003,, 100                                                ,L20009
3d4,a 5D,1,3,,36.1017,,0.0012,, 100                                                ,L20009
3d4,a 5D,2,5,,106.6421,,0.0010,, 100                                                ,L20009
3d4,a 5D,3,7,,208.7901,,0.0008,, 100                                                ,L20009
3d4,a 5D,4,9,,339.1256,,0.0013,, 100                                                ,L20009
3d3.(4F).4s,a 5F,1,3,,2605.0400,,0.0012,, 100                                                ,L20009
3d3.(4F).4s,a 5F,2,5,,2687.2090,,0.0009,0.97, 100                                                ,"L20009,L8201"
3d3.(4F).4s,a 5F,3,7,,2808.9590,,0.0008,1.20, 100                                                ,"L20009,L8201"
3d3.(4F).4s,a 5F,4,9,,2968.3883,,0.0010,1.30?, 100                                                ,"L20009,L8201"
3d3.(4F).4s,a 5F,5,11,,3162.9673,,0.0023,1.28?, 100                                                ,"L20009,L8201"
3d3.(4F).4s,a 3F,2,5,,8640.3641,,0.0010,0.65,  93         :     5  3d4                  3F2      ,"L20009,L8201"
3d3.(4F).4s,a 3F,3,7,,8842.0507,,0.0006,1.04,  93         :     5  3d4                  3F2      ,"L20009,L8201"
3d3.(4F).4s,a 3F,4,9,,9097.8891,,0.0008,1.22,  92         :     6  3d4                  3F2      ,"L20009,L8201"
3d4,a 3P2,0,1,,11295.511,,0.003,,  54         :    37  3d4                  3P1      ,L20009
3d4,a 3P2,1,3,,11514.7845,,0.0014,1.48,  54         :    37  3d4                  3P1      ,"L20009,L8201"
3d4,a 3P2,2,5,,11908.2593,,0.0014,1.49,  54         :    37  3d4                  3P1      ,"L20009,L8201"
3d4,a 3H,4,9,,12545.1024,,0.0012,0.83?,  98                                                ,"L20009,L8201"
3d4,a 3H,5,11,,12621.4857,,0.0013,1.02,  98                                                ,"L20009,L8201"
3d4,a 3H,6,13,,12706.0798,,0.0011,1.27?,  99                                                ,"L20009,L8201"
3d4,b 3F2,2,5,,13490.8843,,0.0011,0.59,  68         :    24  3d4                  3F1      ,"L20009,L8201"
3d4,b 3F2,3,7,,13542.6461,,0.0013,1.06,  68         :    23  3d4                  3F1      ,"L20009,L8201"
3d4,b 3F2,4,9,,13608.9393,,0.0009,1.19,  67         :    23  3d4                  3F1      ,"L20009,L8201"
3d3.(4P).4s,a 5P,1,3,,13511.7993,,0.0019,2.39, 100                                                ,"L20009,L8201"
3d3.(4P).4s,a 5P,2,5,,13594.726,,0.003,1.78,  99                                                ,"L20009,L8201"
3d3.(4P).4s,a 5P,3,7,,13741.6394,,0.0021,1.62, 100                                                ,"L20009,L8201"
3d4,a 3G,3,7,,14461.7495,,0.0015,0.74,  60         :    38  3d3.(2G).4s          3G       ,"L20009,L8201"
3d4,a 3G,4,9,,14556.0689,,0.0010,1.00,  60         :    38  3d3.(2G).4s          3G       ,"L20009,L8201"
3d4,a 3G,5,11,,14655.6082,,0.0012,1.17,  62         :    37  3d3.(2G).4s          3G       ,"L20009,L8201"
3d3.(2G).4s,b 3G,3,7,,16340.9837,,0.0016,0.76,  62         :    38  3d4                  3G       ,"L20009,L8201"
3d3.(2G).4s,b 3G,4,9,,16421.5292,,0.0014,1.03,  61         :    37  3d4                  3G       ,"L20009,L8201"
3d3.(2G).4s,b 3G,5,11,,16532.9841,,0.0016,1.16,  62         :    37  3d4                  3G       ,"L20009,L8201"
3d4,a 1G2,4,9,,17910.9147,,0.0014,0.95,  46         :    31  3d3.(2G).4s          1G       ,"L20009,L8201"
3d4,a 3D,1,3,,18269.515,,0.003,0.49,  51         :    30  3d3.(2D2).4s         3D       ,"L20009,L8201"
3d4,a 3D,2,5,,18293.8723,,0.0019,1.13,  48         :    28  3d3.(2D2).4s         3D       ,"L20009,L8201"
3d4,a 3D,3,7,,18353.830,,0.003,1.30,  64         :    28  3d3.(2D2).4s         3D       ,"L20009,L8201"
3d3.(2G).4s,b 1G,4,9,,19112.9298,,0.0011,0.98,  65         :    16  3d4                  1G1      ,"L20009,L8201"
3d3.(2P).4s,b 3P,2,5,,19132.792,,0.003,1.38,  73         :    13  3d4                  3D       ,"L20009,L8201"
3d3.(2P).4s,b 3P,0,1,,19161.422,,0.003,,  94                                                ,L20009
3d3.(2P).4s,b 3P,1,3,,19166.315,,0.003,1.40,  83         :     7  3d4                  3D       ,"L20009,L8201"
3d4,a 1I,6,13,,19191.3276,,0.0018,0.96?,  99                                                ,"L20009,L8201"
3d4,a 1S2,0,1,,19902.609,,0.004,,  66         :    21  3d4                  1S1      ,L20009
3d3.(4P).4s,c 3P,1,3,,20089.6495,,0.0017,1.35,  83         :     6  3d4                  3P1      ,"L20009,L8201"
3d3.(4P).4s,c 3P,0,1,,20156.670,,0.003,,  81         :     9  3d4                  1S2      ,L20009
3d3.(4P).4s,c 3P,2,5,,20343.0477,,0.0012,1.36,  76         :     7  3d3.(2P).4s          3P       ,"L20009,L8201"
3d3.(2H).4s,b 3H,4,9,,20242.385,,0.003,0.82,  96                                                ,"L20009,L8201"
3d3.(2H).4s,b 3H,5,11,,20280.2493,,0.0013,1.01,  99                                                ,"L20009,L8201"
3d3.(2H).4s,b 3H,6,13,,20363.3370,,0.0023,1.14,  99                                                ,"L20009,L8201"
3d3.(2D2).4s,b 3D,1,3,,20522.148,,0.004,0.58,  41         :    38  3d4                  3D       ,"L20009,L8201"
3d3.(2D2).4s,b 3D,2,5,,20617.0735,,0.0024,1.25,  36         :    30  3d4                  3D       ,"L20009,L8201"
3d3.(2D2).4s,b 3D,3,7,,20622.9852,,0.0023,1.26,  49         :    35  3d4                  3D       ,"L20009,L8201"
3d4,a 1D2,2,5,,20980.9260,,0.0023,1.02,  35         :    30  3d3.(2D2).4s         1D       ,"L20009,L8201"
3d3.(2P).4s,a 1P,1,3,,22273.6366,,0.0014,0.97,  95                                                ,"L20009,L8201"
3d3.(2H).4s,a 1H,5,11,,23391.1513,,0.0010,1.04,  99                                                ,"L20009,L8201"
