Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5s2.5p5,2P*,3/2,4,,0.00,,,,L6925
5s2.5p5,2P*,1/2,2,,10537.01,,,,L6925
5s.5p6,2S,1/2,2,,90873.83,,,2.02,L6925
5s2.5p4.(3P<2>).6s,2[2],5/2,6,,93068.44,,,1.56,L6925
5s2.5p4.(3P<2>).6s,2[2],3/2,4,,95064.38,,,1.38,L6925
5s2.5p4.(3P<2>).5d,2[2],5/2,6,,95396.74,,,1.36,L6925
5s2.5p4.(3P<2>).5d,2[2],3/2,4,,96033.48,,,1.18,L6925
5s2.5p4.(3P<2>).5d,2[3],7/2,8,,95437.67,,,1.420,L6925
5s2.5p4.(3P<2>).5d,2[3],5/2,6,,106475.21,,,,L6925
5s2.5p4.(3P<2>).5d,2[1],1/2,2,,96858.18,,,0.50,L6925
5s2.5p4.(3P<2>).5d,2[1],3/2,4,,105313.33,,,1.15,L6925
5s2.5p4.(3P<2>).5d,2[4],9/2,10,,99404.99,,,1.31,L6925
5s2.5p4.(3P<2>).5d,2[4],7/2,8,,101535.67,,,1.11,L6925
5s2.5p4.(3P<0>).6s,2[0],1/2,2,,101157.48,,,2.43,L6925
5s2.5p4.(3P<1>).6s,2[1],3/2,4,,102799.07,,,1.59,L6925
5s2.5p4.(3P<1>).6s,2[1],1/2,2,,106906.12,,,1.79,L6925
5s2.5p4.(3P<1>).5d,2[1],1/2,2,,104250.06,,,0.56,L6925
5s2.5p4.(3P<1>).5d,2[1],3/2,4,,107904.50,,,1.20,L6925
5s2.5p4.(3P<2>).5d,2[0],1/2,2,,105947.55,,,1.36,L6925
5s2.5p4.(3P<0>).5d,2[2],3/2,4,,107381.74,,,0.67,L6925
5s2.5p4.(3P<0>).5d,2[2],5/2,6,,108007.28,,,1.22,L6925
5s2.5p4.(3P<1>).5d,2[3],7/2,8,,108423.07,,,1.15,L6925
5s2.5p4.(3P<1>).5d,2[3],5/2,6,,114751.08,,,1.10,L6925
5s2.5p4.(1D<2>).6s,2[2],5/2,6,,109563.14,,,1.33,L6925
5s2.5p4.(1D<2>).6s,2[2],3/2,4,,112924.84,,,0.95,L6925
5s2.5p4.(3P<1>).5d,2[2],3/2,4,,111326.96,,,1.24,L6925
5s2.5p4.(3P<1>).5d,2[2],5/2,6,,112703.64,,,1.13,L6925
5s2.5p4.(3P<2>).6p,2[2]*,3/2,4,,111792.17,,,1.61,L6925
5s2.5p4.(3P<2>).6p,2[2]*,5/2,6,,111958.89,,,1.47,L6925
5s2.5p4.(3P<2>).6p,2[3]*,5/2,6,,113512.36,,,1.28,L6925
5s2.5p4.(3P<2>).6p,2[3]*,7/2,8,,113705.40,,,1.40,L6925
5s2.5p4.(3P<2>).6p,2[1]*,1/2,2,,113672.89,,,1.50,L6925
5s2.5p4.(3P<2>).6p,2[1]*,3/2,4,,116783.09,,,1.37,L6925
5s2.5p4.(1D<2>).5d,2[4],9/2,10,,114905.15,,,1.10,L6925
5s2.5p4.(1D<2>).5d,2[4],7/2,8,,114913.98,,,,L6925
5s2.5p4.(1D<2>).5d,2[3],5/2,6,,119085.49,,,0.95,L6925
5s2.5p4.(1D<2>).5d,2[3],7/2,8,,120853.16,,,,L6925
5s2.5p4.(3P<0>).6p,2[1]*,1/2,2,,120414.87,,,0.56,L6925
5s2.5p4.(3P<0>).6p,2[1]*,3/2,4,,121628.82,,,1.28,L6925
5s2.5p4.(3P<1>).6p,2[0]*,1/2,2,,121179.80,,,2.08,L6925
5s2.5p4.(3P<1>).6p,2[2]*,5/2,6,,123112.54,,,1.39,L6925
5s2.5p4.(3P<1>).6p,2[2]*,3/2,4,,123254.60,,,1.35,L6925
