Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Lande,Reference
4d2.(3F).5s,a 4F,3/2,4,,0.00,,0.398,L3465
4d2.(3F).5s,a 4F,5/2,6,,314.67,,1.023,L3465
4d2.(3F).5s,a 4F,7/2,8,,763.44,,1.235,L3465
4d2.(3F).5s,a 4F,9/2,10,,1322.91,,1.324,L3465
4d3,b 4F,3/2,4,,2572.21,,0.413,L3465
4d3,b 4F,5/2,6,,2895.05,,1.025,L3465
4d3,b 4F,7/2,8,,3299.64,,1.227,L3465
4d3,b 4F,9/2,10,,3757.66,,1.326,L3465
4d2.(1D).5s,a 2D,3/2,4,,4248.30,,0.812,L3465
4d2.(1D).5s,a 2D,5/2,6,,4505.50,,1.172,L3465
4d2.(3P).5s,a 2P,1/2,2,,5724.38,,0.690,L3465
4d2.(3P).5s,a 2P,3/2,4,,6111.70,,1.304,L3465
4d2.(3F).5s,a 2F,5/2,6,,5752.92,,0.883,L3465
4d2.(3F).5s,a 2F,7/2,8,,6467.61,,1.144,L3465
4d2.(3P).5s,a 4P,1/2,2,,7512.67,,2.656,L3465
4d2.(3P).5s,a 4P,3/2,4,,7736.02,,1.720,L3465
4d2.(3P).5s,a 4P,5/2,6,,8058.16,,1.585,L3465
4d3,a 2G,7/2,8,,7837.74,,0.887,L3465
4d3,a 2G,9/2,10,,8152.80,,1.107,L3465
4d3,b 4P,1/2,2,,9553.10,,2.649,L3465
4d3,b 4P,3/2,4,,9742.80,,1.721,L3465
4d3,b 4P,5/2,6,,9968.65,,1.593,L3465
4d3,a 2H,9/2,10,,11984.46,,0.910,L3465
4d3,a 2H,11/2,12,,12359.66,,1.091,L3465
4d3,b 2D,3/2,4,,13428.50,,0.800,L3465
4d3,b 2D,5/2,6,,14162.90,,1.209,L3465
4d2.(1G).5s,b 2G,7/2,8,,14059.76,,0.890,L3465
4d2.(1G).5s,b 2G,9/2,10,,14190.45,,1.103,L3465
4d.5s2,c 2D,3/2,4,,14298.64,,0.807,L3465
4d.5s2,c 2D,5/2,6,,14733.37,,1.188,L3465
4d3,b 2F,7/2,8,,19433.24,,1.153,L3465
4d3,b 2F,5/2,6,,19514.84,,0.855,L3465
4d3,b 2P,1/2,2,,19613.54,,0.514,L3465
4d3,b 2P,3/2,4,,20080.30,,1.326,L3465
4d2.(1S).5s,a 2S,1/2,2,,25201.57,,1.990,L3465
4d3,d 2D,5/2,6,,27640.60,,,L807
4d3,d 2D,3/2,4,,27699.96,,,L807
4d2.(3F).5p,z 4G*,5/2,6,,27983.83,,0.664,L3465
4d2.(3F).5p,z 4G*,7/2,8,,28909.04,,0.998,L3465
4d2.(3F).5p,z 4G*,9/2,10,,29839.87,,1.164,L3465
4d2.(3F).5p,z 4G*,11/2,12,,30795.74,,1.275,L3465
4d2.(3F).5p,z 2F*,5/2,6,,29504.97,,0.841,L3465
4d2.(3F).5p,z 2F*,7/2,8,,30561.75,,1.132,L3465
4d2.(3F).5p,z 4F*,3/2,4,,29777.60,,0.700,L3465
4d2.(3F).5p,z 4F*,5/2,6,,30551.48,,1.046,L3465
4d2.(3F).5p,z 4F*,7/2,8,,31249.28,,1.238,L3465
4d2.(3F).5p,z 4F*,9/2,10,,31866.49,,1.321,L3465
4d2.(3F).5p,z 2D*,3/2,4,,30435.38,,0.589,L3465
4d2.(3F).5p,z 2D*,5/2,6,,31160.04,,1.117,L3465
4d2.(3F).5p,z 4D*,1/2,2,,31981.25,,0.016,L3465
4d2.(3F).5p,z 4D*,3/2,4,,32256.71,,1.166,L3465
4d2.(3F).5p,z 4D*,5/2,6,,32614.71,,1.342,L3465
4d2.(3F).5p,z 4D*,7/2,8,,32899.46,,1.408,L3465
4d2.(3P).5p,y 2D*,3/2,4,,32983.73,,0.810,L3465
4d2.(3P).5p,y 2D*,5/2,6,,33419.45,,1.195,L3465
4d2.(3F).5p,z 2G*,7/2,8,,34485.42,,0.889,L3465
4d2.(3F).5p,z 2G*,9/2,10,,35185.64,,1.109,L3465
4d2.(3P).5p,z 2S*,1/2,2,,34810.03,,1.956,L3465
4d2.(1D).5p,z 2P*,3/2,4,,35914.81,,1.340,L3465
4d2.(1D).5p,z 2P*,1/2,2,,36196.57,,0.610,L3465
4d2.(3P).5p,y 4D*,1/2,2,,36237.04,,0.144,L3465
4d2.(3P).5p,y 4D*,3/2,4,,36638.50,,1.038,L3465
4d2.(3P).5p,y 4D*,5/2,6,,37171.22,,1.140,L3465
4d2.(3P).5p,y 4D*,7/2,8,,38041.49,,1.306,L3465
4d.5s.(3D).5p,y 4F*,3/2,4,,36451.79,,0.579,L3465
4d.5s.(3D).5p,y 4F*,5/2,6,,36869.00,,1.091,L3465
4d.5s.(3D).5p,y 4F*,7/2,8,,37429.76,,1.266,L3465
4d.5s.(3D).5p,y 4F*,9/2,10,,38644.12,,1.321,L3465
4d2.(1G).5p,y 2F*,5/2,6,,37346.31,,0.975,L3465
4d2.(1G).5p,y 2F*,7/2,8,,37787.59,,1.212,L3465
4d2.(3P).5p,z 4S*,3/2,4,,37681.75,,1.908,L3465
4d.5s.(3D).5p,z 4P*,1/2,2,,38063.40,,2.448,L3465
4d.5s.(3D).5p,z 4P*,3/2,4,,38133.50,,1.734,L3465
4d.5s.(3D).5p,z 4P*,5/2,6,,38482.64,,1.606,L3465
4d.5s.(3D).5p,x 4D*,1/2,2,,38934.37,,0.055,L3465
4d.5s.(3D).5p,x 4D*,3/2,4,,39192.35,,1.209,L3465
4d.5s.(3D).5p,x 4D*,5/2,6,,39640.08,,1.370,L3465
4d.5s.(3D).5p,x 4D*,7/2,8,,40238.55,,1.408,L3465
4d2.(3P).5p,y 2P*,1/2,2,,40727.26,,0.677,L3465
4d2.(3P).5p,y 2P*,3/2,4,,41337.36,,1.326,L3465
4d2.(1G).5p,y 2G*,7/2,8,,40852.74,,0.915,L3465
4d2.(1G).5p,y 2G*,9/2,10,,40878.25,,1.083,L3465
4d2.(1D).5p,x 2D*,3/2,4,,41467.72,,0.821,L3465
4d2.(1D).5p,x 2D*,5/2,6,,41676.82,,1.184,L3465
4d2.(1G).5p,z 2H*,9/2,10,,41738.21,,0.954,L3465
4d2.(1G).5p,z 2H*,11/2,12,,42409.93,,1.080,L3465
4d2.(1D).5p,x 2F*,7/2,8,,42504.11,,1.134,L3465
4d2.(1D).5p,x 2F*,5/2,6,,42860.72,,0.887,L3465
4d2.(3P).5p,y 4P*,1/2,2,,42789.24,,2.632,L3465
4d2.(3P).5p,y 4P*,3/2,4,,42893.54,,1.710,L3465
4d2.(3P).5p,y 4P*,5/2,6,,43202.45,,1.561,L3465
4d.5s.(1D).5p,w 2D*,3/2,4,,45054.87,,0.870,L3465
4d.5s.(1D).5p,w 2D*,5/2,6,,45186.05,,1.226,L3465
4d2.(1S).5p,x 2P*,3/2,4,,45568.21,,1.14,L3465
4d2.(1S).5p,x 2P*,1/2,2,,45944.00,,0.724,L3465
4d.5s.(1D).5p,w 2F*,5/2,6,,47881.88,,0.871,L3465
4d.5s.(1D).5p,w 2F*,7/2,8,,48344.91,,1.142,L3465
4d.5s.(1D).5p,w 2P*,1/2,2,,52585.80,,0.659,L3465
4d.5s.(1D).5p,w 2P*,3/2,4,,52876.80,,1.318,L3465
4d.5s.(3D).5p,v 2D*,3/2,4,,55835.53,,,L3465
4d.5s.(3D).5p,v 2D*,5/2,6,,56569.44,,1.16,L3465
4d.5s.(3D).5p,v 2F*,5/2,6,,57062.00,,,L3465
4d.5s.(3D).5p,v 2F*,7/2,8,,57741.16,,1.24,L3465
4d.5s.(3D).5p,v 2P*,1/2,2,,60814.50,,,L3465
4d.5s.(3D).5p,v 2P*,3/2,4,,61861.90,,,L3465
4d2.(3F).6s,e 4F,3/2,4,,63602.64,,,L3465
4d2.(3F).6s,e 4F,5/2,6,,63868.45,,1.11,L3465
4d2.(3F).6s,e 4F,7/2,8,,64368.28,,1.205,L3465
4d2.(3F).6s,e 4F,9/2,10,,64901.71,,1.274,L3465
4d2.(3F).6s,e 2F,5/2,6,,65872.41,,,L3465
4d2.(3F).6s,e 2F,7/2,8,,66192.68,,1.18,L3465
4d2.(1D).6s,e 2D,3/2,4,,66686.25,,,L3465
4d2.(1D).6s,e 2D,5/2,6,,66868.35,,1.14,L3465
4d2.(1G).6s,e 2G,7/2,8,,69116.70,,,L3465
4d2.(1G).6s,e 2G,9/2,10,,69283.38,,,L3465
4d2.(3F).5d,f 2F,5/2,6,,73852.95,,,L3465
4d2.(3F).5d,f 2F,7/2,8,,74496.80,,,L3465
4d2.(3F).5d,f 4F,3/2,4,,74611.28,,,L3465
4d2.(3F).5d,f 4F,5/2,6,,75343.57,,,L3465
4d2.(3F).5d,f 4F,7/2,8,,76009.05,,,L3465
4d2.(3F).5d,f 4F,9/2,10,,76593.58,,,L3465
4d2.(1G).5d,e 2I,11/2,12,,76395.50,,0.999,L3465
4d2.(1G).5d,e 2I,13/2,14,,76838.70,,1.081,L3465
4d2.(1G).5d,e 2H,9/2,10,,77743.00,,,L3465
4d2.(1G).5d,e 2H,11/2,12,,78280.90,,1.073,L3465
4d2.(3F).5d,e 4H,7/2,8,,78577.85,,,L3465
4d2.(3F).5d,e 4H,9/2,10,,78847.67,,,L3465
4d2.(3F).5d,e 4H,11/2,12,,79198.35,,,L3465
4d2.(3F).5d,e 4H,13/2,14,,79280.30,,,L3465
4d2.(1G).5d,f 2G,7/2,8,,79624.60,,,L3465
4d2.(1G).5d,f 2G,9/2,10,,80311.54,,,L3465
4d2.(3F).5d,g 2G,7/2,8,,83221.45,,,L3465
4d2.(3F).5d,g 2G,9/2,10,,83547.45,,,L3465
4d2.(3F).5d,f 2H,9/2,10,,90986.50,,,L3465
4d2.(3F).5d,f 2H,11/2,12,,91737.40,,,L3465
Zr III (4d2 3F<2>),Limit,---,,,105900,,,L272
