obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
92.572,,108024,,,,,,,,,,,,1,1,,,L1336,
94.603,,105705,,,,,,,,,,,,1,1,,,L1336,
95.039,,105220,,,,,,,,,,,,1,1,,,L1336,
95.778,,104408,20,,,,,,,,,,,1,1,,,L1336,
96.794,,103312,3,,,,,,,,,,,1,1,,,L1336,
97.447,,102620,3,,,,,,,,,,,1,1,,,L1336,
98.224,,101808,2,,,,,,,,,,,1,1,,,L1336,
106.267,,94103,,,,,,,,,,,,1,1,,,L1336,
106.696,,93724,8,,,,,,,,,,,1,1,,,L1336,
108.500,,92166,,,,,,,,,,,,1,1,,,L1336,
109.078,,91678,8,,,,,,,,,,,1,1,,,L1336,
109.492,,91331,5,,,,,,,,,,,1,1,,,L1336,
110.331,,90636,20,,,,,,,,,,,1,1,,,L1336,
116.676,,85707,3,,,,,,,,,,,1,1,,,L1336,
121.086,,82586,5,,,,,,,,,,,1,1,,,L1336,
122.457,122.45923+,81661,20,,,0.00,81659.828,5d10,1S,0,5d9.6p,"(5/2,3/2)*",1,1,3,,,L1336,
133.626,,74836,3,,,,,,,,,,,1,1,,,L1336,
136.233,136.23266+,73404,6,,,0.00,73403.839,5d10,1S,0,5d9.6p,"(3/2,1/2)*",1,1,3,,,L1336,
136.315,,73359,8,,,,,,,,,,,1,1,,,L1336,
136.474,,73274,10,,,,,,,,,,,1,1,,,L1336,
138.053,,72436,8,,,,,,,,,,,1,1,,,L1336,
139.380,,71746,6,,,,,,,,,,,1,1,,,L1336,
140.512,,71168,,,,,,,,,,,,1,1,,,L1336,
141.069,,70887,,,,,,,,,,,,1,1,,,L1336,
141.522,,70660,,,,,,,,,,,,1,1,,,L1336,
143.661,,69608,20,,,,,,,,,,,1,1,,,L1336,
146.885,,68080,10,,,,,,,,,,,1,1,,,L1336,
146.917,,68066,10,,,,,,,,,,,1,1,,,L1336,
146.928,,68061,10,,,,,,,,,,,1,1,,,L1336,
148.655,,67270,25,,,,,,,,,,,1,1,,,L1336,
156.204,,64019,10,,,,,,,,,,,1,1,,,L1336,
159.341,,62758,12,,,,,,,,,,,1,1,,,L1336,
161.111,,62069,12,,,,,,,,,,,1,1,,,L1336,
161.665,,61856,,,,,,,,,,,,1,1,,,L1336,
162.283,,61621,2,,,,,,,,,,,1,1,,,L1336,
163.253,,61255,2,,,,,,,,,,,1,1,,,L1336,
165.699,,60350,10,,,,,,,,,,,1,1,,,L1336,
167.359,,59752,25,,,,,,,,,,,1,1,,,L1336,
169.438,,59019,7,,,,,,,,,,,1,1,,,L1336,
169.865,,58870,2,,,,,,,,,,,1,1,,,L1336,
170.069,,58800,30,,,,,,,,,,,1,1,,,L1336,
172.004,,58138,10,,,,,,,,,,,1,1,,,L1336,
172.575,,57946,25,,,,,,,,,,,1,1,,,L1336,
174.052,,57454,45,,,,,,,,,,,1,1,,,L1336,
174.980,,57149,10,,,,,,,,,,,1,1,,,L1336,
175.615,,56943,35,,,,,,,,,,,1,1,,,L1336,
178.322,,56078,60,,,,,,,,,,,1,1,,,L3312,
179.331,,55763,35,,,,,,,,,,,1,1,,,L3312,
180.058,,55538,35,,,,,,,,,,,1,1,,,L3312,
182.324,,54847,25,,,,,,,,,,,1,1,,,L3312,
192.164,,52039,20,,,,,,,,,,,1,1,,,L3312,
200.146,,49963.0,25,,,,,,,,,,,1,1,,,L3312,
204.520,,48895.1,50,,,,,,,,,,,1,1,,,L3312,
208.275,208.27369+,48013.4,150,,,15039.572,63053.318,5d9.6s,3D,3,5d9.6p,"(5/2,1/2)*",2,7,5,,,L3312,
209.580,,47714.6,35,,,,,,,,,,,1,1,,,L3312,
209.881,,47646.1,20,,,,,,,,,,,1,1,,,L3312,
211.135,211.13537+,47363.1,60,,,17640.616,65003.594,5d9.6s,3D,2,5d9.6p,"(5/2,1/2)*",3,5,7,,,L3312,
212.596,,47037.5,30,,,,,,,,,,,1,1,,,L3312,
218.949,,45672.6,35,,,,,,,,,,,1,1,,,L3312,
220.201,,45413.1,25,,,,,,,,,,,1,1,,,L3312,
221.632,,45119.8,35,,,,,,,,,,,1,1,,,L3312,
222.957,,44851.6,45,,,,,,,,,,,1,1,,,L3312,
223.187,,44805.4,30,,,,,,,,,,,1,1,,,L3312,
224.086,,44625.8,25,,,,,,,,,,,1,1,,,L3312,
224.926,,44459.1,70,,,,,,,,,,,1,1,,,L3312,
226.432,226.43273+,44163.4,80,,,76659.700,120822.927,5d9.6p,"(3/2,1/2)*",2,5d9.7s,"(3/2,1/2)",1,5,3,,,L3312,
226.458,,44158.3,18,,,,,,,,,,,1,1,,,L3312,
227.822,,43893.9,25,,,,,,,,,,,1,1,,,L3312,
228.400,,43782.7,25,,,,,,,,,,,1,1,,,L3312,
229.211,,43628.0,25,,,,,,,,,,,1,1,,,L3312,
230.540,,43376.4,45,,,,,,,,,,,1,1,,,L3312,
231.526,,43191.7,25,,,,,,,,,,,1,1,,,L3312,
231.646,,43169.3,20,,,,,,,,,,,1,1,,,L3312,
234.078,,42720.9,25,,,,,,,,,,,1,1,,,L3312,
253.428,,39458.9,60,,,,,,,,,,,1,1,,,L3312,
255.344,,39162.9,45,,,,,,,,,,,1,1,,,L3312,
