obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
5.738,0.003,5.738,0.003,1742800,3a,,,0.00,1742870,1s2.2s2,1S,0,1s.2s2.6p,1P*,1,1,3,,,L12120,
5.759,0.003,5.759,0.003,1736400,7a,,,0.00,1736400,1s2.2s2,1S,0,1s.2s2.5p,1P*,1,1,3,,,L12120,
5.801,0.003,5.801,0.003,1723800,10a,,,0.00,1723840,1s2.2s2,1S,0,1s.2s2.4p,1P*,1,1,3,,,L12120,
5.901,0.003,5.901,0.003,1694600,30a,,,0.00,1694630,1s2.2s2,1S,0,1s.2s2.3p,1P*,1,1,3,,,L12120,
6.379,0.003,6.379,0.003,1567600,80a,,,0.00,1567640,1s2.2s2,1S,0,1s.2s2.2p,1P*,1,1,3,,,L12120,
40.5091,0.0010,40.5091,0.0010,246858,10a*,,,0.00,246858,1s2.2s2,1S,0,1s2.2p.10d,1P*,1,1,3,,,L12120,
40.573,0.010,40.573,0.010,246470,1a*,,,0.00,246470,1s2.2s2,1S,0,1s2.2p.10s,1P*,1,1,3,,,L12120,
40.67,0.09,40.67,0.08,245900,30a*,,,0.00,245900,1s2.2s2,1S,0,1s2.2p.9d,1P*,1,1,3,,,L12120,
40.778,0.010,40.778,0.010,245230,7a*,,,0.00,245230,1s2.2s2,1S,0,1s2.2p.9s,1P*,1,1,3,,,L12120,
40.898,0.002,40.8980,0.0020,244511,22a*,,,0.00,244511,1s2.2s2,1S,0,1s2.2p.8d,1P*,1,1,3,,,L12120,
41.054,0.003,41.054,0.003,243582,6a*,,,0.00,243582,1s2.2s2,1S,0,1s2.2p.8s,1P*,1,1,3,,,L12120,
41.247,0.002,41.2470,0.0020,242442,53a*,,,0.00,242442,1s2.2s2,1S,0,1s2.2p.7d,1P*,1,1,3,,,L12120,
41.481,0.003,41.481,0.003,241074,8a*,,,0.00,241074,1s2.2s2,1S,0,1s2.2p.7s,1P*,1,1,3,,,L12120,
41.7886,0.0010,41.7885,0.0010,239300,82a*,,,0.00,239300,1s2.2s2,1S,0,1s2.2p.6d,1P*,1,1,3,,,L12120,
42.153,0.003,42.153,0.003,237231,3a*,,,0.00,237231,1s2.2s2,1S,0,1s2.2p.6s,1P*,1,1,3,,,L12120,
42.7058,0.0010,42.7058,0.0009,234160,109a*,,,0.00,234160,1s2.2s2,1S,0,1s2.2p.5d,1P*,1,1,3,,,L12120,
43.397,0.003,43.397,0.003,230431,13a*,,,0.00,230431,1s2.2s2,1S,0,1s2.2p.5s,1P*,1,1,3,,,L12120,
44.4766,0.0015,44.4765,0.0016,224837,177a*,,,0.00,224838,1s2.2s2,1S,0,1s2.2p.4d,1P*,1,1,3,,,L12120,
46.079,0.008,46.079,0.008,217020,110a*,,,0.00,217020,1s2.2s2,1S,0,1s2.2p.4s,1P*,1,1,3,,,L12120,
47.352,0.005,47.349,0.005,211184,23a*,,,37335.54,248534,1s2.2s.2p,3P*,0,1s2.2p.13p,3P,"0,1,2",1,9,,,L12120,
47.352,0.005,47.350,0.005,211184,23a*,,,37341.65,248534,1s2.2s.2p,3P*,1,1s2.2p.13p,3P,"0,1,2",3,9,,,L12120,
47.352,0.005,47.354,0.005,211184,23a*,,,37357.80,248534,1s2.2s.2p,3P*,2,1s2.2p.13p,3P,"0,1,2",5,9,,,L12120,
47.457,0.003,47.454,0.003,210717,27a*,,,37335.54,248067,1s2.2s.2p,3P*,0,1s2.2p.12p,3P,"0,1,2",1,9,,,L12120,
47.457,0.003,47.455,0.003,210717,27a*,,,37341.65,248067,1s2.2s.2p,3P*,1,1s2.2p.12p,3P,"0,1,2",3,9,,,L12120,
47.457,0.003,47.459,0.003,210717,27a*,,,37357.80,248067,1s2.2s.2p,3P*,2,1s2.2p.12p,3P,"0,1,2",5,9,,,L12120,
47.604,0.003,47.601,0.003,210066,43a*,,,37335.54,247416,1s2.2s.2p,3P*,0,1s2.2p.11p,3P,"0,1,2",1,9,,,L12120,
47.604,0.003,47.602,0.003,210066,43a*,,,37341.65,247416,1s2.2s.2p,3P*,1,1s2.2p.11p,3P,"0,1,2",3,9,,,L12120,
47.604,0.003,47.606,0.003,210066,43a*,,,37357.80,247416,1s2.2s.2p,3P*,2,1s2.2p.11p,3P,"0,1,2",5,9,,,L12120,
47.790,0.002,47.7867,0.0021,209249,31a*,,,37335.54,246599,1s2.2s.2p,3P*,0,1s2.2p.10p,3P,"0,1,2",1,9,,,L12120,
47.790,0.002,47.7880,0.0021,209249,31a*,,,37341.65,246599,1s2.2s.2p,3P*,1,1s2.2p.10p,3P,"0,1,2",3,9,,,L12120,
47.790,0.002,47.7917,0.0021,209249,31a*,,,37357.80,246599,1s2.2s.2p,3P*,2,1s2.2p.10p,3P,"0,1,2",5,9,,,L12120,
48.035,0.002,48.0318,0.0021,208182,29a*,,,37335.54,245531,1s2.2s.2p,3P*,0,1s2.2p.9p,3P,"0,1,2",1,9,,,L12120,
48.035,0.002,48.0332,0.0021,208182,29a*,,,37341.65,245531,1s2.2s.2p,3P*,1,1s2.2p.9p,3P,"0,1,2",3,9,,,L12120,
48.035,0.002,48.0369,0.0021,208182,29a*,,,37357.80,245531,1s2.2s.2p,3P*,2,1s2.2p.9p,3P,"0,1,2",5,9,,,L12120,
48.400,0.002,48.3967,0.0021,206612,40a*,,,37335.54,243961,1s2.2s.2p,3P*,0,1s2.2p.8p,3P,"0,1,2",1,9,,,L12120,
48.400,0.002,48.3982,0.0021,206612,40a*,,,37341.65,243961,1s2.2s.2p,3P*,1,1s2.2p.8p,3P,"0,1,2",3,9,,,L12120,
48.400,0.002,48.4020,0.0021,206612,40a*,,,37357.80,243961,1s2.2s.2p,3P*,2,1s2.2p.8p,3P,"0,1,2",5,9,,,L12120,
48.742,0.015,48.7550,0.0007,205160,450a*,,,0.00,205107,1s2.2s2,1S,0,1s2.2p.3d,1P*,1,1,3,,,L12120,
48.946,0.006,48.942,0.007,204310,120a*,,,37335.54,241660,1s2.2s.2p,3P*,0,1s2.2p.7p,3P,"0,1,2",1,9,,,L12120,
48.946,0.006,48.943,0.007,204310,120a*,,,37341.65,241660,1s2.2s.2p,3P*,1,1s2.2p.7p,3P,"0,1,2",3,9,,,L12120,
48.946,0.006,48.947,0.007,204310,120a*,,,37357.80,241660,1s2.2s.2p,3P*,2,1s2.2p.7p,3P,"0,1,2",5,9,,,L12120,
49.780,0.002,49.7764,0.0020,200884,68a*,,,37335.54,238234,1s2.2s.2p,3P*,0,1s2.2p.6p,3P,"0,1,2",1,9,,,L12120,
49.780,0.002,49.7779,0.0020,200884,68a*,,,37341.65,238234,1s2.2s.2p,3P*,1,1s2.2p.6p,3P,"0,1,2",3,9,,,L12120,
49.780,0.002,49.7819,0.0020,200884,68a*,,,37357.80,238234,1s2.2s.2p,3P*,2,1s2.2p.6p,3P,"0,1,2",5,9,,,L12120,
49.881,0.002,49.8774,0.0020,200477,56a*,,,37335.54,237827,1s2.2s.2p,3P*,0,1s2.2p.6p,3D,"1,2,3",1,15,,,L12120,
49.881,0.002,49.8790,0.0020,200477,56a*,,,37341.65,237827,1s2.2s.2p,3P*,1,1s2.2p.6p,3D,"1,2,3",3,15,,,L12120,
49.881,0.002,49.8830,0.0020,200477,56a*,,,37357.80,237827,1s2.2s.2p,3P*,2,1s2.2p.6p,3D,"1,2,3",5,15,,,L12120,
50.73,0.05,50.73,0.05,197120,47a,,,0.00,197120,1s2.2s2,1S,0,1s2.2s.9p,1P*,1,1,3,,,L12120,
51.13,0.05,51.13,0.05,195580,47a,,,0.00,195580,1s2.2s2,1S,0,1s2.2s.8p,1P*,1,1,3,,,L12120,
51.299,0.002,51.2953,0.0021,194936,90a*,,,37335.54,232285,1s2.2s.2p,3P*,0,1s2.2p.5p,3P,"0,1,2",1,9,,,L12120,
51.299,0.002,51.2970,0.0021,194936,90a*,,,37341.65,232285,1s2.2s.2p,3P*,1,1s2.2p.5p,3P,"0,1,2",3,9,,,L12120,
51.299,0.002,51.3012,0.0021,194936,90a*,,,37357.80,232285,1s2.2s.2p,3P*,2,1s2.2p.5p,3P,"0,1,2",5,9,,,L12120,
51.496,0.002,51.4921,0.0021,194190,80a*,,,37335.54,231540,1s2.2s.2p,3P*,0,1s2.2p.5p,3D,"1,2,3",1,15,,,L12120,
51.496,0.002,51.4937,0.0021,194190,80a*,,,37341.65,231540,1s2.2s.2p,3P*,1,1s2.2p.5p,3D,"1,2,3",3,15,,,L12120,
51.496,0.002,51.4980,0.0021,194190,80a*,,,37357.80,231540,1s2.2s.2p,3P*,2,1s2.2p.5p,3D,"1,2,3",5,15,,,L12120,
51.72,0.05,51.654,0.003,193350,94a,,,0.00,193594,1s2.2s2,1S,0,1s2.2s.7p,1P*,1,1,3,,,L12120,
