obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""143.315""","=""143.3225+""","=""""","=""""",,"=""5674.807""","=""75447.5""","=""5d""","=""2D""","=""5/2""","=""10f""","=""2F*""","=""5/2""",,"=""""","=""L3450""",
"=""144.485""","=""144.47277+""","=""""","=""8.1e+06""",E,"=""4873.852""","=""74091.05""","=""5d""","=""2D""","=""3/2""","=""9f""","=""2F*""","=""5/2""",,"=""T4515""","=""L3450""",
"=""150.401""","=""150.38638+""","=""""","=""1.5e+07""",E,"=""5674.807""","=""72170.19""","=""5d""","=""2D""","=""5/2""","=""8f""","=""2F*""","=""7/2""",,"=""T4515""","=""L3450""",
"=""155.438""","=""155.42939+""","=""""","=""2.6e+07""",E,"=""4873.852""","=""69211.75""","=""5d""","=""2D""","=""3/2""","=""7f""","=""2F*""","=""5/2""",,"=""T4515""","=""L3450""",
"=""157.273""","=""157.26818+""","=""""","=""2.4e+07""",E,"=""5674.807""","=""69260.46""","=""5d""","=""2D""","=""5/2""","=""7f""","=""2F*""","=""7/2""",,"=""T4515""","=""L3450""",
"=""157.392""","=""157.38875+""","=""""","=""1.6e+06""",E,"=""5674.807""","=""69211.75""","=""5d""","=""2D""","=""5/2""","=""7f""","=""2F*""","=""5/2""",,"=""T4515""","=""L3450""",
"=""163.040""","=""163.027+""","=""""","=""2.4e+06""",C,"=""0.000""","=""61339.5""","=""6s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",,"=""T3225,T7387""","=""L3450""",
"=""167.451""","=""167.4411+""","=""""","=""2.2e+07""",E,"=""4873.852""","=""64596.33""","=""5d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",,"=""T4515""","=""L3450""",
"=""169.437""","=""169.4276+""","=""""","=""2.1e+07""",E,"=""5674.807""","=""64697.08""","=""5d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",,"=""T4515""","=""L3450""",
"=""169.716""","=""169.7173+""","=""""","=""1.7e+06""",E,"=""5674.807""","=""64596.33""","=""5d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""5/2""",,"=""T4515""","=""L3450""",
"=""176.175""","=""176.155+""","=""""","=""3.9e+05""",E,"=""4873.852""","=""61642.0""","=""5d""","=""2D""","=""3/2""","=""8p""","=""2P*""","=""3/2""",,"=""T4515""","=""L3450""",
"=""177.103""","=""177.099+""","=""""","=""1.0e+07""",D,"=""4873.852""","=""61339.5""","=""5d""","=""2D""","=""3/2""","=""8p""","=""2P*""","=""1/2""",,"=""T3225,T7387""","=""L3450""",
"=""178.693""","=""178.676+""","=""""","=""4.4e+06""",E,"=""5674.807""","=""61642.0""","=""5d""","=""2D""","=""5/2""","=""8p""","=""2P*""","=""3/2""",,"=""T4515""","=""L3450""",
"=""189.265""","=""189.2505+""","=""""","=""1.3e+07""",D,"=""20261.561""","=""73101.58""","=""6p""","=""2P*""","=""1/2""","=""10d""","=""2D""","=""3/2""",,"=""T3225,T7387""","=""L3450""",
"=""192.46712""","=""192.46710+""","=""10""","=""3.1e+06""",E,"=""5674.807""","=""57631.739""","=""5d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""7/2""",,"=""T4515""","=""L9224""",
"=""195.421""","=""195.4272+""","=""""","=""1.4e+07""",D,"=""21952.404""","=""73122.35""","=""6p""","=""2P*""","=""3/2""","=""10d""","=""2D""","=""5/2""",,"=""T3225,T7387""","=""L3450""",
"=""197.019""","=""197.0332+""","=""""","=""6.7e+06""",E,"=""21952.404""","=""72705.28""","=""6p""","=""2P*""","=""3/2""","=""11s""","=""2S""","=""1/2""",,"=""T4515""","=""L3450""",
"=""198.57548""","=""198.57548+""","=""6""","=""2.0e+07""",D,"=""20261.561""","=""70620.247""","=""6p""","=""2P*""","=""1/2""","=""9d""","=""2D""","=""3/2""",,"=""T3225,T7387""","=""L9224""",
"=""199.952""","=""199.95465+""","=""""","=""1.0e+07""",E,"=""0.000""","=""50011.340""","=""6s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",,"=""T4515""","=""L3450""",
obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""200.920""","=""200.92785+""","=""""","=""6.5e+06""",C+,"=""20261.561""","=""70014.584""","=""6p""","=""2P*""","=""1/2""","=""10s""","=""2S""","=""1/2""",,"=""T3225,T7387""","=""L3450""",
"=""202.40561""","=""202.40564+""","=""5""","=""6.9e+06""",C,"=""0.000""","=""49389.822""","=""6s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",,"=""T3225,T7387""","=""L9224""",
"=""205.27516""","=""205.27516+""","=""12""","=""2.2e+07""",D,"=""21952.404""","=""70651.905""","=""6p""","=""2P*""","=""3/2""","=""9d""","=""2D""","=""5/2""",,"=""T3225,T7387""","=""L9224""",
"=""205.391""","=""205.40871+""","=""""","=""3.7e+06""",D,"=""21952.404""","=""70620.247""","=""6p""","=""2P*""","=""3/2""","=""9d""","=""2D""","=""3/2""",,"=""T3225,T7387""","=""L3450""",
"=""207.99753""","=""207.99753+""","=""9""","=""1.2e+07""",C+,"=""21952.404""","=""70014.584""","=""6p""","=""2P*""","=""3/2""","=""10s""","=""2S""","=""1/2""",,"=""T3225,T7387""","=""L9224""",
"=""215.39336""","=""215.39337+""","=""74""","=""3.4e+07""",C,"=""20261.561""","=""66673.651""","=""6p""","=""2P*""","=""1/2""","=""8d""","=""2D""","=""3/2""",,"=""T3225,T7387""","=""L9224""",
"=""220.08853""","=""220.08852+""","=""30""","=""1.1e+07""",C+,"=""20261.561""","=""65683.646""","=""6p""","=""2P*""","=""1/2""","=""9s""","=""2S""","=""1/2""",,"=""T3225,T7387""","=""L9224""",
"=""221.47634""","=""221.47634+""","=""45""","=""1.6e+06""",D,"=""4873.852""","=""50011.340""","=""5d""","=""2D""","=""3/2""","=""7p""","=""2P*""","=""3/2""",,"=""T3225,T7387""","=""L9224""",
"=""223.27858""","=""223.27858+""","=""170""","=""3.7e+07""",C,"=""21952.404""","=""66725.591""","=""6p""","=""2P*""","=""3/2""","=""8d""","=""2D""","=""5/2""",,"=""T3225,T7387""","=""L9224""",
"=""223.53795""","=""223.53793+""","=""17""","=""6.1e+06""",C,"=""21952.404""","=""66673.651""","=""6p""","=""2P*""","=""3/2""","=""8d""","=""2D""","=""3/2""",,"=""T3225,T7387""","=""L9224""",
