obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""8.085""","=""0.003""","=""8.085""","=""0.003""","=""*""","=""""",,"=""977597.9+x""","=""2214500+x""","=""1s.2p2""","=""4P""","=""1/2""","=""2p3""","=""4S*""","=""3/2""",,"=""""","=""L12158""",
"=""8.085""","=""0.003""","=""8.085""","=""0.003""","=""*""","=""""",,"=""977597.9+x""","=""2214500+x""","=""1s.2p2""","=""4P""","=""5/2""","=""2p3""","=""4S*""","=""3/2""",,"=""""","=""L12158""",
"=""8.085""","=""0.003""","=""8.085""","=""0.003""","=""*""","=""""",,"=""977597.9+x""","=""2214500+x""","=""1s.2p2""","=""4P""","=""3/2""","=""2p3""","=""4S*""","=""3/2""",,"=""""","=""L12158""",
"=""8.258""","=""0.003""","=""8.258""","=""0.003""","=""a*""","=""""",,"=""0.000""","=""1210900a?""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).3s.3p.(1P*)""","=""2P*""","=""3/2""",,"=""""","=""L12158""",
"=""8.258""","=""0.003""","=""8.258""","=""0.003""","=""a*""","=""""",,"=""0.000""","=""1210900a?""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).3s.3p.(1P*)""","=""2P*""","=""1/2""",,"=""""","=""L12158""",
"=""8.364""","=""0.003""","=""8.364""","=""0.003""","=""a*""","=""""",,"=""0.000""","=""1195600a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).3s.3p.(3P*)""","=""2P*""","=""3/2""",,"=""""","=""L12158""",
"=""8.364""","=""0.003""","=""8.364""","=""0.003""","=""a*""","=""""",,"=""0.000""","=""1195600a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).3s.3p.(3P*)""","=""2P*""","=""1/2""",,"=""""","=""L12158""",
"=""9.149""","=""0.004""","=""9.1566""","=""0.0011""","=""a*""","=""""",,"=""31928.744""","=""1124040?""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).5p""","=""2P""","=""1/2""",,"=""""","=""L12158""",
"=""9.149""","=""0.004""","=""9.1566""","=""0.0011""","=""a*""","=""""",,"=""31935.320""","=""1124040?""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).5p""","=""2P""","=""1/2""",,"=""""","=""L12158""",
"=""9.149""","=""0.004""","=""9.1566""","=""0.0011""","=""a*""","=""""",,"=""31935.320""","=""1124040?""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).5p""","=""2P""","=""3/2""",,"=""""","=""L12158""",
"=""9.149""","=""0.004""","=""9.1566""","=""0.0011""","=""a*""","=""""",,"=""31928.744""","=""1124040?""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).5p""","=""2P""","=""3/2""",,"=""""","=""L12158""",
"=""9.253""","=""0.006""","=""9.253""","=""0.006""","=""4a*""","=""""",,"=""31935.320""","=""1112700""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).4p""","=""2P""","=""1/2""",,"=""""","=""L12158""",
"=""9.253""","=""0.006""","=""9.253""","=""0.006""","=""4a*""","=""""",,"=""31928.744""","=""1112700""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).4p""","=""2P""","=""1/2""",,"=""""","=""L12158""",
"=""9.253""","=""0.006""","=""9.253""","=""0.006""","=""4a*""","=""""",,"=""31935.320""","=""1112700""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).4p""","=""2P""","=""3/2""",,"=""""","=""L12158""",
"=""9.253""","=""0.006""","=""9.253""","=""0.006""","=""4a*""","=""""",,"=""31928.744""","=""1112700""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).4p""","=""2P""","=""3/2""",,"=""""","=""L12158""",
"=""9.316""","=""0.003""","=""9.316""","=""0.003""","=""11a*""","=""""",,"=""0.000""","=""1073400a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2p.(3P*).3s""","=""2P*""","=""3/2""",,"=""""","=""L12158""",
"=""9.316""","=""0.003""","=""9.316""","=""0.003""","=""11a*""","=""""",,"=""0.000""","=""1073400a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2p.(3P*).3s""","=""2P*""","=""1/2""",,"=""""","=""L12158""",
"=""9.343""","=""0.003""","=""9.343""","=""0.003""","=""11a*""","=""""",,"=""0.000""","=""1070300a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).4p""","=""2P*""","=""3/2""",,"=""""","=""L12158""",
"=""9.343""","=""0.003""","=""9.343""","=""0.003""","=""11a*""","=""""",,"=""0.000""","=""1070300a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).4p""","=""2P*""","=""1/2""",,"=""""","=""L12158""",
"=""9.371""","=""0.004""","=""9.372""","=""0.004""","=""7a*""","=""""",,"=""31928.744""","=""1098900""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""""","=""L12158""",
"=""9.371""","=""0.004""","=""9.372""","=""0.004""","=""7a*""","=""""",,"=""31935.320""","=""1098900""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""""","=""L12158""",
"=""9.371""","=""0.004""","=""9.372""","=""0.004""","=""7a*""","=""""",,"=""31928.744""","=""1098900""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""""","=""L12158""",
"=""9.371""","=""0.004""","=""9.372""","=""0.004""","=""7a*""","=""""",,"=""31935.320""","=""1098900""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""""","=""L12158""",
"=""9.393""","=""0.003""","=""9.393""","=""0.003""","=""2a*""","=""""",,"=""0.000""","=""1064600a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""3/2""",,"=""""","=""L12158""",
"=""9.393""","=""0.003""","=""9.393""","=""0.003""","=""2a*""","=""""",,"=""0.000""","=""1064600a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""1/2""",,"=""""","=""L12158""",
"=""9.456""","=""0.004""","=""9.461""","=""0.004""","=""8a*""","=""""",,"=""31928.744""","=""1088900?""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2P""","=""1/2""",,"=""""","=""L12158""",
"=""9.456""","=""0.004""","=""9.461""","=""0.004""","=""8a*""","=""""",,"=""31935.320""","=""1088900?""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2P""","=""3/2""",,"=""""","=""L12158""",
"=""9.456""","=""0.004""","=""9.461""","=""0.004""","=""8a*""","=""""",,"=""31928.744""","=""1088900?""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2P""","=""3/2""",,"=""""","=""L12158""",
"=""9.456""","=""0.004""","=""9.461""","=""0.004""","=""8a*""","=""""",,"=""31935.320""","=""1088900?""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2P""","=""1/2""",,"=""""","=""L12158""",
"=""9.479""","=""0.003""","=""9.478""","=""0.003""","=""21a*""","=""""",,"=""31935.320""","=""1087000a""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2D""","=""5/2""",,"=""""","=""L12158""",
"=""9.479""","=""0.003""","=""9.478""","=""0.003""","=""21a*""","=""""",,"=""31935.320""","=""1087000a""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2D""","=""3/2""",,"=""""","=""L12158""",
"=""9.479""","=""0.003""","=""9.478""","=""0.003""","=""21a*""","=""""",,"=""31928.744""","=""1087000a""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2D""","=""3/2""",,"=""""","=""L12158""",
"=""9.534""","=""0.004""","=""9.534""","=""0.004""","=""8a*""","=""""",,"=""31928.744""","=""1080800a""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L12158""",
"=""9.534""","=""0.004""","=""9.534""","=""0.004""","=""8a*""","=""""",,"=""31935.320""","=""1080800a""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""L12158""",
"=""9.562""","=""0.005""","=""9.562""","=""0.005""","=""20a*""","=""""",,"=""31935.320""","=""1077700a""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(3S).4d""","=""2D""","=""3/2""",,"=""""","=""L12158""",
"=""9.562""","=""0.005""","=""9.562""","=""0.005""","=""20a*""","=""""",,"=""31935.320""","=""1077700a""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(3S).4d""","=""2D""","=""5/2""",,"=""""","=""L12158""",
"=""9.562""","=""0.005""","=""9.562""","=""0.005""","=""20a*""","=""""",,"=""31928.744""","=""1077700a""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s.(3S).4d""","=""2D""","=""3/2""",,"=""""","=""L12158""",
"=""9.5734""","=""0.0020""","=""9.5730""","=""0.0020""","=""25a*""","=""""",,"=""0.000""","=""1044600a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""2P*""","=""1/2""",,"=""""","=""L12158""",
"=""9.5734""","=""0.0020""","=""9.5730""","=""0.0020""","=""25a*""","=""""",,"=""0.000""","=""1044600a""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""2P*""","=""3/2""",,"=""""","=""L12158""",
"=""9.577""","=""0.003""","=""9.577""","=""0.003""","=""20a*""","=""""",,"=""31935.320""","=""1076100a""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2D""","=""5/2""",,"=""""","=""L12158""",
"=""9.577""","=""0.003""","=""9.577""","=""0.003""","=""20a*""","=""""",,"=""31928.744""","=""1076100a""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""""","=""L12158""",
"=""9.577""","=""0.003""","=""9.577""","=""0.003""","=""20a*""","=""""",,"=""31935.320""","=""1076100a""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""""","=""L12158""",
"=""9.602""","=""0.007""","=""9.601""","=""0.007""","=""5a*""","=""""",,"=""31935.320""","=""1073500a""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(1S).3d""","=""2D""","=""3/2""",,"=""""","=""L12158""",
"=""9.602""","=""0.007""","=""9.601""","=""0.007""","=""5a*""","=""""",,"=""31928.744""","=""1073500a""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s.(1S).3d""","=""2D""","=""3/2""",,"=""""","=""L12158""",
"=""9.602""","=""0.007""","=""9.601""","=""0.007""","=""5a*""","=""""",,"=""31935.320""","=""1073500a""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(1S).3d""","=""2D""","=""5/2""",,"=""""","=""L12158""",
"=""9.625""","=""0.004""","=""9.625""","=""0.004""","=""15a*""","=""""",,"=""31928.744""","=""1070900""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2P""","=""1/2""",,"=""""","=""L12158""",
"=""9.625""","=""0.004""","=""9.625""","=""0.004""","=""15a*""","=""""",,"=""31935.320""","=""1070900""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2P""","=""1/2""",,"=""""","=""L12158""",
"=""9.625""","=""0.004""","=""9.625""","=""0.004""","=""15a*""","=""""",,"=""31928.744""","=""1070900""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""""","=""L12158""",
"=""9.625""","=""0.004""","=""9.625""","=""0.004""","=""15a*""","=""""",,"=""31935.320""","=""1070900""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""""","=""L12158""",
"=""9.788""","=""0.004""","=""9.788""","=""0.004""","=""7a*""","=""""",,"=""31935.320""","=""1053600a""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(3S).3d""","=""2D""","=""3/2""",,"=""""","=""L12158""",
"=""9.788""","=""0.004""","=""9.788""","=""0.004""","=""7a*""","=""""",,"=""31928.744""","=""1053600a""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s.(3S).3d""","=""2D""","=""3/2""",,"=""""","=""L12158""",
"=""9.788""","=""0.004""","=""9.788""","=""0.004""","=""7a*""","=""""",,"=""31935.320""","=""1053600a""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(3S).3d""","=""2D""","=""5/2""",,"=""""","=""L12158""",
