obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
,128.7203,77687.8,,2.42e+07,C,13650.19,91338.0,3p6.3d,2D,3/2,3p6.10f,2F*,5/2,4,6,,"u7,LS",,
,128.8210,77627.1,,2.58e+07,C,13710.88,91338.0,3p6.3d,2D,5/2,3p6.10f,2F*,7/2,6,8,,"u7,LS",,
,128.8210,77627.1,,1.72e+06,C,13710.88,91338.0,3p6.3d,2D,5/2,3p6.10f,2F*,5/2,6,6,,"u7,LS",,
,130.4635,76649.8,,3.28e+07,C,13650.19,90300.0,3p6.3d,2D,3/2,3p6.9f,2F*,5/2,4,6,,"u7,LS",,
,130.5668,76589.1,,3.52e+07,C,13710.88,90300.0,3p6.3d,2D,5/2,3p6.9f,2F*,7/2,6,8,,"u7,LS",,
,130.5668,76589.1,,2.34e+06,C,13710.88,90300.0,3p6.3d,2D,5/2,3p6.9f,2F*,5/2,6,6,,"u7,LS",,
,132.9838,75197.1,,4.59e+07,C,13650.19,88847.31,3p6.3d,2D,3/2,3p6.8f,2F*,5/2,4,6,,"u7,LS",,
,133.0912,75136.4,,4.91e+07,C,13710.88,88847.31,3p6.3d,2D,5/2,3p6.8f,2F*,7/2,6,8,,"u7,LS",,
,133.0912,75136.4,,3.28e+06,C,13710.88,88847.31,3p6.3d,2D,5/2,3p6.8f,2F*,5/2,6,6,,"u7,LS",,
134.189,,74522,24,,,,,,,,,,,1,1,,,L7256,
134.254,,74486,12,,,,,,,,,,,1,1,,,L7256,
,136.8422,73076.9,,6.6e+07,C,13650.19,86727.06,3p6.3d,2D,3/2,3p6.7f,2F*,5/2,4,6,,"u7,LS",,
,136.9559,73016.2,,7.1e+07,C,13710.88,86727.06,3p6.3d,2D,5/2,3p6.7f,2F*,7/2,6,8,,"u7,LS",,
,136.9559,73016.2,,4.73e+06,C,13710.88,86727.06,3p6.3d,2D,5/2,3p6.7f,2F*,5/2,6,6,,"u7,LS",,
143.250,143.2503,69808,12,1.01e+08,C,13650.19,83458.08,3p6.3d,2D,3/2,3p6.6f,2F*,5/2,4,6,,"u7,LS",L7256,
143.375,143.3749,69747,20*,1.07e+08,C,13710.88,83458.08,3p6.3d,2D,5/2,3p6.6f,2F*,7/2,6,8,,"u7,LS",L7256,
143.375,143.3749,69747,20*,7.2e+06,C,13710.88,83458.08,3p6.3d,2D,5/2,3p6.6f,2F*,5/2,6,6,,"u7,LS",L7256,
,145.5541,68703.0,,1.31e+06,C,25191.51,93894.5,3p6.4p,2P*,1/2,3p6.16d,2D,3/2,2,4,,"u7,LS",,
,146.0278,68480.1,,2.59e+05,C,25414.40,93894.5,3p6.4p,2P*,3/2,3p6.16d,2D,3/2,4,4,,"u7,LS",,
,146.0278,68480.1,,1.55e+06,C,25414.40,93894.5,3p6.4p,2P*,3/2,3p6.16d,2D,5/2,4,6,,"u7,LS",,
,146.1232,68435.4,,1.61e+06,C,25191.51,93626.9,3p6.4p,2P*,1/2,3p6.15d,2D,3/2,2,4,,"u7,LS",,
,146.6007,68212.5,,3.20e+05,C,25414.40,93626.9,3p6.4p,2P*,3/2,3p6.15d,2D,3/2,4,4,,"u7,LS",,
,146.6007,68212.5,,1.92e+06,C,25414.40,93626.9,3p6.4p,2P*,3/2,3p6.15d,2D,5/2,4,6,,"u7,LS",,
,146.8297,68106.1,,2.02e+06,C,25191.51,93297.6,3p6.4p,2P*,1/2,3p6.14d,2D,3/2,2,4,,"u7,LS",,
,147.3119,67883.2,,3.99e+05,C,25414.40,93297.6,3p6.4p,2P*,3/2,3p6.14d,2D,3/2,4,4,,"u7,LS",,
,147.3119,67883.2,,2.40e+06,C,25414.40,93297.6,3p6.4p,2P*,3/2,3p6.14d,2D,5/2,4,6,,"u7,LS",,
,147.7291,67691.5,,2.56e+06,C,25191.51,92883.0,3p6.4p,2P*,1/2,3p6.13d,2D,3/2,2,4,,"u7,LS",,
,148.2171,67468.6,,5.1e+05,C,25414.40,92883.0,3p6.4p,2P*,3/2,3p6.13d,2D,3/2,4,4,,"u7,LS",,
,148.2171,67468.6,,3.04e+06,C,25414.40,92883.0,3p6.4p,2P*,3/2,3p6.13d,2D,5/2,4,6,,"u7,LS",,
,148.8815,67167.5,,3.33e+06,C,25191.51,92359.0,3p6.4p,2P*,1/2,3p6.12d,2D,3/2,2,4,,"u7,LS",,
,149.3772,66944.6,,6.6e+05,C,25414.40,92359.0,3p6.4p,2P*,3/2,3p6.12d,2D,3/2,4,4,,"u7,LS",,
,149.3772,66944.6,,3.95e+06,C,25414.40,92359.0,3p6.4p,2P*,3/2,3p6.12d,2D,5/2,4,6,,"u7,LS",,
,150.4201,66480.5,,4.46e+06,C,25191.51,91672.0,3p6.4p,2P*,1/2,3p6.11d,2D,3/2,2,4,,"u7,LS",,
,150.9261,66257.6,,8.8e+05,C,25414.40,91672.0,3p6.4p,2P*,3/2,3p6.11d,2D,3/2,4,4,,"u7,LS",,
,150.9261,66257.6,,5.3e+06,C,25414.40,91672.0,3p6.4p,2P*,3/2,3p6.11d,2D,5/2,4,6,,"u7,LS",,
,152.5264,65562.4,,6.1e+06,C,25191.51,90753.92,3p6.4p,2P*,1/2,3p6.10d,2D,3/2,2,4,,"u7,LS",,
,153.0447,65340.4,,7.3e+06,C,25414.40,90754.80,3p6.4p,2P*,3/2,3p6.10d,2D,5/2,4,6,,"u7,LS",,
,153.0467,65339.5,,1.22e+06,C,25414.40,90753.92,3p6.4p,2P*,3/2,3p6.10d,2D,3/2,4,4,,"u7,LS",,
155.318,155.3176,64384,20,1.59e+08,C,13650.19,78034.39,3p6.3d,2D,3/2,3p6.5f,2F*,5/2,4,6,,"u7,LS",L7256,
155.464,155.4642,64324,32*,1.13e+07,C,13710.88,78034.39,3p6.3d,2D,5/2,3p6.5f,2F*,5/2,6,6,,"u7,LS",L7256,
155.464,155.4642,64324,32*,1.69e+08,C,13710.88,78034.39,3p6.3d,2D,5/2,3p6.5f,2F*,7/2,6,8,,"u7,LS",L7256,
,155.5297,64296.4,,8.9e+06,C,25191.51,89487.93,3p6.4p,2P*,1/2,3p6.9d,2D,3/2,2,4,,"u7,LS",,
,156.0678,64074.7,,1.05e+07,C,25414.40,89489.13,3p6.4p,2P*,3/2,3p6.9d,2D,5/2,4,6,,"u7,LS",,
,156.0707,64073.5,,1.75e+06,C,25414.40,89487.93,3p6.4p,2P*,3/2,3p6.9d,2D,3/2,4,4,,"u7,LS",,
,160.0501,62480.4,,1.36e+07,C,25191.51,87671.93,3p6.4p,2P*,1/2,3p6.8d,2D,3/2,2,4,,"u7,LS",,
,160.6185,62259.3,,1.61e+07,C,25414.40,87673.72,3p6.4p,2P*,3/2,3p6.8d,2D,5/2,4,6,,"u7,LS",,
,160.6231,62257.5,,2.69e+06,C,25414.40,87671.93,3p6.4p,2P*,3/2,3p6.8d,2D,3/2,4,4,,"u7,LS",,
164.280,164.2803,60872,4,1.4e+05,D,13650.19,74521.75,3p6.3d,2D,3/2,3p6.6p,2P*,3/2,4,4,,"u7,LS",L7256,
164.377,164.3798,60836,20,1.4e+06,D,13650.19,74484.92,3p6.3d,2D,3/2,3p6.6p,2P*,1/2,4,2,,"u7,LS",L7256,
164.444,164.4443,60811,36,1.3e+06,D,13710.88,74521.75,3p6.3d,2D,5/2,3p6.6p,2P*,3/2,6,4,,"u7,LS",L7256,
164.986,,60611,60,,,,,,,,,,,1,1,,,L7256,
165.199,,60533,32,,,,,,,,,,,1,1,,,L7256,
167.386,167.3860,59742,12,2.24e+07,C,25191.51,84933.65,3p6.4p,2P*,1/2,3p6.7d,2D,3/2,2,4,,"u7,LS",L7256,
168.005,168.0051,59522,20,2.65e+07,C,25414.40,84936.41,3p6.4p,2P*,3/2,3p6.7d,2D,5/2,4,6,,"u7,LS",L7256,
168.013,168.0129,59519,2,4.41e+06,C,25414.40,84933.65,3p6.4p,2P*,3/2,3p6.7d,2D,3/2,4,4,,"u7,LS",L7256,
169.178,169.1779,59109,8,9.0e+06,C,25191.51,84300.89,3p6.4p,2P*,1/2,3p6.8s,2S,1/2,2,2,,"u7,LS",L7256,
169.818,169.8182,58887,16,1.79e+07,C,25414.40,84300.89,3p6.4p,2P*,3/2,3p6.8s,2S,1/2,4,2,,"u7,LS",L7256,
180.734,180.7337,55330,20,4.12e+07,C,25191.51,80521.53,3p6.4p,2P*,1/2,3p6.6d,2D,3/2,2,4,,"u7,LS",L7256,
181.450,181.4495,55112,40,4.86e+07,C,25414.40,80526.16,3p6.4p,2P*,3/2,3p6.6d,2D,5/2,4,6,,"u7,LS",L7256,
181.465,181.4647,55107,4,7.0e+06,C,25414.40,80521.53,3p6.4p,2P*,3/2,3p6.6d,2D,3/2,4,4,,T8043,L7256,
183.801,183.8008,54407,40,2.44e+08,C,13650.19,68056.91,3p6.3d,2D,3/2,3p6.4f,2F*,5/2,4,6,,"u7,LS",L7256,
184.006,184.0061,54346,60*,2.60e+08,C,13710.88,68056.91,3p6.3d,2D,5/2,3p6.4f,2F*,7/2,6,8,,"u7,LS",L7256,
184.006,184.0061,54346,60*,1.73e+07,C,13710.88,68056.91,3p6.3d,2D,5/2,3p6.4f,2F*,5/2,6,6,,"u7,LS",L7256,
184.309,184.3088,54257,20,1.55e+07,C,25191.51,79448.28,3p6.4p,2P*,1/2,3p6.7s,2S,1/2,2,2,,"u7,LS",L7256,
185.069,185.0691,54034,40,3.08e+07,C,25414.40,79448.28,3p6.4p,2P*,3/2,3p6.7s,2S,1/2,4,2,,"u7,LS",L7256,
210.391,210.3902,47530.6,,8.2e+07,C,25191.51,72722.23,3p6.4p,2P*,1/2,3p6.5d,2D,3/2,2,4,,T8043,L7323,
211.343,211.3426,47316.5,,9.7e+07,C,25414.40,72730.93,3p6.4p,2P*,3/2,3p6.5d,2D,5/2,4,6,,T8043,L7323,
