obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
76.118,76.1182+,131375,1,,,0.00,131374.7,4d10.5s,2S,1/2,4d10.12p,2P*,3/2,2,4,,,L3540,
76.794,76.7951+,130219,10,,,0.00,130216.6,4d10.5s,2S,1/2,4d10.11p,2P*,3/2,2,4,,,L3540,
76.945,76.9489+,129963,1,,,0.00,129956.3,4d10.5s,2S,1/2,4d10.11p,2P*,1/2,2,2,,,L3540,
77.312,77.31270+,129346,20,,,0.00,129344.86,4d10.5s,2S,1/2,4d9.5s.(1D).5p,2P*,3/2,2,4,,,L3540,
78.080,78.0785+,128074,5,,,0.00,128076.3,4d10.5s,2S,1/2,4d10.10p,2P*,1/2,2,2,,,L3540,
78.126,78.12700+,127998,25,,,0.00,127996.73,4d10.5s,2S,1/2,4d10.10p,2P*,3/2,2,4,,,L3540,
79.837,79.83746+,125255,50,,,0.00,125254.49,4d10.5s,2S,1/2,4d10.9p,2P*,3/2,2,4,,,L3540,
79.857,79.85750+,125224,15,,,0.00,125223.06,4d10.5s,2S,1/2,4d10.9p,2P*,1/2,2,2,,,L3540,
82.840,82.84237+,120715,2,,,0.00,120711.18,4d10.5s,2S,1/2,4d10.8p,2P*,3/2,2,4,,,L3540,
82.905,82.90605+,120620,15,,,0.00,120618.46,4d10.5s,2S,1/2,4d10.8p,2P*,1/2,2,2,,,L3540,
83.238,83.23954+,120137,40,2.8e+07,D+,0.00,120135.22,4d10.5s,2S,1/2,4d9.5s.(3D).5p,2D*,3/2,2,4,,T3096,L3540,
83.826,83.82652+,119295,30,1.2e+09,D+,0.00,119293.99,4d10.5s,2S,1/2,4d9.5s.(3D).5p,2P*,1/2,2,2,,T3096,L3540,
83.994,83.99401+,119056,30,1.27e+09,C,0.00,119056.11,4d10.5s,2S,1/2,4d9.5s.(3D).5p,2P*,3/2,2,4,,T3096,L3540,
88.895,88.89648+,112492,25,1.7e+07,D+,0.00,112490.39,4d10.5s,2S,1/2,4d10.7p,2P*,3/2,2,4,,T3096,L3540,
88.998,88.99880+,112362,15,,,0.00,112361.06,4d10.5s,2S,1/2,4d10.7p,2P*,1/2,2,2,,,L3540,
89.128,89.12934+,112198,25,,,0.00,112196.50,4d10.5s,2S,1/2,4d9.5s.(3D).5p,4P*,1/2,2,2,,,L3540,
91.372,91.37355+,109443,20,,,0.00,109440.86,4d10.5s,2S,1/2,4d9.5s.(3D).5p,4P*,3/2,2,4,,,L3540,
104.838,104.83979+,95385,40,,,0.00,95383.63,4d10.5s,2S,1/2,4d10.6p,2P*,3/2,2,4,,,L3540,
105.583,105.58501+,94712,25,,,0.00,94710.41,4d10.5s,2S,1/2,4d10.6p,2P*,1/2,2,2,,,L3540,
116.858,116.86008+,85574,5,,,44136.08,129708.50,4d10.5p,2P*,1/2,4d10.10d,2D,3/2,2,4,,,L3540,
119.669,119.67255+,83564,15,,,44136.08,127697.43,4d10.5p,2P*,1/2,4d10.9d,2D,3/2,2,4,,,L3540,
120.334,120.33678+,83102,5,,,46618.55,129718.66,4d10.5p,2P*,3/2,4d10.10d,2D,5/2,4,6,,,L3540,
,120.35150+,83089.95,,,,46618.55,129708.50,4d10.5p,2P*,3/2,4d10.10d,2D,3/2,4,4,,,,
123.310,123.31410+,81096,20,2.5e+07,E,46618.55,127712.28,4d10.5p,2P*,3/2,4d10.9d,2D,5/2,4,6,,T6537,L3540,
123.332,123.33668+,81082,5,,,46618.55,127697.43,4d10.5p,2P*,3/2,4d10.9d,2D,3/2,4,4,,,L3540,
124.254,124.25877+,80480,75,4.0e+07,E,44136.08,124613.30,4d10.5p,2P*,1/2,4d10.8d,2D,3/2,2,4,,T6537,L3540,
125.600,125.60384+,79618,100,,,44136.08,123751.48,4d10.5p,2P*,1/2,4d10.9s,2S,1/2,2,2,,,L3540,
128.173,128.17563+,78020,75,4.1e+07,D+,46618.55,124636.50,4d10.5p,2P*,3/2,4d10.8d,2D,5/2,4,6,,T6537,L3540,
128.212,128.21376+,77996,15,,,46618.55,124613.30,4d10.5p,2P*,3/2,4d10.8d,2D,3/2,4,4,,,L3540,
129.643,129.64631+,77135,150,,,46618.55,123751.48,4d10.5p,2P*,3/2,4d10.9s,2S,1/2,4,2,,,L3540,
132.650,132.64950+,75386,100,7.e+07,D+,44136.08,119522.72,4d10.5p,2P*,1/2,4d10.7d,2D,3/2,2,4,,T6537,L3540,
137.091,137.0925+,72944,150,7.6e+07,D+,46618.55,119561.99,4d10.5p,2P*,3/2,4d10.7d,2D,5/2,4,6,,T6537,L3540,
137.165,137.1664+,72905,50,,,46618.55,119522.72,4d10.5p,2P*,3/2,4d10.7d,2D,3/2,4,4,,,L3540,
151.426,151.4279+,66039,200,1.59e+08,C+,44136.08,110174.10,4d10.5p,2P*,1/2,4d10.6d,2D,3/2,2,4,,T6537,L3540,
157.158,157.1609+,63630,200,1.69e+08,C+,46618.55,110247.60,4d10.5p,2P*,3/2,4d10.6d,2D,5/2,4,6,,T6537,L3540,
157.342,157.3427+,63556,50,2.7e+07,D,46618.55,110174.10,4d10.5p,2P*,3/2,4d10.6d,2D,3/2,4,4,,T6537,L3540,
166.860,166.860+,59930,100,2.1e+07,D+,69258.91,129189.5,4d9.5s2,2D,5/2,4d9.5s.(1D).5p,2F*,7/2,6,8,,T3096,L3540,
170.247,170.2481+,58738,50,,,69258.91,127996.73,4d9.5s2,2D,5/2,4d10.10p,2P*,3/2,6,4,,,L3540,
172.441,172.4430+,57991,50,,,69258.91,127249.09,4d9.5s2,2D,5/2,4d10.7f,2F*,7/2,6,8,,,L3540,
178.584,178.5855+,55996,100,,,69258.91,125254.49,4d9.5s2,2D,5/2,4d10.9p,2P*,3/2,6,4,,,L3540,
182.770,182.7713+,54714,100,,,69258.91,123972.10,4d9.5s2,2D,5/2,4d10.6f,2F*,7/2,6,8,,,L3540,
192.223,192.2237+,52023,300,1.97e+09,B,69258.91,121281.64,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2D*,5/2,6,6,,T3096,L3540,
194.354,194.3549+,51453,100,7.0e+06,C+,69258.91,120711.18,4d9.5s2,2D,5/2,4d10.8p,2P*,3/2,6,4,,T3096,L3540,
196.554,196.5551+,50877,40,7.8e+07,C+,69258.91,120135.22,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2D*,3/2,6,4,,T3096,L3540,
198.689,198.6910+,50330,30,,,74893.66,125223.06,4d9.5s2,2D,3/2,4d10.9p,2P*,1/2,4,2,,,L3540,
199.543,199.5439+,50115,200,1.13e+09,B,69258.91,119373.19,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2F*,7/2,6,8,,T3096,L3540,
200.814,200.8145+,49797.3,100,1.91e+09,B,69258.91,119056.11,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2P*,3/2,6,4,,T3096,L3540,
203.310,203.3122+,49185.9,50,8.e+06,D+,69258.91,118444.36,4d9.5s2,2D,5/2,4d10.5f,2F*,7/2,6,8,,T3096,L3540,
203.688,203.6878+,49094.6,75,,,74893.66,123988.39,4d9.5s2,2D,3/2,4d10.6f,2F*,5/2,4,6,,,L3540,
209.667,209.6665+,47694.8,150,3.85e+08,C+,69258.91,116953.70,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,2F*,5/2,6,6,,T3096,L3540,
214.50697,214.5069+,46618.531,1000r,3.778e+08,AA,0.00,46618.55,4d10.5s,2S,1/2,4d10.5p,2P*,3/2,2,4,,T7900,"L3486,L3540",
215.5740,215.5731+,46387.79,50,2.25e+08,C+,74893.66,121281.64,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,2D*,5/2,4,6,,T3096,L3540,
218.2563,218.2571+,45817.69,5,,,74893.66,120711.18,4d9.5s2,2D,3/2,4d10.8p,2P*,3/2,4,4,,,L3540,
218.6984,218.6997+,45725.07,15,1.35e+06,D+,74893.66,120618.46,4d9.5s2,2D,3/2,4d10.8p,2P*,1/2,4,2,,T3096,L3540,
218.8478,218.8500+,45693.85,100,1.43e+06,C,69258.91,114952.30,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,4D*,5/2,6,6,,T3096,L3540,
219.5243,219.5237+,45553.05,1000,5.67e+08,A,44136.08,89689.25,4d10.5p,2P*,1/2,4d10.5d,2D,3/2,2,4,,T8893,L3540,
221.0342,221.0357+,45241.87,20,1.95e+09,B,74893.66,120135.22,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,2D*,3/2,4,4,,T3096,L3540,
225.224,225.2236+,44400.3,5,1.91e+09,B,74893.66,119293.99,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,2P*,1/2,4,2,,T3096,L3540,
226.4349,226.4367+,44162.80,5,2.1e+07,D+,74893.66,119056.11,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,2P*,3/2,4,4,,T3096,L3540,
226.57152,226.5720+,44136.174,1000,3.177e+08,AAA,0.00,44136.08,4d10.5s,2S,1/2,4d10.5p,2P*,1/2,2,2,,T7900,"L3486,L3540",
231.313,231.3129+,43231.4,2i?,,,69258.91,112490.39,4d9.5s2,2D,5/2,4d10.7p,2P*,3/2,6,4,,,L3540,
231.3477,231.3464+,43224.98,1000,5.83e+08,A+,46618.55,89843.78,4d10.5p,2P*,3/2,4d10.5d,2D,5/2,4,6,,T3315,L3540,
232.1787,232.1764+,43070.27,200,1.052e+08,A,46618.55,89689.25,4d10.5p,2P*,3/2,4d10.5d,2D,3/2,4,4,,T8893,L3540,
236.6084,236.6089+,42263.93,5,,,82990.66,125254.49,4d10.6s,2S,1/2,4d10.9p,2P*,3/2,2,4,,,L3540,
236.7853,236.7850+,42232.35,5,,,82990.66,125223.06,4d10.6s,2S,1/2,4d10.9p,2P*,1/2,2,2,,,L3540,
237.7545,237.7554+,42060.19,40,1.26e+09,C+,74893.66,116953.70,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,2F*,5/2,4,6,,T3096,L3540,
241.9429,241.9430+,41332.07,50,,,74893.66,116225.71,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,4D*,3/2,4,4,,,L3540,
247.0480,247.0483+,40477.97,50,4.2e+06,C+,69258.91,109736.82,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,4F*,7/2,6,8,,T3096,L3540,
248.8679,248.8680+,40181.96,40,,,69258.91,109440.86,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,4P*,3/2,6,4,,,L3540,
249.6337,249.6340+,40058.70,40,2.3e+05,C,74893.66,114952.30,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,4D*,5/2,4,6,,T3096,L3540,
250.9863,250.9863+,39842.82,50,,,89843.78,129686.60,4d10.5d,2D,5/2,4d10.8f,2F*,7/2,6,8,,,L3540,
251.6981,251.6981+,39730.13,30,,,89689.25,129419.38,4d10.5d,2D,3/2,4d10.8f,2F*,5/2,4,6,,,L3540,
,254.157+,39345.7,,3.2e+06,C,89843.78,129189.5,4d10.5d,2D,5/2,4d9.5s.(1D).5p,2F*,7/2,6,8,,T3096,,
255.2742,255.2745+,39173.57,50,5.5e+05,C,69258.91,108432.43,4d9.5s2,2D,5/2,4d10.4f,2F*,7/2,6,8,,T3096,L3540,
255.3593,255.3590+,39160.51,15,,,69258.91,108419.47,4d9.5s2,2D,5/2,4d10.4f,2F*,5/2,6,6,,,L3540,
257.37141,257.3699+,38854.355,500,1.61e+08,B+,44136.08,82990.66,4d10.5p,2P*,1/2,4d10.6s,2S,1/2,2,2,,T9861,"L3486,L3540",
265.1082,265.1077+,37720.45,8,2.3e+05,D+,82990.66,120711.18,4d10.6s,2S,1/2,4d10.8p,2P*,3/2,2,4,,T3096,L3540,
,265.7610+,37627.80,,,,82990.66,120618.46,4d10.6s,2S,1/2,4d10.8p,2P*,1/2,2,2,,,,
266.0017,266.0014+,37593.74,40,,,89689.25,127283.04,4d10.5d,2D,3/2,4d10.7f,2F*,5/2,4,6,,,L3540,
266.8988,266.8987+,37467.38,25,,,74893.66,112361.06,4d9.5s2,2D,3/2,4d10.7p,2P*,1/2,4,2,,,L3540,
267.3418,267.3417+,37405.29,50,,,89843.78,127249.09,4d10.5d,2D,5/2,4d10.7f,2F*,7/2,6,8,,,L3540,
269.2185,269.2184+,37144.55,1,,,82990.66,120135.22,4d10.6s,2S,1/2,4d9.5s.(3D).5p,2D*,3/2,2,4,,,L3540,
270.7806,270.7804+,36930.27,50,2.3e+05,D+,69258.91,106189.20,4d9.5s2,2D,5/2,4d9.5s.(3D).5p,4P*,5/2,6,6,,T3096,L3540,
274.93686,274.9359+,36371.988,1000,3.09e+08,B+,46618.55,82990.66,4d10.5p,2P*,3/2,4d10.6s,2S,1/2,4,2,,T9861,"L3486,L3540",
275.4573,275.4568+,36303.27,20,3.4e+06,D+,82990.66,119293.99,4d10.6s,2S,1/2,4d9.5s.(3D).5p,2P*,1/2,2,2,,T3096,L3540,
277.2741,277.2737+,36065.39,20,5.9e+06,C+,82990.66,119056.11,4d10.6s,2S,1/2,4d9.5s.(3D).5p,2P*,3/2,2,4,,T3096,L3540,
282.4020,282.4004+,35410.51,30,,,89843.78,125254.49,4d10.5d,2D,5/2,4d10.9p,2P*,3/2,6,4,,,L3540,
283.4915,283.4913+,35274.43,20,7.8e+05,C,74893.66,110168.11,4d9.5s2,2D,3/2,4d9.5s.(3D).5p,4F*,5/2,4,6,,T3096,L3540,
285.7297,285.7299+,34998.11,25*,,,94710.41,129708.50,4d10.6p,2P*,1/2,4d10.10d,2D,3/2,2,4,,,L3540,
285.7297,285.7296+,34998.11,25*,,,82990.66,117988.79,4d10.6s,2S,1/2,4d9.5s.(3D).5p,4D*,1/2,2,2,,,L3540,
291.5525,291.5525+,34299.13,200,,,89689.25,123988.39,4d10.5d,2D,3/2,4d10.6f,2F*,5/2,4,6,,,L3540,
292.8724,292.8720+,34144.57,50,,,89843.78,123988.39,4d10.5d,2D,5/2,4d10.6f,2F*,5/2,6,6,,,L3540,
293.0128,293.0118+,34128.20,200,,,89843.78,123972.10,4d10.5d,2D,5/2,4d10.6f,2F*,7/2,6,8,,,L3540,
,298.2777+,33525.81,,1.27e+06,C,74893.66,108419.47,4d9.5s2,2D,3/2,4d10.4f,2F*,5/2,4,6,,T3096,,
303.1487,303.1495+,32987.11,50,,,94710.41,127697.43,4d10.6p,2P*,1/2,4d10.9d,2D,3/2,2,4,,,L3540,
308.2379,308.2378+,32442.47,25,,,94710.41,127152.89,4d10.6p,2P*,1/2,4d10.10s,2S,1/2,2,2,,,L3540,
309.3235,309.3232+,32328.62,100,,,95383.63,127712.28,4d10.6p,2P*,3/2,4d10.9d,2D,5/2,4,6,,,L3540,
314.7701,314.7697+,31769.21,50,,,95383.63,127152.89,4d10.6p,2P*,3/2,4d10.10s,2S,1/2,4,2,,,L3540,
316.5259,316.5319+,31592.99,1,7.3e+05,C,89689.25,121281.64,4d10.5d,2D,3/2,4d9.5s.(3D).5p,2D*,5/2,4,6,,T3096,L3540,
318.0881,318.0878+,31437.83,10,8.5e+05,C,89843.78,121281.64,4d10.5d,2D,5/2,4d9.5s.(3D).5p,2D*,5/2,6,6,,T3096,L3540,
323.3193,323.3190+,30929.18,5,6.0e+05,C,89689.25,120618.46,4d10.5d,2D,3/2,4d10.8p,2P*,1/2,4,2,,T3096,L3540,
323.9677,323.9664+,30867.28,10,7.3e+05,C,89843.78,120711.18,4d10.5d,2D,5/2,4d10.8p,2P*,3/2,6,4,,T3096,L3540,
325.12616,325.1231+,30757.291,150,2.78e+06,B,44136.08,74893.66,4d10.5p,2P*,1/2,4d9.5s2,2D,3/2,2,4,,"T3315n,T2536","L3486,L3540",
328.4511,328.4507+,30445.93,3,1.40e+06,C,89689.25,120135.22,4d10.5d,2D,3/2,4d9.5s.(3D).5p,2D*,3/2,4,4,,T3096,L3540,
,330.1263+,30291.44,,1.8e+05,D+,89843.78,120135.22,4d10.5d,2D,5/2,4d9.5s.(3D).5p,2D*,3/2,6,4,,T3096,,
334.4170,334.4158+,29902.78,50,,,94710.41,124613.30,4d10.6p,2P*,1/2,4d10.8d,2D,3/2,2,4,,,L3540,
338.6458,338.6454+,29529.38,50,3.33e+06,C+,89843.78,119373.19,4d10.5d,2D,5/2,4d9.5s.(3D).5p,2F*,7/2,6,8,,T3096,L3540,
338.9857,338.9862+,29499.77,30,1.70e+06,C,82990.66,112490.39,4d10.6s,2S,1/2,4d10.7p,2P*,3/2,2,4,,T3096,L3540,
,340.4788+,29370.40,,,,82990.66,112361.06,4d10.6s,2S,1/2,4d10.7p,2P*,1/2,2,2,,,,
,340.5199+,29366.86,,1.8e+05,D+,89689.25,119056.11,4d10.5d,2D,3/2,4d9.5s.(3D).5p,2P*,3/2,4,4,,T3096,,
341.8471,341.8468+,29252.84,50,,,95383.63,124636.50,4d10.6p,2P*,3/2,4d10.8d,2D,5/2,4,6,,,L3540,
342.3209,342.3212+,29212.35,5,6.0e+05,D+,89843.78,119056.11,4d10.5d,2D,5/2,4d9.5s.(3D).5p,2P*,3/2,6,4,,T3096,L3540,
344.3403,344.3399+,29041.04,50,,,94710.41,123751.48,4d10.6p,2P*,1/2,4d10.9s,2S,1/2,2,2,,,L3540,
346.5418,346.5421+,28856.55,100,,,89689.25,118545.77,4d10.5d,2D,3/2,4d10.5f,2F*,5/2,4,6,,,L3540,
348.4076,348.4079+,28702.01,25,,,89843.78,118545.77,4d10.5d,2D,5/2,4d10.5f,2F*,5/2,6,6,,,L3540,
349.6436,349.6433+,28600.55,150,4.85e+07,C+,89843.78,118444.36,4d10.5d,2D,5/2,4d10.5f,2F*,7/2,6,8,,T3096,L3540,
352.5120,352.5117+,28367.83,100,,,95383.63,123751.48,4d10.6p,2P*,3/2,4d10.9s,2S,1/2,4,2,,,L3540,
353.67012,353.6679+,28274.936,100,7.9e+05,C,46618.55,74893.66,4d10.5p,2P*,3/2,4d9.5s2,2D,3/2,4,4,,"T3315n,T4536","L3486,L3540",
366.7800,366.7780+,27264.30,20,2.7e+05,C,89689.25,116953.70,4d10.5d,2D,3/2,4d9.5s.(3D).5p,2F*,5/2,4,6,,T3096,L3540,
382.7796,382.7792+,26124.70,15,5.e+04,D,69258.91,95383.63,4d9.5s2,2D,5/2,4d10.6p,2P*,3/2,6,4,,T3096,L3540,
395.8364,395.8350+,25262.96,15,3.0e+05,C,89689.25,114952.30,4d10.5d,2D,3/2,4d9.5s.(3D).5p,4D*,5/2,4,6,,T3096,L3540,
400.8000,400.7995+,24950.10,20,,,89843.78,114793.91?,4d10.5d,2D,5/2,4d9.5s.(3D).5p,4D*,7/2,6,8,,,L3540,
403.0263,403.0258+,24812.28,100,,,94710.41,119522.72,4d10.6p,2P*,1/2,4d10.7d,2D,3/2,2,4,,,L3540,
413.5934,413.5930+,24178.33,200,,,95383.63,119561.99,4d10.6p,2P*,3/2,4d10.7d,2D,5/2,4,6,,,L3540,
414.2661,414.2658+,24139.07,50,,,95383.63,119522.72,4d10.6p,2P*,3/2,4d10.7d,2D,3/2,4,4,,,L3540,
428.6284,428.628+,23330.23,100,,,94710.41,118040.65,4d10.6p,2P*,1/2,4d10.8s,2S,1/2,2,2,,,L3540,
,435.893+,22941.41,,,,89843.78,112785.19,4d10.5d,2D,5/2,4d9.5s.(3D).5p,4F*,3/2,6,4,,,,
438.575,438.575+,22801.1,5,1.3e+05,D+,89689.25,112490.39,4d10.5d,2D,3/2,4d10.7p,2P*,3/2,4,4,,T3096,L3540,
441.365,441.364+,22657.0,100,,,95383.63,118040.65,4d10.6p,2P*,3/2,4d10.8s,2S,1/2,4,2,,,L3540,
,441.567+,22646.61,,1.1e+06,D+,89843.78,112490.39,4d10.5d,2D,5/2,4d10.7p,2P*,3/2,6,4,,T3096,,
441.69260,441.689+,22640.180,1000,1.277e+06,A+,46618.55,69258.91,4d10.5p,2P*,3/2,4d9.5s2,2D,5/2,4,6,,T755,"L3486,L3540",
444.170,444.175+,22513.9,30*,,,108432.43,130946.09,4d10.4f,2F*,7/2,4d10.9g,2G,7/2,8,8,,,L3540,
444.170,444.175+,22513.9,30*,,,108432.43,130946.09,4d10.4f,2F*,7/2,4d10.9g,2G,9/2,8,10,,,L3540,
474.6020,474.608+,21070.29,30*,,,108432.43,129502.43,4d10.4f,2F*,7/2,4d10.8g,2G,7/2,8,8,,,L3540,
474.6020,474.608+,21070.29,30*,,,108432.43,129502.43,4d10.4f,2F*,7/2,4d10.8g,2G,9/2,8,10,,,L3540,
488.3088,488.308+,20478.84,50,1.13e+07,C,89689.25,110168.11,4d10.5d,2D,3/2,4d9.5s.(3D).5p,4F*,5/2,4,6,,T3096,L3540,
492.022,492.021+,20324.3,20,9.e+05,D+,89843.78,110168.11,4d10.5d,2D,5/2,4d9.5s.(3D).5p,4F*,5/2,6,6,,T3096,L3540,
502.690,502.688+,19893.0,50,2.39e+07,C+,89843.78,109736.82,4d10.5d,2D,5/2,4d9.5s.(3D).5p,4F*,7/2,6,8,,T3096,L3540,
526.9473,526.950+,18977.23,100,,,108419.47,127396.62,4d10.4f,2F*,5/2,4d10.7g,2G,7/2,6,8,,,L3540,
527.3067,527.310+,18964.30,100*,,,108432.43,127396.62,4d10.4f,2F*,7/2,4d10.7g,2G,7/2,8,8,,,L3540,
527.3067,527.310+,18964.30,100*,,,108432.43,127396.62,4d10.4f,2F*,7/2,4d10.7g,2G,9/2,8,10,,,L3540,
,527.93+,18941.9,,5.1e+06,C+,110247.60,129189.5,4d10.6d,2D,5/2,4d9.5s.(1D).5p,2F*,7/2,6,8,,T3096,,
533.89701,533.897+,18730.204,1000,1.72e+08,B+,89689.25,108419.47,4d10.5d,2D,3/2,4d10.4f,2F*,5/2,4,6,,T7716,"L3486,L3540",
