obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
102.0757,0.0009,102.074462,0.000003,97966.6,2500,2.8e+07,D,0.000,97967.697,3d8,a 3F,4,3d7.(4F).5p,3F*,3,9,7,,T6999,L4687c119,
103.1560,0.0012,103.154325,0.000004,96940.5,540D,4.e+06,E,0.000,96942.130,3d8,a 3F,4,3d7.(4F).5p,5G*,5,9,11,,T6999,L4687c119,
103.2185,0.0012,103.218018,0.000007,96881.8,540,1.3e+06,E,0.000,96882.310,3d8,a 3F,4,3d7.(4F).5p,5G*,4,9,9,,T6999,L4687c119,
103.4229,0.0009,103.422838,0.000003,96690.4,1600,4.6e+07,D,1597.197,98287.640,3d8,a 3F,2,3d7.(4F).5p,3F*,2,5,5,,T6999,L4687c119,
103.4334,0.0012,103.432546,0.000005,96680.6,380,1.5e+06,E,1597.197,98278.565,3d8,a 3F,2,3d7.(4F).5p,3G*,3,5,7,,T6999,L4687c119,
103.5778,0.0009,103.577458,0.000006,96545.8,1700,2.1e+07,D,950.324,97496.428,3d8,a 3F,3,3d7.(4F).5p,3D*,3,7,7,,T6999,L4687c119,
104.0452,0.0012,104.044718,0.000003,96112.1,570,4.e+06,E,950.324,97062.844,3d8,a 3F,3,3d7.(4F).5p,3F*,4,7,9,,T6999,L4687c119,
104.1917,0.0012,104.192086,0.000005,95976.9,580,5.e+06,E,0.000,95976.579,3d8,a 3F,4,3d7.(4F).5p,5F*,4,9,9,,T6999,L4687c119,
105.2333,0.0009,105.234075,0.000009,95027.0,1200,,,950.324,95976.579,3d8,a 3F,3,3d7.(4F).5p,5F*,4,7,9,,,L4687c119,
107.0594,0.0012,107.058463,0.000003,93406.1,690,,,4560.789,97967.697,3d7.(4F).4s,a 5F,3,3d7.(4F).5p,3F*,3,7,7,,,L4687c119,
107.1477,0.0012,107.148402,0.000006,93329.1,690,3.1e+06,E,4950.062,98278.565,3d7.(4F).4s,a 5F,2,3d7.(4F).5p,3G*,3,5,7,,T6999,L4687c119,
107.4488,0.0012,107.448727,0.000006,93067.6,490,,,4560.789,97628.434,3d7.(4F).4s,a 5F,3,3d7.(4F).5p,5G*,2,7,5,,,L4687c119,
107.6274,0.0009,107.627401,0.000005,92913.2,3500,8.e+06,D,4028.988,96942.130,3d7.(4F).4s,a 5F,4,3d7.(4F).5p,5G*,5,9,11,,T6999,L4687c119,
107.6975,0.0012,107.696739,0.000007,92852.7,500,,,4028.988,96882.310,3d7.(4F).4s,a 5F,4,3d7.(4F).5p,5G*,4,9,9,,,L4687c119,
107.9006,0.0012,107.900040,0.000005,92677.9,500,2.3e+06,E,4950.062,97628.434,3d7.(4F).4s,a 5F,2,3d7.(4F).5p,5G*,2,5,5,,T6999,L4687c119,
107.9348,0.0009,107.935131,0.000012,92648.6,7200,1.2e+07,D,3350.494,95998.735,3d7.(4F).4s,a 5F,5,3d7.(4F).5p,5G*,6,11,13,,T6999,L4687c119,
108.1978,0.0009,108.197314,0.000005,92423.3,3600,1.6e+07,D,5204.698,97628.434,3d7.(4F).4s,a 5F,1,3d7.(4F).5p,5G*,2,3,5,,T6999,L4687c119,
108.2422,0.0009,108.241950,0.000004,92385.4,3600,1.3e+07,D,4950.062,97335.685,3d7.(4F).4s,a 5F,2,3d7.(4F).5p,5G*,3,5,7,,T6999,L4687c119,
108.3178,0.0009,108.317106,0.000005,92321.0,3700,9.e+06,D,4560.789,96882.310,3d7.(4F).4s,a 5F,3,3d7.(4F).5p,5G*,4,7,9,,T6999,L4687c119,
108.4520,0.0009,108.450923,0.000006,92206.7,3700,5.e+06,E,4028.988,96236.594,3d7.(4F).4s,a 5F,4,3d7.(4F).5p,3G*,5,9,11,,T6999,L4687c119,
108.7586,0.0009,108.757607,0.000005,91946.8,3700,1.2e+07,D,4028.988,95976.579,3d7.(4F).4s,a 5F,4,3d7.(4F).5p,5F*,4,9,9,,T6999,L4687c119,
108.7710,0.0009,108.772131,0.000005,91936.3,2200,1.4e+07,D,4560.789,96496.103,3d7.(4F).4s,a 5F,3,3d7.(4F).5p,5F*,3,7,7,,T6999,L4687c119,
109.0690,0.0009,109.068309,0.000007,91685.1,2300,6.e+07,D,3350.494,95036.155,3d7.(4F).4s,a 5F,5,3d7.(4F).5p,5D*,4,11,9,,T6999,L4687c119,
109.1066,0.0009,109.105538,0.000007,91653.5,2300,6.e+07,D,4028.988,95683.364,3d7.(4F).4s,a 5F,4,3d7.(4F).5p,5D*,3,9,7,,T6999,L4687c119,
109.1167,0.0012,109.116638,0.000004,91645.0,530,6.e+07,D,4560.789,96205.841,3d7.(4F).4s,a 5F,3,3d7.(4F).5p,5D*,2,7,5,,T6999,L4687c119,
109.5833,0.0012,109.582101,0.000005,91254.8,540,2.2e+07,D,4950.062,96205.841,3d7.(4F).4s,a 5F,2,3d7.(4F).5p,5D*,2,5,5,,T6999,L4687c119,
109.8802,0.0012,109.881456,0.000010,91008.2,540,8.e+06,E,4028.988,95036.155,3d7.(4F).4s,a 5F,4,3d7.(4F).5p,5D*,4,9,9,,T6999,L4687c119,
113.0378,0.0012,113.038154,0.000005,88466.0,850,,,9812.860,98278.565,3d7.(4F).4s,b 3F,4,3d7.(4F).5p,3G*,3,9,7,,,L4687c119,
114.7728,0.0009,114.771993,0.000004,87128.7,4300,4.e+06,E,9812.860,96942.130,3d7.(4F).4s,b 3F,4,3d7.(4F).5p,5G*,5,9,11,,T6999,L4687c119,
