obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
114.24089,0.00020,114.240909,0.000003,87534.33,2,,,31219.3322,118753.650,3d4.(a 3F).4s,a 4F,9/2,3d3.(4P).4s.4p.(1P*),4D*,7/2,10,8,,,L18847,
114.3229,0.0005,114.322842,0.000003,87471.54,2w,,,31168.5755,118640.159,3d4.(a 3F).4s,a 4F,7/2,3d3.(4P).4s.4p.(1P*),4D*,5/2,8,6,,,L18847,
116.75133,0.00020,116.751189,0.000003,85652.13,1,,,19631.2058,105283.4387,3d4.(5D).4s,a 4D,3/2,3d4.(5D<1>).4f,2[2]*,3/2,4,4,,,L18847,
116.9309,0.0005,116.931658,0.000003,85520.59,4p,,,20512.0959,106032.1350,3d5,a 4G,11/2,3d4.(5D<4>).4f,2[6]*,11/2,12,12,,,L18847,
116.98158,0.00020,116.981627,0.000003,85483.55,3,,,20024.0117,105507.5207,3d4.(5D).4s,a 4D,7/2,3d4.(5D<2>).4f,2[3]*,7/2,8,8,,,L18847,
116.99821,0.00020,116.998068,0.000004,85471.40,1,,,31219.3322,116690.829,3d4.(a 3F).4s,a 4F,9/2,3d3.(2F).4s.4p.(3P*),4D*,7/2,10,8,,,L18847,
117.08401,0.00020,117.083879,0.000003,85408.76,4,,,19797.8594,105206.714,3d4.(5D).4s,a 4D,5/2,3d3.(4F).4s.4p.(1P*),p 4D*,7/2,6,8,,,L18847,
117.11883,0.00020,117.118778,0.000003,85383.37,2,,,20512.0959,105895.5001,3d5,a 4G,11/2,3d4.(5D<4>).4f,2[6]*,13/2,12,14,,,L18847,
117.1321,0.0005,117.131253,0.000003,85373.69,2p,,,30298.4679,115672.779,3d4.(3H).4s,a 4H,11/2,3d4.(5D<3>).5f,2[5]*,9/2,12,10,,,L18847,
117.27365,0.00020,117.273602,0.000003,85270.64,3,,,20519.2694,105789.9509,3d5,a 4G,9/2,3d4.(5D<4>).4f,2[4]*,9/2,10,10,,,L18847,
117.31878,0.00020,117.318701,0.000004,85237.84,4,,,19631.2058,104869.108,3d4.(5D).4s,a 4D,3/2,3d3.(4F).4s.4p.(1P*),p 4D*,5/2,4,6,,,L18847,
117.32909,0.00020,117.328956,0.000003,85230.36,14,,,20512.0959,105742.5481,3d5,a 4G,11/2,3d4.(5D<4>).4f,2[7]*,13/2,12,14,,,L18847,
117.3638,0.0005,117.363477,0.000003,85205.13,4q,,,20519.2694,105724.6524,3d5,a 4G,9/2,3d4.(5D<3>).4f,2[4]*,7/2,10,8,,,L18847,
117.39483,0.00020,117.394726,0.000003,85182.63,7,,,20024.0117,105206.714,3d4.(5D).4s,a 4D,7/2,3d3.(4F).4s.4p.(1P*),p 4D*,7/2,8,8,,,L18847,
