obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
67.55994,0.00020,67.560192,0.000008,148016.7,73000,,,0.000,148016.157,3d10,1S,0,3d9.(2D<3/2>).5f,2[3/2]*,1,1,3,,,L19804c170,
67.7675,0.0003,67.767816,0.000008,147563.3,29000,,,0.000,147562.672,3d10,1S,0,3d9.(2D<5/2>).7p,2[3/2]*,1,1,3,,,L19804c170,
68.51377,0.00020,68.514058,0.000008,145956.1,240000,,,0.000,145955.447,3d10,1S,0,3d9.(2D<5/2>).5f,2[3/2]*,1,1,3,,,L19804c170,
68.53922,0.00020,68.539671,0.000008,145901.9,45000,,,0.000,145900.904,3d10,1S,0,3d9.(2D<5/2>).5f,2[1/2]*,1,1,3,,,L19804c170,
70.93098,0.00020,70.931287,0.000009,140982.1,250000,,,0.000,140981.510,3d10,1S,0,3d9.(2D<3/2>).6p,2[1/2]*,1,1,3,,,L19804c170,
71.81766,0.00020,71.817860,0.000009,139241.5,310000,,,0.000,139241.130,3d10,1S,0,3d9.(2D<5/2>).6p,2[3/2]*,1,1,3,,,L19804c170,
72.44881,0.00020,72.448867,0.000009,138028.5,490000,,,0.000,138028.384,3d10,1S,0,3d9.(2D<3/2>).4f,2[3/2]*,1,1,3,,,L19804c170,
73.55215,0.00011,73.552023,0.000009,135957.95,780000,,,0.000,135958.1919,3d10,1S,0,3d9.(2D<5/2>).4f,2[3/2]*,1,1,3,,,L19804c170,
73.60331,0.00008,73.603185,0.000009,135863.46,870000,,,0.000,135863.6857,3d10,1S,0,3d9.(2D<5/2>).4f,2[1/2]*,1,1,3,,,L19804c170,
76.32658,0.00020,76.32692,0.00003,131016.0,140000,,,21928.7326,152944.11,3d9.4s,3D,3,3d8.(3P).4s.4p.(1P*),3P*,2,7,5,,,L19804c170,
76.84821,0.00020,76.848565,0.000018,130126.6,150000,,,21928.7326,152054.78,3d9.4s,3D,3,3d9.(2D<5/2>).8p,2[3/2]*,2,7,5,,,L19804c170,
