obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
34.443,0.002,34.444*,290335,a,,,0.000,290330,3d10.4s2,1S,0,3d9.4s2.11p,"(5/2,3/2)*",1,1,3,,,L12180,
34.455,0.002,34.455*,290234,a,,,0.000,290230,3d10.4s2,1S,0,3d9.4s2.7f,"(3/2,5/2)*",1,1,3,,,L12180,
34.473,0.002,34.473*,290082,a,,,0.000,290080,3d10.4s2,1S,0,3d9.4s2.9f,"(5/2,7/2)*",1,1,3,,,L12180,
34.610,0.002,34.610*,288934,a,,,0.000,288930,3d10.4s2,1S,0,3d9.4s2.10p,"(5/2,3/2)*",1,1,3,,,L12180,
34.633,0.002,34.633*,288742,a,,,0.000,288740,3d10.4s2,1S,0,3d9.4s2.8f,"(5/2,7/2)*",1,1,3,,,L12180,
34.816,0.002,34.817*,287224,a,,,0.000,287220,3d10.4s2,1S,0,3d9.4s2.8p,"(3/2,1/2)*",1,1,3,,,L12180,
34.858,0.002,34.858*,286878,a,,,0.000,286880,3d10.4s2,1S,0,3d9.4s2.9p,"(5/2,3/2)*",1,1,3,,,L12180,
34.866,0.002,34.866*,286812,a,,,0.000,286810,3d10.4s2,1S,0,3d9.4s2.6f,"(3/2,5/2)*",1,1,3,,,L12180,
34.885,0.002,34.885*,286656,a,,,0.000,286660,3d10.4s2,1S,0,3d9.4s2.7f,"(5/2,7/2)*",1,1,3,,,L12180,
35.200,0.002,35.200*,284091,a,,,0.000,284090,3d10.4s2,1S,0,3d9.4s2.6f,"(5/2,7/2)*",1,1,3,,,L12180,
35.243,0.002,35.244*,283744,a,,,0.000,283740,3d10.4s2,1S,0,3d9.4s2.8p,"(5/2,3/2)*",1,1,3,,,L12180,
35.447,0.002,35.447*,282111,a,,,0.000,282110,3d10.4s2,1S,0,3d9.4s2.7p,"(3/2,1/2)*",1,1,3,,,L12180,
35.472,0.002,35.472*,281912,a,,,0.000,281910,3d10.4s2,1S,0,3d9.4s2.7p,"(3/2,3/2)*",1,1,3,,,L12180,
35.556,0.002,35.556*,281246,a,,,0.000,281250,3d10.4s2,1S,0,3d9.4s2.5f,"(3/2,5/2)*",1,1,3,,,L12180,
35.899,0.002,35.899*,278559,a,,,0.000,278560,3d10.4s2,1S,0,3d9.4s2.7p,"(5/2,3/2)*",1,1,3,,,L12180,
36.000,0.002,36.000*,277778,a,,,0.000,277780,3d10.4s2,1S,0,3d9.4s2.5f,"(5/2,7/2)*",1,1,3,,,L12180,
36.709,0.002,36.709*,272413,a,,,0.000,272410,3d10.4s2,1S,0,3d9.4s2.6p,"(3/2,1/2)*",1,1,3,,,L12180,
36.745,0.002,36.746*,272146,a,,,0.000,272140,3d10.4s2,1S,0,3d9.4s2.6p,"(3/2,3/2)*",1,1,3,,,L12180,
36.894,0.002,36.894*,271047,a,,,0.000,271050,3d10.4s2,1S,0,3d9.4s2.4f,"(3/2,5/2)*",1,1,3,,,L12180,
37.193,0.002,37.193*,268868,a,,,0.000,268870,3d10.4s2,1S,0,3d9.4s2.6p,"(5/2,3/2)*",1,1,3,,,L12180,
37.376,0.002,37.376*,267551,a,,,0.000,267550,3d10.4s2,1S,0,3d9.4s2.4f,"(5/2,7/2)*",1,1,3,,,L12180,
39.847,0.002,39.847*,250960,a,,,0.000,250960,3d10.4s2,1S,0,3d9.4s2.5p,"(3/2,1/2)*",1,1,3,,,L12180,
39.920,0.002,39.9200+,250501,a,,,0.000,250501,3d10.4s2,1S,0,3d9.4s2.5p,"(3/2,3/2)*",1,1,3,,,L12180,
40.436,0.002,40.4361+,247304,a,,,0.000,247304,3d10.4s2,1S,0,3d9.4s2.5p,"(5/2,3/2)*",1,1,3,,,L12180,
82.9529,0.0004,82.952835+,120550.3,3,2.2e+07,,0.000,120550.431,3d10.4s2,1S,0,4s.5p,1P*,1,1,3,,T8042,L12180,
84.3752,0.0009,84.375041+,118518.2,0,,,0.000,118518.461,3d10.4s2,1S,0,4s.5p,3P*,1,1,3,,,L12180,
92.9050,0.0009,92.9050+,107636.8,0,,,48749.85,156386.7,4s.4p,3P*,2,4s.8d,3D,3,5,7,,,L12180,
95.8545,0.0006,95.85554+,104324.8,1,,,48749.85,153073.50,4s.4p,3P*,2,4s.7d,3D,3,5,7,,,L12180,
96.057,0.005,96.05242+,104105,0,,,47814.114,151923.93,4s.4p,3P*,1,4s.8s,3S,1,3,3,,,L12180,
96.919,0.005,96.92357+,103179,2,,,48749.85,151923.93,4s.4p,3P*,2,4s.8s,3S,1,5,3,,,L12180,
99.8467,0.0006,99.84744+,100153.5,1,,,47367.55,147520.34,4s.4p,3P*,0,4s.6d,3D,1,1,3,,,L12180,
100.2895,0.0006,100.28886+,99711.3,2,,,47814.114,147526.09,4s.4p,3P*,1,4s.6d,3D,2,3,5,,,L12180,
101.2299,0.0006,101.22991+,98785.0,2,,,48749.85,147534.881,4s.4p,3P*,2,4s.6d,3D,3,5,7,,,L12180,
101.910,0.005,101.90911+,98126,3,,,47367.55,145494.205,4s.4p,3P*,0,4s.7s,3S,1,1,3,,,L12180,
102.3735,0.0009,102.375007+,97681.5,0,,,47814.114,145494.205,4s.4p,3P*,1,4s.7s,3S,1,3,3,,,L12180,
103.3663,0.0009,103.36520+,96743.3,0,,,48749.85,145494.205,4s.4p,3P*,2,4s.7s,3S,1,5,3,,,L12180,
111.3708,0.0003,111.37101+,89790.14,4,,,47367.55,137157.524,4s.4p,3P*,0,4s.5d,3D,1,1,3,,,L12180,
111.9133,0.0003,111.913809+,89354.88,4,,,47814.114,137168.592,4s.4p,3P*,1,4s.5d,3D,2,3,5,,,L12180,
111.9270,0.0006,111.927673+,89343.9,2,,,47814.114,137157.524,4s.4p,3P*,1,4s.5d,3D,1,3,3,,,L12180,
113.0760,0.0003,113.07661+,88436.10,6,,,48749.85,137185.466,4s.4p,3P*,2,4s.5d,3D,3,5,7,,,L12180,
113.0979,0.0004,113.09819+,88419.0,3,,,48749.85,137168.592,4s.4p,3P*,2,4s.5d,3D,2,5,5,,,L12180,
116.7639,0.0004,116.76412+,85642.9,3,,,47367.55,133010.30,4s.4p,3P*,0,4s.6s,3S,1,1,3,,,L12180,
117.3761,0.0003,117.37615+,85196.22,6,,,47814.114,133010.30,4s.4p,3P*,1,4s.6s,3S,1,3,3,,,L12180,
118.6795,0.0003,118.67964+,84260.55,6,,,48749.85,133010.30,4s.4p,3P*,2,4s.6s,3S,1,5,3,,,L12180,
120.7521,0.0006,120.752121+,82814.3,2,,,70701.427,153515.707,4s.4p,1P*,1,4s.7d,1D,2,3,5,,,L12180,
122.7022,0.0009,122.700231+,81498.1,0,,,70701.427,152200.866,4s.4p,1P*,1,4s.8s,1S,0,3,1,,,L12180,
128.6256,0.0003,128.625135+,77745.02,6,,,70701.427,148446.729,4s.4p,1P*,1,4s.6d,1D,2,3,5,,,L12180,
129.1362,0.0006,129.13597+,77437.6,2,,,48749.85,126187.61,4s.4p,3P*,2,4s.4d,1D,2,5,5,,,L12180,
132.7635,0.0006,132.763031+,75321.9,1,,,70701.427,146023.600,4s.4p,1P*,1,4s.7s,1S,0,3,1,,,L12180,
141.4401,0.0002,141.43986+,70701.31,21,1.97e+09,,0.000,70701.427,3d10.4s2,1S,0,4s.4p,1P*,1,1,3,,T8042,L12180,
144.9234,0.0002,144.92330+,69001.97,11,,,70701.427,139703.442,4s.4p,1P*,1,4s.5d,1D,2,3,5,,,L12180,
146.3578,0.0002,146.35763+,68325.71,15,,,47814.114,116139.90,4s.4p,3P*,1,4p2,3P,2,3,5,,,L12180,
147.3690,0.0002,147.3689+,67856.88,14,,,47367.55,115224.47,4s.4p,3P*,0,4p2,3P,1,1,3,,,L12180,
148.3453,0.0002,148.34516+,67410.29,14,,,47814.114,115224.47,4s.4p,3P*,1,4p2,3P,1,3,3,,,L12180,
148.3903,0.0002,148.3899+,67389.85,16,,,48749.85,116139.90,4s.4p,3P*,2,4p2,3P,2,5,5,,,L12180,
149.5185,0.0002,149.51850+,66881.36,12,,,47814.114,114695.47,4s.4p,3P*,1,4p2,3P,0,3,1,,,L12180,
150.4331,0.0002,150.4334+,66474.73,14,,,48749.85,115224.47,4s.4p,3P*,2,4p2,3P,1,5,3,,,L12180,
150.4926,0.0002,150.49286+,66448.45,15,8.54e+08,,47367.55,113815.885,4s.4p,3P*,0,4s.4d,3D,1,1,3,,T8042,L12180,
151.4504,0.0002,151.45047+,66028.22,16,1.13e+09,,47814.114,113842.301,4s.4p,3P*,1,4s.4d,3D,2,3,5,,T8042,L12180,
151.5106,0.0002,151.51109+,66001.98,14,6.27e+08,,47814.114,113815.885,4s.4p,3P*,1,4s.4d,3D,1,3,3,,T8042,L12180,
153.5309,0.0002,153.53120+,65133.47,17,1.45e+09,,48749.85,113883.193,4s.4p,3P*,2,4s.4d,3D,3,5,7,,T8042,L12180,
