obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
246.897,,40502.8,100,,,,,,,,,,,1,1,,,L3475,
247.233,,40447.7,55,,,,,,,,,,,1,1,,,L3475,
248.642,,40218.5,35,,,,,,,,,,,1,1,,,L3475,
248.821,,40189.5,70,,,,,,,,,,,1,1,,,L3475,
248.947,,40169.2,110,,,,,,,,,,,1,1,,,L3475,
249.404,,40095.6,55,,,,,,,,,,,1,1,,,L3475,
249.710,,40046.4,35,,,,,,,,,,,1,1,,,L3475,
249.979,,40003.3,45,,,,,,,,,,,1,1,,,L3475,
254.444,,39301.3,28,,,,,,,,,,,1,1,,,L3475,
258.690,,38656.2,28,,,,,,,,,,,1,1,,,L3475,
266.229,,37561.6,28,,,,,,,,,,,1,1,,,L3475,
272.131,,36747.1,70,,,,,,,,,,,1,1,,,L3475,
275.103,,36350.0,430,,,,,,,,,,,1,1,,,L3475,
276.490,,36167.7,460,,,,,,,,,,,1,1,,,L3475,
276.933,,36109.8,40,,,,,,,,,,,1,1,,,L3475,
277.063,,36092.9,320,,,,,,,,,,,1,1,,,L3475,
277.099,,36088.2,230,,,,,,,,,,,1,1,,,L3475,
277.180,,36077.7,21,,,,,,,,,,,1,1,,,L3475,
277.996,,35971.7,45,,,,,,,,,,,1,1,,,L3475,
278.222,,35942.5,440,,,,,,,,,,,1,1,,,L3475,
279.278,,35806.6,390,,,,,,,,,,,1,1,,,L3475,
279.548,,35772.0,100,,,,,,,,,,,1,1,,,L3475,
279.775,,35742.9,930,,,,,,,,,,,1,1,,,L3475,
280.921,,35597.2,60,,,,,,,,,,,1,1,,,L3475,
281.055,,35580.3,750,,,,,,,,,,,1,1,,,L3475,
281.176,,35564.9,160,,,,,,,,,,,1,1,,,L3475,
281.484,,35526.0,45,,,,,,,,,,,1,1,,,L3475,
283.458,,35278.6,300,,,,,,,,,,,1,1,,,L3475,
283.752,,35242.0,35,,,,,,,,,,,1,1,,,L3475,
283.783,,35238.1,70,,,,,,,,,,,1,1,,,L3475,
284.107,,35198.1,560,,,,,,,,,,,1,1,,,L3475,
284.217,,35184.4,140,,,,,,,,,,,1,1,,,L3475,
285.475,,35029.4,40,,,,,,,,,,,1,1,,,L3475,
285.736,,34997.4,60,,,,,,,,,,,1,1,,,L3475,
286.062,,34957.5,19,,,,,,,,,,,1,1,,,L3475,
286.332,,34924.5,120,,,,,,,,,,,1,1,,,L3475,
286.590,,34893.0,60,,,,,,,,,,,1,1,,,L3475,
286.717,,34877.6,40,,,,,,,,,,,1,1,,,L3475,
287.259,,34811.8,40,,,,,,,,,,,1,1,,,L3475,
288.218,,34696.0,460,,,,,,,,,,,1,1,,,L3475,
288.298,,34686.4,40,,,,,,,,,,,1,1,,,L3475,
288.645,,34644.7,130,,,,,,,,,,,1,1,,,L3475,
290.829,,34384.4,35,,,,,,,,,,,1,1,,,L3475,
291.138,,34347.9,170,,,,,,,,,,,1,1,,,L3475,
291.393,,34317.9,60,,,,,,,,,,,1,1,,,L3475,
291.937,,34253.9,45,,,,,,,,,,,1,1,,,L3475,
292.418,,34197.7,95,,,,,,,,,,,1,1,,,L3475,
292.511,,34186.8,35,,,,,,,,,,,1,1,,,L3475,
292.920,,34139.1,35,,,,,,,,,,,1,1,,,L3475,
294.866,,33913.7,35,,,,,,,,,,,1,1,,,L3475,
294.887,,33911.3,70,,,,,,,,,,,1,1,,,L3475,
295.646,,33824.2,35,,,,,,,,,,,1,1,,,L3475,
296.179,,33763.3,70,,,,,,,,,,,1,1,,,L3475,
296.447,,33732.9,130,,,,,,,,,,,1,1,,,L3475,
296.630,,33712.1,80,,,,,,,,,,,1,1,,,L3475,
297.361,,33629.2,29,,,,,,,,,,,1,1,,,L3475,
298.102,,33545.6,560,,,,,,,,,,,1,1,,,L3475,
298.461,,33505.2,35,,,,,,,,,,,1,1,,,L3475,
299.239,,33418.1,40,,,,,,,,,,,1,1,,,L3475,
299.391,,33401.1,95,,,,,,,,,,,1,1,,,L3475,
299.991,,33334.3,1200,,,,,,,,,,,1,1,,,L3475,
300.374,,33291.9,370,,,,,,,,,,,1,1,,,L3475,
300.597,,33267.2,100,,,,,,,,,,,1,1,,,L3475,
301.101,,33211.5,2100,,,,,,,,,,,1,1,,,L3475,
301.307,,33188.8,130,,,,,,,,,,,1,1,,,L3475,
302.848,,33019.8,1900,,,,,,,,,,,1,1,,,L3475,
302.986,,33004.8,120,,,,,,,,,,,1,1,,,L3475,
303.372,,32962.8,2100,,,,,,,,,,,1,1,,,L3475,
303.493,,32949.7,1600,,,,,,,,,,,1,1,,,L3475,
305.446,,32739.0,280,,,,,,,,,,,1,1,,,L3475,
306.953,,32578.3,1000,,,,,,,,,,,1,1,,,L3475,
307.345,,32536.7,560,,,,,,,,,,,1,1,,,L3475,
307.781,,32490.6,640,,,,,,,,,,,1,1,,,L3475,
307.797,,32488.9,150,,,,,,,,,,,1,1,,,L3475,
308.289,,32437.1,2100,,,,,,,,,,,1,1,,,L3475,
308.491,,32415.9,140,,,,,,,,,,,1,1,,,L3475,
309.085,,32353.6,280,,,,,,,,,,,1,1,,,L3475,
309.296,,32331.5,140,,,,,,,,,,,1,1,,,L3475,
309.954,,32262.9,460,,,,,,,,,,,1,1,,,L3475,
309.980,,32260.2,190,,,,,,,,,,,1,1,,,L3475,
310.140,,32243.5,3500,,,,,,,,,,,1,1,,,L3475,
310.208,,32236.4,120,,,,,,,,,,,1,1,,,L3475,
310.281,,32228.8,230,,,,,,,,,,,1,1,,,L3475,
310.345,,32222.2,580,,,,,,,,,,,1,1,,,L3475,
310.926,,32162.0,130,,,,,,,,,,,1,1,,,L3475,
311.407,,32112.3,160,,,,,,,,,,,1,1,,,L3475,
311.950,,32056.4,120,,,,,,,,,,,1,1,,,L3475,
312.084,,32042.6,510,,,,,,,,,,,1,1,,,L3475,
312.108,,32040.1,100,,,,,,,,,,,1,1,,,L3475,
312.490,,32001.1,370,,,,,,,,,,,1,1,,,L3475,
312.516,,31998.4,120,,,,,,,,,,,1,1,,,L3475,
312.947,,31954.3,130,,,,,,,,,,,1,1,,,L3475,
313.172,,31931.4,130,,,,,,,,,,,1,1,,,L3475,
313.400,,31908.1,100,,,,,,,,,,,1,1,,,L3475,
313.476,,31900.4,460,,,,,,,,,,,1,1,,,L3475,
