obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
82.2968,0.0005,82.29683,121511.4,1,,,0.000,121511.36,4s2.4p,2P*,1/2,4s2.9d,2D,3/2,2,4,,,L3335,
83.5083,0.0005,83.50838,119748.6,3,,,1767.357,121515.82,4s2.4p,2P*,3/2,4s2.9d,2D,5/2,4,6,,,L3335,
83.7947,0.0005,83.79483,119339.3,5,,,0.000,119339.11,4s2.4p,2P*,1/2,4s2.8d,2D,3/2,2,4,,,L3335,
85.0495,0.0005,85.04964,117578.6,10,,,1767.357,119345.75,4s2.4p,2P*,3/2,4s2.8d,2D,5/2,4,6,,,L3335,
86.2233,0.0005,86.22340,115977.9,10,,,0.000,115977.80,4s2.4p,2P*,1/2,4s2.7d,2D,3/2,2,4,,,L3335,
87.5492,0.0005,87.54926,114221.5,15,,,1767.357,115988.77,4s2.4p,2P*,3/2,4s2.7d,2D,5/2,4,6,,,L3335,
88.5966,0.0005,88.59663,112871.1,1,,,1767.357,114638.47,4s2.4p,2P*,3/2,4s2.8s,2S,1/2,4,2,,,L3335,
90.5976,0.0005,90.59771,110378.2,15,,,0.000,110378.07,4s2.4p,2P*,1/2,4s2.6d,2D,3/2,2,4,,,L3335,
92.0553,0.0005,92.05537,108630.4,20,,,1767.357,110397.63,4s2.4p,2P*,3/2,4s2.6d,2D,5/2,4,6,,,L3335,
92.6473,0.0005,92.64736,107936.2,1,,,0.000,107936.16,4s2.4p,2P*,1/2,4s2.7s,2S,1/2,2,2,,,L3335,
94.1896,0.0005,94.18963,106168.8,5,,,1767.357,107936.16,4s2.4p,2P*,3/2,4s2.7s,2S,1/2,4,2,,,L3335,
99.91009,0.00006,99.910111,100089.99,50,1.9e+08,D,0.000,100089.970,4s2.4p,2P*,1/2,4s2.5d,2D,3/2,2,4,,T4515,L22,
101.66381,0.00006,101.663773,98363.42,100,2.1e+08,D,1767.357,100130.812,4s2.4p,2P*,3/2,4s2.5d,2D,5/2,4,6,,T4515,L22,
101.70592,0.00010,101.706003,98322.69,20,3.5e+07,D,1767.357,100089.970,4s2.4p,2P*,3/2,4s2.5d,2D,3/2,4,4,,T4515,L3335,
105.50252,0.00010,105.502614,94784.47,20,6.9e+07,D,0.000,94784.381,4s2.4p,2P*,1/2,4s2.6s,2S,1/2,2,2,,T4515,L3335,
107.50715,0.00006,107.507202,93017.07,100,1.3e+08,D,1767.357,94784.381,4s2.4p,2P*,3/2,4s2.6s,2S,1/2,4,2,,T4515,L22,
108.5513,0.0005,108.5509,92122.3,300,,,0.000,92122.7,4s2.4p,2P*,1/2,4s.4p2,2P,3/2,2,4,,,L3335,
109.8710,0.0005,109.8706,91015.8,200,,,0.000,91016.2,4s2.4p,2P*,1/2,4s.4p2,2P,1/2,2,2,,,L3335,
110.6737,0.0005,110.6741,90355.7,500,,,1767.357,92122.7,4s2.4p,2P*,3/2,4s.4p2,2P,3/2,4,4,,,L3335,
112.0458,0.0005,112.0463,89249.2,500,,,1767.357,91016.2,4s2.4p,2P*,3/2,4s.4p2,2P,1/2,4,2,,,L3335,
114.6972,0.0005,114.6974,87186.1,3,,,51575.885,138761.8,4s.4p2,4P,1/2,4s.4p.(3P*).4d,4P*,1/2,2,2,,,L3335,
114.9547,0.0005,114.9543,86990.8,5,,,51575.885,138567.0,4s.4p2,4P,1/2,4s.4p.(3P*).4d,4P*,3/2,2,4,,,L3335,
115.6462,0.0005,115.6459,86470.6,20,,,52290.942,138761.8,4s.4p2,4P,3/2,4s.4p.(3P*).4d,4P*,1/2,4,2,,,L3335,
115.9066,0.0005,115.9070,86276.4,15,,,52290.942,138567.0,4s.4p2,4P,3/2,4s.4p.(3P*).4d,4P*,3/2,4,4,,,L3335,
116.4273,0.0005,116.42724,85890.5,200,,,0.000,85890.55,4s2.4p,2P*,1/2,4s.4p2,2S,1/2,2,2,,,L3335,
117.3707,0.0005,117.3705,85200.1,10,,,53366.738,138567.0,4s.4p2,4P,5/2,4s.4p.(3P*).4d,4P*,3/2,6,4,,,L3335,
117.8957,0.0005,117.8957,84820.7,10,,,53366.738,138187.5,4s.4p2,4P,5/2,4s.4p.(3P*).4d,4P*,5/2,6,6,,,L3335,
118.1194,0.0005,118.1198,84660.1,500,,,51575.885,136235.7,4s.4p2,4P,1/2,4s.4p.(3P*).4d,4D*,3/2,2,4,,,L3335,
118.1650,0.0005,118.1649,84627.4,500,,,51575.885,136203.4,4s.4p2,4P,1/2,4s.4p.(3P*).4d,4D*,1/2,2,2,,,L3335,
118.8732,0.0005,118.87328,84123.3,200,,,1767.357,85890.55,4s2.4p,2P*,3/2,4s.4p2,2S,1/2,4,2,,,L3335,
118.9623,0.0005,118.9624,84060.2,100,,,52290.942,136351.1,4s.4p2,4P,3/2,4s.4p.(3P*).4d,4D*,5/2,4,6,,,L3335,
119.1264,0.0005,119.1260,83944.4,300,,,52290.942,136235.7,4s.4p2,4P,3/2,4s.4p.(3P*).4d,4D*,3/2,4,4,,,L3335,
119.1719,0.0005,119.1718,83912.4,50,,,52290.942,136203.4,4s.4p2,4P,3/2,4s.4p.(3P*).4d,4D*,1/2,4,2,,,L3335,
119.4787,0.0005,119.4772,83696.9,20h,,,53366.738,137064.7,4s.4p2,4P,5/2,4s.4p.(3P*).4d,4D*,7/2,6,8,,,L3335,
120.5049,0.0005,120.5046,82984.2,5,,,53366.738,136351.1,4s.4p2,4P,5/2,4s.4p.(3P*).4d,4D*,5/2,6,6,,,L3335,
120.6725,0.0005,120.6724,82868.9,5,,,53366.738,136235.7,4s.4p2,4P,5/2,4s.4p.(3P*).4d,4D*,3/2,6,4,,,L3335,
123.70580,0.00010,123.705912,80836.95,500,1.9e+09,D,0.000,80836.880,4s2.4p,2P*,1/2,4s2.4d,2D,3/2,2,4,,T4515,L3335,
126.19041,0.00010,126.190543,79245.32,500,2.2e+09,D,1767.357,81012.598,4s2.4p,2P*,3/2,4s2.4d,2D,5/2,4,6,,T4515,L3335,
126.47087,0.00006,126.470979,79069.59,100,3.5e+08,D,1767.357,80836.880,4s2.4p,2P*,3/2,4s2.4d,2D,3/2,4,4,,T4515,L22,
126.8444,0.0005,126.8441,78836.7,10,,,51575.885,130412.8,4s.4p2,4P,1/2,4s.4p.(3P*).4d,4F*,3/2,2,4,,,L3335,
128.0050,0.0005,128.0051,78121.9,10,,,52290.942,130412.8,4s.4p2,4P,3/2,4s.4p.(3P*).4d,4F*,3/2,4,4,,,L3335,
138.0425,0.0005,138.0425,72441.5,100,,,52290.942,124732.4,4s.4p2,4P,3/2,4s.4p.(3P*).5s,4P*,5/2,4,6,,,L3335,
139.2265,0.0005,139.2267,71825.4,50,,,51575.885,123401.2,4s.4p2,4P,1/2,4s.4p.(3P*).5s,4P*,3/2,2,4,,,L3335,
140.1235,0.0005,140.1234,71365.6,200,,,53366.738,124732.4,4s.4p2,4P,5/2,4s.4p.(3P*).5s,4P*,5/2,6,6,,,L3335,
140.6105,0.0005,140.6106,71118.4,10,,,51575.885,122694.3,4s.4p2,4P,1/2,4s.4p.(3P*).5s,4P*,1/2,2,2,,,L3335,
140.6269,0.0005,140.6267,71110.2,15,,,52290.942,123401.2,4s.4p2,4P,3/2,4s.4p.(3P*).5s,4P*,3/2,4,4,,,L3335,
142.0385,0.0005,142.0387,70403.4,30,,,52290.942,122694.3,4s.4p2,4P,3/2,4s.4p.(3P*).5s,4P*,1/2,4,2,,,L3335,
142.7877,0.0005,142.7868,70034.0,25,,,53366.738,123401.2,4s.4p2,4P,5/2,4s.4p.(3P*).5s,4P*,3/2,6,4,,,L3335,
153.80907,0.00006,153.809069,65015.67,200,,,0.000,65015.672,4s2.4p,2P*,1/2,4s.4p2,2D,3/2,2,4,,,L22,
157.68540,0.00010,157.685477,63417.41,500,,,1767.357,65184.738,4s2.4p,2P*,3/2,4s.4p2,2D,5/2,4,6,,,L22,
158.10698,0.00006,158.106979,63248.315,75,,,1767.357,65015.672,4s2.4p,2P*,3/2,4s.4p2,2D,3/2,4,4,,,L22,
160.24864,0.00006,160.248634,62403.026,100,3.4e+08,D,0.000,62403.028,4s2.4p,2P*,1/2,4s2.5s,2S,1/2,2,2,,T4515,L22,
164.91943,0.00010,164.919425,60635.67,200,6.5e+08,D,1767.357,62403.028,4s2.4p,2P*,3/2,4s2.5s,2S,1/2,4,2,,T4515,L187,
167.9335,0.0005,167.9327,59547.38,2,,,65184.738,124732.4,4s.4p2,2D,5/2,4s.4p.(3P*).5s,4P*,5/2,6,6,,,L3335,
172.9385,0.0005,172.93860,57824.02,2,,,65184.738,123008.73,4s.4p2,2D,5/2,4s2.9f,2F*,7/2,6,8,,,L3335,
176.9377,0.0005,176.93826,56517.07,5,,,65015.672,121532.56,4s.4p2,2D,3/2,4s2.8f,2F*,5/2,4,6,,,L3335,
177.4703,0.0005,177.47009,56347.46,10,,,65184.738,121532.26,4s.4p2,2D,5/2,4s2.8f,2F*,7/2,6,8,,,L3335,
183.9634,0.0005,183.96330,54358.64,20,,,65015.672,119374.34,4s.4p2,2D,3/2,4s2.7f,2F*,5/2,4,6,,,L3335,
184.5388,0.0005,184.53868,54189.15,30,,,65184.738,119373.92,4s.4p2,2D,5/2,4s2.7f,2F*,7/2,6,8,,,L3335,
193.80077,0.00010,193.800774,51599.38,500,,,1767.357,53366.738,4s2.4p,2P*,3/2,4s.4p2,4P,5/2,4,6,,,L187,
193.88906,0.00010,193.889063,51575.89,500,,,0.000,51575.885,4s2.4p,2P*,1/2,4s.4p2,4P,1/2,2,2,,,L187,
195.9781,0.0005,195.97799,51026.11,20,,,65015.672,116041.81,4s.4p2,2D,3/2,4s2.6f,2F*,5/2,4,6,,,L3335,
196.63173,0.00010,196.631726,50856.49,20,,,65184.738,116041.231,4s.4p2,2D,5/2,4s2.6f,2F*,7/2,6,8,,,L3335,
197.92736,0.00010,197.927364,50523.59,200,,,1767.357,52290.942,4s2.4p,2P*,3/2,4s.4p2,4P,3/2,4,4,,,L187,
200.76883,0.00010,200.76883,49808.530,50,,,1767.357,51575.885,4s2.4p,2P*,3/2,4s.4p2,4P,1/2,4,2,,,L187,
217.0331,0.0005,217.0333,46075.93,1,,,65015.672,111091.55,4s.4p2,2D,3/2,4s2.7p,2P*,3/2,4,4,,,L3335,
217.3885,0.0005,217.3883,46000.59,10,,,65015.672,111016.30,4s.4p2,2D,3/2,4s2.7p,2P*,1/2,4,2,,,L3335,
217.8337,0.0005,217.8326,45906.57,15,,,65184.738,111091.55,4s.4p2,2D,5/2,4s2.7p,2P*,3/2,6,4,,,L3335,
219.8307,0.0005,219.8307,45489.54,100,,,65015.672,110505.22,4s.4p2,2D,3/2,4s2.5f,2F*,5/2,4,6,,,L3335,
220.6539,0.0005,220.6539,45319.84,100,,,65184.738,110504.58,4s.4p2,2D,5/2,4s2.5f,2F*,7/2,6,8,,,L3335,
237.5861,0.0005,237.5861,42090.00,2,,,81012.598,123102.60,4s2.4d,2D,5/2,4s2.11p,2P*,3/2,6,4,,,L3335,
238.2645,0.0005,238.2643,41970.17,3,,,79006.853,120977.05,4s2.5p,2P*,1/2,4s2.10s,2S,1/2,2,2,,,L3335,
240.3235,0.0005,240.3236,41610.58,5,,,79366.494,120977.05,4s2.5p,2P*,3/2,4s2.10s,2S,1/2,4,2,,,L3335,
244.9420,0.0005,244.9420,40826.00,3,,,80836.880,121662.87,4s2.4d,2D,3/2,4s2.10p,2P*,1/2,4,2,,,L3335,
245.8625,0.0005,245.8625,40673.14,5,,,81012.598,121685.74,4s2.4d,2D,5/2,4s2.10p,2P*,3/2,6,4,,,L3335,
