obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
65.5804,,152484.6,2,,,,,,,,,,,1,1,,,L7360,
65.9004,65.9005,151744.1,6,,,0.0,151744.,5s2.5p4,3P,2,,49*,"1,2",5,8,,,L7360,
66.3977,66.3975,150607.6,8,,,0.0,150608.?,5s2.5p4,3P,2,5s2.5p3.(4S*).13d,3D*,3,5,7,,,L7360,
66.4520,66.4512,150484.6,8,,,0.0,150486.29,5s2.5p4,3P,2,,47*,"1,2",5,8,,,L7360,
66.5055,66.5041,150363.5,8,,,0.0,150366.61,5s2.5p4,3P,2,,46*,2,5,5,,,L7360,
66.5699,66.5695,150218.0,150,,,0.0,150219.03,5s2.5p4,3P,2,,43*,"1,2",5,8,,,L7360,
71.9546,71.9539,138976.5,1000,,,0.0,138977.84,5s2.5p4,3P,2,5s2.5p3.(2D*).6d,12*,1,5,3,,,L7360,
72.2980,72.2980,138316.4,1000,,,0.0,138316.49,5s2.5p4,3P,2,5s2.5p3.(2D*).6d,10*,2,5,5,,,L7360,
79.8158,79.8159,125288.5,1000,,,0.0,125288.29,5s2.5p4,3P,2,5s2.5p3.(4S*).6d,3D*,3,5,7,,,L7360,
83.4095,83.4106,119890.4,1200,,,0.0,119888.77,5s2.5p4,3P,2,5s2.5p3.(4S*).7s,3S*,1,5,3,,,L7360,
84.7796,84.7795,117952.9,600,,,7086.888,125040.?,5s2.5p4,3P,1,5s2.5p3.(2P*).5d,3P*,0,3,1,,,L7360,
87.3489,87.3495,114483.4,1500,,,0.0,114482.59,5s2.5p4,3P,2,5s2.5p3.(2D*).5d,3P*,2,5,5,,,L7360,
87.5941,87.5940,114162.9,1000,,,13727.2,127890.23,5s2.5p4,1D,2,5s2.5p3.(2P*).5d,1P*,1,5,3,,,L7360,
87.9844,87.9847,113656.5,2000,,,0.0,113656.16,5s2.5p4,3P,2,5s2.5p3.(2P*).5d,3D*,3,5,7,,,L7360,
88.1881,88.1889,113394.0,1500,,,0.0,113392.94,5s2.5p4,3P,2,5s2.5p3.(2D*).5d,1F*,3,5,7,,,L7360,
89.0995,89.0994,112234.1,1000,,,7086.888,119321.09,5s2.5p4,3P,1,5s2.5p3.(2P*).5d,3D*,2,3,5,,,L7360,
89.3167,89.3164,111961.1,1000,,,0.0,111961.58,5s2.5p4,3P,2,5s2.5p3.(2P*).6s,1P*,1,5,3,,,L7360,
100.0572,100.0569,99942.8,1200,,,0.0,99943.10,5s2.5p4,3P,2,5s2.5p3.(2D*).5d,3F*,3,5,7,,,L7360,
100.3350,100.3354,99666.1,1000,,,13727.2,113392.94,5s2.5p4,1D,2,5s2.5p3.(2D*).5d,1F*,3,5,7,,,L7360,
101.8583,101.8581,98175.6,4000,,,0.0,98175.75,5s2.5p4,3P,2,5s2.5p3.(2D*).5d,3D*,3,5,7,,,L7360,
103.4655,103.4655,96650.6,10000,,,0.0,96650.55,5s2.5p4,3P,2,5s2.5p3.(2D*).6s,3D*,3,5,7,,,L7360,
105.4742,105.4738,94809.9,1500,,,13727.2,108537.50,5s2.5p4,1D,2,5s2.5p3.(2D*).5d,1D*,2,5,5,,,L7360,
106.7341,106.7334,93690.8,2000,,,0.0,93691.35,5s2.5p4,3P,2,5s2.5p3.(2D*).6s,3D*,2,5,5,,,L7360,
107.5210,107.5200,93005.1,3000,,,0.0,93005.95,5s2.5p4,3P,2,5s2.5p3.(4S*).5d,3D*,3,5,7,,,L7360,
110.5000,110.4993,90497.7,5000,,,0.0,90498.31,5s2.5p4,3P,2,5s2.5p3.(4S*).5d,3D*,2,5,5,,,L7360,
111.1165,111.1155,89995.6,2500,,,7086.888,97083.30,5s2.5p4,3P,1,5s2.5p3.(2D*).5d,3D*,2,3,5,,,L7360,
111.7219,111.7219,89508.0,1500,,,6447.9,95955.85,5s2.5p4,3P,0,5s.5p5,1P*,1,1,3,,,L7360,
112.5251,112.5252,88869.1,3500,,,7086.888,95955.85,5s2.5p4,3P,1,5s.5p5,1P*,1,3,3,,,L7360,
113.1504,113.1511,88378.0,2000,,,6447.9,94825.33,5s2.5p4,3P,0,5s2.5p3.(2D*).6s,3D*,1,1,3,,,L7360,
113.9752,113.9751,87738.4,1200,,,7086.888,94825.33,5s2.5p4,3P,1,5s2.5p3.(2D*).6s,3D*,1,3,3,,,L7360,
113.9805,113.9808,87734.3,10000,,,0.0,87734.06,5s2.5p4,3P,2,5s2.5p3.(4S*).5d,5D*,1,5,3,,,L7360,
115.4668,115.4675,86605.0,1500,,,7086.888,93691.35,5s2.5p4,3P,1,5s2.5p3.(2D*).6s,3D*,2,3,5,,,L7360,
115.9871,115.9879,86216.5,1000,,,13727.2,99943.10,5s2.5p4,1D,2,5s2.5p3.(2D*).5d,3F*,3,5,7,,,L7360,
116.0562,116.0566,86165.2,10000,,,0.0,86164.86,5s2.5p4,3P,2,5s2.5p3.(4S*).5d,5D*,2,5,5,,,L7360,
116.6482,116.6480,85727.9,20000,,,0.0,85727.98,5s2.5p4,3P,2,5s2.5p3.(4S*).5d,5D*,3,5,7,,,L7360,
116.7054,116.7069,85685.8,1500,,,6447.9,92132.61,5s2.5p4,3P,0,5s2.5p3.(4S*).5d,3D*,1,1,3,,,L7360,
117.5841,117.5838,85045.5,5000,,,7086.888,92132.61,5s2.5p4,3P,1,5s2.5p3.(4S*).5d,3D*,1,3,3,,,L7360,
117.8650,117.8649,84842.8,10000,,,0.0,84842.87,5s2.5p4,3P,2,5s2.5p3.(4S*).6s,3S*,1,5,3,,,L7360,
118.7338,118.7336,84222.0,15000,,,0.0,84222.19,5s2.5p4,3P,2,5s.5p5,3P*,1,5,3,,,L7360,
119.0853,119.0850,83973.4,10000,,,13727.2,97700.81,5s2.5p4,1D,2,5s2.5p3.(2D*).6s,1D*,2,5,5,,,L7360,
119.8884,119.8877,83410.9,5000,,,7086.888,90498.31,5s2.5p4,3P,1,5s2.5p3.(4S*).5d,3D*,2,3,5,,,L7360,
120.0223,120.0220,83317.8,7000,,,7086.888,90404.95,5s2.5p4,3P,1,5s.5p5,3P*,0,3,1,,,L7360,
122.0887,122.0884,81907.7,20000,,,0.0,81907.83,5s2.5p4,3P,2,5s.5p5,3P*,2,5,5,,,L7360,
123.4063,123.4070,81033.1,20000,,,0.0,81032.70,5s2.5p4,3P,2,5s2.5p3.(4S*).6s,5S*,2,5,5,,,L7360,
133.6517,133.6524,74821.3,20000,,,7086.888,81907.83,5s2.5p4,3P,1,5s.5p5,3P*,2,3,5,,,L7360,
240.8740,240.8739,41515.48,100,,,98175.75,139691.25,5s2.5p3.(2D*).5d,3D*,3,5s2.5p3.(2D*).4f,3G,3,7,7,,,L7360,
241.9911,241.9912,41323.83,100,,,98175.75,139499.57,5s2.5p3.(2D*).5d,3D*,3,5s2.5p3.(2D*).4f,3F,4,7,9,,,L7360,
249.5490,249.5493,40072.29,100,,,99377.47,139449.71,5s2.5p3.(2D*).5d,3F*,4,5s2.5p3.(2D*).4f,3G,5,9,11,,,L7360,
253.4366,253.4365,39457.59,100,,,85384.15,124841.77,5s2.5p3.(4S*).5d,5D*,0,5s2.5p3.(4S*).4f,5F,1,1,3,,,L7360,
253.5034,253.5035,39447.21,200,,,86036.32,125483.51,5s2.5p3.(4S*).5d,5D*,4,5s2.5p3.(4S*).7p,5P,3,9,7,,,L7360,
256.7011,256.7011,38955.81,1000,,,85727.98,124683.79,5s2.5p3.(4S*).5d,5D*,3,5s2.5p3.(4S*).4f,5F,4,7,9,,,L7360,
258.3567,258.3567,38706.18,2000,,,86036.32,124742.50,5s2.5p3.(4S*).5d,5D*,4,5s2.5p3.(4S*).4f,5F,5,9,11,,,L7360,
259.4234,259.4231,38547.03,300,,,86164.86,124711.93,5s2.5p3.(4S*).5d,5D*,2,5s2.5p3.(4S*).4f,5F,3,5,7,,,L7360,
268.9779,,37177.77,200c,,,,,,,,,,,1,1,,,L7360,
273.0932,273.0931,36617.53,500,,,103101.57,139719.12,5s2.5p3.(2D*).5d,1G*,4,5s2.5p3.(2D*).4f,1G,4,9,9,,,L7360,
276.5966,276.5969,36153.74,20,,,99943.10,136096.79,5s2.5p3.(2D*).5d,3F*,3,5s2.5p3.(2D*).4f,3F,3,7,7,,,L7360,
280.9421,280.9417,35594.52,200,,,101157.79,136752.36,5s2.5p3.(2D*).5d,3G*,4,5s2.5p3.(2D*).4f,3H,5,9,11,,,L7360,
287.9477,287.9470,34728.54,1500,,,90498.31,125226.92,5s2.5p3.(4S*).5d,3D*,2,5s2.5p3.(4S*).4f,3F,3,5,7,,,L7360,
299.4739,299.4734,33391.89,1000,,,92132.61,125524.56,5s2.5p3.(4S*).5d,3D*,1,5s2.5p3.(4S*).4f,3F,2,3,5,,,L7360,
307.9648,307.9659,32471.24,5000,,,93005.95,125477.08,5s2.5p3.(4S*).5d,3D*,3,5s2.5p3.(4S*).4f,3F,4,7,9,,,L7360,
316.1942,316.1942,31626.13,200,,,108537.50,140163.63,5s2.5p3.(2D*).5d,1D*,2,5s2.5p3.(2D*).7p,1F,3,5,7,,,L7360,
317.5985,317.5989,31486.30,1000,,,84222.19,115708.45,5s.5p5,3P*,1,5s2.5p3.(2D*).6p,3P,2,3,5,,,L7360,
335.6495,335.6499,29792.98,300,,,84842.87,114635.82,5s2.5p3.(4S*).6s,3S*,1,5s2.5p3.(2D*).6p,3P,0,3,1,,,L7360,
342.5975,342.5972,29188.77,250c,,,107511.77,136700.57,5s2.5p3.(2D*).5d,3F*,2,5s2.5p3.(4S*).8p,3P,2,5,5,,,L7360,
349.8407,349.8403,28584.44,300c,,,90498.31,119082.78,5s2.5p3.(4S*).5d,3D*,2,5s2.5p3.(2D*).6p,1D,2,5,5,,,L7360,
