obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
158.1805,0.0010,158.1805,0.0004,63218.9,2900,,,2262.84,65481.77,5d8,3F,4,,6548*,3,9,7,,,L4457,
159.4026,0.0010,159.4032,0.0003,62734.2,2000,,,0.00,62734.01,5d7.(4F).6s,5F,5,,6273*,4,11,9,,,L4457,
159.4512,0.0010,159.4513,0.0003,62715.1,2000,,,3090.16,65805.22,5d8,3P,2,,6580*,2,5,5,,,L4457,
160.2785,0.0010,160.2780,0.0003,62391.4,610,,,3090.16,65481.77,5d8,3P,2,,6548*,3,5,7,,,L4457,
160.9763,0.0010,160.9756,0.0003,62120.9,2500,,,4787.92,66909.12,5d7.(4F).6s,5F,4,,6690*,3,9,7,,,L4457,
161.3672,0.0010,161.3682,0.0003,61970.5,2400,,,0.00,61970.06,5d7.(4F).6s,5F,5,,6197*,5,11,11,,,L4457,
163.6149,0.0010,163.6166,0.0004,61119.1,1400,,,3090.16,64208.67,5d8,3P,2,,6420*,3,5,7,,,L4457,
164.7613,0.0010,164.7613,0.0003,60693.9,1700,,,4787.92,65481.77,5d7.(4F).6s,5F,4,,6548*,3,9,7,,,L4457,
164.8128,0.0010,164.8124,0.0004,60674.9,2100,,,3090.16,63765.19,5d8,3P,2,,6376*,2,5,5,,,L4457,
165.3686,0.0010,165.3681,0.0004,60471.0,1600,,,2262.84,62734.01,5d8,3F,4,,6273*,4,9,9,,,L4457,
167.4838,0.0010,167.4839,0.0004,59707.3,1400,,,2262.84,61970.06,5d8,3F,4,,6197*,5,9,11,,,L4457,
168.8421,0.0010,168.8413,0.0004,59226.9,470,,,2262.84,61490.05,5d8,3F,4,,6148*,4,9,9,,,L4457,
172.6095,0.0010,172.6097,0.0004,57934.2,240,,,8974.95,66909.12,5d8,1D,2,,6690*,3,5,7,,,L4457,
173.5557,0.0010,173.5559,0.0003,57618.4,1500,,,8186.89,65805.22,5d7.(4F).6s,5F,3,,6580*,2,7,5,,,L4457,
174.7537,0.0010,174.7535,0.0004,57223.4,560,,,3090.16,60313.63,5d8,3P,2,5d7.(4F<9/2>).6p,"(9/2,3/2)*",3,5,7,,,L4457,
174.8786,0.0010,174.8798,0.0003,57182.5,1500,,,4787.92,61970.06,5d7.(4F).6s,5F,4,,6197*,5,9,11,,,L4457,
176.2335,0.0010,176.2332,0.0004,56742.9,1400,,,9062.22,65805.22,5d8,3P,1,,6580*,2,3,5,,,L4457,
176.9692,0.0010,176.9698,0.0003,56507.0,730,,,8974.95,65481.77,5d8,1D,2,,6548*,3,5,7,,,L4457,
177.4519,0.0010,177.4517,0.0004,56353.3,550,,,8186.89,64540.26,5d7.(4F).6s,5F,3,,6454*,3,7,7,,,L4457,
