obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
218.855,218.8559+,45692.3,240,,,0.00,45692.17,5d2,a 3F,2,6s.6p,x 1P*,1,5,3,,,L3475,
225.746,225.7453+,44297.6,770,,,1394.46,45692.17,5d2,,2,6s.6p,x 1P*,1,5,3,,,L3475,
231.853,231.8526+,43130.7,90,,,18895.41,62026.27,4f.5d,z 1D*,2,4f2,i 1D,2,5,5,,,L3475,
232.015,232.0155+,43100.6,200,,,2591.60,45692.17,5d.6s,a 3D,2,6s.6p,x 1P*,1,5,3,,,L3475,
232.946,232.9459+,42928.3,75,,,16599.17,59527.60,4f.5d,z 1G*,4,4f2,g 1G,4,9,9,,,L3475,
243.875,243.8747+,41004.6,20,,,18895.41,59900.08,4f.5d,z 1D*,2,6p2,h 1D,2,5,5,,,L3475,
247.265,247.2648+,40442.5,65,,,5249.70,45692.17,5d2,a 3P,0,6s.6p,x 1P*,1,1,3,,,L3475,
247.319,247.3179+,40433.7,35,,,17825.62,58259.41,4f.5d,z 3H*,4,4f2,g 3F,4,9,9,,,L3475,
248.060,248.0586+,40312.8,35,,,19214.54,59527.60,4f.5d,y 3F*,4,4f2,g 1G,4,9,9,,,L3475,
248.834,248.8327+,40187.4,65,,,17211.93,57399.58,4f.5d,y 3F*,2,4f2,g 3F,2,5,5,,,L3475,
253.390,253.3907+,39464.8,45,,,6227.42,45692.17,5d2,a 3P,2,6s.6p,x 1P*,1,5,3,,,L3475,
256.114,256.1156+,39045.1,45,,,19214.54,58259.41,4f.5d,y 3F*,4,4f2,g 3F,4,9,9,,,L3475,
258.159,258.1584+,38735.8,18,,,15698.74,54434.65,4f.(2F*<7/2>).6s<1/2>,"(7/2,1/2)*",4,5d.6d,f 3G,5,9,11,,,L3475,
258.333,258.3318+,38709.7,22,,,14147.98,52857.88,4f.(2F*<5/2>).6s<1/2>,"(5/2,1/2)*",2,5d.6d,f 3G,3,5,7,,,L3475,
259.687,259.6858+,38508.0,35,,,16599.17,55107.25,4f.5d,z 1G*,4,4f2,e 3H,4,9,9,,,L3475,
261.112,261.1130+,38297.7,400,,,7394.57,45692.17,6s2,a 1S,0,6s.6p,x 1P*,1,1,3,,,L3475,
267.370,267.3677+,37401.3,55,,,18580.41,55982.09,4f.5d,z 3H*,5,4f2,e 3H,5,11,11,,,L3475,
269.627,269.6267+,37088.3,60,,,19749.62,56837.94,4f.5d,z 3H*,6,4f2,e 3H,6,13,13,,,L3475,
279.233,279.2323+,35812.3,55,,,22106.02,57918.50,4f.5d,z 3D*,2,4f2,g 3F,3,5,7,,,L3475,
279.938,279.9387+,35722.1,55,,,22537.30,58259.41,4f.5d,z 3D*,3,4f2,g 3F,4,7,9,,,L3475,
280.922,280.9201+,35597.1,420,,,10094.86,45692.17,5d.6s,,2,6s.6p,x 1P*,1,5,3,,,L3475,
283.928,283.9287+,35220.1,11,,,19214.54,54434.65,4f.5d,y 3F*,4,5d.6d,f 3G,5,9,11,,,L3475,
284.135,284.1350+,35194.6,16,,,29498.05,64692.59,6s.6p,*,2,6s.6d,h 3D,3,5,7,,,L3475,
285.674,285.6743+,35004.9,45,,,24522.70,59527.60,4f.5d,y 1F*,3,4f2,g 1G,4,7,9,,,L3475,
286.382,286.3809+,34918.4,26,,,20402.82,55321.35,4f.5d,z 3G*,3,5d.6d,f 3F,4,7,9,,,L3475,
288.150,288.1477+,34704.2,90,,,20402.82,55107.25,4f.5d,z 3G*,3,4f2,e 3H,4,7,9,,,L3475,
288.599,288.5962+,34650.2,130,,,21331.60,55982.09,4f.5d,z 3G*,4,4f2,e 3H,5,9,11,,,L3475,
289.392,289.3934+,34555.2,160,,,22282.90,56837.94,4f.5d,z 3G*,5,4f2,e 3H,6,11,13,,,L3475,
295.136,295.1360+,33882.7,110,,,28525.71,62408.40,4f.5d,z 1H*,5,4f2,e 1I,6,11,13,,,L3475,
310.549,310.5489+,32201.0,180,,,0.00,32201.05,5d2,a 3F,2,5d.6p,x 1F*,3,5,7,,,L3475,
310.936,310.9357+,32160.9,60,,,0.00,32160.99,5d2,a 3F,2,5d.6p,x 3P*,1,5,3,,,L3475,
314.367,314.3670+,31810.0,130,,,1394.46,33204.41,5d2,,2,6s.6p,*,2,5,5,,,L3475,
319.394,319.3943+,31309.3,75,,,1895.15,33204.41,5d.6s,a 3D,1,6s.6p,*,2,3,5,,,L3475,
324.607,324.6059+,30806.5,510,,,1394.46,32201.05,5d2,,2,5d.6p,x 1F*,3,5,7,,,L3475,
325.029,325.0285+,30766.5,260,,,1394.46,32160.99,5d2,,2,5d.6p,x 3P*,1,5,3,,,L3475,
326.661,326.6606+,30612.8,550,,,2591.60,33204.41,5d.6s,a 3D,2,6s.6p,*,2,5,5,,,L3475,
330.406,330.4055+,30265.8,800,,,1895.15,32160.99,5d.6s,a 3D,1,5d.6p,x 3P*,1,3,3,,,L3475,
333.845,333.8446+,29954.0,1500,,,3250.35,33204.41,5d.6s,a 3D,3,6s.6p,*,2,7,5,,,L3475,
334.552,334.5526+,29890.7,870,,,1895.15,31785.82,5d.6s,a 3D,1,5d.6p,x 3P*,0,3,1,,,L3475,
337.730,337.7300+,29609.5,200,,,2591.60,32201.05,5d.6s,a 3D,2,5d.6p,x 1F*,3,5,7,,,L3475,
338.188,338.1876+,29569.3,1500,,,2591.60,32160.99,5d.6s,a 3D,2,5d.6p,x 3P*,1,5,3,,,L3475,
345.317,345.3173+,28958.9,130,,,1394.46,30353.33,5d2,,2,4f.5d,y 1P*,1,5,3,,,L3475,
345.416,345.4148+,28950.6,180,,,3250.35,32201.05,5d.6s,a 3D,3,5d.6p,x 1F*,3,7,7,,,L3475,
351.100,351.0996+,28481.9,75,,,1016.10,29498.05,5d2,a 3F,3,6s.6p,*,2,7,5,,,L3475,
351.393,351.3928+,28458.1,75,,,1895.15,30353.33,5d.6s,a 3D,1,4f.5d,y 1P*,1,3,3,,,L3475,
355.183,355.1824+,28154.5,45,,,0.00,28154.55,5d2,a 3F,2,6s.6p,*,1,5,3,,,L3475,
355.828,355.8264+,28103.5,65,,,1394.46,29498.05,5d2,,2,6s.6p,*,2,5,5,,,L3475,
360.209,360.2081+,27761.7,65,,,2591.60,30353.33,5d.6s,a 3D,2,4f.5d,y 1P*,1,5,3,,,L3475,
361.337,361.3368+,27675.0,75,,,24462.66,52137.67,5d.6p,y 1D*,2,5d.6d,f 1F,3,5,7,,,L3475,
362.986,362.9856+,27549.2,320,4.0e+06,C+,1016.10,28565.40,5d2,a 3F,3,5d.6p,x 3F*,4,7,9,,T7455,L3475,
363.819,363.8177+,27486.2,120,,,5718.12,33204.41,5d2,a 3P,1,6s.6p,*,2,3,5,,,L3475,
364.270,364.2731+,27452.2,170u,,,27388.11,54840.04,5d.6p,y 3D*,2,5d.6d,f 3F,3,5,7,,,L3475,
364.646,364.6453+,27423.9,1000,4.3e+07,B,0.00,27423.91,5d2,a 3F,2,5d.6p,*,1,5,3,,T7455,L3475,
365.122,365.1219+,27388.1,390,,,0.00,27388.11,5d2,a 3F,2,5d.6p,y 3D*,2,5,5,,,L3475,
366.312,366.3118+,27299.1,170,3.0e+06,C,1016.10,28315.25,5d2,a 3F,3,5d.6p,y 3D*,3,7,7,,T7455,L3475,
370.286,370.2867+,27006.1,35,,,28315.25,55321.35,5d.6p,y 3D*,3,5d.6d,f 3F,4,7,9,,,L3475,
370.687,370.6863+,26976.9,320,,,6227.42,33204.41,5d2,a 3P,2,6s.6p,*,2,5,5,,,L3475,
371.460,371.4601+,26920.8,550,1.09e+07,C+,1394.46,28315.25,5d2,,2,5d.6p,y 3D*,3,5,7,,T7455,L3475,
