obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
12.55,12.535,0.010,797000,*,,,[494260.30],1292000,1s.2p,3P*,1,2p.3p,3P,2,3,5,,,"L3160,L1992",
12.55,12.536,0.010,797000,*,,,[494265.70],1292000,1s.2p,3P*,0,2p.3p,3P,1,1,3,,,"L3160,L1992",
12.55,12.535,0.010,797000,*,,,[494260.30],1292000,1s.2p,3P*,1,2p.3p,3P,0,3,1,,,"L3160,L1992",
12.55,12.535,0.010,797000,*,,,[494262.57],1292000,1s.2p,3P*,2,2p.3p,3P,1,5,3,,,"L3160,L1992",
12.55,12.535,0.010,797000,*,,,[494262.57],1292000,1s.2p,3P*,2,2p.3p,3P,2,5,5,,,"L3160,L1992",
12.55,12.535,0.010,797000,*,,,[494260.30],1292000,1s.2p,3P*,1,2p.3p,3P,1,3,3,,,"L3160,L1992",
12.55,12.551,0.010,797000,*,,,[494265.70],1291000,1s.2p,3P*,0,2p.3p,3D,1,1,3,,,"L3160,L1992",
12.55,12.551,0.010,797000,*,,,[494262.57],1291000,1s.2p,3P*,2,2p.3p,3D,2,5,5,,,"L3160,L1992",
12.55,12.551,0.010,797000,*,,,[494262.57],1291000,1s.2p,3P*,2,2p.3p,3D,1,5,3,,,"L3160,L1992",
12.55,12.551,0.010,797000,*,,,[494260.30],1291000,1s.2p,3P*,1,2p.3p,3D,2,3,5,,,"L3160,L1992",
12.55,12.551,0.010,797000,*,,,[494262.57],1291000,1s.2p,3P*,2,2p.3p,3D,3,5,7,,,"L3160,L1992",
12.55,12.551,0.010,797000,*,,,[494260.30],1291000,1s.2p,3P*,1,2p.3p,3D,1,3,3,,,"L3160,L1992",
13.65,13.647,0.010,733000,*,,,[561242.28],1294000,1s.3d,3D,2,2p.3d,3D*,3,5,7,,,"L3160,L1992",
13.65,13.647,0.010,733000,*,,,[561243.43],1294000,1s.3d,3D,1,2p.3d,3D*,2,3,5,,,"L3160,L1992",
13.65,13.647,0.010,733000,*,,,[561242.90],1294000,1s.3d,3D,3,2p.3d,3D*,3,7,7,,,"L3160,L1992",
13.65,13.647,0.010,733000,*,,,[561243.43],1294000,1s.3d,3D,1,2p.3d,3D*,1,3,3,,,"L3160,L1992",
13.65,13.647,0.010,733000,*,,,[561242.90],1294000,1s.3d,3D,3,2p.3d,3D*,2,7,5,,,"L3160,L1992",
13.65,13.647,0.010,733000,*,,,[561242.28],1294000,1s.3d,3D,2,2p.3d,3D*,1,5,3,,,"L3160,L1992",
13.65,13.647,0.010,733000,*,,,[561242.28],1294000,1s.3d,3D,2,2p.3d,3D*,2,5,5,,,"L3160,L1992",
13.65,13.652,0.010,733000,*,,,[559501.45],1292000,1s.3p,3P*,0,2p.3p,3P,1,1,3,,,"L3160,L1992",
13.65,13.652,0.010,733000,*,,,[559499.5],1292000,1s.3p,3P*,1,2p.3p,3P,0,3,1,,,"L3160,L1992",
13.65,13.652,0.010,733000,*,,,[559500.55],1292000,1s.3p,3P*,2,2p.3p,3P,2,5,5,,,"L3160,L1992",
13.65,13.652,0.010,733000,*,,,[559500.55],1292000,1s.3p,3P*,2,2p.3p,3P,1,5,3,,,"L3160,L1992",
13.65,13.652,0.010,733000,*,,,[559499.5],1292000,1s.3p,3P*,1,2p.3p,3P,2,3,5,,,"L3160,L1992",
13.65,13.652,0.010,733000,*,,,[559499.5],1292000,1s.3p,3P*,1,2p.3p,3P,1,3,3,,,"L3160,L1992",
14.05,14.05,0.10,712000,*,,,[494262.57],1206000,1s.2p,3P*,2,2p2,3P,2,5,5,,,"L3160,L1992",
14.05,14.05,0.10,712000,*,,,[494260.30],1206000,1s.2p,3P*,1,2p2,3P,1,3,3,,,"L3160,L1992",
14.05,14.05,0.10,712000,*,,,[494262.57],1206000,1s.2p,3P*,2,2p2,3P,1,5,3,,,"L3160,L1992",
14.05,14.05,0.10,712000,*,,,[494260.30],1206000,1s.2p,3P*,1,2p2,3P,0,3,1,,,"L3160,L1992",
14.05,14.05,0.10,712000,*,,,[494265.70],1206000,1s.2p,3P*,0,2p2,3P,1,1,3,,,"L3160,L1992",
14.05,14.05,0.10,712000,*,,,[494260.30],1206000,1s.2p,3P*,1,2p2,3P,2,3,5,,,"L3160,L1992",
