obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
,18.409,543200,"g,a",,,0.00,543210,2p6.3s,2S,1/2,2p5.3s.7d?,*,1/2 or 3/2,2,2,,,L2781,
18.431,18.431,542600,"g,a",,,0.00,542560,2p6.3s,2S,1/2,2p5.3s.9d?,*,1/2 or 3/2,2,2,,,L2781,
18.468,18.468,541500,"g,a",,,0.00,541480,2p6.3s,2S,1/2,2p5.3s.9d?,*,1/2 or 3/2,2,2,,,L2781,
18.481,18.481,541100,"g,a",,,0.00,541100,2p6.3s,2S,1/2,2p5.3s.8d?,*,1/2 or 3/2,2,2,,,L2781,
18.526,18.526,539800,"g,a",,,0.00,539780,2p6.3s,2S,1/2,2p5.3s.6d?,*,1/2 or 3/2,2,2,,,L2781,
18.559,18.559,538800,"g,a",,,0.00,538820,2p6.3s,2S,1/2,2p5.3s.7d?,*,1/2 or 3/2,2,2,,,L2781,
18.598,18.598,537700,"g,a",,,0.00,537690,2p6.3s,2S,1/2,2p5.3s.7d?,*,1/2 or 3/2,2,2,,,L2781,
18.647,18.647,536300,"g,a",,,0.00,536280,2p6.3s,2S,1/2,2p5.3s.6d?,*,1/2 or 3/2,2,2,,,L2781,
18.684,18.684,535200,"g,a",,,0.00,535220,2p6.3s,2S,1/2,2p5.3s.6d?,*,1/2 or 3/2,2,2,,,L2781,
18.719,18.719,534200,"g,a",,,0.00,534220,2p6.3s,2S,1/2,2p5.3s.6d?,*,1/2 or 3/2,2,2,,,L2781,
18.738,18.738,533700,"g,a",,,0.00,533670,2p6.3s,2S,1/2,2p5.3s.6d?,*,1/2 or 3/2,2,2,,,L2781,
18.854,18.854,530400,"g,a",,,0.00,530390,2p6.3s,2S,1/2,2p5.3s.5d?,*,1/2 or 3/2,2,2,,,L2781,
18.891,18.891,529400,"g,a",,,0.00,529350,2p6.3s,2S,1/2,2p5.3s.5d?,*,1/2 or 3/2,2,2,,,L2781,
18.901,18.901,529100,"g,a",,,0.00,529070,2p6.3s,2S,1/2,2p5.3s.5d?,*,1/2 or 3/2,2,2,,,L2781,
18.923,18.923,528500,"g,a",,,0.00,528460,2p6.3s,2S,1/2,2p5.3s.5d?,*,1/2 or 3/2,2,2,,,L2781,
18.937,18.937,528100,"g,a",,,0.00,528070,2p6.3s,2S,1/2,2p5.3s.5d?,*,1/2 or 3/2,2,2,,,L2781,
19.130,19.130,522700,"g,a",,,0.00,522740,2p6.3s,2S,1/2,2p5.3s.4d?,*,1/2 or 3/2,2,2,,,L2781,
19.156,19.156,522000,"g,a",,,0.00,522030,2p6.3s,2S,1/2,2p5.3s.4d?,*,1/2 or 3/2,2,2,,,L2781,
19.165,19.165,521800,"g,a",,,0.00,521780,2p6.3s,2S,1/2,2p5.3s.5s?,*,1/2 or 3/2,2,2,,,L2781,
19.240,19.240,519800,"g,a",,,0.00,519750,2p6.3s,2S,1/2,2p5.3s.4d?,*,1/2 or 3/2,2,2,,,L2781,
19.255,19.255,519300,"g,a",,,0.00,519350,2p6.3s,2S,1/2,2p5.3s.4d?,*,1/2 or 3/2,2,2,,,L2781,
19.284,19.284,518600,"g,a",,,0.00,518560,2p6.3s,2S,1/2,2p5.3s.5s?,*,1/2 or 3/2,2,2,,,L2781,
19.309,19.309,517900,"g,a",,,0.00,517890,2p6.3s,2S,1/2,2p5.3s.4d?,*,1/2 or 3/2,2,2,,,L2781,
19.331,19.331,517300,"g,a",,,0.00,517300,2p6.3s,2S,1/2,2p5.3s.4d?,*,1/2 or 3/2,2,2,,,L2781,
19.340,19.340,517100,"g,a",,,0.00,517060,2p6.3s,2S,1/2,2p5.3s.5s?,*,1/2 or 3/2,2,2,,,L2781,
19.364,19.364,516400,"g,a",,,0.00,516420,2p6.3s,2S,1/2,2p5.3s.4d?,*,1/2 or 3/2,2,2,,,L2781,
19.776,19.771,505700,"g,a",,,0.00,505780,2p6.3s,2S,1/2,2p5.(2P*).3p2.(3P),2P*,3/2,2,4,,,L2781,
19.931,19.931,501700,"g,a",,,0.00,501730,2p6.3s,2S,1/2,2p5.(2P*).3p2.(3P),2P*,1/2,2,2,,,L2781,
20.200,20.200,495050,"g,a",,,0.00,495050,2p6.3s,2S,1/2,2p5.(2P*).3s.4s.(1S),2P*,1/2,2,2,,,L2781,
20.227,20.227,494390,"g,a",,,0.00,494390,2p6.3s,2S,1/2,2p5.(2P*).3s.4s.(1S),2P*,3/2,2,4,,,L2781,
20.251,20.251,493800,"g,a",,,0.00,493800,2p6.3s,2S,1/2,2p5.(2P*).3s.3d.(3D),2P*,1/2,2,2,,,L2781,
20.294,20.294,492760,"g,a",,,0.00,492760,2p6.3s,2S,1/2,2p5.(2P*).3s.3d.(3D),*,3/2,2,4,,,L2781,
20.342,20.342,491590,"g,a",,,0.00,491590,2p6.3s,2S,1/2,2p5.(2P*).3s.4s.(3S),2P*,3/2,2,4,,,L2781,
20.353,20.353,491330,"g,a",,,0.00,491330,2p6.3s,2S,1/2,2p5.(2P*).3s.4s.(3S),2P*,1/2,2,2,,,L2781,
20.909,20.909,478260,"g,a",,,0.00,478260,2p6.3s,2S,1/2,2p5.(2P*).3p2.(1D),2P*,3/2,2,4,,,L2781,
20.943,20.943,477490,"g,a",,,0.00,477490,2p6.3s,2S,1/2,2p5.(2P*).3p2.(1D),2P*,1/2,2,2,,,L2781,
23.301,23.301,429170,4,,,35760.88,464930?,2p6.3p,2P*,3/2,2p5.(2P*).3s.3p.(1P*),2S,1/2,4,2,,,L10300,
23.58,23.58,424100,1,,,35760.88,459800?,2p6.3p,2P*,3/2,2p5.(2P*).3s.3p.(1P*),2P,3/2,4,4,,,L10300,
23.81,23.804,420000,7*,,,71490.19,491590,2p6.3d,2D,5/2,2p5.(2P*).3s.4s.(3S),2P*,3/2,6,4,,,L6592,
23.81,23.819,420000,7*,,,71491.06,491330,2p6.3d,2D,3/2,2p5.(2P*).3s.4s.(3S),2P*,1/2,4,2,,,L6592,
24.655,24.651,405600,6*,,,35669.31,441330,2p6.3p,2P*,1/2,2p5.(2P*).3s.3p.(3P*),2P,3/2,2,4,,,L10300,
24.655,24.657,405600,6*,,,35760.88,441330,2p6.3p,2P*,3/2,2p5.(2P*).3s.3p.(3P*),2P,3/2,4,4,,,L10300,
24.721,24.721,404510,2g,,,0.00,404510,2p6.3s,2S,1/2,2p5.3s2,2P*,1/2,2,2,,,L10300,
24.766,24.766,403780,1,,,35760.88,439540,2p6.3p,2P*,3/2,2p5.(2P*).3s.3p.(3P*),2D,5/2,4,6,,,L10300,
24.839,24.839,402590,3g,,,0.00,402590,2p6.3s,2S,1/2,2p5.3s2,2P*,3/2,2,4,,,L10300,
27.72,27.723,360800,1*,,,80619.50,441330,2p6.4p,2P*,1/2,2p5.(2P*).3s.3p.(3P*),2P,3/2,2,4,,,L6592,
27.72,27.725,360800,1*,,,80650.02,441330,2p6.4p,2P*,3/2,2p5.(2P*).3s.3p.(3P*),2P,3/2,4,4,,,L6592,
,85.5883,116838.4,,6.10e+00,C+,0.00,116838.45,2p6.3s,2S,1/2,2p6.10d,2D,5/2,2,6,E2,T2169,,
,86.3600,115794.4,,9.75e+00,D+,0.00,115794.39,2p6.3s,2S,1/2,2p6.9d,2D,5/2,2,6,E2,T2169,,
87.02,87.03317,114920,"g,a*",1.04e+06,C,0.00,114898.72,2p6.3s,2S,1/2,2p6.9p,2P*,3/2,2,4,,c31,L1790,
87.02,87.03463,114920,"g,a*",1.08e+06,C,0.00,114896.79,2p6.3s,2S,1/2,2p6.9p,2P*,1/2,2,2,,c31,L1790,
,87.4640,114332.7,,1.69e+01,C,0.00,114332.74,2p6.3s,2S,1/2,2p6.8d,2D,3/2,2,4,E2,T2169,,
88.47,88.46967,113030,"g,a*",1.38e+06,C,0.00,113033.09,2p6.3s,2S,1/2,2p6.8p,2P*,3/2,2,4,,c31,L1790,
88.47,88.47189,113030,"g,a*",1.44e+06,C,0.00,113030.25,2p6.3s,2S,1/2,2p6.8p,2P*,1/2,2,2,,c31,L1790,
,89.1289,112197.1,,4.25e+00,C,0.00,112197.05,2p6.3s,2S,1/2,2p6.7d,2D,5/2,2,6,E2,T5202,,
90.74,90.73752,110200,"g,a*",1.94e+06,C,0.00,110207.99,2p6.3s,2S,1/2,2p6.7p,2P*,3/2,2,4,,c31,L1790,
90.74,90.74115,110200,"g,a*",2.02e+06,C,0.00,110203.58,2p6.3s,2S,1/2,2p6.7p,2P*,1/2,2,2,,c31,L1790,
,91.8273,108900.0,,2.69e+01,B,0.00,108900.02,2p6.3s,2S,1/2,2p6.6d,2D,5/2,2,6,E2,T5202,,
94.6703,94.67033,105629.7,8g,2.69e+06,B,0.00,105629.72,2p6.3s,2S,1/2,2p6.6p,2P*,3/2,2,4,,c31,L535,
94.6769,94.67694,105622.4,9g,2.81e+06,B,0.00,105622.34,2p6.3s,2S,1/2,2p6.6p,2P*,1/2,2,2,,c31,L535,
,96.6934,103419.7,,1.97e+02,B+,0.00,103419.70,2p6.3s,2S,1/2,2p6.5d,2D,5/2,2,6,E2,T5202,,
102.5962,102.59681,97469.5,14g,3.43e+06,B,0.00,97468.92,2p6.3s,2S,1/2,2p6.5p,2P*,3/2,2,4,,"c31,T6870",L535,
102.6108,102.61134,97455.6,12g,3.63e+06,B,0.00,97455.12,2p6.3s,2S,1/2,2p6.5p,2P*,1/2,2,2,,"c31,T6870",L535,
