obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""15.688""","=""0.005""","=""15.689""","=""0.005""","=""""","=""""",,"=""0.00""","=""637400""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.8p""","=""1P*""","=""1""",,"=""""","=""L4668""",
"=""15.755""","=""0.005""","=""15.755""","=""0.005""","=""""","=""""",,"=""0.00""","=""634700""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.7p""","=""1P*""","=""1""",,"=""""","=""L4668""",
"=""15.867""","=""0.005""","=""15.868""","=""0.005""","=""""","=""""",,"=""0.00""","=""630200""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.6p""","=""1P*""","=""1""",,"=""""","=""L4668""",
"=""16.066""","=""0.005""","=""16.067""","=""0.005""","=""""","=""""",,"=""0.00""","=""622400""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.5p""","=""1P*""","=""1""",,"=""""","=""L4668""",
"=""16.492""","=""0.005""","=""16.488""","=""0.005""","=""""","=""""",,"=""0.00""","=""606500""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.4p""","=""1P*""","=""1""",,"=""""","=""L4668""",
"=""17.724""","=""0.005""","=""17.724""","=""0.006""","=""""","=""5.1e+09""",E,"=""0.00""","=""564200""","=""2s2.2p6""","=""1S""","=""0""","=""2s.2p6.3p""","=""1P*""","=""1""",,"=""T6036c79""","=""L4668""",
"=""26.306""","=""0.005""","=""26.306""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""380140""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).13d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.306""","=""0.005""","=""26.306""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""380140""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).14s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.339""","=""0.005""","=""26.339""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""379660""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).13s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.339""","=""0.005""","=""26.339""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""379660""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).12d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.381""","=""0.005""","=""26.381""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""379060""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).11d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.381""","=""0.005""","=""26.381""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""379060""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).12s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.434""","=""0.005""","=""26.434""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""378300""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.434""","=""0.005""","=""26.434""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""378300""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.434""","=""0.005""","=""26.434""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""378300""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.434""","=""0.005""","=""26.434""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""378300""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).12d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.476""","=""0.005""","=""26.476""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""377700""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).11d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.476""","=""0.005""","=""26.476""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""377700""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).12s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.508""","=""0.005""","=""26.508""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""377240""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.508""","=""0.005""","=""26.508""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""377240""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).10s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.530""","=""0.005""","=""26.530""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""376930""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.530""","=""0.005""","=""26.530""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""376930""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.606""","=""0.005""","=""26.606""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""375860""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.606""","=""0.005""","=""26.606""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""375860""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).9s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.606""","=""0.005""","=""26.606""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""375860""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.606""","=""0.005""","=""26.606""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""375860""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.706""","=""0.005""","=""26.706""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""374450""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.706""","=""0.005""","=""26.706""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""374450""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.761""","=""0.005""","=""26.761""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""373680""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.761""","=""0.005""","=""26.761""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""373680""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.888""","=""0.005""","=""26.888""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""371910""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.888""","=""0.005""","=""26.888""","=""0.005""","=""bl*""","=""""",,"=""0.00""","=""371910""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L4668""",
"=""26.9993""","=""0.0003""","=""26.99940""","=""0.00015""","=""10""","=""""",,"=""0.00""","=""370378.6""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L914""",
"=""27.0947""","=""0.0003""","=""27.09509""","=""0.00015""","=""7""","=""""",,"=""0.00""","=""369070.5""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""""","=""L914""",
"=""27.1373""","=""0.0003""","=""27.13748""","=""0.00015""","=""5""","=""""",,"=""0.00""","=""368494.1""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""""","=""L914""",
