obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
202.997,,49261.7,3300,,,,,,,L3475,
203.364,,49172.8,3000,,,,,,,L3475,
211.009,,47391.4,2000,,,,,,,L3475,
212.588,,47039.3,1700,,,,,,,L3475,
212.721,,47009.9,1100,,,,,,,L3475,
213.185,,46907.6,1500,,,,,,,L3475,
229.639,,43546.7,370,,,,,,,L3475,
230.279,,43425.6,280,,,,,,,L3475,
237.713,,42067.6,170,,,,,,,L3475,
238.782,,41879.2,110,,,,,,,L3475,
238.825,,41871.7,140,,,,,,,L3475,
238.900,,41858.6,45,,,,,,,L3475,
239.921,,41680.4,160,,,,,,,L3475,
240.607,,41561.5,55,,,,,,,L3475,
240.658,,41552.7,55,,,,,,,L3475,
241.319,,41438.9,140,,,,,,,L3475,
241.772,,41361.2,160,,,,,,,L3475,
241.942,,41332.1,140,,,,,,,L3475,
243.454,,41075.5,75,,,,,,,L3475,
243.669,,41039.3,40,,,,,,,L3475,
243.816,,41014.5,45,,,,,,,L3475,
244.288,,40935.3,40,,,,,,,L3475,
244.342,,40926.2,28,,,,,,,L3475,
245.261,,40772.8,65,,,,,,,L3475,
245.469,,40738.3,65,,,,,,,L3475,
245.883,,40669.7,55,,,,,,,L3475,
247.813,,40353.0,110,,,,,,,L3475,
247.904,,40338.2,65,,,,,,,L3475,
248.069,,40311.4,65,,,,,,,L3475,
248.463,,40247.4,35,,,,,,,L3475,
251.176,,39812.8,110,,,,,,,L3475,
252.216,,39648.6,110,,,,,,,L3475,
254.556,,39284.0,390,,,,,,,L3475,
255.215,,39182.7,110,,,,,,,L3475,
255.771,,39097.5,130,,,,,,,L3475,
256.318,,39014.1,130,,,,,,,L3475,
257.210,,38878.7,110,,,,,,,L3475,
258.476,,38688.3,390,,,,,,,L3475,
259.171,,38584.5,390,,,,,,,L3475,
264.303,,37835.4,200,,,,,,,L3475,
264.705,,37777.9,320,,,,,,,L3475,
265.687,,37638.3,310,,,,,,,L3475,
266.604,,37508.8,110,,,,,,,L3475,
266.738,,37489.9,110,,,,,,,L3475,
266.809,,37480.0,110,,,,,,,L3475,
267.272,,37415.0,400,,,,,,,L3475,
267.436,,37392.1,200,,,,,,,L3475,
267.674,,37358.9,200,,,,,,,L3475,
269.257,,37139.3,160,,,,,,,L3475,
269.786,,37066.4,1000,,,,,,,L3475,
269.966,,37041.7,320,,,,,,,L3475,
270.300,,36995.9,320,,,,,,,L3475,
270.332,,36991.5,150,,,,,,,L3475,
271.743,,36799.5,470,,,,,,,L3475,
272.279,,36727.1,470,,,,,,,L3475,
