obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""296.288""","=""296.28637+""","=""55""","=""""",,"=""4512.495""","=""38253.770""","=""4f4.(5I).6s""","=""4I""","=""13/2""","=""""","=""*""","=""11/2""",,"=""""","=""L3475""",
"=""296.358""","=""""","=""65""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
"=""299.320""","=""299.31812+""","=""80""","=""""",,"=""513.330""","=""33912.860""","=""4f4.(5I).6s""","=""6I""","=""9/2""","=""""","=""*""","=""11/2""",,"=""""","=""L3475""",
"=""300.797""","=""300.79720+""","=""95""","=""""",,"=""10091.360""","=""43326.665""","=""4f3.(4I*).5d (5K*).6s""","=""6K*""","=""9/2""","=""4f3.5d.6p""","=""""","=""7/2""",,"=""""","=""L3475""",
"=""301.419""","=""301.41655+""","=""95""","=""""",,"=""1650.205""","=""34817.220""","=""4f4.(5I).6s""","=""4I""","=""9/2""","=""""","=""*""","=""7/2""",,"=""""","=""L3475""",
"=""301.835""","=""301.83319+""","=""95""","=""""",,"=""10091.360""","=""43212.595""","=""4f3.(4I*).5d (5K*).6s""","=""6K*""","=""9/2""","=""4f3.6s.6p""","=""6I""","=""7/2""",,"=""""","=""L3475""",
"=""302.647""","=""302.64784+""","=""80""","=""""",,"=""11087.765""","=""44119.850""","=""4f3.(4I*).5d2.(3F)""","=""6L*""","=""11/2""","=""4f3.6s.6p""","=""6I""","=""9/2""",,"=""""","=""L3475""",
"=""303.898""","=""303.90460+""","=""50""","=""""",,"=""10091.360""","=""42986.850""","=""4f3.(4I*).5d (5K*).6s""","=""6K*""","=""9/2""","=""4f3.5d.6p""","=""""","=""11/2""",,"=""""","=""L3475""",
"=""305.111""","=""305.10460+""","=""50""","=""""",,"=""5487.655""","=""38253.770""","=""4f4.(5I).5d""","=""6L""","=""13/2""","=""""","=""*""","=""11/2""",,"=""""","=""L3475""",
"=""305.215""","=""""","=""80""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
"=""305.671""","=""""","=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
