obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
81.024,,123420,10,,,,,,,,,,,1,1,,,L3986,
86.544,,115548,10,,,,,,,,,,,1,1,,,L3986,
124.982,,80012,20,,,,,,,,,,,1,1,,,L3986,
130.187,130.1874,76813,20,5.0e+07,C,0.00,76812.33,3s2.3p2,3P,0,3s.3p3,3P*,1,1,3,,T8043,L3986,
130.447,130.4492,76659,20,1.5e+08,C,164.90,76823.11,3s2.3p2,3P,1,3s.3p3,3P*,0,3,1,,T8043,L3986,
130.468,130.4675,76647,15,3.7e+07,C,164.90,76812.33,3s2.3p2,3P,1,3s.3p3,3P*,1,3,3,,T8043,L3986,
130.548,130.5497,76600,35,3.8e+07,C,164.90,76764.06,3s2.3p2,3P,1,3s.3p3,3P*,2,3,5,,T8043,L3986,
130.987,130.9874,76343,25,6.2e+07,C,469.12,76812.33,3s2.3p2,3P,2,3s.3p3,3P*,1,5,3,,T8043,L3986,
131.070,131.0703,76295,60,1.1e+08,C,469.12,76764.06,3s2.3p2,3P,2,3s.3p3,3P*,2,5,5,,T8043,L3986,
145.289,,68828,30,,,,,,,,,,,1,1,,,L3986,
153.251,153.2533,65252,80,7.2e+06,D,0.00,65251.45,3s2.3p2,3P,0,3s.3p3,3D*,1,1,3,,T1108LS,L3986,
153.590,153.5923,65108,120,9.6e+06,C+,164.90,65272.35,3s2.3p2,3P,1,3s.3p3,3D*,2,3,5,,T1108LS,L3986,
153.639,153.6416,65088,80,5.4e+06,D,164.90,65251.45,3s2.3p2,3P,1,3s.3p3,3D*,1,3,3,,T1108LS,L3986,
154.229,154.2304,64839,120,1.27e+07,C+,469.12,65307.17,3s2.3p2,3P,2,3s.3p3,3D*,3,5,7,,T1108LS,L3986,
,154.3133,64803.2,,3.2e+06,D,469.12,65272.35,3s2.3p2,3P,2,3s.3p3,3D*,2,5,5,,T1108LS,,
,154.3631,64782.3,,3.5e+05,E,469.12,65251.45,3s2.3p2,3P,2,3s.3p3,3D*,1,5,3,,T1108LS,,
248.494,,40242.4,100,,,,,,,,,,,1,1,,,L3986,
260.684,,38360.6,150,,,,,,,,,,,1,1,,,L3986,
262.696,,38066.8,100,,,,,,,,,,,1,1,,,L3986,
263.755,,37914.0,90,,,,,,,,,,,1,1,,,L3986,
330.987,,30212.6,150,,,,,,,,,,,1,1,,,L3986,
342.032,,29237.0,125,,,,,,,,,,,1,1,,,L3986,
342.598,,29188.7,100,,,,,,,,,,,1,1,,,L3986,
417.966,,23925.4,100,,,,,,,,,,,1,1,,,L3986,
428.981,,23311.1,200,,,,,,,,,,,1,1,,,L3986,
438.658,438.6625,22796.8,200,4.0e+07,D,101635.69,124432.26,3s2.3p.4p,1P,1,3s2.3p.5s,1P*,1,3,3,,T1619CA,L3986,
,440.3341,22710.03,,2.5e+07,D,105224.06,127934.09,3s2.3p.4p,3P,0,3s2.3p.4d,3P*,1,1,3,,"T1619CA,LS",,
,441.8577,22631.72,,1.9e+07,D,105302.37,127934.09,3s2.3p.4p,3P,1,3s2.3p.4d,3P*,1,3,3,,"T1619CA,LS",,
442.195,442.1953,22614.5,400,1.6e+08,D,88893.22,111507.66,3s2.3p.4s,1P*,1,3s2.3p.4p,1S,0,3,1,,T1619CA,L3986,
,442.5333,22597.17,,7.3e+07,D,105302.37,127899.54,3s2.3p.4p,3P,1,3s2.3p.4d,3P*,0,3,1,,"T1619CA,LS",,
445.371,,22453.2,100,,,,,,,,,,,1,1,,,L3986,
446.425,,22400.2,150,,,,,,,,,,,1,1,,,L3986,
,446.7393,22384.42,,3.1e+07,D,105549.67,127934.09,3s2.3p.4p,3P,2,3s2.3p.4d,3P*,1,5,3,,"T1619CA,LS",,
446.923,,22375.2,120,,,,,,,,,,,1,1,,,L3986,
447.652,447.6526,22338.8,200,1.3e+08,D,105549.67,127888.42,3s2.3p.4p,3P,2,3s2.3p.4d,3D*,3,5,7,,"T1619CA,LS",L3986,
450.050,450.0493,22219.7,200,1.4e+08,D,107922.93,130142.72,3s2.3p.4p,1D,2,3s2.3p.4d,1F*,3,5,7,,T1619CA,L3986,
453.208,453.2093,22064.9,120,1.8e+07,D,105302.37,127367.23,3s2.3p.4p,3P,1,3s2.3p.4d,3P*,2,3,5,,"T1619CA,LS",L3986,
455.611,,21948.6,120,,,,,,,,,,,1,1,,,L3986,
455.935,455.9373,21933.0,120,9.7e+07,D,106001.25,127934.09,3s2.3p.4p,3S,1,3s2.3p.4d,3P*,1,3,3,,"T1619CA,LS",L3986,
,456.6567,21898.29,,9.6e+07,D,106001.25,127899.54,3s2.3p.4p,3S,1,3s2.3p.4d,3P*,0,3,1,,"T1619CA,LS",,
458.299,,21819.8,120,,,,,,,,,,,1,1,,,L3986,
,458.3464,21817.56,,5.4e+07,D,105549.67,127367.23,3s2.3p.4p,3P,2,3s2.3p.4d,3P*,2,5,5,,"T1619CA,LS",,
