obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
259.994,,38462.5,3000,,,,,,,u2,
270.002,,37036.8,3000,,,,,,,u2,
282.362,,35415.5,3000,,,,,,,u2,
287.226,,34815.8,3000w,,,,,,,u2,
289.199,,34578.3,3000w,,,,,,,u2,
301.198,,33200.8,3000l,,,,,,,u2,
303.447,,32954.7,3000s,,,,,,,u2,
307.213,,32550.7,3000l,,,,,,,u2,
309.413,,32319.3,3000l,,,,,,,u2,
312.714,,31978.1,3000l,,,,,,,u2,
314.719,,31774.4,3000l,,,,,,,u2,
317.181,,31527.8,3000l,,,,,,,u2,
317.246,,31521.3,3000l,,,,,,,u2,
324.152,,30849.8,3000l,,,,,,,u2,
327.540,,30530.6,3000,,,,,,,u2,
333.365,,29997.2,3000l,,,,,,,u2,
334.762,,29872.0,3000s,,,,,,,u2,
345.381,,28953.5,3000l,,,,,,,u2,
353.166,,28315.3,3000s,,,,,,,u2,
395.374,,25292.5,3000s,,,,,,,u2,
395.897,,25259.1,10000l,,,,,,,u2,
397.119,,25181.3,3000s,,,,,,,u2,
401.409,,24912.2,3000l,,,,,,,u2,
401.935,,24879.7,3000s,,,,,,,u2,
403.130,,24805.9,3000,,,,,,,u2,
404.807,,24703.1,3000s,,,,,,,u2,
405.735,,24646.7,10000s,,,,,,,u2,
407.155,,24560.7,10000s,,,,,,,u2,
417.736,,23938.6,3000l,,,,,,,u2,
421.842,,23705.6,10000l,,,,,,,u2,
424.928,,23533.4,10000s,,,,,,,u2,
429.255,,23296.2,3000s,,,,,,,u2,
460.272,,21726.3,3000s,,,,,,,u2,
