obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
116.21700,116.21687,86045.93,600,3.36e+08,,0.000,86046.027,4d9,2D,5/2,4d8.(1G).5p,2F*,7/2,6,8,,T6676,L11817,
118.34003,118.34006,84502.26,700,1.39e+09,,3539.242,88041.479,4d9,2D,3/2,4d8.(3P).5p,2P*,1/2,4,2,,T6676,L11817,
119.64051,119.64050,83583.73,1000,6.62e+08,,3539.242,87122.977,4d9,2D,3/2,4d8.(1G).5p,2F*,5/2,4,6,,T6676,L11817,
120.39645,120.39644,83058.93,800,4.54e+08,,0.000,83058.933,4d9,2D,5/2,4d8.(3P).5p,4D*,7/2,6,8,,T6676,L11817,
121.86219,121.86226,82059.91,700,2.63e+08,,0.000,82059.859,4d9,2D,5/2,4d8.(1D).5p,2D*,5/2,6,6,,T6676,L11817,
123.70677,123.70686,80836.32,700,3.97e+08,,3539.242,84375.505,4d9,2D,3/2,4d8.(3P).5p,2D*,3/2,4,4,,T6676,L11817,
132.00229,132.00231,75756.26,800,4.68e+08,,0.000,75756.251,4d9,2D,5/2,4d8.(3F).5p,2F*,5/2,6,6,,T6676,L11817,
136.36892,136.36902,73330.49,700,5.78e+07,,0.000,73330.436,4d9,2D,5/2,4d8.(3F).5p,4F*,7/2,6,8,,T6676,L11817,
136.77039,136.77048,73115.24,800,2.54e+08,,0.000,73115.191,4d9,2D,5/2,4d8.(3F).5p,2D*,5/2,6,6,,T6676,L11817,
137.48481,137.48488,72735.31,900,1.27e+08,,0.000,72735.273,4d9,2D,5/2,4d8.(3F).5p,4F*,5/2,6,6,,T6676,L11817,
216.29408,216.294073,46233.351,50,,,27097.084,73330.436,4d8.(3F).5s,4F,7/2,4d8.(3F).5p,4F*,7/2,8,8,,,L11331,
218.30200,218.302003,45808.101,50,,,29948.151,75756.251,4d8.(3F).5s,4F,3/2,4d8.(3F).5p,2F*,5/2,4,6,,,L11331,
221.28313,221.283131,45190.973,50,,,27097.084,72288.057,4d8.(3F).5s,4F,7/2,4d8.(3F).5p,4G*,9/2,8,10,,,L11331,
223.22842,223.228427,44797.163,100r,,,25084.270,69881.432,4d8.(3F).5s,4F,9/2,4d8.(3F).5p,4F*,9/2,10,10,,,L11331,
229.72240,229.722393,43530.801,200r,,,25084.270,68615.072,4d8.(3F).5s,4F,9/2,4d8.(3F).5p,4G*,11/2,10,12,,,L11331,
235.20666,235.206660,42515.803,50,,,27097.084,69612.887,4d8.(3F).5s,4F,7/2,4d8.(3F).5p,4G*,7/2,8,8,,,L11331,
236.12558,236.125585,42350.345,270,,,85595.928,127946.273,4d8.(1G).5p,2H*,11/2,4d8.(1G).5d,2I,13/2,12,14,,,L11331,
236.30534,236.305349,42318.129,50,,,28929.419,71247.547,4d8.(3F).5s,4F,5/2,4d8.(3F).5p,2F*,7/2,6,8,,,L11331,
236.86898,236.868979,42217.432,75,,,25084.270,67301.702,4d8.(3F).5s,4F,9/2,4d8.(3F).5p,2G*,9/2,10,10,,,L11331,
237.28817,237.288165,42142.850,60,,,28929.419,71072.271,4d8.(3F).5s,4F,5/2,4d8.(3F).5p,4G*,5/2,6,6,,,L11331,
238.90380,238.903808,41857.853,50,,,41201.082,83058.933,4d8.(1D).5s,2D,5/2,4d8.(3P).5p,4D*,7/2,6,8,,,L11331,
241.54645,241.546436,41399.905,60,,,37367.964,78767.871,4d8.(3P).5s,4P,3/2,4d8.(1D).5p,2F*,5/2,4,6,,,L11331,
241.94585,241.945852,41331.563,75,,,34424.689,75756.251,4d8.(3F).5s,2F,5/2,4d8.(3F).5p,2F*,5/2,6,6,,,L11331,
242.52126,242.521251,41233.498,75,,,29948.151,71181.651,4d8.(3F).5s,4F,3/2,4d8.(3F).5p,4D*,1/2,4,2,,,L11331,
