obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 20
46.6152,0.0010,46.6152,214522,1,,,0.000,214522.4,4p6,1S,0,4p5.(2P*<1/2>).7d,2[3/2]*,1,1,3,,,L2590,
47.4875,0.0005,47.4875,210581.7,10,,,0.000,210581.8,4p6,1S,0,4p5.(2P*<3/2>).8d,2[3/2]*,1,1,3,,,L2590,
48.1115,0.0005,48.11177,207850.5,40,,,0.000,207849.35,4p6,1S,0,4p5.(2P*<1/2>).6d,2[3/2]*,1,1,3,,,L2590,
48.8532,0.0005,48.85348,204694.9,5,,,0.000,204693.695,4p6,1S,0,4p5.(2P*<3/2>).8s,2[3/2]*,1,1,3,,,L2590,
49.0344,0.0005,49.03449,203938.5,3,,,0.000,203938.09,4p6,1S,0,4p5.(2P*<1/2>).7s,2[1/2]*,1,1,3,,,L2590,
49.7428,0.0005,49.74295,201034.1,90,,,0.000,201033.495,4p6,1S,0,4p5.(2P*<3/2>).6d,2[3/2]*,1,1,3,,,L2590,
50.3291,0.0005,50.32920,198692.2,3,,,0.000,198691.823,4p6,1S,0,4p5.(2P*<3/2>).6d,2[1/2]*,1,1,3,,,L2590,
50.8436,0.0005,50.84342,196681.6,20,,,0.000,196682.28,4p6,1S,0,4p5.(2P*<3/2>).7s,2[3/2]*,1,1,3,,,L2590,
51.3268,0.0005,51.32661,194830.0,150,,,0.000,194830.71,4p6,1S,0,4p5.(2P*<1/2>).5d,2[3/2]*,1,1,3,,,L2590,
53.0174,0.0002,53.01729,188617.3,300,,,0.000,188617.702,4p6,1S,0,4p5.(2P*<3/2>).5d,2[3/2]*,1,1,3,,,L2590,
53.3800,0.0005,53.38010,187336.1,75,,,0.000,187335.72,4p6,1S,0,4p5.(2P*<1/2>).6s,2[1/2]*,1,1,3,,,L2590,
54.2888,0.0005,54.28866,184200.1,40,,,0.000,184200.524,4p6,1S,0,4p5.(2P*<3/2>).5d,2[1/2]*,1,1,3,,,L2590,
55.5036,0.0002,55.50364,180168.5,200,,,0.000,180168.372,4p6,1S,0,4p5.(2P*<3/2>).6s,2[3/2]*,1,1,3,,,L2590,
58.94200,0.00010,58.94192,169658.3,2500,4.8e+10,,0.000,169658.536,4p6,1S,0,4p5.4d,1P*,1,1,3,,T4631,L2590,
64.38790,0.00010,64.38784,155308.68,1500,2.3e+08,,0.000,155308.820,4p6,1S,0,4p5.4d,3D*,1,1,3,,T4631,L2590,
69.70480,0.00010,69.70488,143462.14,3000,1.3e+08,,0.000,143461.977,4p6,1S,0,4p5.4d,3P*,1,1,3,,T4631,L2590,
71.11870,0.00010,71.11867,140609.99,6000,1.7e+09,,0.000,140610.047,4p6,1S,0,4p5.(2P*<1/2>).5s,2[1/2]*,1,1,3,,T4631,L2590,
74.14550,0.00010,74.14561,134869.95,10000,8.6e+08,,0.000,134869.751,4p6,1S,0,4p5.(2P*<3/2>).5s,2[3/2]*,1,1,3,,T4631,L2590,
148.9056,0.0005,148.90557,67156.64,2,,,134869.751,202026.405,4p5.(2P*<3/2>).5s,2[3/2]*,1,4p5.(2P*<3/2>).5f,2[3/2],2,3,5,,,L2590,
