obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
209.308,,47776.6,4700,,,,,,,L3475,
213.971,,46735.2,3400,,,,,,,L3475,
214.342,,46654.5,1600,,,,,,,L3475,
221.495,,45147.7,4200c,,,,,,,L3475,
227.595,,43937.6,5200c,,,,,,,L3475,
229.880,,43501.0,390,,,,,,,L3475,
236.925,,42207.4,180,,,,,,,L3475,
237.148,,42167.7,220,,,,,,,L3475,
237.420,,42119.4,150,,,,,,,L3475,
237.926,,42029.9,75,,,,,,,L3475,
238.763,,41882.6,180,,,,,,,L3475,
240.377,,41601.3,75,,,,,,,L3475,
241.893,,41340.5,60,,,,,,,L3475,
242.458,,41244.3,60,,,,,,,L3475,
244.977,,40820.1,85,,,,,,,L3475,
245.026,,40812.0,85,,,,,,,L3475,
245.657,,40707.1,200,,,,,,,L3475,
246.258,,40607.7,800c,,,,,,,L3475,
246.832,,40513.4,200,,,,,,,L3475,
246.860,,40508.9,120,,,,,,,L3475,
247.011,,40484.1,150c,,,,,,,L3475,
247.136,,40463.6,120,,,,,,,L3475,
247.180,,40456.4,75,,,,,,,L3475,
247.447,,40412.7,150,,,,,,,L3475,
247.592,,40389.1,160,,,,,,,L3475,
247.818,,40352.2,75,,,,,,,L3475,
249.091,,40145.9,75,,,,,,,L3475,
250.310,,39950.4,570,,,,,,,L3475,
250.535,,39914.5,230,,,,,,,L3475,
253.486,,39449.9,150,,,,,,,L3475,
255.086,,39202.5,160,,,,,,,L3475,
255.436,,39148.8,150c,,,,,,,L3475,
255.540,,39132.9,370,,,,,,,L3475,
256.941,,38919.4,540,,,,,,,L3475,
257.258,,38871.5,370,,,,,,,L3475,
260.928,,38324.8,660,,,,,,,L3475,
261.750,,38204.4,160c,,,,,,,L3475,
263.662,,37927.4,310,,,,,,,L3475,
263.780,,37910.4,190,,,,,,,L3475,
264.181,,37852.9,90,,,,,,,L3475,
264.925,,37746.6,65,,,,,,,L3475,
273.237,,36598.3,200,,,,,,,L3475,
273.385,,36578.5,610,,,,,,,L3475,
275.445,,36304.8,110w,,,,,,,L3475,
280.411,,35662.0,120,,,,,,,L3475,
282.061,,35453.3,75,,,,,,,L3475,
288.891,,34615.2,130c,,,,,,,L3475,
291.758,,34274.9,65w,,,,,,,L3475,
295.877,,33797.8,130w,,,,,,,L3475,
296.985,,33671.8,90,,,,,,,L3475,
310.396,,32216.9,140,,,,,,,L3475,
330.416,,30264.9,320,,,,,,,L3475,
338.003,,29585.5,320,,,,,,,L3475,
358.117,,27923.8,810c,,,,,,,L3475,
374.332,,26714.2,130,,,,,,,L3475,
435.920,,22940.0,40,,,,,,,L3475,
