obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
187.55571,187.55574,53317.49,7,,,0.000,53317.483,4d7,4F,9/2,4d6.(5D).5p,4D*,7/2,10,8,,,L9882,
188.80428,188.80427,52964.90,9,5.48e+07,,0.000,52964.904,4d7,4F,9/2,4d6.(5D).5p,4F*,9/2,10,10,,T6214,L9882,
190.32208,190.32207,52542.51,12,1.00e+08,,1523.267,54065.780,4d7,4F,7/2,4d6.(5D).5p,4D*,5/2,8,6,,T6214,L9882,
191.68152,191.68155,52169.87,12,1.14e+08,,2493.945,54663.807,4d7,4F,5/2,4d6.(5D).5p,4D*,3/2,6,4,,T6214,L9882,
193.90428,193.90429,51571.84,6,4.97e+07,,2493.945,54065.780,4d7,4F,5/2,4d6.(5D).5p,4D*,5/2,6,6,,T6214,L9882,
193.95049,193.95050,51559.55,6,6.65e+07,,3104.260,54663.807,4d7,4F,3/2,4d6.(5D).5p,4D*,3/2,4,4,,T6214,L9882,
233.56859,233.56860,42813.975,120,,,10150.929,52964.904,4d6.(5D).5s,6D,7/2,4d6.(5D).5p,4F*,9/2,8,10,,,L9882,
234.35668,234.35669,42670.002,190w,,,10150.929,52820.930,4d6.(5D).5s,6D,7/2,4d6.(5D).5p,6P*,5/2,8,6,,,L9882,
235.86374,235.86374,42397.361,170,8.4e+07,,9151.835,51549.196,4d6.(5D).5s,6D,9/2,4d6.(5D).5p,6P*,7/2,10,8,,T6214,L9882,
237.63596,237.63599,42081.173,80,,,11604.409,53685.577,4d6.(5D).5s,6D,1/2,4d6.(5D).5p,6P*,3/2,2,4,,,L9882,
239.74405,239.74403,41711.150,95,,,9151.835,50862.988,4d6.(5D).5s,6D,9/2,4d6.(5D).5p,6F*,7/2,10,8,,,L9882,
240.34508,240.34507,41606.844,780,,,9151.835,50758.679,4d6.(5D).5s,6D,9/2,4d6.(5D).5p,6F*,11/2,10,12,,,L9882,
240.86546,240.86545,41516.953,150,,,11303.975,52820.930,4d6.(5D).5s,6D,3/2,4d6.(5D).5p,6P*,5/2,4,6,,,L9882,
241.55601,241.55601,41398.266,55,,,10150.929,51549.196,4d6.(5D).5s,6D,7/2,4d6.(5D).5p,6P*,7/2,8,8,,,L9882,
245.62747,245.62747,40712.058,180,,,10150.929,50862.988,4d6.(5D).5s,6D,7/2,4d6.(5D).5p,6F*,7/2,8,8,,,L9882,
245.71821,245.71821,40697.024,150,1.59e+08,,10852.172,51549.196,4d6.(5D).5s,6D,5/2,4d6.(5D).5p,6P*,7/2,6,8,,T6214,L9882,
