obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
,55.8755,178969,2g,,,0.00,178969.32,3s2.3p3,4S*,3/2,3s2.3p2.(3P).7d,4P,1/2,4,2,,,L5883,
55.8924,55.8924,178915,2g,,,0.00,178915.20,3s2.3p3,4S*,3/2,3s2.3p2.(3P).7d,4P,3/2,4,4,,,L5883,
55.9131,55.9131,178849,2g,,,0.00,178848.96,3s2.3p3,4S*,3/2,3s2.3p2.(3P).7d,4P,5/2,4,6,,,L5883,
56.0713,56.0713,178344,2g,,,0.00,178344.36,3s2.3p3,4S*,3/2,3s2.3p2.(3P).7d,4D,5/2,4,6,,,L5883,
57.1156,57.1156,175084,3g,,,0.00,175083.51,3s2.3p3,4S*,3/2,3s2.3p2.(3P).6d,4P,1/2,4,2,,,L5883,
57.1364,57.1364,175020,4g,,,0.00,175019.78,3s2.3p3,4S*,3/2,3s2.3p2.(3P).6d,4P,3/2,4,4,,,L5883,
57.1779,57.1779,174893,5g,,,0.00,174892.75,3s2.3p3,4S*,3/2,3s2.3p2.(3P).6d,4P,5/2,4,6,,,L5883,
57.3523,57.3523,174361,4g,,,0.00,174360.92,3s2.3p3,4S*,3/2,3s2.3p2.(3P).6d,4D,5/2,4,6,,,L5883,
57.3627,57.3627,174329,1g,,,0.00,174329.31,3s2.3p3,4S*,3/2,3s2.3p2.(3P).6d,4D,3/2,4,4,,,L5883,
57.3813,57.3807,174273,1g,,,0.00,174274.52,3s2.3p3,4S*,3/2,3s2.3p2.(3P).7s,2P,3/2,4,4,,,L5883,
57.4397,57.4389,174096,2g,,,0.00,174098.10,3s2.3p3,4S*,3/2,3s2.3p2.(3P).7s,4P,5/2,4,6,,,L5883,
57.6057,57.6051,173594,1g,,,0.00,173595.77,3s2.3p3,4S*,3/2,3s2.3p2.(3P).7s,4P,3/2,4,4,,,L5883,
57.6978,57.6978,173317,1g,,,0.00,173316.83,3s2.3p3,4S*,3/2,3s2.3p2.(3P).7s,4P,1/2,4,2,,,L5883,
58.8958,58.8963,169791,1*,,,14852.94,184642.76,3s2.3p3,2D*,3/2,3s2.3p2.(1D).7s,2D,3/2,4,4,,,L5883,
58.8958,58.8963,169791,1*,,,14852.94,184642.76,3s2.3p3,2D*,3/2,3s2.3p2.(1D).7s,2D,5/2,4,6,,,L5883,
58.9079,58.9074,169757,1*,,,14884.73,184642.76,3s2.3p3,2D*,5/2,3s2.3p2.(1D).7s,2D,3/2,6,4,,,L5883,
58.9079,58.9074,169757,1*,,,14884.73,184642.76,3s2.3p3,2D*,5/2,3s2.3p2.(1D).7s,2D,5/2,6,6,,,L5883,
59.3507,59.3506,168490,8g,,,0.00,168490.43,3s2.3p3,4S*,3/2,3s2.3p2.(3P).5d,4P,1/2,4,2,,,L5883,
59.3835,59.3832,168397,10g,,,0.00,168397.89,3s2.3p3,4S*,3/2,3s2.3p2.(3P).5d,4P,3/2,4,4,,,L5883,
59.4475,59.4470,168216,11g,,,0.00,168217.10,3s2.3p3,4S*,3/2,3s2.3p2.(3P).5d,4P,5/2,4,6,,,L5883,
59.7494,59.7497,167366,5g,,,0.00,167364.98,3s2.3p3,4S*,3/2,3s2.3p2.(3P).5d,4D,5/2,4,6,,,L5883,
59.7760,59.7758,167291,1g,,,0.00,167291.84,3s2.3p3,4S*,3/2,3s2.3p2.(3P).5d,4D,3/2,4,4,,,L5883,
59.9834,59.9847,166713,1g,,,0.00,166709.27,3s2.3p3,4S*,3/2,3s2.3p2.(3P).5d,4F,5/2,4,6,,,L5883,
60.0661,60.0673,166483,6bl,,,0.00,166479.82,3s2.3p3,4S*,3/2,3s2.3p2.(3P).6s,4P,5/2,4,6,,,L5883,
60.2446,60.2441,165990,5g,,,0.00,165991.35,3s2.3p3,4S*,3/2,3s2.3p2.(3P).6s,4P,3/2,4,4,,,L5883,
60.3430,60.3430,165719,4g,,,0.00,165719.23,3s2.3p3,4S*,3/2,3s2.3p2.(3P).6s,4P,1/2,4,2,,,L5883,
61.6437,61.6431,162223,1,,,14852.94,177077.02,3s2.3p3,2D*,3/2,3s2.3p2.(1D).6s,2D,3/2,4,4,,,L5883,
61.6560,61.6555,162190,2,,,14884.73,177076.28,3s2.3p3,2D*,5/2,3s2.3p2.(1D).6s,2D,5/2,6,6,,,L5883,
62.7390,62.7393,159390,1,,,14884.73,174274.52,3s2.3p3,2D*,5/2,3s2.3p2.(3P).7s,2P,3/2,6,4,,,L5883,
62.9340,62.9342,158897,1,,,14852.94,173749.01,3s2.3p3,2D*,3/2,3s2.3p2.(3P).7s,2P,1/2,4,2,,,L5883,
64.0412,64.0416,156149.5,12g,,,0.00,156148.48,3s2.3p3,4S*,3/2,3s2.3p2.(3P).4d,4P,1/2,4,2,,,L5883,
64.0902,64.0904,156030.1,13g,,,0.00,156029.54,3s2.3p3,4S*,3/2,3s2.3p2.(3P).4d,4P,3/2,4,4,,,L5883,
64.1767,64.1771,155819.8,15g,,,0.00,155818.71,3s2.3p3,4S*,3/2,3s2.3p2.(3P).4d,4P,5/2,4,6,,,L5883,
64.4488,64.4486,155161.9,1,,,14852.94,170015.23,3s2.3p3,2D*,3/2,3s2.3p2.(3P).5d,2D,5/2,4,6,,,L5883,
64.4623,64.4619,155129.4,1,,,14884.73,170015.23,3s2.3p3,2D*,5/2,3s2.3p2.(3P).5d,2D,5/2,6,6,,,L5883,
64.5012,64.5005,155035.9,1,,,14884.73,169922.27,3s2.3p3,2D*,5/2,3s2.3p2.(3P).5d,2D,3/2,6,4,,,L5883,
64.5920,64.5921,154817.9,10,,,14884.73,169702.32,3s2.3p3,2D*,5/2,3s2.3p2.(3P).5d,2F,7/2,6,8,,,L5883,
64.7299,64.7302,154488.1,1,,,14852.94,169340.39,3s2.3p3,2D*,3/2,3s2.3p2.(3P).5d,2P,3/2,4,4,,,L5883,
64.7443,64.7435,154453.8,1,,,14884.73,169340.39,3s2.3p3,2D*,5/2,3s2.3p2.(3P).5d,2P,3/2,6,4,,,L5883,
64.7542,64.7540,154430.1,8,,,14852.94,169283.54,3s2.3p3,2D*,3/2,3s2.3p2.(3P).5d,2F,5/2,4,6,,,L5883,
64.7657,64.7673,154402.7,8bl,,,14884.73,169283.54,3s2.3p3,2D*,5/2,3s2.3p2.(3P).5d,2F,5/2,6,6,,,L5883,
65.2391,65.2388,153282.3,5g,,,0.00,153283.07,3s2.3p3,4S*,3/2,3s2.3p2.(3P).4d,4D,5/2,4,6,,,L5883,
65.2741,65.2733,153200.1,2g,,,0.00,153201.95,3s2.3p3,4S*,3/2,3s2.3p2.(3P).4d,4D,3/2,4,4,,,L5883,
65.5084,65.5079,152652.2,6,,,14852.94,167506.39,3s2.3p3,2D*,3/2,3s2.3p2.(1D).4d,2D,5/2,4,6,,,L5883,
65.5220,65.5215,152620.5,11*,,,14884.73,167506.39,3s2.3p3,2D*,5/2,3s2.3p2.(1D).4d,2D,5/2,6,6,,,L5883,
65.5220,65.5224,152620.5,11*,,,14852.94,167472.42,3s2.3p3,2D*,3/2,3s2.3p2.(1D).4d,2D,3/2,4,4,,,L5883,
65.5360,65.5361,152587.9,5,,,14884.73,167472.42,3s2.3p3,2D*,5/2,3s2.3p2.(1D).4d,2D,3/2,6,4,,,L5883,
65.7998,65.7990,151976.1,4,,,14884.73,166862.71,3s2.3p3,2D*,5/2,3s2.3p2.(3P).6s,2P,3/2,6,4,,,L5883,
66.0160,66.0161,151478.4,4,,,14852.94,166331.19,3s2.3p3,2D*,3/2,3s2.3p2.(3P).6s,2P,1/2,4,2,,,L5883,
66.0809,66.0796,151329.7,2bl,,,14852.94,166185.47,3s2.3p3,2D*,3/2,3s2.3p2.(1D).4d,2P,3/2,4,4,,,L5883,
66.0931,66.0935,151301.7,8*,,,14884.73,166185.47,3s2.3p3,2D*,5/2,3s2.3p2.(1D).4d,2P,3/2,6,4,,,L5883,
66.0931,66.0944,151301.7,8*,,,14852.94,166151.61,3s2.3p3,2D*,3/2,3s2.3p2.(1D).4d,2P,1/2,4,2,,,L5883,
66.2267,66.2267,150996.5,10g,,,0.00,150996.41,3s2.3p3,4S*,3/2,3s2.3p2.(3P).5s,4P,5/2,4,6,,,L5883,
66.4315,66.4314,150531.0,9g,,,0.00,150531.31,3s2.3p3,4S*,3/2,3s2.3p2.(3P).5s,4P,3/2,4,4,,,L5883,
66.5519,66.5520,150258.7,8g,,,0.00,150258.51,3s2.3p3,4S*,3/2,3s2.3p2.(3P).5s,4P,1/2,4,2,,,L5883,
66.9105,66.9107,149453.4,8,,,14884.73,164337.61,3s2.3p3,2D*,5/2,3s2.3p2.(1D).4d,2F,7/2,6,8,,,L5883,
66.9435,66.9436,149379.7,7,,,14852.94,164232.36,3s2.3p3,2D*,3/2,3s2.3p2.(1D).4d,2F,5/2,4,6,,,L5883,
66.9580,66.9579,149347.4,5,,,14884.73,164232.36,3s2.3p3,2D*,5/2,3s2.3p2.(1D).4d,2F,5/2,6,6,,,L5883,
66.9808,66.9808,149296.5,8,,,14884.73,164181.17,3s2.3p3,2D*,5/2,3s2.3p2.(1D).4d,2G,7/2,6,8,,,L5883,
68.7551,68.7551,145443.8,7,,,24571.54,170015.23,3s2.3p3,2P*,3/2,3s2.3p2.(3P).5d,2D,5/2,4,6,,,L5883,
68.7776,68.7770,145396.2,5,,,24524.83,169922.27,3s2.3p3,2P*,1/2,3s2.3p2.(3P).5d,2D,3/2,2,4,,,L5883,
68.7992,68.7991,145350.5,4,,,24571.54,169922.27,3s2.3p3,2P*,3/2,3s2.3p2.(3P).5d,2D,3/2,4,4,,,L5883,
68.8884,68.8882,145162.3,4,,,24524.83,169687.52,3s2.3p3,2P*,1/2,3s2.3p2.(3P).5d,2P,1/2,2,2,,,L5883,
68.9110,68.9104,145114.7,3,,,24571.54,169687.52,3s2.3p3,2P*,3/2,3s2.3p2.(3P).5d,2P,1/2,4,2,,,L5883,
69.0535,69.0534,144815.3,5,,,24524.83,169340.39,3s2.3p3,2P*,1/2,3s2.3p2.(3P).5d,2P,3/2,2,4,,,L5883,
69.0760,69.0756,144768.1,6,,,24571.54,169340.39,3s2.3p3,2P*,3/2,3s2.3p2.(3P).5d,2P,3/2,4,4,,,L5883,
69.1029,69.1028,144711.7,1,,,24571.54,169283.54,3s2.3p3,2P*,3/2,3s2.3p2.(3P).5d,2F,5/2,4,6,,,L5883,
69.1366,69.1357,144641.2,4*,,,14852.94,159495.94,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4d,2D,3/2,4,4,,,L5883,
69.1366,69.1372,144641.2,4*,,,14852.94,159492.83,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4d,2D,5/2,4,6,,,L5883,
69.1514,69.1509,144610.2,7*,,,14884.73,159495.94,3s2.3p3,2D*,5/2,3s2.3p2.(3P).4d,2D,3/2,6,4,,,L5883,
69.1514,69.1524,144610.2,7*,,,14884.73,159492.83,3s2.3p3,2D*,5/2,3s2.3p2.(3P).4d,2D,5/2,6,6,,,L5883,
69.1639,69.1636,144584.1,5,,,24524.83,169109.54,3s2.3p3,2P*,1/2,3s2.3p2.(1D).4d,2S,1/2,2,2,,,L5883,
69.1859,69.1860,144538.1,7,,,24571.54,169109.54,3s2.3p3,2P*,3/2,3s2.3p2.(1D).4d,2S,1/2,4,2,,,L5883,
69.2370,69.2373,144431.4,7,,,14852.94,159283.66,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4d,2P,1/2,4,2,,,L5883,
69.4564,69.4563,143975.2,6,,,14852.94,158828.31,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4d,2P,3/2,4,4,,,L5883,
69.4714,69.4717,143944.1,7,,,14884.73,158828.31,3s2.3p3,2D*,5/2,3s2.3p2.(3P).4d,2P,3/2,6,4,,,L5883,
69.9557,69.9557,142947.6,3,,,24524.83,167472.42,3s2.3p3,2P*,1/2,3s2.3p2.(1D).4d,2D,3/2,2,4,,,L5883,
69.9609,69.9619,142937.0,5,,,24571.54,167506.39,3s2.3p3,2P*,3/2,3s2.3p2.(1D).4d,2D,5/2,4,6,,,L5883,
69.9782,69.9786,142901.6,1,,,24571.54,167472.42,3s2.3p3,2P*,3/2,3s2.3p2.(1D).4d,2D,3/2,4,4,,,L5883,
70.0664,70.0671,142721.8,1,,,24571.54,167291.84,3s2.3p3,2P*,3/2,3s2.3p2.(3P).5d,4D,3/2,4,4,,,L5883,
70.5187,70.5187,141806.4,1,,,24524.83,166331.19,3s2.3p3,2P*,1/2,3s2.3p2.(3P).6s,2P,1/2,2,2,,,L5883,
70.5617,70.5619,141719.9,9,,,14884.73,156604.17,3s2.3p3,2D*,5/2,3s2.3p2.(3P).4d,2F,7/2,6,8,,,L5883,
70.6144,70.6145,141614.2,1,,,24571.54,166185.47,3s2.3p3,2P*,3/2,3s2.3p2.(1D).4d,2P,3/2,4,4,,,L5883,
70.7869,70.7871,141269.1,8,,,14852.94,156121.70,3s2.3p3,2D*,3/2,3s2.3p2.(3P).4d,2F,5/2,4,6,,,L5883,
70.8024,70.8030,141238.2,5,,,14884.73,156121.70,3s2.3p3,2D*,5/2,3s2.3p2.(3P).4d,2F,5/2,6,6,,,L5883,
71.4199,71.4200,140017.0,1g,,,0.00,140016.77,3s2.3p3,4S*,3/2,3s2.3p2.(1D).3d,2P,3/2,4,4,,,L5883,
72.7689,72.7695,137421.3,1,,,14884.73,152305.00,3s2.3p3,2D*,5/2,3s2.3p2.(3P).4d,4F,7/2,6,8,,,L5883,
72.8805,72.8793,137210.9,3*,,,24524.83,161737.99,3s2.3p3,2P*,1/2,3s2.3p2.(1D).5s,2D,3/2,2,4,,,L5883,
72.8805,72.8810,137210.9,3*,,,14884.73,152094.64,3s2.3p3,2D*,5/2,3s2.3p2.(3P).4d,4F,5/2,6,6,,,L5883,
72.9059,72.9067,137163.1,3,,,24571.54,161733.10,3s2.3p3,2P*,3/2,3s2.3p2.(1D).5s,2D,5/2,4,6,,,L5883,
72.9783,72.9788,137027.0,7,,,14884.73,151910.83,3s2.3p3,2D*,5/2,3s2.3p2.(3P).5s,2P,3/2,6,4,,,L5883,
73.2448,73.2435,136528.5,5,,,14852.94,151383.81,3s2.3p3,2D*,3/2,3s2.3p2.(3P).5s,2P,1/2,4,2,,,L5883,
74.0898,74.0899,134971.3,8,,,24524.83,159495.94,3s2.3p3,2P*,1/2,3s2.3p2.(3P).4d,2D,3/2,2,4,,,L5883,
74.1165,74.1156,134922.7,10*,,,24571.54,159495.94,3s2.3p3,2P*,3/2,3s2.3p2.(3P).4d,2D,3/2,4,4,,,L5883,
74.1165,74.1173,134922.7,10*,,,24571.54,159492.83,3s2.3p3,2P*,3/2,3s2.3p2.(3P).4d,2D,5/2,4,6,,,L5883,
74.2063,74.2066,134759.4,7,,,24524.83,159283.66,3s2.3p3,2P*,1/2,3s2.3p2.(3P).4d,2P,1/2,2,2,,,L5883,
74.2318,74.2324,134713.2,7,,,24571.54,159283.66,3s2.3p3,2P*,3/2,3s2.3p2.(3P).4d,2P,1/2,4,2,,,L5883,
74.4580,74.4582,134303.9,7,,,24524.83,158828.31,3s2.3p3,2P*,1/2,3s2.3p2.(3P).4d,2P,3/2,2,4,,,L5883,
74.4838,74.4841,134257.4,9,,,24571.54,158828.31,3s2.3p3,2P*,3/2,3s2.3p2.(3P).4d,2P,3/2,4,4,,,L5883,
74.5996,74.6002,134049.0,5,1.08e+09,D+,14852.94,148900.91,3s2.3p3,2D*,3/2,3s2.3p2.(1S).3d,2D,3/2,4,4,,T3186c85,L5883,
74.6072,74.6081,134035.3,2,7.23e+07,D,14852.94,148886.57,3s2.3p3,2D*,3/2,3s2.3p2.(1S).3d,2D,5/2,4,6,,T3186c85,L5883,
74.6176,74.6179,134016.6,1,3.07e+08,D+,14884.73,148900.91,3s2.3p3,2D*,5/2,3s2.3p2.(1S).3d,2D,3/2,6,4,,T3186c85,L5883,
74.6256,74.6258,134002.3,6,1.27e+09,C,14884.73,148886.57,3s2.3p3,2D*,5/2,3s2.3p2.(1S).3d,2D,5/2,6,6,,T3186c85,L5883,
76.3214,76.3215,131024.9,7,4.20e+09,C,14852.94,145877.66,3s2.3p3,2D*,3/2,3s.3p4,2P,1/2,4,2,,T3186c85,L5883,
76.3657,76.3656,130948.8,10g,9.60e+09,C,0.00,130948.94,3s2.3p3,4S*,3/2,3s2.3p2.(3P).3d,4P,1/2,4,2,,T3186c85,L5883,
76.4420,76.4416,130818.1,11g,9.55e+09,C,0.00,130818.85,3s2.3p3,4S*,3/2,3s2.3p2.(3P).3d,4P,3/2,4,4,,T3186c85,L5883,
76.5391,76.5387,130652.2,4,1.04e+09,D+,14852.94,145505.74,3s2.3p3,2D*,3/2,3s.3p4,2P,3/2,4,4,,T3186c85,L5883,
76.5572,76.5574,130621.3,8,3.28e+09,C,14884.73,145505.74,3s2.3p3,2D*,5/2,3s.3p4,2P,3/2,6,4,,T3186c85,L5883,
76.5693,76.5684,130600.6,12g,9.47e+09,C+,0.00,130602.21,3s2.3p3,4S*,3/2,3s2.3p2.(3P).3d,4P,5/2,4,6,,T3186c85,L5883,
77.3459,77.3460,129289.3,8,5.30e+09,C,14852.94,144142.16,3s2.3p3,2D*,3/2,3s2.3p2.(1D).3d,2D,3/2,4,4,,T3186c85,L5883,
