obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
82.85,,120700,285,,,,,,,L3276,
83.27,,120090,360,,,,,,,L3276,
90.66,,110300,285,,,,,,,L3276,
91.29,,109540,360,,,,,,,L3276,
101.34,,98680,360,,,,,,,L3276,
101.40,,98620,360,,,,,,,L3276,
103.36,,96750,450,,,,,,,L3276,
104.96,,95270,450,,,,,,,L3276,
105.74,,94570,360,,,,,,,L3276,
109.78,,91090,285,,,,,,,L3276,
114.19,,87570,360,,,,,,,L3276,
115.60,,86510,220,,,,,,,L3276,
115.69,,86440,285,,,,,,,L3276,
116.85,,85580,285,,,,,,,L3276,
119.23,,83870,450,,,,,,,L3276,
120.57,,82940,220,,,,,,,L3276,
123.49,,80980,220,,,,,,,L3276,
129.10,,77460,285,,,,,,,L3276,
130.89,,76400,285,,,,,,,L3276,
303.96,,32899,220,,,,,,,L3276,
304.22,,32871,220,,,,,,,L3276,
407.13,,24562,285,,,,,,,L3276,
417.65,,23944,360,,,,,,,L3276,
418.21,,23912,450,,,,,,,L3276,
438.41,,22810,285,,,,,,,L3276,
444.72,,22486,285,,,,,,,L3276,
445.04,,22470,220,,,,,,,L3276,
446.89,,22377,285,,,,,,,L3276,
484.20,,20653,285,,,,,,,L3276,
484.64,,20634,360,,,,,,,L3276,
522.90,,19124,450,,,,,,,L3276,
530.69,,18843,360,,,,,,,L3276,
552.39,,18103,285,,,,,,,L3276,
556.84,,17958,285,,,,,,,L3276,
586.79,,17042,285,,,,,,,L3276,
605.77,,16508,450,,,,,,,L3276,
644.60,,15513.5,360,,,,,,,L3276,
649.23,,15402.9,285,,,,,,,L3276,
653.68,,15298.0,285,,,,,,,L3276,
