obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
148.269,0.010,148.2580,0.0004,67445.0,,,,14555.90,82005.9,4p6.4d,2D,3/2,4p6.8f,2F*,5/2,4,6,,,L3450,
148.899,0.010,148.8767,0.0004,67159.6,*,,,14836.24,82005.9,4p6.4d,2D,5/2,4p6.8f,2F*,7/2,6,8,,,L3450,
148.899,0.010,148.8767,0.0004,67159.6,*,,,14836.24,82005.9,4p6.4d,2D,5/2,4p6.8f,2F*,5/2,6,6,,,L3450,
153.128,0.010,153.1267,0.0005,65305.0,,,,14555.90,79861.3,4p6.4d,2D,3/2,4p6.7f,2F*,5/2,4,6,,,L3450,
153.791,0.010,153.7869,0.0005,65023.3,*,,,14836.24,79861.3,4p6.4d,2D,5/2,4p6.7f,2F*,7/2,6,8,,,L3450,
153.791,0.010,153.7869,0.0005,65023.3,*,,,14836.24,79861.3,4p6.4d,2D,5/2,4p6.7f,2F*,5/2,6,6,,,L3450,
161.298,0.010,161.2968,0.0003,61997.0,,,,14555.90,76553.4,4p6.4d,2D,3/2,4p6.6f,2F*,5/2,4,6,,,L3450,
162.035,0.010,162.0295,0.0003,61715.1,*,,,14836.24,76553.4,4p6.4d,2D,5/2,4p6.6f,2F*,7/2,6,8,,,L3450,
162.035,0.010,162.0295,0.0003,61715.1,*,,,14836.24,76553.4,4p6.4d,2D,5/2,4p6.6f,2F*,5/2,6,6,,,L3450,
176.281,0.010,176.2663,0.0003,56727.6,,,,24516.65,[81249.0],4p6.5p,2P*,3/2,4p6.9d,2D,5/2,4,6,,,L3450,
176.963,0.010,176.9601,0.0003,56509.0,,,,14555.90,71065.8,4p6.4d,2D,3/2,4p6.5f,2F*,5/2,4,6,,,L3450,
177.839,0.010,177.8424,0.0003,56230.6,*,,,14836.24,71065.8,4p6.4d,2D,5/2,4p6.5f,2F*,7/2,6,8,,,L3450,
177.839,0.010,177.8424,0.0003,56230.6,*,,,14836.24,71065.8,4p6.4d,2D,5/2,4p6.5f,2F*,5/2,6,6,,,L3450,
178.397,0.010,178.3870,0.0010,56054.8,,2.9e+04,D+,0.00,56057.9,4p6.5s,2S,1/2,4p6.6p,2P*,3/2,2,4,,T4032,L3450,
179.310,0.010,179.3088,0.0010,55769.3,,6.4e+05,B,0.00,55769.7,4p6.5s,2S,1/2,4p6.6p,2P*,1/2,2,2,,T4032,L3450,
