obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
214.080,,46711.4,1100,,,,,,,,,,,1,1,,,L3475,
214.755,214.7550+,46564.8,1500,,,1031.33,47596.02,5d3.(4F).6s,a 5F,2,,475*,1,5,3,,,L3475,
215.130,,46483.6,740,,,,,,,,,,,1,1,,,L3475,
216.569,,46174.7,600,,,,,,,,,,,1,1,,,L3475,
217.871,,45898.7,740,,,,,,,,,,,1,1,,,L3475,
218.339,,45800.3,1200,,,,,,,,,,,1,1,,,L3475,
219.389,,45581.2,540,,,,,,,,,,,1,1,,,L3475,
219.457,,45567.1,1100,,,,,,,,,,,1,1,,,L3475,
219.672,219.6734+,45522.5,1500,,,4415.70,49937.82,5d3.(4F).6s,a 5F,4,,499*,4,9,9,,,L3475,
220.036,220.0370+,45447.2,1500,,,0.00,45446.91,5d3.(4F).6s,a 5F,1,,454*,2,3,5,,,L3475,
220.783,,45293.4,500,,,,,,,,,,,1,1,,,L3475,
221.072,221.0734+,45234.2,1400bl*,,,0.00,45233.85,5d3.(4F).6s,a 5F,1,,5D*,1,3,3,,,L3475,
221.088,221.0878+,45230.9,1400bl*,,,4415.70,49646.60,5d3.(4F).6s,a 5F,4,,496*,3,9,7,,,L3475,
221.629,,45120.4,420,,,,,,,,,,,1,1,,,L3475,
224.018,224.0207+,44639.4,1400*,,,2642.19,47280.92,5d3.(4F).6s,a 5F,3,,472*,4,7,9,,,L3475,
224.018,224.0169+,44639.4,1400*,,,4415.70,49055.18,5d3.(4F).6s,a 5F,4,,490*,5,9,11,,,L3475,
224.918,,44460.7,240,,,,,,,,,,,1,1,,,L3475,
225.049,,44434.8,480,,,,,,,,,,,1,1,,,L3475,
225.146,,44415.7,1200,,,,,,,,,,,1,1,,,L3475,
225.556,,44334.9,260,,,,,,,,,,,1,1,,,L3475,
225.647,,44317.0,440,,,,,,,,,,,1,1,,,L3475,
225.721,,44302.5,360,,,,,,,,,,,1,1,,,L3475,
225.941,,44259.4,500,,,,,,,,,,,1,1,,,L3475,
226.212,,44206.3,840,,,,,,,,,,,1,1,,,L3475,
226.232,,44202.4,260,,,,,,,,,,,1,1,,,L3475,
226.300,,44189.1,990,,,,,,,,,,,1,1,,,L3475,
227.026,,44047.8,220,,,,,,,,,,,1,1,,,L3475,
227.255,,44003.4,740,,,,,,,,,,,1,1,,,L3475,
227.329,,43989.1,990,,,,,,,,,,,1,1,,,L3475,
228.289,,43804.0,320,,,,,,,,,,,1,1,,,L3475,
228.573,,43749.8,130,,,,,,,,,,,1,1,,,L3475,
228.596,,43745.4,790,,,,,,,,,,,1,1,,,L3475,
228.730,,43719.8,600,,,,,,,,,,,1,1,,,L3475,
228.798,,43706.8,240,,,,,,,,,,,1,1,,,L3475,
228.987,,43670.7,990,,,,,,,,,,,1,1,,,L3475,
229.325,,43606.3,180,,,,,,,,,,,1,1,,,L3475,
230.218,,43437.1,160,,,,,,,,,,,1,1,,,L3475,
230.295,,43422.6,440,,,,,,,,,,,1,1,,,L3475,
230.364,,43409.6,440,,,,,,,,,,,1,1,,,L3475,
230.420,,43399.0,300,,,,,,,,,,,1,1,,,L3475,
230.917,,43305.6,100,,,,,,,,,,,1,1,,,L3475,
231.331,,43228.1,440,,,,,,,,,,,1,1,,,L3475,
231.617,,43174.7,420,,,,,,,,,,,1,1,,,L3475,
231.987,,43105.8,260,,,,,,,,,,,1,1,,,L3475,
233.201,,42881.6,100,,,,,,,,,,,1,1,,,L3475,
233.270,,42868.9,690,,,,,,,,,,,1,1,,,L3475,
233.291,,42865.0,550,,,,,,,,,,,1,1,,,L3475,
233.485,,42829.4,110,,,,,,,,,,,1,1,,,L3475,
233.560,,42815.6,180,,,,,,,,,,,1,1,,,L3475,
233.647,,42799.7,140,,,,,,,,,,,1,1,,,L3475,
233.900,,42753.4,300,,,,,,,,,,,1,1,,,L3475,
234.166,,42704.8,200,,,,,,,,,,,1,1,,,L3475,
234.233,,42692.6,200,,,,,,,,,,,1,1,,,L3475,
234.436,,42655.6,130,,,,,,,,,,,1,1,,,L3475,
234.714,,42605.1,100,,,,,,,,,,,1,1,,,L3475,
235.271,,42504.2,90,,,,,,,,,,,1,1,,,L3475,
235.458,,42470.4,170,,,,,,,,,,,1,1,,,L3475,
235.594,,42445.9,120,,,,,,,,,,,1,1,,,L3475,
235.677,,42430.9,170,,,,,,,,,,,1,1,,,L3475,
235.762,,42415.6,140,,,,,,,,,,,1,1,,,L3475,
235.988,,42375.0,170,,,,,,,,,,,1,1,,,L3475,
236.350,,42310.1,160,,,,,,,,,,,1,1,,,L3475,
236.404,,42300.4,130,,,,,,,,,,,1,1,,,L3475,
236.496,,42284.0,600,,,,,,,,,,,1,1,,,L3475,
236.796,,42230.4,50,,,,,,,,,,,1,1,,,L3475,
237.004,,42193.3,150,,,,,,,,,,,1,1,,,L3475,
237.148,,42167.7,300,,,,,,,,,,,1,1,,,L3475,
237.466,,42111.2,100,,,,,,,,,,,1,1,,,L3475,
