obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
257.850,,38782.2,29,,,,,,,,,,,1,1,,,L3475,
258.538,,38679.0,110,,,,,,,,,,,1,1,,,L3475,
259.108,,38593.9,29,,,,,,,,,,,1,1,,,L3475,
259.220,,38577.3,29,,,,,,,,,,,1,1,,,L3475,
259.342,,38559.2,24,,,,,,,,,,,1,1,,,L3475,
259.849,,38483.9,55,,,,,,,,,,,1,1,,,L3475,
260.371,,38406.8,40,,,,,,,,,,,1,1,,,L3475,
260.935,,38323.7,110,,,,,,,,,,,1,1,,,L3475,
262.947,,38030.4,130,,,,,,,,,,,1,1,,,L3475,
265.675,,37640.0,55,,,,,,,,,,,1,1,,,L3475,
266.219,,37563.0,50,,,,,,,,,,,1,1,,,L3475,
266.243,,37559.6,24,,,,,,,,,,,1,1,,,L3475,
266.843,,37475.2,55,,,,,,,,,,,1,1,,,L3475,
266.965,,37458.0,50,,,,,,,,,,,1,1,,,L3475,
267.008,,37452.0,140,,,,,,,,,,,1,1,,,L3475,
267.492,,37384.2,40,,,,,,,,,,,1,1,,,L3475,
267.548,,37376.4,40,,,,,,,,,,,1,1,,,L3475,
267.895,,37328.1,29,,,,,,,,,,,1,1,,,L3475,
268.477,,37247.2,40,,,,,,,,,,,1,1,,,L3475,
268.862,,37193.8,35,,,,,,,,,,,1,1,,,L3475,
269.270,,37137.5,50,,,,,,,,,,,1,1,,,L3475,
269.385,,37121.6,35,,,,,,,,,,,1,1,,,L3475,
269.421,,37116.6,55,,,,,,,,,,,1,1,,,L3475,
269.626,,37088.4,35,,,,,,,,,,,1,1,,,L3475,
269.763,,37069.6,50,,,,,,,,,,,1,1,,,L3475,
270.487,,36970.3,190,,,,,,,,,,,1,1,,,L3475,
273.705,,36535.7,130,,,,,,,,,,,1,1,,,L3475,
276.029,,36228.1,160,,,,,,,,,,,1,1,,,L3475,
277.035,,36096.6,270,,,,,,,,,,,1,1,,,L3475,
278.531,,35902.6,130,,,,,,,,,,,1,1,,,L3475,
280.134,,35697.3,180,,,,,,,,,,,1,1,,,L3475,
280.358,,35668.7,250,,,,,,,,,,,1,1,,,L3475,
281.013,,35585.6,250,,,,,,,,,,,1,1,,,L3475,
281.347,,35543.3,180,,,,,,,,,,,1,1,,,L3475,
285.298,,35051.1,190,,,,,,,,,,,1,1,,,L3475,
285.852,,34983.1,110,,,,,,,,,,,1,1,,,L3475,
288.714,,34636.4,230,,,,,,,,,,,1,1,,,L3475,
289.530,,34538.8,160,,,,,,,,,,,1,1,,,L3475,
289.829,,34503.1,320,,,,,,,,,,,1,1,,,L3475,
289.971,,34486.2,160,,,,,,,,,,,1,1,,,L3475,
290.239,,34454.4,110,,,,,,,,,,,1,1,,,L3475,
291.115,,34350.7,110,,,,,,,,,,,1,1,,,L3475,
291.560,,34298.2,160,,,,,,,,,,,1,1,,,L3475,
291.615,,34291.7,160,,,,,,,,,,,1,1,,,L3475,
291.645,,34288.2,190,,,,,,,,,,,1,1,,,L3475,
291.709,,34280.7,120,,,,,,,,,,,1,1,,,L3475,
291.974,,34249.6,120,,,,,,,,,,,1,1,,,L3475,
292.502,,34187.8,120,,,,,,,,,,,1,1,,,L3475,
292.539,,34183.5,120,,,,,,,,,,,1,1,,,L3475,
293.375,,34086.1,160,,,,,,,,,,,1,1,,,L3475,
294.091,,34003.1,150,,,,,,,,,,,1,1,,,L3475,
295.707,,33817.2,250,,,,,,,,,,,1,1,,,L3475,
296.974,,33673.0,170,,,,,,,,,,,1,1,,,L3475,
297.865,,33572.3,170,,,,,,,,,,,1,1,,,L3475,
298.790,,33468.3,110,,,,,,,,,,,1,1,,,L3475,
298.944,,33451.1,110,,,,,,,,,,,1,1,,,L3475,
299.687,,33368.1,130,,,,,,,,,,,1,1,,,L3475,
299.990,,33334.4,110,,,,,,,,,,,1,1,,,L3475,
300.640,,33262.4,130,,,,,,,,,,,1,1,,,L3475,
301.018,,33220.6,170,,,,,,,,,,,1,1,,,L3475,
301.147,,33206.4,230,,,,,,,,,,,1,1,,,L3475,
301.706,,33144.9,230,,,,,,,,,,,1,1,,,L3475,
302.005,,33112.0,130,,,,,,,,,,,1,1,,,L3475,
302.117,,33099.8,170,,,,,,,,,,,1,1,,,L3475,
302.431,,33065.4,110,,,,,,,,,,,1,1,,,L3475,
302.821,,33022.8,170,,,,,,,,,,,1,1,,,L3475,
303.248,,32976.3,230,,,,,,,,,,,1,1,,,L3475,
304.585,,32831.6,230,,,,,,,,,,,1,1,,,L3475,
305.202,,32765.2,190,,,,,,,,,,,1,1,,,L3475,
305.413,,32742.6,130,,,,,,,,,,,1,1,,,L3475,
305.444,,32739.2,460,,,,,,,,,,,1,1,,,L3475,
306.367,,32640.6,130,,,,,,,,,,,1,1,,,L3475,
306.498,,32626.6,230,,,,,,,,,,,1,1,,,L3475,
306.658,,32609.6,110,,,,,,,,,,,1,1,,,L3475,
306.809,,32593.6,230,,,,,,,,,,,1,1,,,L3475,
306.992,,32574.1,270,,,,,,,,,,,1,1,,,L3475,
307.094,,32563.3,460,,,,,,,,,,,1,1,,,L3475,
307.349,,32536.3,270,,,,,,,,,,,1,1,,,L3475,
307.975,,32470.1,670,,,,,,,,,,,1,1,,,L3475,
308.326,,32433.3,480,,,,,,,,,,,1,1,,,L3475,
308.768,,32386.8,120,,,,,,,,,,,1,1,,,L3475,
308.933,,32369.5,250,,,,,,,,,,,1,1,,,L3475,
309.048,,32357.5,480,,,,,,,,,,,1,1,,,L3475,
310.344,,32222.3,230,,,,,,,,,,,1,1,,,L3475,
310.386,,32217.9,480,,,,,,,,,,,1,1,,,L3475,
311.879,,32063.7,290,,,,,,,,,,,1,1,,,L3475,
312.052,,32045.9,290,,,,,,,,,,,1,1,,,L3475,
312.285,,32022.1,230,,,,,,,,,,,1,1,,,L3475,
312.396,,32010.7,230,,,,,,,,,,,1,1,,,L3475,
312.545,,31995.4,160,,,,,,,,,,,1,1,,,L3475,
313.226,,31925.9,110,,,,,,,,,,,1,1,,,L3475,
313.517,,31896.2,250,,,,,,,,,,,1,1,,,L3475,
314.055,,31841.6,440,,,,,,,,,,,1,1,,,L3475,
314.097,,31837.3,190,,,,,,,,,,,1,1,,,L3475,
314.613,,31785.1,230,,,,,,,,,,,1,1,,,L3475,
314.758,,31770.4,150,,,,,,,,,,,1,1,,,L3475,
314.795,,31766.7,310,,,,,,,,,,,1,1,,,L3475,
314.806,,31765.6,310,,,,,,,,,,,1,1,,,L3475,
314.962,,31749.8,310,,,,,,,,,,,1,1,,,L3475,
315.653,,31680.3,120,,,,,,,,,,,1,1,,,L3475,
316.334,,31612.2,130,,,,,,,,,,,1,1,,,L3475,
316.385,,31607.1,290,,,,,,,,,,,1,1,,,L3475,
316.666,,31579.1,190,,,,,,,,,,,1,1,,,L3475,
316.844,,31561.3,380,,,,,,,,,,,1,1,,,L3475,
316.924,,31553.3,140,,,,,,,,,,,1,1,,,L3475,
317.076,,31538.2,230,,,,,,,,,,,1,1,,,L3475,
317.468,,31499.3,190,,,,,,,,,,,1,1,,,L3475,
317.558,,31490.3,380,,,,,,,,,,,1,1,,,L3475,
318.146,,31432.1,380,,,,,,,,,,,1,1,,,L3475,
318.480,,31399.1,140,,,,,,,,,,,1,1,,,L3475,
318.818,,31365.8,480,,,,,,,,,,,1,1,,,L3475,
318.895,,31358.3,290,,,,,,,,,,,1,1,,,L3475,
319.561,,31292.9,190,,,,,,,,,,,1,1,,,L3475,
319.652,,31284.0,380,,,,,,,,,,,1,1,,,L3475,
320.048,,31245.3,480,,,,,,,,,,,1,1,,,L3475,
321.986,,31057.3,1100,,,,,,,,,,,1,1,,,L3475,
322.091,,31047.1,1200,,,,,,,,,,,1,1,,,L3475,
323.096,,30950.5,250,,,,,,,,,,,1,1,,,L3475,
323.199,,30940.7,250,,,,,,,,,,,1,1,,,L3475,
324.053,,30859.1,210bl,,,,,,,,,,,1,1,,,L3475,
324.093,,30855.3,250,,,,,,,,,,,1,1,,,L3475,
325.326,,30738.4,480,,,,,,,,,,,1,1,,,L3475,
326.391,,30638.1,250,,,,,,,,,,,1,1,,,L3475,
326.481,,30629.6,230bl,,,,,,,,,,,1,1,,,L3475,
326.584,,30620.0,230,,,,,,,,,,,1,1,,,L3475,
