obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
210.690,,47463.1,15,,,,,,,,,,,1,1,,,L4515,
211.711,,47234.2,20,,,,,,,,,,,1,1,,,L4515,
226.692,,44112.7,10,,,,,,,,,,,1,1,,,L4515,
249.752,249.7522+,40039.7,100,,,3461.27,43500.96,4d6,a 5D,4,4d5.(6S).5p,z 5P*,3,9,7,,,L4515,
253.010,253.0098+,39524.1,80,,,4217.17,43741.33,4d6,a 5D,3,4d5.(6S).5p,z 5P*,2,7,5,,,L4515,
254.399,254.3987+,39308.3,500,4.1e+08,,0.00,39308.38,4d5.(6S).5s,a 7S,3,4d5.(6S).5p,z 7P*,4,7,9,,T6050,L4515,
254.557,254.5579+,39283.9,60,,,4217.17,43500.96,4d6,a 5D,3,4d5.(6S).5p,z 5P*,3,7,7,,,L4515,
254.868,254.8694+,39235.9,50,,,4669.22,43905.00,4d6,a 5D,2,4d5.(6S).5p,z 5P*,1,5,3,,,L4515,
255.938,255.9370+,39072.0,50,,,4669.22,43741.33,4d6,a 5D,2,4d5.(6S).5p,z 5P*,2,5,5,,,L4515,
256.778,256.7799+,38944.2,50,,,4961.14,43905.00,4d6,a 5D,1,4d5.(6S).5p,z 5P*,1,3,3,,,L4515,
257.583,,38822.4,30,,,,,,,,,,,1,1,,,L4515,
257.705,257.7053+,38804.0,80,,,5100.98,43905.00,4d6,a 5D,0,4d5.(6S).5p,z 5P*,1,1,3,,,L4515,
257.863,257.8636+,38780.3,40,,,4961.14,43741.33,4d6,a 5D,1,4d5.(6S).5p,z 5P*,2,3,5,,,L4515,
259.797,,38491.6,20,,,,,,,,,,,1,1,,,L4515,
261.077,261.0775+,38302.9,1000c,3.8e+08,,0.00,38302.80,4d5.(6S).5s,a 7S,3,4d5.(6S).5p,z 7P*,3,7,7,,T6050,L4515,
263.570,263.5695+,37940.7,200,,,24000.00+x,61940.66+x,4d5.(5G).5s,a 5G,6,4d5.(4G).5p,z 5H*,7,13,15,,,L4515,
264.529,264.5287+,37803.1,40,,,24000.00+x,61803.08+x,4d5.(5G).5s,a 5G,6,4d5.(4G).5p,z 5F*,5,13,11,,,L4515,
264.780,264.7800+,37767.2,1000c,3.7e+08,,0.00,37767.21,4d5.(6S).5s,a 7S,3,4d5.(6S).5p,z 7P*,2,7,5,,T6050,L4515,
265.314,265.3141+,37691.2,100,,,24024.88+x,61716.05+x,4d5.(5G).5s,a 5G,5,4d5.(4G).5p,z 5H*,6,11,13,,,L4515,
268.199,,37285.8,80,,,,,,,,,,,1,1,,,L4515,
270.376,,36985.5,40,,,,,,,,,,,1,1,,,L4515,
270.870,,36918.0,100,,,,,,,,,,,1,1,,,L4515,
273.764,,36527.8,60c,,,,,,,,,,,1,1,,,L4515,
273.964,,36501.1,20c,,,,,,,,,,,1,1,,,L4515,
277.813,,35995.4,20,,,,,,,,,,,1,1,,,L4515,
279.660,279.6604+,35757.7,200,,,24000.00+x,59757.65+x,4d5.(5G).5s,a 5G,6,4d5.(4G).5p,z 5G*,6,13,13,,,L4515,
281.048,281.0475+,35581.1,50c,,,24000.00+x,59581.18+x,4d5.(5G).5s,a 5G,6,4d5.(4G).5p,z 5G*,5,13,11,,,L4515,
281.244,281.2441+,35556.3,500,,,24024.88+x,59581.18+x,4d5.(5G).5s,a 5G,5,4d5.(4G).5p,z 5G*,5,11,11,,,L4515,
282.218,282.2184+,35433.6,100,,,23978.65+x,59412.20+x,4d5.(5G).5s,a 5G,4,4d5.(4G).5p,z 5G*,4,9,9,,,L4515,
283.201,283.2012+,35310.6,60,,,23917.17+x,59227.75+x,4d5.(5G).5s,a 5G,3,4d5.(4G).5p,z 5G*,3,7,7,,,L4515,
284.122,284.1208+,35196.2,50,,,23838.39+x,59034.69+x,4d5.(5G).5s,a 5G,2,4d5.(4G).5p,z 5G*,2,5,5,,,L4515,
284.723,,35121.9,10,,,,,,,,,,,1,1,,,L4515,
289.005,,34601.5,30,,,,,,,,,,,1,1,,,L4515,
292.420,,34197.4,20c,,,,,,,,,,,1,1,,,L4515,
303.878,,32907.9,20,,,,,,,,,,,1,1,,,L4515,
319.612,319.6134+,31287.9,800c,2.0e+08,,12617.20,43905.00,4d5.(6S).5s,a 5S,2,4d5.(6S).5p,z 5P*,1,5,3,,T6050,L4515,
321.295,321.2941+,31124.1,1000,1.9e+08,,12617.20,43741.33,4d5.(6S).5s,a 5S,2,4d5.(6S).5p,z 5P*,2,5,5,,T6050,L4515,
323.795,323.7948+,30883.7,1000,1.9e+08,,12617.20,43500.96,4d5.(6S).5s,a 5S,2,4d5.(6S).5p,z 5P*,3,5,7,,T6050,L4515,
329.979,,30305.0,30,,,,,,,,,,,1,1,,,L4515,
427.617,,23385.4,800,,,,,,,,,,,1,1,,,L4515,
