obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
79.6953,0.0011,79.6955,0.0006,125477.9,31000,,,0.000,125477.6,5s2.5p3,4S*,3/2,5s2.5p2.(3P).6d,4P,1/2,4,2,,,L15043,
79.9574,0.0011,79.95774,0.00013,125066.6,42000,,,0.000,125066.06,5s2.5p3,4S*,3/2,5s2.5p2.(3P).6d,4P,3/2,4,4,,,L15043,
80.2269,0.0011,80.22695,0.00013,124646.5,34000,,,0.000,124646.39,5s2.5p3,4S*,3/2,5s2.5p2.(3P).6d,4D,5/2,4,6,,,L15043,
80.3474,0.0011,80.3472,0.0007,124459.6,15000,,,12421.854,136881.7,5s2.5p3,2D*,5/2,5s2.5p2.(3P).7d,2D,5/2,6,6,,,L15043,
80.4679,0.0011,80.4681,0.0008,124273.2,18000,,,10222.385,134495.3,5s2.5p3,2D*,3/2,5s2.5p2.(1D).6d,2D,3/2,4,4,,,L15043,
80.5906,0.0011,80.59182,0.00013,124084.0,8500,,,0.000,124082.07,5s2.5p3,4S*,3/2,5s.(2S).5p4.(3P),2P,3/2,4,4,,,L15043,
81.5183,0.0011,81.5187,0.0006,122671.9,14000,,,12421.854,135093.1,5s2.5p3,2D*,5/2,5s2.5p2.(1D).6d,2D,5/2,6,6,,,L15043,
81.8345,0.0011,81.83518,0.00013,122197.9,24000,,,0.000,122196.84,5s2.5p3,4S*,3/2,5s2.5p2.(3P).6d,2F,5/2,4,6,,,L15043,
82.2908,0.0011,82.29171,0.00014,121520.2,26000,,,0.000,121518.93,5s2.5p3,4S*,3/2,5s2.5p2.(3P).6d,4D,3/2,4,4,,,L15043,
82.4071,0.0011,82.4076,0.0009,121348.8,21000*,,,20546.591,141894.6,5s2.5p3,2P*,1/2,5s2.5p2.(1S).7s,2S,1/2,2,2,,,L15043,
82.4071,0.0011,82.40820,0.00014,121348.8,21000*,,,12421.854,133769.00,5s2.5p3,2D*,5/2,5s2.5p2.(1D).6d,2G,7/2,6,8,,,L15043,
82.5247,0.0011,82.52600,0.00014,121175.9,31000,,,0.000,121173.94,5s2.5p3,4S*,3/2,5s2.5p2.(3P).7s,2P,3/2,4,4,,,L15043,
82.5706,0.0011,82.57215,0.00014,121108.5,29000,,,0.000,121106.21,5s2.5p3,4S*,3/2,5s2.5p2.(3P).6d,4D,1/2,4,2,,,L15043,
82.6005,0.0011,82.60107,0.00014,121064.6,24000,,,0.000,121063.80,5s2.5p3,4S*,3/2,5s2.5p2.(3P).6d,4F,5/2,4,6,,,L15043,
82.9049,0.0011,82.9049,0.0016,120620.1,25000*,,,12421.854,133042.0,5s2.5p3,2D*,5/2,5s2.5p2.(1D).6d,2F,7/2,6,8,,,L15043,
82.9049,0.0011,82.90696,0.00014,120620.1,25000*,,,0.000,120617.13,5s2.5p3,4S*,3/2,5s2.5p2.(3P).7s,4P,5/2,4,6,,,L15043,
84.6555,0.0011,84.6556,0.0009,118125.9,11000,,,10222.385,128348.0,5s2.5p3,2D*,3/2,5s2.5p2.(3P).7d,4F,5/2,4,6,,,L15043,
