obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
274.128304,0.000017,274.128315,0.000009,36479.2685,210,,,14545.55724,51024.8242,5f.6d.(3D*).7s,4D*,5/2,5f2.6d+5f.6d.7p,,3/2,6,4,,,L5951,
274.387498,0.000008,274.387488,0.000005,36444.8092,1000,,,0.00000,36444.8105,6d.7s2,2D,3/2,6d2.(3P).7p,*,3/2,4,4,,,L5951,
274.961788,0.000012,274.961784,0.000006,36368.6899,440,,,13468.96833,49837.6587,5f.6d.(3G*).7s,4G*,9/2,5f2.6d+5f.6d.7p,,9/2,10,10,,,L5951,
275.034378,0.000009,275.034373,0.000005,36359.0911,750,,,4113.35932,40472.4510,6d.(2D).7s2,,5/2,6d2.(3F).7p,*,3/2,6,4,,,L5951,
275.052678,0.000010,275.052669,0.000005,36356.6720,620,,,12488.28836,48844.9615,5f.6d.(3F*).7s,4F*,9/2,5f2.6d+5f.6d.7p,,9/2,10,10,,,L5951,
275.089361,0.000015,275.089373,0.000010,36351.8239,280,,,15324.2406,51676.0629,5f.6d.(3P*).7s,4P*,1/2,5f.6d.(1P*).7p,,3/2,2,4,,,L5951,
275.238661,0.000015,275.238655,0.000007,36332.1054,270,,,15349.88002,51681.9860,5f.6d.(3G*).7s,4G*,11/2,5f2.6d+5f.6d.7p,,9/2,12,10,,,L5951,
275.256702,0.000023,275.256659,0.000012,36329.724,120,,,15324.2406,51653.9702,5f.6d.(3P*).7s,4P*,1/2,5f2.(3P).6d,,1/2,2,2,,,L5951,
275.298018,0.000005,275.298013,0.000003,36324.2717,2800,,,1521.89632,37846.1686,6d2.(3F).7s,4F,5/2,6d2.(3P).7p,*,5/2,6,6,,,L5951,
275.677005,0.000012,275.677008,0.000011,36274.3349,430,,,16033.14845,52307.4829,5f.6d.(3D*).7s,*,5/2,5f.6d.7p,,3/2,6,4,,,L5951,
276.022344,0.000010,276.022352,0.000007,36228.9512,590,,,15453.03596,51681.9860,5f.6d.(3D*).7s,4D*,7/2,5f2.6d+5f.6d.7p,,9/2,8,10,,,L5951,
276.053593,0.000023,276.053627,0.000009,36224.850,130,,,15710.84204,51935.6876,5f.6d.(3D*).7s,2D*,3/2,5f2.6d+5f.6d.7p,,5/2,4,6,,,L5951,
276.120563,0.000008,276.120559,0.000005,36216.0642,980,,,8605.84210,44821.9067,6d2.(3F).7s,2F,5/2,6d.7s.(3D).7p,*,5/2,6,6,,,L5951,
276.442179,0.000010,276.442153,0.000006,36173.9300,640,,,6244.29489,42418.2282,6d2.(3P).7s,4P,1/2,6d2.(3F).7p,*,3/2,2,4,,,L5951,
276.545310,0.000009,276.545302,0.000006,36160.4397,720,,,9061.10354,45221.5442,6d2.(3P).7s,4P,5/2,6d2.(3P).7p,*,5/2,6,6,,,L5951,
276.594016,0.000010,276.594002,0.000005,36154.0722,640,,,4490.26167,40644.3356,5f.7s2,2F*,5/2,5f2.(3F).6d,,5/2,6,6,,,L5951,
276.669762,0.000023,276.669758,0.000012,36144.174,130,,,11725.42899,47869.6034,5f.6d.(3D*).7s,4D*,1/2,5f2.6d,,3/2,2,4,,,L5951,
276.965919,0.000005,276.965914,0.000004,36105.5253,2300,,,6213.49036,42319.0163,6d2.(3F).7s,4F,9/2,6d2.(3F).7p,*,9/2,10,10,,,L5951,
277.094816,0.000023,277.094859,0.000007,36088.730,140,,,20989.80656,57078.5309,5f.(2F*).6d2.(1D),*,9/2,5f2.6d+5f.6d.7p,,9/2,10,10,,,L5951,
277.163340,0.000007,277.163351,0.000004,36079.8077,1400,,,1521.89632,37601.7026,6d2.(3F).7s,4F,5/2,6d.7s.(3D).7p,*,3/2,6,4,,,L5951,
277.227798,0.000013,277.227801,0.000005,36071.4188,390,,,8378.85915,44450.2775,5f.7s2,2F*,7/2,5f2.6d+5f.6d.7p,,9/2,8,10,,,L5951,
277.232940,0.000008,277.232945,0.000004,36070.7498,840,,,4113.35932,40184.1084,6d.(2D).7s2,,5/2,6d2.(3F).7p,*,7/2,6,8,,,L5951,
277.282843,0.000023,277.282812,0.000006,36064.258,160,,,10189.06681,46253.3289,5f.6d.(3H*).7s,4H*,11/2,5f2.6d+5f.6d.7p,,9/2,12,10,,,L5951,
277.383701,0.000023,277.383717,0.000005,36051.145,94,,,6700.18627,42751.3291,5f.6d.(3H*).7s,*,9/2,5f2.6d+5f.6d.7p,,7/2,10,8,,,L5951,
277.477021,0.000008,277.477031,0.000006,36039.0203,830,,,13250.50912,49289.5282,6d2.(1D).7s,,5/2,6d2.(1D).7p,*,5/2,6,6,,,L5951,
277.488495,0.000016,277.488486,0.000004,36037.5301,250,,,4146.57708,40184.1084,6d2.(3F).7s,4F,7/2,6d2.(3F).7p,*,7/2,8,8,,,L5951,
277.565666,0.000013,277.565640,0.000005,36027.5107,350,,,10189.06681,46216.5809,5f.6d.(3H*).7s,4H*,11/2,5f.6d.(3F*).7p,,11/2,12,12,,,L5951,
277.583331,0.000023,277.583331,0.000008,36025.218,130,,,15242.89888,51268.1168,5f.(2F*).6d2.(3F),4H*,9/2,5f2.6d+5f.6d.7p,,7/2,10,8,,,L5951,
277.628799,0.000023,277.628779,0.000006,36019.318,110,,,13818.33810,49837.6587,5f.6d.(3F*).7s,*,7/2,5f2.6d+5f.6d.7p,,9/2,8,10,,,L5951,
277.862015,0.000012,277.862005,0.000005,35989.0862,500,,,10379.12308,46368.2105,6d2.(1G).7s,,9/2,6d2.(1G).7p,2G*,9/2,10,10,,,L5951,
277.884092,0.000023,277.884067,0.000003,35986.227,110,,,1859.93843,37846.1686,6d2.(3F).7s,4F,3/2,6d2.(3P).7p,*,5/2,4,6,,,L5951,
277.888067,0.000016,277.888080,0.000007,35985.7122,240,,,14484.32431,50470.0348,5f.6d.(3H*).7s,2H*,11/2,5f2.6d+5f.6d.7p,,9/2,12,10,,,L5951,
277.904634,0.000023,277.904698,0.000005,35983.567,120,,,10572.04139,46555.6000,5f.6d.(3H*).7s,*,9/2,5f.6d.(3G*).7p,,11/2,10,12,,,L5951,
277.952452,0.000010,277.952476,0.000005,35977.3765,610,,,9711.96192,45689.3352,6d2.(1G).7s,2G,7/2,6d2.(3F).7p,*,7/2,8,8,,,L5951,
278.122849,0.000010,278.122855,0.000006,35955.3343,660,,,20989.80656,56945.1401,5f.(2F*).6d2.(1D),*,9/2,5f2.(1I).6d,,11/2,10,12,,,L5951,
278.152040,0.000011,278.152033,0.000005,35951.5609,580,,,13406.4329,49357.9947,5f.6d.(3H*).7s,4H*,13/2,5f.6d.(3G*).7p,,11/2,14,12,,,L5951,
278.318558,0.000023,278.318549,0.000005,35930.051,140,,,10673.13832,46603.1906,5f.6d.(3F*).7s,*,5/2,5f2.6d+5f.6d.7p,,5/2,6,6,,,L5951,
278.363447,0.000023,278.363436,0.000010,35924.257,160,,,20310.94225,56235.2007,5f.(2F*).6d2.(3F),*,5/2,5f.6d.7p,,3/2,6,4,,,L5951,
278.387035,0.000009,278.387036,0.000004,35921.2131,720,,,4490.26167,40411.4746,5f.7s2,2F*,5/2,5f.6d.(1D*).7p,,7/2,6,8,,,L5951,
278.421828,0.000015,278.421812,0.000009,35916.7242,280,,,26488.64704,62405.3733,5f.7s.(3F*).7p,,5/2,,*,7/2,6,8,,,L5951,
278.431072,0.000016,278.431089,0.000009,35915.5318,250,,,7828.56081,43744.0904,6d2.(3P).7s,,1/2,6d2.(3P).7p,4P*,1/2,2,2,,,L5951,
278.47516,0.00003,278.475164,0.000010,35909.846,76,,,15453.03596,51362.8811,5f.6d.(3D*).7s,4D*,7/2,5f2.6d+5f.6d.7p,,5/2,8,6,,,L5951,
278.488149,0.000012,278.488210,0.000007,35908.1708,430bl,,,10673.13832,46581.3012,5f.6d.(3F*).7s,*,5/2,5f2.6d+5f.6d.7p,,5/2,6,6,,,L5951,
278.53181,0.00003,278.531832,0.000009,35902.542,79,,,16033.14845,51935.6876,5f.6d.(3D*).7s,*,5/2,5f2.6d+5f.6d.7p,,5/2,6,6,,,L5951,
278.579640,0.000015,278.579649,0.000006,35896.3778,300,,,7331.48541,43227.8620,5f.6d.(3F*).7s,4F*,5/2,5f2.6d+5f.6d.7p,,5/2,6,6,,,L5951,
278.636683,0.000023,278.636704,0.000005,35889.029,120,,,13468.96833,49357.9947,5f.6d.(3G*).7s,4G*,9/2,5f.6d.(3G*).7p,,11/2,10,12,,,L5951,
278.643003,0.000023,278.643040,0.000005,35888.215,130,,,9238.02035,45126.2306,5f.6d.(1G*).7s,*,9/2,5f2.6d+5f.6d.7p,,9/2,10,10,,,L5951,
278.706131,0.000014,278.706128,0.000009,35880.0863,320,,,15144.73767,51024.8242,5f.6d.(3P*).7s,*,3/2,5f2.6d+5f.6d.7p,,3/2,4,4,,,L5951,
278.750451,0.000016,278.750451,0.000008,35874.3815,270,,,15349.88002,51224.2614,5f.6d.(3G*).7s,4G*,11/2,5f2.6d+5f.6d.7p,,9/2,12,10,,,L5951,
278.773403,0.000009,278.773420,0.000006,35871.4278,800,,,13250.50912,49121.9347,6d2.(1D).7s,,5/2,6d2.(1D).7p,*,7/2,6,8,,,L5951,
278.795019,0.000010,278.795019,0.000005,35868.6466,690,,,6244.29489,42112.9415,6d2.(3P).7s,4P,1/2,6d2.(1D).7p,*,3/2,2,4,,,L5951,
278.848876,0.000013,278.848880,0.000008,35861.7190,380,,,14545.55724,50407.2756,5f.6d.(3D*).7s,4D*,5/2,5f2.6d+5f.6d.7p,,7/2,6,8,,,L5951,
278.950726,0.000016,278.950745,0.000007,35848.6251,250,,,12472.17734,48320.8000,5f.6d.(3F*).7s,2F*,5/2,5f2.6d+5f.6d.7p,,5/2,6,6,,,L5951,
279.124412,0.000014,279.124422,0.000006,35826.3182,330,,,12472.17734,48298.4942,5f.6d.(3F*).7s,2F*,5/2,5f2.6d+5f.6d.7p,,7/2,6,8,,,L5951,
279.183559,0.000015,279.183575,0.000005,35818.7282,300,,,6700.18627,42518.9124,5f.6d.(3H*).7s,*,9/2,5f2.6d+5f.6d.7p,,7/2,10,8,,,L5951,
