obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
122.948,,122.948070,0.000005,81335.0,0:,,,983.9157,82319.068,3d3,b 4F,5/2,3d2.(3F).4f,2D*,5/2,6,6,,,L5432,
123.202,,123.201952,0.000003,81167.4,0:,,,983.9157,82151.461,3d3,b 4F,5/2,3d2.(3F).4f,2F*,7/2,6,8,,,L5432,
123.304,,123.303558,0.000003,81100.5,2:,,,1215.8329,82316.4935,3d3,b 4F,9/2,3d2.(3P).5p,4D*,7/2,10,8,,,L5432,
123.322,,123.321231,0.000008,81088.8,0:,,,907.9672,81997.005,3d3,b 4F,3/2,3d2.(3F).4f,2F*,5/2,4,6,,,L5432,
123.359,,123.359161,0.000003,81064.0,2:,,,1087.3561,82151.461,3d3,b 4F,7/2,3d2.(3F).4f,2F*,7/2,8,8,,,L5432,
123.386,,123.385500,0.000003,81046.7,1:,,,1087.3561,82134.1565,3d3,b 4F,7/2,3d2.(3F).4f,4D*,7/2,8,8,,,L5432,
123.437,,123.436843,0.000008,81012.9,2:,,,983.9157,81997.005,3d3,b 4F,5/2,3d2.(3F).4f,2F*,5/2,6,6,,,L5432,
123.470,,123.470197,0.000005,80991.1,4:,,,1087.3561,82078.561,3d3,b 4F,7/2,3d2.(3F).4f,4G*,9/2,8,10,,,L5432,
123.506,,123.506134,0.000003,80967.5,1:,,,1215.8329,82183.471,3d3,b 4F,9/2,3d2.(3F).4f,2H*,11/2,10,12,,,L5432,
123.518,,123.517926,0.000005,80959.7,1:*,,,907.9672,81867.876,3d3,b 4F,3/2,3d2.(3F).4f,4F*,3/2,4,4,,,L5432,
123.518,,123.518553,0.000003,80959.7,1:*,,,983.9157,81943.4136,3d3,b 4F,5/2,3d2.(3F).4f,4F*,5/2,6,6,,,L5432,
123.561,,123.560712,0.000003,80931.7,4:,,,1215.8329,82147.7069,3d3,b 4F,9/2,3d2.(3F).4f,4F*,9/2,10,10,,,L5432,
123.582,,123.581404,0.000003,80918.1,0:,,,1215.8329,82134.1565,3d3,b 4F,9/2,3d2.(3F).4f,4D*,7/2,10,8,,,L5432,
123.629,,123.628718,0.000003,80887.2,4:,,,1215.8329,82103.1876,3d3,b 4F,9/2,3d2.(3F).4f,4G*,11/2,10,12,,,L5432,
123.645,,123.644376,0.000003,80877.0,3:,,,983.9157,81861.0276,3d3,b 4F,5/2,3d2.(3F).4f,4G*,7/2,6,8,,,L5432,
123.667,,123.665053,0.000003,80862.6,1:*,,,907.9672,81771.556,3d3,b 4F,3/2,3d2.(3F).4f,4D*,3/2,4,4,,,L5432,
123.667,,123.666369,0.000005,80862.6,1:*,,,1215.8329,82078.561,3d3,b 4F,9/2,3d2.(3F).4f,4G*,9/2,10,10,,,L5432,
123.677,,123.676572,0.000003,80855.9,0:,,,1087.3561,81943.4136,3d3,b 4F,7/2,3d2.(3F).4f,4F*,5/2,8,6,,,L5432,
123.706,,123.706079,0.000003,80836.7,2:,,,1087.3561,81924.127,3d3,b 4F,7/2,3d2.(3F).4f,2H*,9/2,8,10,,,L5432,
123.723,,123.723040,0.000003,80825.6,1:,,,1087.3561,81913.0457,3d3,b 4F,7/2,3d2.(3F).4f,4F*,7/2,8,8,,,L5432,
123.738,,123.737318,0.000003,80816.2,2:,,,907.9672,81724.330,3d3,b 4F,3/2,3d2.(3F).4f,4G*,5/2,4,6,,,L5432,
123.778,,123.777324,0.000003,80790.1,1:,,,983.9157,81774.158,3d3,b 4F,5/2,3d2.(3F).4f,4D*,5/2,6,6,,,L5432,
123.803,,123.802717,0.000003,80773.6,0:,,,1087.3561,81861.0276,3d3,b 4F,7/2,3d2.(3F).4f,4G*,7/2,8,8,,,L5432,
123.832,,123.8315136,0.0000021,80754.8,0:,,,1087.3561,81842.2440,3d3,b 4F,7/2,3d2.(3F).4f,2G*,9/2,8,10,,,L5432,
123.903,,123.903003,0.000003,80708.2,0:,,,1215.8329,81924.127,3d3,b 4F,9/2,3d2.(3F).4f,2H*,9/2,10,10,,,L5432,
123.913,,123.912569,0.000003,80701.9,2:,,,983.9157,81685.979,3d3,b 4F,5/2,3d2.(3F).4f,2G*,7/2,6,8,,,L5432,
123.956,,123.956066,0.000003,80673.7,1:,,,1215.8329,81889.5772,3d3,b 4F,9/2,3d2.(3F).4f,4I*,11/2,10,12,,,L5432,
123.991,,123.991127,0.000003,80650.8,0:,,,1087.3561,81738.2883,3d3,b 4F,7/2,3d2.(3F).4f,4I*,9/2,8,10,,,L5432,
124.002,,124.001917,0.000003,80643.7,0:,,,983.9157,81627.830,3d3,b 4F,5/2,3d2.(3F).4f,4H*,7/2,6,8,,,L5432,
124.029,,124.0288370,0.0000023,80626.2,0:,,,1215.8329,81842.2440,3d3,b 4F,9/2,3d2.(3F).4f,2G*,9/2,10,10,,,L5432,
124.072,,124.071599,0.000003,80598.5,0:,,,1087.3561,81685.979,3d3,b 4F,7/2,3d2.(3F).4f,2G*,7/2,8,8,,,L5432,
124.086,,124.086283,0.000003,80589.0,2:,,,1087.3561,81676.4409,3d3,b 4F,7/2,3d2.(3F).4f,4H*,9/2,8,10,,,L5432,
124.165,,124.164519,0.000003,80538.1,1:,,,1215.8329,81754.1387,3d3,b 4F,9/2,3d2.(3F).4f,4H*,11/2,10,12,,,L5432,
136.699,,136.698535,0.000004,73153.6,0:,,,8997.7874,82151.461,3d3,a 2G,7/2,3d2.(3F).4f,2F*,7/2,8,8,,,L5432,
136.835,,136.834895,0.000006,73080.7,1:,,,8997.7874,82078.561,3d3,a 2G,7/2,3d2.(3F).4f,4G*,9/2,8,10,,,L5432,
136.864,,136.864087,0.000004,73065.1,3:,,,9118.2849,82183.471,3d3,a 2G,9/2,3d2.(3F).4f,2H*,11/2,10,12,,,L5432,
136.924,,136.924074,0.000004,73033.1,0:,,,9118.2849,82151.461,3d3,a 2G,9/2,3d2.(3F).4f,2F*,7/2,10,8,,,L5432,
136.957,,136.956524,0.000004,73015.7,0:,,,9118.2849,82134.1565,3d3,a 2G,9/2,3d2.(3F).4f,4D*,7/2,10,8,,,L5432,
137.061,,137.060885,0.000006,72960.2,2:,,,9118.2849,82078.561,3d3,a 2G,9/2,3d2.(3F).4f,4G*,9/2,10,10,,,L5432,
137.089,,137.088411,0.000004,72945.5,0:,,,8997.7874,81943.4136,3d3,a 2G,7/2,3d2.(3F).4f,4F*,5/2,8,6,,,L5432,
137.125,,137.124667,0.000004,72926.3,2:,,,8997.7874,81924.127,3d3,a 2G,7/2,3d2.(3F).4f,2H*,9/2,8,10,,,L5432,
137.160,,137.159451,0.000003,72907.6,0:,,,225.7039,73133.5489,3d2.(3F).4s,a 4F,7/2,3d2.(3F).5p,2G*,9/2,8,10,,,L5432,
137.244,,137.243416,0.000004,72863.1,0:,,,8997.7874,81861.0276,3d3,a 2G,7/2,3d2.(3F).4f,4G*,7/2,8,8,,,L5432,
137.265,,137.264470,0.000008,72851.9,1:,,,9518.1516,82370.216,3d3,a 4P,5/2,3d2.(3F).4f,4S*,3/2,6,4,,,L5432,
137.279,,137.278806,0.000003,72844.4,0:,,,8997.7874,81842.2440,3d3,a 2G,7/2,3d2.(3F).4f,2G*,9/2,8,10,,,L5432,
137.417,,137.416826,0.000004,72771.2,0:,,,9118.2849,81889.5772,3d3,a 2G,9/2,3d2.(3F).4f,4I*,11/2,10,12,,,L5432,
137.475,,137.474995,0.000004,72740.4,1:,,,8997.7874,81738.2883,3d3,a 2G,7/2,3d2.(3F).4f,4I*,9/2,8,10,,,L5432,
137.498,,137.497938,0.000006,72728.3,0:,,,9518.1516,82246.515,3d3,a 4P,5/2,3d2.(3F).4f,4P*,5/2,6,6,,,L5432,
