obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 21
110.2673,0.0016,110.266464,0.000017,90688.7,9700h,,,106.6421,90796.047,3d4,a 5D,2,3d3.(4F<9/2>).4f,2[7/2]*,3,5,7,,,L10089c179,
110.2860,0.0016,110.286459,0.000015,90673.3,15000h,,,208.7901,90881.753,3d4,a 5D,3,3d3.(4F<9/2>).4f,2[9/2]*,4,7,9,,,L10089c179,
110.3299,0.0016,110.330279,0.000015,90637.2,12000h,,,208.7901,90845.740,3d4,a 5D,3,3d3.(4P).5p,5D*,3,7,7,,,L10089c179,
110.4530,0.0016,110.453526,0.000017,90536.2,38000h,,,339.1256,90874.941,3d4,a 5D,4,3d3.(4F<9/2>).4f,2[9/2]*,5,9,11,,,L10089c179,
110.4793,0.0016,110.479789,0.000013,90514.7,24000h,,,339.1256,90853.419,3d4,a 5D,4,3d3.(4F<9/2>).4f,2[7/2]*,4,9,9,,,L10089c179,
110.4955,0.0016,110.494731,0.000015,90501.4,24000h*,,,106.6421,90608.695,3d4,a 5D,2,3d3.(4F<9/2>).4f,2[3/2]*,2,5,5,,,L10089c179,
110.4955,0.0016,110.495686,0.000013,90501.4,24000h*,,,208.7901,90710.061,3d4,a 5D,3,3d3.(4F<7/2>).4f,2[5/2]*,3,7,7,,,L10089c179,
110.562,0.004,110.559893,0.000013,90447,14000h*,,,208.7901,90657.503,3d4,a 5D,3,3d3.(4F<7/2>).4f,2[9/2]*,4,7,9,,,L10089c179,
110.562,0.004,110.56324,0.00003,90447,14000h*,,,106.6421,90552.613,3d4,a 5D,2,3d3.(4F<7/2>).4f,2[1/2]*,1,5,3,,,L10089c179,
110.5844,0.0016,110.584514,0.000015,90428.7,12000h,,,106.6421,90535.217,3d4,a 5D,2,3d3.(4F<5/2>).4f,2[5/2]*,3,5,7,,,L10089c179,
110.6115,0.0016,110.610766,0.000013,90406.5,7000h,,,208.7901,90615.903,3d4,a 5D,3,3d3.(4F<7/2>).4f,2[7/2]*,4,7,9,,,L10089c179,
110.6439,0.0016,110.644679,0.000017,90380.0,9300h,,,0.000,90379.403,3d4,a 5D,0,3d3.(4F<5/2>).4f,2[3/2]*,1,1,3,,,L10089c179,
110.7014,0.0016,110.701085,0.000016,90333.1,9300h,,,36.1017,90369.453,3d4,a 5D,1,3d3.(4F<5/2>).4f,2[1/2]*,1,3,3,,,L10089c179,
110.7533,0.0016,110.752811,0.000015,90290.8,9300h,,,339.1256,90630.288,3d4,a 5D,4,3d3.(4F<7/2>).4f,2[9/2]*,5,9,11,,,L10089c179,
110.8345,0.0016,110.834643,0.000014,90224.6,9200h,,,208.7901,90433.288,3d4,a 5D,3,3d3.(4F<5/2>).4f,2[7/2]*,4,7,9,,,L10089c179,
110.9480,0.0016,110.948023,0.000018,90132.3,23000h,,,106.6421,90238.938,3d4,a 5D,2,3d3.(4F<3/2>).4f,2[5/2]*,3,5,7,,,L10089c179,
110.9959,0.0016,110.994983,0.000014,90093.4,11000h,,,339.1256,90433.288,3d4,a 5D,4,3d3.(4F<5/2>).4f,2[7/2]*,4,9,9,,,L10089c179,
111.0736,0.0016,111.073904,0.000019,90030.4,9000h,,,208.7901,90238.938,3d4,a 5D,3,3d3.(4F<3/2>).4f,2[5/2]*,3,7,7,,,L10089c179,
126.8002,0.0016,126.799574,0.000023,78864.2,3800h,,,11514.7845,90379.403,3d4,a 3P2,1,3d3.(4F<5/2>).4f,2[3/2]*,1,3,3,,,L10089c179,
127.0589,0.0016,127.05893,0.00003,78703.6,3000h,,,11908.2593,90611.894,3d4,a 3P2,2,3d3.(4F<7/2>).4f,2[5/2]*,2,5,5,,,L10089c179,
127.1540,0.0016,127.15471,0.00004,78644.8,3700h,,,11908.2593,90552.613,3d4,a 3P2,2,3d3.(4F<7/2>).4f,2[1/2]*,1,5,3,,,L10089c179,
127.1830,0.0016,127.182843,0.000019,78626.8,2200h,,,11908.2593,90535.217,3d4,a 3P2,2,3d3.(4F<5/2>).4f,2[5/2]*,3,5,7,,,L10089c179,
127.8337,0.0016,127.833439,0.000020,78226.6,2900h,,,12706.0798,90932.873,3d4,a 3H,6,3d3.(4F<9/2>).4f,2[11/2]*,5,13,11,,,L10089c179,
127.8592,0.0016,127.858925,0.000021,78211.0,15000h,,,12706.0798,90917.280,3d4,a 3H,6,3d3.(4F<9/2>).4f,2[13/2]*,6,13,13,,,L10089c179,
127.9749,0.0016,127.97487,0.00007,78140.3,22000h*,1.3e+08,D+,12706.0798,90846.42&dagger;,3d4,a 3H,6,3d3.(4F<9/2>).4f,2[15/2]*,7,13,15,,T9770,L10089c179,
127.9749,0.0016,127.97490,0.00003,78140.3,22000h*,,,12706.0798,90846.401,3d4,a 3H,6,3d3.(4F<9/2>).4f,2[13/2]*,7,13,15,,,L10089c179,
128.0197,0.0016,128.020646,0.000018,78113.0,21000h,,,12545.1024,90657.503,3d4,a 3H,4,3d3.(4F<7/2>).4f,2[9/2]*,4,9,9,,,L10089c179,
128.1323,0.0016,128.131416,0.000025,78044.3,4300h,,,12621.4857,90666.358,3d4,a 3H,5,3d3.(4F<7/2>).4f,2[11/2]*,5,11,11,,,L10089c179,
128.2226,0.0016,128.222849,0.000023,77989.3,11000h,,,12621.4857,90610.706,3d4,a 3H,5,3d3.(4F<7/2>).4f,2[11/2]*,6,11,13,,,L10089c179,
128.2728,0.0016,128.272683,0.000025,77958.8,28000h,,,12621.4857,90580.407,3d4,a 3H,5,3d3.(4F<7/2>).4f,2[13/2]*,6,11,13,,,L10089c179,
128.3406,0.0016,128.341195,0.000023,77917.6,3500h,,,12545.1024,90462.407,3d4,a 3H,4,3d3.(4F<5/2>).4f,2[9/2]*,4,9,9,,,L10089c179,
128.4842,0.0016,128.48394,0.00003,77830.6,28000h,,,12545.1024,90375.843,3d4,a 3H,4,3d3.(4F<5/2>).4f,2[11/2]*,5,9,11,,,L10089c179,
128.5186,0.0016,128.51886,0.00013,77809.7,2600h,,,8842.0507,86651.64,3d3.(4F).4s,a 3F,3,3d2.(3F).4s.4p.(1P*),q 3D*,3,7,7,,,L10089c179,
128.7571,0.0016,128.756475,0.000022,77665.6,3200h,,,8640.3641,86306.361,3d3.(4F).4s,a 3F,2,3d2.(3F).4s.4p.(1P*),q 3D*,2,5,5,,,L10089c179,
128.8198,0.0016,128.82074,0.00005,77627.8,2900h,,,2968.3883,80595.64,3d3.(4F).4s,a 5F,4,3d3.(4F).5p,3G*,4,9,9,,,L10089c179,
129.0922,0.0016,129.091706,0.000022,77464.0,10000h,2.3e+08,D+,8842.0507,86306.361,3d3.(4F).4s,a 3F,3,3d2.(3F).4s.4p.(1P*),q 3D*,2,7,5,,T9770,L10089c179,
129.3265,0.0016,129.326064,0.000018,77323.7,3400h,,,13608.9393,90932.873,3d4,b 3F2,4,3d3.(4F<9/2>).4f,2[11/2]*,5,9,11,,,L10089c179,
129.3619,0.0016,129.360928,0.000018,77302.5,2000h,,,13542.6461,90845.740,3d4,b 3F2,3,3d3.(4P).5p,5D*,3,7,7,,,L10089c179,
129.4115,0.0016,129.411620,0.000020,77272.9,4000h,,,13608.9393,90881.753,3d4,b 3F2,4,3d3.(4F<9/2>).4f,2[9/2]*,4,9,9,,,L10089c179,
129.6656,0.0016,129.66635,0.00003,77121.5,2000h,,,13490.8843,90611.894,3d4,b 3F2,2,3d3.(4F<7/2>).4f,2[5/2]*,2,5,5,,,L10089c179,
129.7733,0.0016,129.77336,0.00003,77057.5,2600h,,,13608.9393,90666.358,3d4,b 3F2,4,3d3.(4F<7/2>).4f,2[11/2]*,5,9,11,,,L10089c179,
129.8598,0.0016,129.858386,0.000020,77006.1,2600h,,,13608.9393,90615.903,3d4,b 3F2,4,3d3.(4F<7/2>).4f,2[7/2]*,4,9,9,,,L10089c179,
130.0049,0.0016,130.001560,0.000017,76920.2,3200H*,,,13490.8843,90413.038,3d4,b 3F2,2,3d3.(4F<5/2>).4f,2[7/2]*,3,5,7,,,L10089c179,
