obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
224.3741,224.37301+,44568.42,350,,,0.000,44568.640,5s2,a 1S,0,5s.5p,y 1P*,1,1,3,,,"L10987,L3475",
241.4647,241.46475+,41413.92,25,,,23776.245,65190.158,5s.5p,z 3P*,1,5s.5d,g 3D,2,3,5,,,"L10987,L3475",
242.2922,242.29232+,41272.49,560,,,3296.180,44568.640,4d.5s,a 1D,2,5s.5p,y 1P*,1,5,3,,,"L10987,L3475",
246.1299,246.13014+,40628.94,60,,,24647.121,65276.034,5s.5p,z 3P*,2,5s.5d,g 3D,3,5,7,,,"L10987,L3475",
273.5636,273.56382+,36554.57,22,,,24647.121,61201.662,5s.5p,z 3P*,2,4d.5d,f 3S,1,5,3,,,"L10987,L3475",
278.5980,278.59800+,35894.02,30,,,23776.245,59670.257,5s.5p,z 3P*,1,5p2,e 3P,2,3,5,,,"L10987,L3475",
278.6384,278.63845+,35888.81,12,,,24647.121,60535.922,5s.5p,z 3P*,2,5p2,f 1D,2,5,5,,,"L10987,L3475",
280.0924,280.09246+,35702.50,30,,,23445.063,59147.559,5s.5p,z 3P*,0,5p2,e 3P,1,1,3,,,"L10987,L3475",
282.6193,282.61937+,35383.28,22,,,29213.958,64597.237,4d.5p,z 3D*,3,4d.5d,f 3P,2,7,5,,,"L10987,L3475",
282.7148,282.71497+,35371.34,45,,,23776.245,59147.559,5s.5p,z 3P*,1,5p2,e 3P,1,3,3,,,"L10987,L3475",
285.5255,285.52555+,35023.15,70,,,24647.121,59670.257,5s.5p,z 3P*,2,5p2,e 3P,2,5,5,,,"L10987,L3475",
285.7128,285.71282+,35000.18,26,,,23776.245,58776.425,5s.5p,z 3P*,1,5p2,e 3P,0,3,1,,,"L10987,L3475",
285.8707,285.87088+,34980.84,11,,,27516.699,62497.527,4d.5p,z 1P*,1,4d.5d,g 1D,2,3,5,,,"L10987,L3475",
289.8513,289.85139+,34500.45,18,,,24647.121,59147.559,5s.5p,z 3P*,2,5p2,e 3P,1,5,3,,,"L10987,L3475",
289.9643,289.96439+,34487.01,14,,,23776.245,58263.238,5s.5p,z 3P*,1,5s.6s,e 3S,1,3,3,,,"L10987,L3475",
293.0838,293.08396+,34119.93,18h,,,27532.321,61652.237,4d.5p,z 3F*,3,4d.5d,e 3F,3,7,7,,,"L10987,L3475",
297.4763,297.47636+,33616.12,18,,,24647.121,58263.238,5s.5p,z 3P*,2,5s.6s,e 3S,1,5,3,,,"L10987,L3475",
298.1423,298.14232+,33541.03,30,,,28394.177,61935.205,4d.5p,z 3F*,4,4d.5d,e 3F,4,9,9,,,"L10987,L3475",
302.7336,302.73365+,33032.34,26,,,26147.252,59179.589,4d.5p,z 1D*,2,4d.5d,e 3G,3,5,7,,,"L10987,L3475",
303.7460,303.74616+,32922.25,30,,,28730.010,61652.237,4d.5p,z 3D*,2,4d.5d,e 3F,3,5,7,,,"L10987,L3475",
305.6117,305.61182+,32721.26,60,,,29213.958,61935.205,4d.5p,z 3D*,3,4d.5d,e 3F,4,7,9,,,"L10987,L3475",
308.7749,308.77498+,32386.05,60,,,26147.252,58533.296,4d.5p,z 1D*,2,4d.5d,e 1F,3,5,7,,,"L10987,L3475",
309.4650,309.46514+,32313.83,22,,,32283.420,64597.237,4d.5p,y 3P*,2,4d.5d,f 3P,2,5,5,,,"L10987,L3475",
309.6771,309.67757+,32291.70,95,,,1045.076,33336.727,4d.5s,a 3D,2,4d.5p,z 1F*,3,5,7,,,"L10987,L3475",
311.2932,311.29317+,32124.06,55*,,,29213.958,61338.016,4d.5p,z 3D*,3,4d.5d,e 3F,2,7,5,,,"L10987,L3475",
311.2932,311.29321+,32124.06,55*,1.30e+06,C+,0.000,32124.054,5s2,a 1S,0,4d.5p,y 3P*,1,1,3,,T4373,"L10987,L3475",
312.9638,312.96395+,31952.58,60,,,27227.027,59179.589,4d.5p,z 3F*,2,4d.5d,e 3G,3,5,7,,,"L10987,L3475",
313.0837,313.08388+,31940.34,80,,,27532.321,59472.643,4d.5p,z 3F*,3,4d.5d,e 3G,4,7,9,,,"L10987,L3475",
313.6076,313.60767+,31886.98,95,,,1449.752,33336.727,4d.5s,a 3D,3,4d.5p,z 1F*,3,7,7,,,"L10987,L3475",
317.3963,317.39645+,31506.35,110,,,28394.177,59900.516,4d.5p,z 3F*,4,4d.5d,e 3G,5,9,11,,,"L10987,L3475",
318.0335,318.03357+,31443.23,220,3.78e+06,B+,840.198,32283.420,4d.5s,a 3D,1,4d.5p,y 3P*,2,3,5,,T4373,"L10987,L3475",
319.6537,319.65369+,31283.86,2300,8.2e+07,B+,840.198,32124.054,4d.5s,a 3D,1,4d.5p,y 3P*,1,3,3,,T4373,"L10987,L3475",
320.1194,320.11940+,31238.35,2200,4.8e+07,B+,1045.076,32283.420,4d.5s,a 3D,2,4d.5p,y 3P*,2,5,5,,T4373,"L10987,L3475",
320.4246,320.42460+,31208.59,2200,2.76e+08,B+,840.198,32048.788,4d.5s,a 3D,1,4d.5p,y 3P*,0,3,1,,T4373,"L10987,L3475",
321.7609,321.76090+,31078.98,3560,2.03e+08,B,1045.076,32124.054,4d.5s,a 3D,2,4d.5p,y 3P*,1,5,3,,T4373,"L10987,L3475",
321.7660,321.76620+,31078.48,340,,,28394.177,59472.643,4d.5p,z 3F*,4,4d.5d,e 3G,4,9,9,,,"L10987,L3475",
324.3208,324.32080+,30833.67,6200,2.03e+08,B+,1449.752,32283.420,4d.5s,a 3D,3,4d.5p,y 3P*,2,7,5,,T4373,"L10987,L3475",
328.1854,328.18559+,30470.58,310,,,14098.076,44568.640,4d2,a 3P,2,5s.5p,y 1P*,1,5,3,,,"L10987,L3475",
330.9327,330.93280+,30217.62,19,,,28730.010,58947.625,4d.5p,z 3D*,2,4d.5d,f 3D,2,5,5,,,"L10987,L3475",
332.8833,332.88342+,30040.55,4700,,,3296.180,33336.727,4d.5s,a 1D,2,4d.5p,z 1F*,3,5,7,,,"L10987,L3475",
336.2952,336.29522+,29735.78,160,,,14832.862,44568.640,4d2,b 1D,2,5s.5p,y 1P*,1,5,3,,,"L10987,L3475",
344.9792,344.97938+,28987.25,200,4.1e+06,B+,3296.180,32283.420,4d.5s,a 1D,2,4d.5p,y 3P*,2,5,5,,T4373,"L10987,L3475",
346.8864,346.88649+,28827.88,110,2.70e+06,B,3296.180,32124.054,4d.5s,a 1D,2,4d.5p,y 3P*,1,5,3,,T4373,"L10987,L3475",
349.7079,349.70800+,28595.29,1700,3.49e+07,B+,0.000,28595.285,5s2,a 1S,0,4d.5p,z 3D*,1,1,3,,T4373,"L10987,L3475",
354.6952,354.69545+,28193.22,45,,,27532.321,55725.522,4d.5p,z 3F*,3,4d.6s,e 1D,2,7,5,,,"L10987,L3475",
355.0016,355.00166+,28168.89,3900,4.0e+07,B+,1045.076,29213.958,4d.5s,a 3D,2,4d.5p,z 3D*,3,5,7,,T4373,"L10987,L3475",
358.5537,358.55387+,27889.82,3300,4.0e+07,B+,840.198,28730.010,4d.5s,a 3D,1,4d.5p,z 3D*,2,3,5,,T4373,"L10987,L3475",
360.1758,360.17598+,27764.22,10000,1.38e+08,B+,1449.752,29213.958,4d.5s,a 3D,3,4d.5p,z 3D*,3,7,7,,T4373,"L10987,L3475",
360.2943,360.29431+,27755.09,6200,1.12e+08,B+,840.198,28595.285,4d.5s,a 3D,1,4d.5p,z 3D*,1,3,3,,T4373,"L10987,L3475",
361.2073,361.20729+,27684.93,7800,1.04e+08,B+,1045.076,28730.010,4d.5s,a 3D,2,4d.5p,z 3D*,2,5,5,,T4373,"L10987,L3475",
362.9734,362.97365+,27550.22,1900,3.29e+07,B+,1045.076,28595.285,4d.5s,a 3D,2,4d.5p,z 3D*,1,5,3,,T4373,"L10987,L3475",
363.4157,363.41568+,27516.70,7800,1.3e+08,D+,0.000,27516.699,5s2,a 1S,0,4d.5p,z 1P*,1,1,3,,T4373,"L10987,L3475",
366.5654,366.56545+,27280.26,3000,3.7e+07,B+,1449.752,28730.010,4d.5s,a 3D,3,4d.5p,z 3D*,2,7,5,,T4373,"L10987,L3475",
366.9526,366.95275+,27251.48,45,,,28394.177,55645.642,4d.5p,z 3F*,4,4d.6s,e 3D,3,9,7,,,"L10987,L3475",
371.1343,371.13429+,26944.43,13000,1.54e+08,B+,1449.752,28394.177,4d.5s,a 3D,3,4d.5p,z 3F*,4,7,9,,T4373,"L10987,L3475",
374.8616,374.86176+,26676.51,1200,2.0e+07,D+,840.198,27516.699,4d.5s,a 3D,1,4d.5p,z 1P*,1,3,3,,T4373,"L10987,L3475",
377.5402,377.54021+,26487.24,10000,1.10e+08,B+,1045.076,27532.321,4d.5s,a 3D,2,4d.5p,z 3F*,3,5,7,,T4373,"L10987,L3475",
377.7629,377.76301+,26471.63,1400,2.4e+07,D+,1045.076,27516.699,4d.5s,a 3D,2,4d.5p,z 1P*,1,5,3,,T4373,"L10987,L3475",
378.3336,378.33382+,26431.70,50,,,29213.958,55645.642,4d.5p,z 3D*,3,4d.6s,e 3D,3,7,7,,,"L10987,L3475",
378.9769,378.97695+,26386.83,7400,8.0e+07,B+,840.198,27227.027,4d.5s,a 3D,1,4d.5p,z 3F*,2,3,5,,T4373,"L10987,L3475",
381.9425,381.94251+,26181.95,1300,9.7e+06,B+,1045.076,27227.027,4d.5s,a 3D,2,4d.5p,z 3F*,2,5,5,,T4373,"L10987,L3475",
383.3976,383.39782+,26082.58,4000,2.95e+07,B+,1449.752,27532.321,4d.5s,a 3D,3,4d.5p,z 3F*,3,7,7,,T4373,"L10987,L3475",
384.9141,384.91417+,25979.82,70,,,32283.420,58263.238,4d.5p,y 3P*,2,5s.6s,e 3S,1,5,3,,,"L10987,L3475",
387.9384,387.93860+,25777.29,480,2.83e+06,B+,1449.752,27227.027,4d.5s,a 3D,3,4d.5p,z 3F*,2,7,5,,T4373,"L10987,L3475",
393.1771,393.17712+,25433.83,240,2.12e+06,B,3296.180,28730.010,4d.5s,a 1D,2,4d.5p,z 3D*,2,5,5,,T4373,"L10987,L3475",
395.1467,395.14674+,25307.06,4400,2.78e+07,B+,840.198,26147.252,4d.5s,a 3D,1,4d.5p,z 1D*,2,3,5,,T4373,"L10987,L3475",
395.2708,395.27090+,25299.11,150,1.47e+06,B,3296.180,28595.285,4d.5s,a 1D,2,4d.5p,z 3D*,1,5,3,,T4373,"L10987,L3475",
398.3718,398.37184+,25102.18,3600,2.71e+07,B+,1045.076,26147.252,4d.5s,a 3D,2,4d.5p,z 1D*,2,5,5,,T4373,"L10987,L3475",
412.6068,412.60694+,24236.15,320,1.76e+06,B+,3296.180,27532.321,4d.5s,a 1D,2,4d.5p,z 3F*,3,5,7,,T4373,"L10987,L3475",
417.8705,417.87071+,23930.86,8000,5.3e+07,B+,3296.180,27227.027,4d.5s,a 1D,2,4d.5p,z 3F*,2,5,5,,T4373,"L10987,L3475",
420.0456,420.04588+,23806.94,120,5.35e+05,A,840.198,24647.121,4d.5s,a 3D,1,5s.5p,z 3P*,2,3,5,,T4373,"L10987,L3475",
420.5877,420.5879+,23776.26,380,2.19e+06,A+,0.000,23776.245,5s2,a 1S,0,5s.5p,z 3P*,1,1,3,,T4373,"L10987,L3475",
423.6920,423.6921+,23602.05,600,2.32e+06,A+,1045.076,24647.121,4d.5s,a 3D,2,5s.5p,z 3P*,2,5,5,,T4373,"L10987,L3475",
431.0832,431.0834+,23197.38,2800,1.285e+07,A+,1449.752,24647.121,4d.5s,a 3D,3,5s.5p,z 3P*,2,7,5,,T4373,"L10987,L3475",
435.9948,435.9949+,22936.05,800,5.55e+06,A+,840.198,23776.245,4d.5s,a 3D,1,5s.5p,z 3P*,1,3,3,,T4373,"L10987,L3475",
437.6162,437.6162+,22851.07,12000,1.0e+08,A,3296.180,26147.252,4d.5s,a 1D,2,4d.5p,z 1D*,2,5,5,,T4373,"L10987,L3475",
439.9243,439.9246+,22731.18,1800,1.151e+07,A+,1045.076,23776.245,4d.5s,a 3D,2,5s.5p,z 3P*,1,5,3,,T4373,"L10987,L3475",
442.3825,442.3826+,22604.87,890,1.83e+07,A+,840.198,23445.063,4d.5s,a 3D,1,5s.5p,z 3P*,0,3,1,,T4373,"L10987,L3475",
468.3632,468.3634+,21350.95,260,1.88e+06,A,3296.180,24647.121,4d.5s,a 1D,2,5s.5p,z 3P*,2,5,5,,T4373,"L10987,L3475",
478.7914,478.7915+,20885.92,160,2.1e+06,C+,8328.039,29213.958,4d2,a 3F,3,4d.5p,z 3D*,3,7,7,,T4373,"L10987,L3475",
482.4652,482.4652+,20726.88,190,4.4e+06,B,8003.126,28730.010,4d2,a 3F,2,4d.5p,z 3D*,2,5,5,,T4373,"L10987,L3475",
485.6217,485.6217+,20592.16,890,3.9e+07,B,8003.126,28595.285,4d2,a 3F,2,4d.5p,z 3D*,1,5,3,,T4373,"L10987,L3475",
