obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
211.734,211.7345+,47229.1,2500,3.41e+08,,0.00,47228.96,4f14.6s,2S,1/2,4f13.(2F*<5/2>).5d.6s.(1D),1[1/2]*,1/2,2,2,,T7227,L3475,
212.741,212.7412+,47005.5,3000,4.91e+07,,0.00,47005.46,4f14.6s,2S,1/2,4f13.(2F*<5/2>).5d.6s.(1D),1[3/2]*,3/2,2,4,,T7227,L3475,
216.228,,46247.5,370,,,,,,,,,,,1,1,,,L3475,
218.639,218.6400+,45737.4,850,3.16e+07,,0.00,45737.29,4f14.6s,2S,1/2,4f13.(2F*<7/2>).5d2.(3F),*,3/2,2,4,,T7227,L3475,
222.515,222.5159+,44940.7,640,4.79e+07,,0.00,44940.61,4f14.6s,2S,1/2,4f13.(2F*<5/2>).5d.6s.(3D),*,3/2,2,4,,T7227,L3475,
232.152,,43075.2,140,,,,,,,,,,,1,1,,,L3475,
236.361,,42308.1,50,,,,,,,,,,,1,1,,,L3475,
239.147,,41815.3,170,,,,,,,,,,,1,1,,,L3475,
239.875,,41688.4,18,,,,,,,,,,,1,1,,,L3475,
242.209,,41286.7,28,,,,,,,,,,,1,1,,,L3475,
244.800,,40849.6,25,,,,,,,,,,,1,1,,,L3475,
246.099,,40634.0,28,,,,,,,,,,,1,1,,,L3475,
248.564,,40231.1,14,,,,,,,,,,,1,1,,,L3475,
250.277,,39955.7,70,,,,,,,,,,,1,1,,,L3475,
250.623,,39900.5,28,,,,,,,,,,,1,1,,,L3475,
250.883,,39859.3,11,,,,,,,,,,,1,1,,,L3475,
251.282,,39796.0,140,,,,,,,,,,,1,1,,,L3475,
251.711,,39728.1,18,,,,,,,,,,,1,1,,,L3475,
252.320,,39632.2,50,,,,,,,,,,,1,1,,,L3475,
253.841,,39394.7,65,,,,,,,,,,,1,1,,,L3475,
253.943,,39378.9,270,,,,,,,,,,,1,1,,,L3475,
255.083,,39203.0,14,,,,,,,,,,,1,1,,,L3475,
255.292,,39170.9,70,,,,,,,,,,,1,1,,,L3475,
255.347,,39162.5,55,,,,,,,,,,,1,1,,,L3475,
256.634,,38966.0,21,,,,,,,,,,,1,1,,,L3475,
257.213,,38878.3,28,,,,,,,,,,,1,1,,,L3475,
257.392,,38851.2,13,,,,,,,,,,,1,1,,,L3475,
259.694,,38506.9,18,,,,,,,,,,,1,1,,,L3475,
259.710,,38504.5,28,,,,,,,,,,,1,1,,,L3475,
261.604,,38225.7,21,,,,,,,,,,,1,1,,,L3475,
261.779,,38200.1,100,,,,,,,,,,,1,1,,,L3475,
263.510,,37949.3,55,,,,,,,,,,,1,1,,,L3475,
264.024,,37875.4,45,,,,,,,,,,,1,1,,,L3475,
264.268,,37840.4,85,,,,,,,,,,,1,1,,,L3475,
264.510,,37805.8,110,,,,,,,,,,,1,1,,,L3475,
264.723,,37775.4,28,,,,,,,,,,,1,1,,,L3475,
264.825,,37760.8,28,,,,,,,,,,,1,1,,,L3475,
264.959,,37741.7,28,,,,,,,,,,,1,1,,,L3475,
265.058,,37727.6,50,,,,,,,,,,,1,1,,,L3475,
265.152,,37714.2,28,,,,,,,,,,,1,1,,,L3475,
265.454,265.4535+,37671.3,990,3.90e+08,,21418.75,59090.13,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).6s.6p.(1P*<1>),,7/2,8,8,,T6917,L3475,
265.691,,37637.7,35,,,,,,,,,,,1,1,,,L3475,
266.006,,37593.1,21,,,,,,,,,,,1,1,,,L3475,
266.583,,37511.7,200,,,,,,,,,,,1,1,,,L3475,
266.954,,37459.6,55,,,,,,,,,,,1,1,,,L3475,
267.345,,37404.8,390,,,,,,,,,,,1,1,,,L3475,
268.120,,37296.8,21,,,,,,,,,,,1,1,,,L3475,
268.422,,37254.8,14,,,,,,,,,,,1,1,,,L3475,
268.555,,37236.4,70,,,,,,,,,,,1,1,,,L3475,
268.878,,37191.6,25,,,,,,,,,,,1,1,,,L3475,
269.623,,37088.8,28,,,,,,,,,,,1,1,,,L3475,
269.742,,37072.5,14,,,,,,,,,,,1,1,,,L3475,
270.160,,37015.1,18,,,,,,,,,,,1,1,,,L3475,
270.964,,36905.2,21,,,,,,,,,,,1,1,,,L3475,
271.134,,36882.1,65,,,,,,,,,,,1,1,,,L3475,
271.258,,36865.2,25,,,,,,,,,,,1,1,,,L3475,
271.346,,36853.3,55,,,,,,,,,,,1,1,,,L3475,
271.916,,36776.1,170,,,,,,,,,,,1,1,,,L3475,
272.301,,36724.1,21,,,,,,,,,,,1,1,,,L3475,
273.355,,36582.5,110,,,,,,,,,,,1,1,,,L3475,
273.490,,36564.4,21,,,,,,,,,,,1,1,,,L3475,
274.252,,36462.8,55,,,,,,,,,,,1,1,,,L3475,
274.839,,36384.9,55,,,,,,,,,,,1,1,,,L3475,
274.885,,36378.8,18,,,,,,,,,,,1,1,,,L3475,
274.947,,36370.6,230,,,,,,,,,,,1,1,,,L3475,
275.129,275.1291+,36346.5,1300,3.20e+08,,21418.75,57765.32,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).6s.6p.(1P*<1>),"(7/2,1)",9/2,8,10,,T6917,L3475,
275.226,,36333.7,85,,,,,,,,,,,1,1,,,L3475,
275.982,,36234.3,21,,,,,,,,,,,1,1,,,L3475,
276.160,,36210.9,65,,,,,,,,,,,1,1,,,L3475,
276.219,,36203.2,65,,,,,,,,,,,1,1,,,L3475,
276.523,,36163.4,35,,,,,,,,,,,1,1,,,L3475,
277.214,,36073.2,85,,,,,,,,,,,1,1,,,L3475,
277.710,,36008.8,170,,,,,,,,,,,1,1,,,L3475,
278.548,,35900.4,100,,,,,,,,,,,1,1,,,L3475,
278.878,,35857.9,18,,,,,,,,,,,1,1,,,L3475,
279.410,,35789.7,45,,,,,,,,,,,1,1,,,L3475,
279.526,,35774.8,25,,,,,,,,,,,1,1,,,L3475,
279.589,,35766.7,21,,,,,,,,,,,1,1,,,L3475,
279.611,,35763.9,18,,,,,,,,,,,1,1,,,L3475,
279.862,,35731.8,35,,,,,,,,,,,1,1,,,L3475,
279.903,,35726.6,100,,,,,,,,,,,1,1,,,L3475,
280.021,,35711.7,45,,,,,,,,,,,1,1,,,L3475,
280.083,,35703.8,50,,,,,,,,,,,1,1,,,L3475,
280.089,,35703.0,35,,,,,,,,,,,1,1,,,L3475,
281.155,,35567.6,14,,,,,,,,,,,1,1,,,L3475,
281.536,,35519.5,65,,,,,,,,,,,1,1,,,L3475,
281.715,,35496.9,28,,,,,,,,,,,1,1,,,L3475,
282.198,,35436.1,140,,,,,,,,,,,1,1,,,L3475,
282.580,,35388.2,100,,,,,,,,,,,1,1,,,L3475,
283.182,,35312.9,190,,,,,,,,,,,1,1,,,L3475,
283.303,,35297.9,18,,,,,,,,,,,1,1,,,L3475,
283.580,,35263.4,28,,,,,,,,,,,1,1,,,L3475,
284.343,,35168.8,14,,,,,,,,,,,1,1,,,L3475,
284.802,,35112.2,230w,,,,,,,,,,,1,1,,,L3475,
284.928,,35096.6,100,,,,,,,,,,,1,1,,,L3475,
285.018,,35085.5,21,,,,,,,,,,,1,1,,,L3475,
285.197,,35063.5,360,,,,,,,,,,,1,1,,,L3475,
285.270,,35054.5,55,,,,,,,,,,,1,1,,,L3475,
285.425,,35035.5,21,,,,,,,,,,,1,1,,,L3475,
285.452,,35032.2,18,,,,,,,,,,,1,1,,,L3475,
285.498,,35026.5,55,,,,,,,,,,,1,1,,,L3475,
285.533,,35022.2,45,,,,,,,,,,,1,1,,,L3475,
285.917,,34975.2,45,,,,,,,,,,,1,1,,,L3475,
285.930,,34973.6,45,,,,,,,,,,,1,1,,,L3475,
286.023,,34962.2,100,,,,,,,,,,,1,1,,,L3475,
286.064,,34957.2,430,,,,,,,,,,,1,1,,,L3475,
286.123,,34950.0,55,,,,,,,,,,,1,1,,,L3475,
