obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,Unnamed: 19
119.3231,,83806.1,60,,,,,,,,,,,1,1,,,L640,
127.7306,127.7324+,78289.8,60,,,49355.04,127643.7,3d10.4p,2P*,3/2,3d10.6d,2D,5/2,4,6,,,L640,
136.6682,136.6678+,73169.9,60bl*,,,62722.45,135892.6,3d9.4s2,2D,5/2,3d10.7f,2F*,5/2,6,6,,,L640,
136.6682,136.6728+,73169.9,60bl*,,,62722.45,135889.9,3d9.4s2,2D,5/2,3d10.7f,2F*,7/2,6,8,,,L640,
141.0443,141.0444+,70899.7,60,,,62722.45,133622.1,3d9.4s2,2D,5/2,3d10.8p,2P*,3/2,6,4,,,L640,
143.9091,143.9091+,69488.3,60,,,48481.00,117969.32,3d10.4p,2P*,1/2,3d10.5d,2D,3/2,2,4,,,L640,
144.5042,144.5042+,69202.1,60,,,65441.64,134643.8,3d9.4s2,2D,3/2,3d9.(2D).4s.4p.(1P*),2D*,3/2,4,4,,,L640,
145.6907,145.6907+,68638.6,50,,,49355.04,117993.61,3d10.4p,2P*,3/2,3d10.5d,2D,5/2,4,6,,,L640,
147.7016,147.7015+,67704.1,60,,,65441.64,133145.76,3d9.4s2,2D,3/2,3d9.(2D).4s.4p.(1P*),2F*,5/2,4,6,,,L640,
151.4763,151.4761+,66016.9,50,,,48481.00,114498.02,3d10.4p,2P*,1/2,3d10.6s,2S,1/2,2,2,,,L640,
157.2991,,63573.2,90,,,,,,,,,,,1,1,,,L640,
161.7675,161.766+,61817.1,60,,,111743.0,173560.7?,3d9.(2D).4s.4p.(3P*),4D*,5/2,3d9.4s.4d,20,5/2?,6,6,,,L640,
165.8251,165.825+,60304.5,60,,,110867.2,171171.6,3d9.(2D).4s.4p.(3P*),4D*,7/2,3d9.4s.4d,6,5/2,8,6,,,L640,
171.3251,171.325+,58368.6,50,,,103701.6,162070.3,3d9.(2D).4s.4p.(3P*),4P*,5/2,3d9.4s.(3D).5s,4D,5/2,6,6,,,L640,
171.5760,171.576+,58283.2,60,,,110867.2,169150.5,3d9.(2D).4s.4p.(3P*),4D*,7/2,3d9.4s.4d,1,7/2,8,8,,,L640,
173.5607,173.558+,57616.7,80bl*,,,113492.9,171110.5,3d9.(2D).4s.4p.(3P*),2P*,1/2,3d9.4s.4d,5,1/2,2,2,,,L640,
173.5607,173.560+,57616.7,80bl*,,,103701.6,161318.4,3d9.(2D).4s.4p.(3P*),4P*,5/2,3d9.4s.(3D).5s,4D,7/2,6,8,,,L640,
173.6889,173.689+,57574.2,60,,,105322.7,162897.0,3d9.(2D).4s.4p.(3P*),4P*,3/2,3d9.4s.(3D).5s,4D,3/2,4,4,,,L640,
173.7895,173.788+,57540.9,50,,,106528.8,164070.1,3d9.(2D).4s.4p.(3P*),4P*,1/2,3d9.4s.(3D).5s,4D,1/2,2,2,,,L640,
174.7124,174.7125+,57236.9,75,,,62722.45,119959.34,3d9.4s2,2D,5/2,3d10.6p,2P*,3/2,6,4,,,L640,
176.2191,176.219+,56747.5,80c,,,105322.7,162070.3,3d9.(2D).4s.4p.(3P*),4P*,3/2,3d9.4s.(3D).5s,4D,5/2,4,6,,,L640,
177.4040,177.405+,56368.5,75,,,106528.8,162897.0,3d9.(2D).4s.4p.(3P*),4P*,1/2,3d9.4s.(3D).5s,4D,3/2,2,4,,,L640,
179.0759,179.076+,55842.2,80,,,108227.9,164070.1,3d9.(2D).4s.4p.(3P*),4F*,3/2,3d9.4s.(3D).5s,4D,1/2,4,2,,,L640,
179.7643,179.764+,55628.4,100,,,107268.6,162897.0,3d9.(2D).4s.4p.(3P*),4F*,5/2,3d9.4s.(3D).5s,4D,3/2,6,4,,,L640,
181.1008,181.101+,55217.9,100bl,,,106852.4,162070.3,3d9.(2D).4s.4p.(3P*),4F*,7/2,3d9.4s.(3D).5s,4D,5/2,8,6,,,L640,
181.6479,,55051.6,80,,,,,,,,,,,1,1,,,L640,
183.1376,183.134+,54603.8,80,,,110672.3,165277.1,3d9.(2D).4s.4p.(3P*),2F*,5/2,3d9.4s.(3D).5s,2D,3/2,6,4,,,L640,
183.3573,183.357+,54538.3,100bl,,,106779.9,161318.4,3d9.(2D).4s.4p.(3P*),4F*,9/2,3d9.4s.(3D).5s,4D,7/2,10,8,,,L640,
183.6007,183.601+,54466.0,70,,,106852.4,161318.4,3d9.(2D).4s.4p.(3P*),4F*,7/2,3d9.4s.(3D).5s,4D,7/2,8,8,,,L640,
183.6654,183.6653+,54446.8,75,,,65441.64,119888.51,3d9.4s2,2D,3/2,3d10.6p,2P*,1/2,4,2,,,L640,
184.7562,184.757+,54125.4,75,,,113499.2,167624.4,3d9.(2D).4s.4p.(3P*),2P*,3/2,3d9.4s.(1D).5s,2D,5/2,4,6,,,L640,
186.4117,,53644.7,100,,,,,,,,,,,1,1,,,L640,
186.6077,,53588.4,100,,,,,,,,,,,1,1,,,L640,
187.2128,,53415.2,100,,,,,,,,,,,1,1,,,L640,
189.4259,189.428+,52791.1,75,,,114833.95,167624.4,3d9.(2D).4s.4p.(3P*),2D*,5/2,3d9.4s.(1D).5s,2D,5/2,6,6,,,L640,
190.1523,190.153+,52589.4,60,,,112409.7,164998.9,3d9.(2D).4s.4p.(3P*),2F*,7/2,3d9.4s.(3D).5s,2D,5/2,8,6,,,L640,
191.4806,191.480+,52224.6,60,,,110672.3,162897.0,3d9.(2D).4s.4p.(3P*),2F*,5/2,3d9.4s.(3D).5s,4D,3/2,6,4,,,L640,
191.8962,191.8962+,52111.5,100bl,,,62722.45,114833.95,3d9.4s2,2D,5/2,3d9.(2D).4s.4p.(3P*),2D*,5/2,6,6,,,L640,
192.0271,192.028+,52076.0,70,,,111994.3,164070.1,3d9.(2D).4s.4p.(3P*),4D*,3/2,3d9.4s.(3D).5s,4D,1/2,4,2,,,L640,
192.9670,192.967+,51822.3,100bl,2.71e+06,C,65441.64,117264.0,3d9.4s2,2D,3/2,3d10.4f,2F*,5/2,4,6,,T7870,L640,
194.5583,194.560+,51398.5,60,,,110672.3,162070.3,3d9.(2D).4s.4p.(3P*),2F*,5/2,3d9.4s.(3D).5s,4D,5/2,6,6,,,L640,
195.1911,195.190+,51231.8,60,,,114045.03,165277.1,3d9.(2D).4s.4p.(3P*),2D*,3/2,3d9.4s.(3D).5s,2D,3/2,4,4,,,L640,
195.2999,195.301+,51203.3,80,,,110867.2,162070.3,3d9.(2D).4s.4p.(3P*),4D*,7/2,3d9.4s.(3D).5s,4D,5/2,8,6,,,L640,
195.4872,195.488+,51154.2,75,,,111743.0,162897.0,3d9.(2D).4s.4p.(3P*),4D*,5/2,3d9.4s.(3D).5s,4D,3/2,6,4,,,L640,
196.4538,196.453+,50902.6,80,,,111994.3,162897.0,3d9.(2D).4s.4p.(3P*),4D*,3/2,3d9.4s.(3D).5s,4D,3/2,4,4,,,L640,
196.9404,196.941+,50776.8,100,,,62722.45,113499.2,3d9.4s2,2D,5/2,3d9.(2D).4s.4p.(3P*),2P*,3/2,6,4,,,L640,
198.2111,198.211+,50451.3,100,,,110867.2,161318.4,3d9.(2D).4s.4p.(3P*),4D*,7/2,3d9.4s.(3D).5s,4D,7/2,8,8,,,L640,
198.5608,198.562+,50362.4,70,,,112534.9,162897.0,3d9.(2D).4s.4p.(3P*),4D*,1/2,3d9.4s.(3D).5s,4D,3/2,2,4,,,L640,
198.6988,198.699+,50327.4,100,,,111743.0,162070.3,3d9.(2D).4s.4p.(3P*),4D*,5/2,3d9.4s.(3D).5s,4D,5/2,6,6,,,L640,
199.3367,199.342+,50166.4,50,,,114833.95,164998.9,3d9.(2D).4s.4p.(3P*),2D*,5/2,3d9.4s.(3D).5s,2D,5/2,6,6,,,L640,
199.6922,199.696+,50077.1,50,,,111994.3,162070.3,3d9.(2D).4s.4p.(3P*),4D*,3/2,3d9.4s.(3D).5s,4D,5/2,4,6,,,L640,
201.2590,201.259+,49687.22,100,,,62722.45,112409.7,3d9.4s2,2D,5/2,3d9.(2D).4s.4p.(3P*),2F*,7/2,6,8,,,L640,
202.61371,202.6136+,49355.003,500,4.07e+08,B+,0.00,49355.04,3d10.4s,2S,1/2,3d10.4p,2P*,3/2,2,4,,T7574,"L9761,L640",
203.9962,203.996+,49020.52,60,,,62722.45,111743.0,3d9.4s2,2D,5/2,3d9.(2D).4s.4p.(3P*),4D*,5/2,6,6,,,L640,
206.26604,206.2664+,48481.078,500,3.86e+08,B+,0.00,48481.00,3d10.4s,2S,1/2,3d10.4p,2P*,1/2,2,2,,T7574,"L9761,L640",
206.48863,206.4890+,48428.816,200,4.6e+08,C+,48481.00,96909.74,3d10.4p,2P*,1/2,3d10.4d,2D,3/2,2,4,,T7870,"L9761,L640",
208.0596,208.060+,48063.16,50,,,114833.95,162897.0,3d9.(2D).4s.4p.(3P*),2D*,5/2,3d9.4s.(3D).5s,4D,3/2,6,4,,,L640,
210.05939,210.0604+,47605.585,300,5.6e+08,C,49355.04,96960.40,3d10.4p,2P*,3/2,3d10.4d,2D,5/2,4,6,,T7870,"L9761,L640",
210.28331,210.2842+,47554.891,200,9.3e+07,C+,49355.04,96909.74,3d10.4p,2P*,3/2,3d10.4d,2D,3/2,4,4,,T7870,"L9761,L640",
212.3412,212.345+,47094.01,75,,,65441.64,112534.9,3d9.4s2,2D,3/2,3d9.(2D).4s.4p.(3P*),4D*,1/2,4,2,,,L640,
214.8095,214.810+,46552.88,75,,,65441.64,111994.3,3d9.4s2,2D,3/2,3d9.(2D).4s.4p.(3P*),4D*,3/2,4,4,,,L640,
221.0865,221.089+,45231.17,60,,,65441.64,110672.3,3d9.4s2,2D,3/2,3d9.(2D).4s.4p.(3P*),2F*,5/2,4,6,,,L640,
227.3852,227.388+,43978.23,50,,,88437.15,132414.9,3d10.5s,2S,1/2,3d10.8p,2P*,1/2,2,2,,,L640,
250.27486,250.2744+,39956.071,1000,1.97e+08,C+,48481.00,88437.15,3d10.4p,2P*,1/2,3d10.5s,2S,1/2,2,2,,T7870,"L9761,L640",
252.872,252.877+,39545.7,50,,,96960.40,136505.3?,3d10.4d,2D,5/2,3d10.9p,2P*,3/2,6,4,,,L640,
255.87132,255.8715+,39082.145,1000,3.91e+08,C+,49355.04,88437.15,3d10.4p,2P*,3/2,3d10.5s,2S,1/2,4,2,,T7870,"L9761,L640",
256.8564,256.857+,38932.25,50,,,96960.40,135892.6,3d10.4d,2D,5/2,3d10.7f,2F*,5/2,6,6,,,L640,
256.8745,256.875+,38929.52,50,,,96960.40,135889.9,3d10.4d,2D,5/2,3d10.7f,2F*,7/2,6,8,,,L640,
257.1422,257.142+,38888.99,30,1.76e+07,C,62722.45,101611.4,3d9.4s2,2D,5/2,3d10.5p,2P*,3/2,6,4,,T7870,L45,
276.4771,276.474+,36169.35,30,1.91e+06,C,65441.64,101611.4,3d9.4s2,2D,3/2,3d10.5p,2P*,3/2,4,4,,T7870,L45,
278.363,278.363+,35924.3,30,4.37e+06,C,65441.64,101365.9,3d9.4s2,2D,3/2,3d10.5p,2P*,1/2,4,2,,T7870,L45,
280.2791,280.277+,35678.72,100,,,96960.40,132639.4,3d10.4d,2D,5/2,3d10.6f,2F*,7/2,6,8,,,L45,
290.315,290.315+,34445.3,100,,,101611.4,136056.8,3d10.5p,2P*,3/2,3d10.8d,2D,5/2,4,6,,,L45,
317.237,317.2368+,31522.2,100,,,88437.15,119959.34,3d10.5s,2S,1/2,3d10.6p,2P*,3/2,2,4,,,L45,
317.315,317.312+,31514.4,100,,,101365.9,132880.6,3d10.5p,2P*,1/2,3d10.7d,2D,3/2,2,4,,,L45,
319.7235,319.724+,31277.03,300,,,101611.4,132888.4,3d10.5p,2P*,3/2,3d10.7d,2D,5/2,4,6,,,L45,
319.8024,319.804+,31269.31,100,,,101611.4,132880.6,3d10.5p,2P*,3/2,3d10.7d,2D,3/2,4,4,,,L45,
330.0367,330.037+,30299.66,50,,,96909.74,127209.4,3d10.4d,2D,3/2,3d10.5f,2F*,5/2,4,6,,,L45,
330.6962,330.697+,30239.24,75,,,96960.40,127199.6,3d10.4d,2D,5/2,3d10.5f,2F*,7/2,6,8,,,L45,
380.7425,380.739+,26264.47,50,,,101365.9,127630.6,3d10.5p,2P*,1/2,3d10.6d,2D,3/2,2,4,,,L45,
384.138,384.138+,26032.3,100,,,101611.4,127643.7,3d10.5p,2P*,3/2,3d10.6d,2D,5/2,4,6,,,L45,
407.929,407.928+,24514.1,40,8.9e+06,C,101365.9,125880.0,3d10.5p,2P*,1/2,3d10.7s,2S,1/2,2,2,,T7870,L45,
412.055,412.055+,24268.6,40,1.56e+07,C,101611.4,125880.0,3d10.5p,2P*,3/2,3d10.7s,2S,1/2,4,2,,T7870,L45,
491.29982,491.298+,20354.170,800,1.82e+08,C,96909.74,117264.0,3d10.4d,2D,3/2,3d10.4f,2F*,5/2,4,6,,T7870,"L9761,L45",
492.52638,492.523+,20303.481,7,,,96960.40,117264.0,3d10.4d,2D,5/2,3d10.4f,2F*,5/2,6,6,,,L9761,
