obs_wl_vac(nm),ritz_wl_vac(nm),wn(cm-1),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref,Unnamed: 11
242.015,,41319.8,60,,,,,,,L3475,
245.059,,40806.5,150,,,,,,,L3475,
245.818,,40680.4,21,,,,,,,L3475,
248.804,,40192.3,75,,,,,,,L3475,
249.723,,40044.3,45,,,,,,,L3475,
253.322,,39475.4,180,,,,,,,L3475,
254.286,,39325.7,220,,,,,,,L3475,
255.151,,39192.5,220,,,,,,,L3475,
256.841,,38934.6,570,,,,,,,L3475,
256.964,,38916.0,1600,,,,,,,L3475,
257.216,,38877.8,2100,,,,,,,L3475,
258.417,,38697.1,75,,,,,,,L3475,
258.984,,38612.4,130,,,,,,,L3475,
263.169,,37998.3,150,,,,,,,L3475,
263.988,,37880.6,210,,,,,,,L3475,
264.419,,37818.8,70,,,,,,,L3475,
265.117,,37719.2,110,,,,,,,L3475,
266.859,,37472.9,180,,,,,,,L3475,
267.028,,37449.2,55,,,,,,,L3475,
267.175,,37428.6,120,,,,,,,L3475,
267.943,,37321.4,1800,,,,,,,L3475,
268.256,,37277.9,35,,,,,,,L3475,
269.340,,37127.8,90,,,,,,,L3475,
269.433,,37115.0,160,,,,,,,L3475,
269.486,,37107.7,180,,,,,,,L3475,
269.623,,37088.8,70,,,,,,,L3475,
270.040,,37031.5,95,,,,,,,L3475,
270.093,,37024.3,750,,,,,,,L3475,
271.231,,36868.9,280,,,,,,,L3475,
271.322,,36856.5,140,,,,,,,L3475,
271.506,,36831.5,140,,,,,,,L3475,
272.342,,36718.6,1300,,,,,,,L3475,
272.730,,36666.3,800,,,,,,,L3475,
273.353,,36582.7,490,,,,,,,L3475,
273.567,,36554.1,1400,,,,,,,L3475,
274.132,,36478.8,110,,,,,,,L3475,
274.236,,36464.9,140,,,,,,,L3475,
274.337,,36451.5,1100,,,,,,,L3475,
274.667,,36407.7,660,,,,,,,L3475,
275.302,,36323.7,660,,,,,,,L3475,
275.963,,36236.8,530,,,,,,,L3475,
276.955,,36107.0,200bl,,,,,,,L3475,
276.967,,36105.4,,,,,,,,L3475,
277.498,,36036.3,,,,,,,,L3475,
279.772,,35743.3,160,,,,,,,L3475,
279.998,,35714.6,110,,,,,,,L3475,
281.174,,35565.2,180,,,,,,,L3475,
281.957,,35466.4,390,,,,,,,L3475,
282.639,,35380.8,530,,,,,,,L3475,
283.474,,35276.6,110,,,,,,,L3475,
284.017,,35209.1,120,,,,,,,L3475,
284.436,,35157.3,130,,,,,,,L3475,
284.542,,35144.2,660,,,,,,,L3475,
284.903,,35099.7,210,,,,,,,L3475,
285.281,,35053.2,350,,,,,,,L3475,
287.065,,34835.3,340,,,,,,,L3475,
290.608,,34410.6,160,,,,,,,L3475,
