Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
72.8717,0.0011,72.87280,0.00004,1600,,,0.00,-,137 225.409,4d10,1S,0,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)6p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=647&amp;comment_code=c114&amp;element=Ag&amp;spectr_charge=2&amp;ref=647&amp;type=
73.0816,0.0011,73.08204,0.00004,15000,,,0.00,-,136 832.527,4d10,1S,0,4d<sup>9</sup>(<sup>2</sup>D<sub>3/2</sub>)6p,2[1/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=647&amp;comment_code=c114&amp;element=Ag&amp;spectr_charge=2&amp;ref=647&amp;type=
75.2793,0.0011,75.27757,0.00003,34000,,,0.00,-,132 841.701,4d10,1S,0,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)6p,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=647&amp;comment_code=c114&amp;element=Ag&amp;spectr_charge=2&amp;ref=647&amp;type=
94.31323,0.00005,94.313168,0.000004,11000,,,39 168.0177,-,145 197.750,4d9(2D5/2)5s,2[5/2],3,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)4f,2[3/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
94.89659,0.00010,94.89657,0.00006,3500,,,40 745.3671,-,146 123.25,4d9(2D5/2)5s,2[5/2],2,4d<sup>8</sup>(<sup>1</sup>D)5s5p(<sup>3</sup>P°),3F°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
95.40780,0.00005,95.407840,0.000005,35000,,,40 745.3671,-,145 558.556,4d9(2D5/2)5s,2[5/2],2,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),1F°,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
95.62436,0.00005,95.62434,0.00005,14000,1.5e+08,D+,39 168.0177,-,143 743.90,4d9(2D5/2)5s,2[5/2],3,4d<sup>8</sup>(<sup>3</sup>F)5s5p(<sup>3</sup>P°),3F°,2,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=9142&amp;comment_code=&amp;element=Ag&amp;spectr_charge=2&amp;ref=9142&amp;type=,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
95.63500,0.00005,95.635062,0.000005,18000,,,40 745.3671,-,145 309.528,4d9(2D5/2)5s,2[5/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)4f,2[5/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
95.69606,0.00005,95.696088,0.000005,18000,,,40 745.3671,-,145 242.847,4d9(2D5/2)5s,2[5/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)4f,2[3/2]°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
95.73740,0.00008,95.737404,0.000004,5100,,,40 745.3671,-,145 197.750,4d9(2D5/2)5s,2[5/2],2,4d<sup>9</sup>(<sup>2</sup>D<sub>5/2</sub>)4f,2[3/2]°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=11881&amp;comment_code=c113&amp;element=Ag&amp;spectr_charge=2&amp;ref=11881&amp;type=
