Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
68.3529,68.35274,2g,,,0.00,-,146 299.92,2p63s2,1S,0,3s10p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4575&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=4575&amp;type=
68.9936,68.99354,5g,,,0.00,-,144 941.10,2p63s2,1S,0,3s9p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4575&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=4575&amp;type=
69.9489,69.94905,10g,,,0.00,-,142 961.20,2p63s2,1S,0,3s8p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4575&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=4575&amp;type=
71.4695,71.46993,20g,,,0.00,-,139 918.98,2p63s2,1S,0,3s7p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4575&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=4575&amp;type=
74.1182,74.11833,25g,,,0.00,-,134 919.40,2p63s2,1S,0,3s6p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4575&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=4575&amp;type=
79.4475,79.44767,20g,,,0.00,-,125 869.015,2p63s2,1S,0,3s5p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4575&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=4575&amp;type=
90.5152,90.51550,20,,,37 577.79,-,148 056.1,3s3p,3P°,2,3s12s,3S,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4575&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=4575&amp;type=
90.8342,90.83491,1,1.16e+04,A+,0.00,-,110 089.83,2p63s2,1S,0,3s3d,1D,2,E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=tp&amp;db_id=&amp;comment_code=c41&amp;element=Al&amp;spectr_charge=2&amp;ref=&amp;type=E2,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=6526&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=6526&amp;type=E2
91.0916,91.09166,10,,,37 453.91,-,147 233.45,3s3p,3P°,1,3s11s,3S,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4575&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=4575&amp;type=
91.1497,91.14997,10,,,37 577.79,-,147 287.10,3s3p,3P°,2,3s10d,3D,3,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4575&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=4575&amp;type=
91.19457,91.19456,40,,,37 577.79,-,147 233.45,3s3p,3P°,2,3s11s,3S,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3460&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=3460&amp;type=
91.9672,91.96705,30,,,37 453.91,-,146 188.5,3s3p,3P°,1,3s9d,3D,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=4575&amp;comment_code=&amp;element=Al&amp;spectr_charge=2&amp;ref=4575&amp;type=
