Observed  Wavelength  Vac (nm),Unc.  (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
5.738,0.003,5.738,0.003,3a,,,0.00,-,1 742 870,1s22s2,1S,0,1s2s<sup>2</sup>6p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
5.759,0.003,5.759,0.003,7a,,,0.00,-,1 736 400,1s22s2,1S,0,1s2s<sup>2</sup>5p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
5.801,0.003,5.801,0.003,10a,,,0.00,-,1 723 840,1s22s2,1S,0,1s2s<sup>2</sup>4p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
5.901,0.003,5.901,0.003,30a,,,0.00,-,1 694 630,1s22s2,1S,0,1s2s<sup>2</sup>3p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
6.379,0.003,6.379,0.003,80a,,,0.00,-,1 567 640,1s22s2,1S,0,1s2s<sup>2</sup>2p,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
40.5091,0.0010,40.5091,0.0010,10a*,,,0.00,-,246 858,1s22s2,1S,0,1s<sup>2</sup>2p10d,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
40.573,0.010,40.573,0.010,1a*,,,0.00,-,246 470,1s22s2,1S,0,1s<sup>2</sup>2p10s,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
40.67,0.09,40.67,0.08,30a*,,,0.00,-,245 900,1s22s2,1S,0,1s<sup>2</sup>2p9d,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
40.778,0.010,40.778,0.010,7a*,,,0.00,-,245 230,1s22s2,1S,0,1s<sup>2</sup>2p9s,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
40.898,0.002,40.8980,0.0020,22a*,,,0.00,-,244 511,1s22s2,1S,0,1s<sup>2</sup>2p8d,1P°,1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=12120&amp;comment_code=&amp;element=B&amp;spectr_charge=2&amp;ref=12120&amp;type=
