Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Unc.  (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
105.888,,,15,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
108.547,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
109.920,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
116.319,,,8,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
116.706,,,8,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
122.543,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
123.278,,,15,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
124.1045,124.10478,0.00010,10,,,0.000,-,80 577.071,6s26p2,3P,0,6s<sup>2</sup>6p6d,"(1/2,3/2)°",1,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
126.535,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
128.3715,128.37145,0.00010,15,,,17 031.698,-,94 930.640,6s26p2,3P,2,6s6p<sup>3</sup>,3D°,2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=9843&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=9843&amp;type=
130.618,,,10,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
132.546,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
132.947,,,20,,,,,,,,,,,,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3331&amp;comment_code=&amp;element=Bi&amp;spectr_charge=2&amp;ref=3331&amp;type=
