Observed  Wavelength  Vac (nm),Ritz  Wavelength  Vac (nm),Rel.  Int. (?),Aki (s−1),Acc.,Ei  (cm−1),,Ek  (cm−1),"Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Lower Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J","Upper Level  Conf., Term, J",Type,TPRef.,LineRef.
246.297,246.29554+,130,,,9 778.986,-,50 368.336,4f(2F°)6s2,2F°,5/2,4f6s(<sup>3</sup>F°)6p,,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
251.851,251.85919+,110,,,12 365.806,-,52 058.587,4f(2F°)5d2(3F),2H°,9/2,4f6s(<sup>3</sup>F°)6p,2G,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
254.868,254.87143+,200,,,11 340.598,-,50 564.294,4f(2F°)5d2(3P),4F°,7/2,5d(<sup>2</sup>D)6s<sup>2</sup>?,,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
265.101,265.10066+,340,,,9 778.986,-,47 489.280,4f(2F°)6s2,2F°,5/2,5d<sup>2</sup>(<sup>1</sup>G)6s,2G,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
270.688,270.68828+,120,,,4 266.397,-,41 198.309,4f5d(3G°)6s,°,7/2,5d<sup>2</sup>(<sup>3</sup>F)6s,2F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
272.338,272.33842+,120,,,11 949.189,-,48 657.336,4f5d(3G°)6s,°,7/2,5d<sup>3</sup>,2F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
274.196,274.20225+,110,,,11 007.799,-,47 466.445,4f(2F°)5d2(3P),4F°,3/2,5d<sup>2</sup>(<sup>1</sup>D)6s,,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
275.089,275.08997+,100,,,5 651.357,-,41 992.356,4f5d(3H°)6s,4H°,11/2,4f5d(<sup>1</sup>H°)6p,2I,13/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
276.142,276.14200+,150,,,0.000,-,36 202.557,4f(2F°)5d2(3F),4H°,7/2,4f6s(<sup>3</sup>F°)6p,4G,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
278.427,278.42663+,120,,,8 175.863,-,44 081.375,4f5d(3D°)6s,4D°,5/2,5d<sup>2</sup>(<sup>3</sup>P)6s,4P,3/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
278.535,278.53416+,100,,,12 260.088,-,48 151.739,4f(2F°)6s2,°,7/2,5d<sup>2</sup>(<sup>1</sup>G)6s,2G,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
279.053,279.05174+,100,,,7 818.147,-,43 643.230,4f5d(3D°)6s,4D°,3/2,5d<sup>2</sup>(<sup>3</sup>P)6s,4P,1/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
279.142,279.14109+,140,,,9 316.912,-,45 130.529,4f2(3H)5d,4G,7/2,4f<sup>3</sup>,4F°,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
283.090,283.08960+,270,,,7 259.075,-,42 573.191,4f5d(3F°)6s,°,7/2,5d<sup>2</sup>(<sup>3</sup>F)6s,2F,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
283.331,283.33012+,100i*,,,10 314.162,-,45 598.301,4f2(3H)5d,4G,9/2,4f<sup>3</sup>,4F°,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
283.331,283.32586+,100i*,,,8 175.863,-,43 460.533,4f5d(3D°)6s,4D°,5/2,4f5d(<sup>1</sup>P°)6p,2D,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
287.414,287.40791+,250,,,3 745.475,-,38 529.021,4f(2F°)5d2(3F),4D°,3/2,4f5d(<sup>3</sup>D°)6p,,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
290.842,290.84221+,110,,,4 459.872,-,38 832.709,4f5d(3F°)6s,4F°,7/2,4f6s(<sup>3</sup>F°)6p,,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
291.867,291.86651+,100,,,2 641.559,-,36 893.770,4f5d(1G°)6s,°,7/2,4f6s(<sup>1</sup>F°)6p,,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
295.594,295.59394+,120,,,2 382.246,-,36 202.557,4f5d(1G°)6s,°,9/2,4f6s(<sup>3</sup>F°)6p,4G,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
296.480,296.48012+,110,,,5 675.763,-,39 394.990,4f5d(3F°)6s,4F°,9/2,4f5d(<sup>3</sup>P°)6p,,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
297.258,297.25873+,100,,,4 910.963,-,38 541.873,4f5d(3H°)6s,°,11/2,5d<sup>3</sup>,,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
297.691,297.69033+,400,,,4 266.397,-,37 848.550,4f5d(3G°)6s,°,7/2,5d<sup>2</sup>(<sup>3</sup>F)6s,4F,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
297.746,297.74597+,150,,,5 819.113,-,39 394.990,4f5d(3G°)6s,°,9/2,4f5d(<sup>3</sup>P°)6p,,7/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
298.041,298.04009+,120,,,14 481.930,-,48 024.675,4f(2F°)5d2(1D),°,5/2,4f6s(<sup>3</sup>F°)6p,,5/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
299.087,299.08714+,250,,,2 382.246,-,35 807.568,4f5d(1G°)6s,°,9/2,4f6s(<sup>1</sup>F°)6p,,9/2,,,https://physics.nist.gov/cgi-bin/ASBib1/get_ASBib_ref.cgi?db=el&amp;db_id=3475&amp;comment_code=&amp;element=Ce&amp;spectr_charge=2&amp;ref=3475&amp;type=
